Running Reverse KL,Real Sto Return,Running Forward KL,Itration,Real Det Return
175.842,2361.62,340.9759,77,2569.33
159.5046,2425.0,332.278,78,3801.54
128.9078,2529.3,303.8018,79,3490.37
169.0771,1902.35,336.9843,80,2299.19
131.277,3734.71,315.5799,81,4359.59
141.0504,2632.22,318.8801,82,4857.91
115.9746,3116.03,308.9601,83,4459.35
128.7453,3139.44,319.6332,84,4933.74
192.2549,1589.57,337.5774,85,4897.38
128.0285,4167.64,323.5881,86,4785.71
179.2957,1587.11,336.3051,87,2236.57
216.5125,1651.47,350.1881,88,3748.15
114.5135,4199.41,310.6194,89,4032.5
157.1055,2554.25,329.9544,90,3408.84
156.755,2602.6,320.993,91,2649.83
149.4815,3708.55,321.335,92,4731.18
224.5754,1636.56,340.4705,93,1531.75
142.6509,4035.45,325.1749,94,4645.76
130.9399,2982.48,321.6407,95,2334.36
200.0894,1617.24,334.6537,96,1229.67
139.9286,2757.24,318.5164,97,1858.34
118.3568,3504.37,302.2377,98,4429.51
103.1131,3404.4,299.2456,99,2488.14
165.9694,3026.49,309.9295,100,1205.58
100.6624,4321.63,296.492,101,4118.36
172.3068,1961.24,308.9118,102,725.36
125.3339,4462.03,311.3783,103,4784.41
103.5821,3629.21,285.2263,104,3624.08
129.749,3331.62,299.288,105,1466.62
131.7231,4597.79,317.1266,106,4838.25
161.4314,3522.91,334.4087,107,2518.05
123.5191,4698.84,311.4955,108,3902.89
114.4761,4313.56,313.1091,109,4249.35
135.4647,2746.88,311.4255,110,2489.62
123.8572,2803.4,301.9357,111,2055.5
101.3487,4700.84,300.1362,112,4672.72
121.201,5025.15,312.181,113,4611.58
140.4974,4941.56,320.2189,114,4463.82
137.5864,4799.63,328.5009,115,4395.06
108.949,4048.49,308.7214,116,5060.34
135.3245,3795.0,323.3534,117,4294.21
124.2412,4311.23,321.0688,118,4748.27
108.6407,4159.8,313.482,119,2818.4
128.8862,4095.86,319.8208,120,3891.97
108.9982,4554.21,308.6005,121,5054.0
97.8502,4513.11,297.1271,122,4351.58
104.2443,4423.11,298.1531,123,4637.84
115.35,4538.01,302.0041,124,4352.84
116.0883,4700.66,299.6634,125,4602.13
114.4086,4815.3,301.6954,126,4999.92
108.7473,4290.02,303.2759,127,4422.39
162.555,3528.85,328.6698,128,1671.08
99.0809,4588.05,288.4559,129,3508.22
101.1355,4178.76,292.6733,130,2809.36
123.7513,3976.25,314.8756,131,4452.61
143.1612,4666.51,312.9157,132,4570.14
108.9293,4380.84,302.7491,133,4871.34
107.5969,4702.18,297.2149,134,4500.05
96.1284,5045.36,295.3525,135,5027.93
100.3613,5038.49,293.659,136,4041.83
107.6243,4969.26,301.6431,137,4909.78
111.3106,4281.44,300.3242,138,2078.77
100.2985,4055.57,296.8719,139,4008.2
104.279,4076.64,296.7448,140,4280.74
95.3193,4801.23,292.4454,141,3164.33
89.1992,4508.55,293.5592,142,1337.78
95.3932,5021.96,293.7517,143,5072.54
109.7802,4798.63,290.5844,144,2851.45
93.3267,4506.69,294.6783,145,4246.44
100.6749,5046.55,295.5826,146,5043.65
96.8329,4396.42,300.0026,147,4375.47
101.0321,4945.99,303.0959,148,5124.54
101.6573,4700.74,299.3819,149,4823.31
96.7258,4665.41,293.6017,150,2614.95
109.3337,5044.4,300.2107,151,5198.93
106.1501,4909.25,305.8141,152,5150.45
108.2573,5057.77,306.5178,153,5038.44
101.2527,5013.2,299.2577,154,5132.29
122.776,5081.37,320.8711,155,5212.19
113.2259,5018.93,313.6505,156,4643.98
108.745,4964.6,304.907,157,4432.9
116.9534,4397.64,315.6689,158,4949.92
105.3024,4619.21,309.0065,159,5063.32
171.5691,3638.18,332.337,160,5249.66
135.2491,3434.5,323.4957,161,5073.5
95.0922,5000.48,297.459,162,4273.25
95.8035,4400.86,300.0916,163,4582.57
96.4222,4895.76,304.6595,164,4573.41
97.4006,4611.0,297.0669,165,5022.49
91.4555,4962.71,294.6851,166,3993.07
94.8473,4886.84,295.647,167,3210.34
124.9367,3462.93,307.1619,168,4406.83
97.5,4025.7,303.6524,169,3041.13
110.295,3595.09,304.9558,170,1199.53
97.508,4125.24,308.9582,171,1772.25
138.0196,4140.51,314.6467,172,4177.11
100.353,4799.61,303.006,173,4686.62
103.0679,3915.32,301.0767,174,4062.76
92.2438,4771.53,296.4584,175,4537.03
87.8059,4971.92,289.623,176,4247.26
96.8411,4707.41,300.6009,177,3189.32
87.4601,4729.64,289.8362,178,3154.72
91.1556,4934.08,288.7176,179,4649.34
109.3562,4726.99,302.7553,180,3017.66
102.5957,4712.07,292.7694,181,3923.98
91.5946,4445.78,288.1119,182,3554.58
91.7751,4874.52,292.7688,183,4652.53
93.4576,4835.62,296.4014,184,3496.01
96.4986,4917.91,293.4564,185,5034.45
103.2346,4669.03,295.7382,186,4719.02
102.1713,4753.89,296.6038,187,3997.12
108.1834,4751.6,302.0085,188,4545.62
106.6462,4868.38,299.8476,189,4859.65
92.1376,4668.23,297.7259,190,4383.32
95.4784,4846.27,292.7417,191,4569.61
94.9706,4703.31,295.7803,192,4666.41
96.4024,4881.31,293.103,193,4616.86
94.3767,4848.87,296.0398,194,4377.85
92.5131,4154.51,292.7134,195,3045.87
89.08,4674.68,294.2051,196,2818.04
90.5336,4907.41,293.053,197,3991.76
80.0253,4695.28,281.8934,198,3125.43
98.8969,4707.98,290.8999,199,4563.83
83.3221,4528.7,281.7365,200,1706.8
75.5788,4729.16,278.5588,201,3031.53
75.1699,4816.54,278.2485,202,3659.85
68.1502,4399.89,271.4351,203,4172.52
