Real Det Return,Itration,Running Reverse KL,Real Sto Return,Running Forward KL
2884.41,70,159.0297,4750.75,337.6463
1416.05,71,205.7812,3146.1,363.6319
1242.34,72,155.1532,4584.11,340.2521
2730.77,73,201.6143,3103.09,361.904
1631.43,74,153.625,3663.75,340.8778
2366.8,75,192.5117,4275.14,354.0013
2534.16,76,256.5658,3127.78,369.0608
5033.2,77,149.2238,4652.06,338.1342
2750.53,78,177.1706,4183.22,348.3947
3018.41,79,182.2433,4429.92,348.2554
3001.53,80,185.912,3021.46,349.3834
3422.83,81,156.6562,3981.96,346.5811
1884.46,82,134.8208,4148.04,331.0638
3913.18,83,192.6966,4159.76,351.8487
4275.65,84,151.6512,4919.87,339.5118
4000.8,85,158.8236,4018.15,347.1437
3255.52,86,158.9323,4711.61,350.409
4815.23,87,160.7089,3505.83,343.5862
4461.99,88,170.2002,4581.72,350.8546
4499.39,89,191.7213,3723.29,361.5066
4970.53,90,174.3161,3498.17,352.9744
5003.61,91,164.6772,4740.25,347.8684
4825.17,92,167.0966,3919.97,350.3838
4273.87,93,160.8774,4673.34,348.6971
2971.83,94,152.943,4206.02,346.1209
4992.55,95,163.5552,4595.62,351.7146
4828.86,96,170.038,4667.84,348.7226
3540.31,97,166.5456,4394.05,343.076
4580.99,98,156.591,4462.16,343.1972
4289.37,99,173.8832,4333.34,358.5297
3977.72,100,165.863,4318.89,352.3299
4361.51,101,157.8605,4759.78,351.5298
3301.16,102,152.6881,4790.7,343.6476
4301.9,103,183.987,3414.14,368.056
4058.7,104,156.326,4550.0,346.5414
4380.5,105,176.1733,4567.26,362.3894
3880.12,106,163.4478,3424.2,349.7768
3730.38,107,154.0929,4270.58,344.7113
3634.49,108,180.9874,3806.24,360.8933
4131.43,109,162.1514,3820.41,355.8246
2956.72,110,217.0791,2086.32,370.7776
3944.4,111,185.0331,3710.14,360.6352
3876.87,112,176.9679,4284.15,355.5559
3777.35,113,186.2169,3865.68,362.0636
5123.38,114,190.9589,3810.66,356.2275
2378.13,115,189.349,4024.35,371.6104
3340.22,116,170.5378,4093.31,353.4389
3858.18,117,164.323,3387.77,355.5521
4539.45,118,182.0591,4366.96,361.392
3773.59,119,209.2495,3114.43,364.1297
4849.32,120,172.8109,3877.89,357.7974
4139.61,121,174.095,4553.76,358.7423
4317.17,122,173.3056,3856.32,355.3626
4321.3,123,185.9985,3809.96,353.6536
3763.66,124,175.7114,3589.48,355.4375
4669.68,125,160.3487,4588.28,346.2955
4393.98,126,166.347,4812.15,345.4657
4460.82,127,170.9378,4119.38,351.9787
3554.51,128,189.1985,4454.25,362.9062
4667.6,129,173.2871,4350.48,351.0152
4816.7,130,170.4967,4165.49,357.8205
3001.11,131,186.8506,3709.11,359.014
3905.66,132,166.2743,4723.1,345.0806
4695.25,133,170.536,3988.59,353.275
5020.75,134,163.3914,4716.97,353.6574
4969.28,135,177.3366,3778.56,361.5962
3805.73,136,173.838,4632.13,359.4207
5128.72,137,168.11,4630.28,346.4454
5017.33,138,173.2267,4386.48,356.0532
4953.7,139,178.6838,3773.62,359.9463
4955.11,140,173.3028,4467.97,358.1539
4893.92,141,175.466,3587.06,357.0868
4927.12,142,178.2107,4228.35,354.2841
4233.14,143,186.0716,3574.57,361.8166
5050.9,144,167.4643,4217.04,358.5209
3559.22,145,179.4841,3906.73,353.2571
4919.02,146,172.3635,3811.9,355.006
4950.58,147,173.9091,4645.71,355.061
4152.66,148,171.6174,4648.44,347.5461
4589.44,149,171.2299,4470.78,352.354
5066.7,150,176.6447,3946.75,360.3334
4998.24,151,176.0735,4007.56,354.5674
4952.9,152,191.177,3986.39,360.1367
5105.02,153,151.8607,4179.7,343.5653
5079.53,154,174.3034,4409.92,355.3819
4988.03,155,163.5576,4479.05,348.9532
4905.72,156,178.2242,3663.05,351.5572
4868.88,157,197.1407,4082.41,361.6714
5060.29,158,181.2072,5029.24,349.991
5247.54,159,174.8671,4188.0,354.5594
4717.02,160,206.4834,3124.77,375.7165
4916.88,161,156.3853,4556.58,346.0428
4818.13,162,177.3824,4488.34,360.4135
5111.57,163,182.4826,4671.92,351.439
4568.25,164,205.3229,3254.49,372.2796
4807.06,165,186.278,4256.94,356.5132
5081.11,166,175.6854,4769.21,352.9432
4490.08,167,186.1413,3020.09,359.1494
5020.14,168,179.3553,4151.24,352.4032
5214.23,169,171.7678,4704.95,350.5089
4866.66,170,199.4203,3708.67,362.2821
4899.03,171,171.4028,4263.82,347.3395
5226.89,172,187.2157,3264.18,355.1754
5129.65,173,174.7987,3586.27,351.0942
4603.13,174,162.7245,4379.65,348.3895
4862.97,175,167.537,4956.97,344.0026
5130.9,176,160.9882,4601.96,344.0017
4524.7,177,178.6254,4176.36,356.6025
4611.53,178,144.0614,4833.34,341.3824
5124.8,179,137.1542,4631.69,333.4528
5019.86,180,149.5326,4720.44,336.3444
4984.74,181,148.596,4640.59,338.9825
4901.43,182,151.4351,5201.78,341.0092
5160.73,183,153.0371,4644.21,346.1561
5102.55,184,157.9123,4547.42,348.6959
5057.17,185,197.2168,3979.37,366.4006
4416.22,186,142.5827,4883.51,332.5654
4882.41,187,149.7215,4884.36,335.4318
5203.76,188,154.138,4622.07,340.4814
5225.38,189,159.0732,5098.66,343.0505
4936.86,190,151.3177,4992.73,341.5059
4980.5,191,152.174,4541.4,338.7765
5031.53,192,145.2133,4670.94,337.164
5260.49,193,153.0705,4217.22,339.5343
4734.29,194,150.7594,4706.04,337.4466
5188.89,195,152.5098,4861.51,336.3702
5007.33,196,147.3388,5141.34,335.6829
5189.77,197,166.1287,4683.55,346.6245
5239.74,198,153.8373,4691.9,339.0097
5218.05,199,160.9385,5127.07,343.2964
5292.41,200,151.1333,4989.96,338.0896
5276.84,201,162.2355,5010.11,346.4014
5273.9,202,151.6215,4738.48,334.7448
4838.42,203,152.3028,4992.53,335.2464
4636.96,204,165.9525,4956.36,351.0122
5049.82,205,170.8006,4856.41,351.6402
5036.39,206,163.5909,5148.19,348.0333
5306.87,207,186.4042,4639.61,357.3904
5300.5,208,157.7916,5085.44,341.617
4936.23,209,156.7774,4797.38,345.8628
5259.28,210,165.3514,4661.16,347.5182
4712.07,211,185.9505,4439.46,351.4193
5082.0,212,173.0615,4738.5,354.7991
