Itration,Running Reverse KL,Real Sto Return,Real Det Return,Running Forward KL
62,240.3679,920.68,610.92,369.889
63,217.6045,1148.81,667.43,368.9049
64,203.2343,1685.42,913.97,359.7051
65,215.4632,1469.86,861.12,352.3651
66,224.3643,1751.03,844.98,354.3681
67,206.286,1653.97,1815.04,362.4708
68,204.8217,1422.37,939.68,355.4826
69,215.3147,1305.68,809.93,363.173
70,199.8115,1425.85,1165.47,360.6846
71,195.8671,2046.57,1658.7,341.5645
72,220.576,1001.55,1010.8,369.6834
73,215.9848,2036.09,825.79,357.0873
74,196.1989,2076.44,626.24,349.9052
75,253.401,1314.67,656.87,362.7624
76,209.5586,2214.97,729.59,354.7944
77,262.4166,1306.27,509.0,376.2033
78,180.3982,2142.16,1092.71,351.8467
79,241.6569,1473.17,1042.36,365.4241
80,229.6891,1644.33,828.74,388.8707
81,234.0445,2126.25,785.71,368.1004
82,199.9514,2805.82,626.67,355.8342
83,187.3978,2508.4,591.79,353.664
84,165.3013,3083.09,1026.48,350.8266
85,265.7883,1842.29,578.3,372.5832
86,183.2041,2373.48,646.59,329.6987
87,152.067,3360.85,741.14,342.057
88,175.3487,3838.74,741.12,338.1453
89,177.3209,3280.51,724.48,347.9951
90,191.5001,3328.88,870.49,350.1999
91,220.1508,2922.73,753.99,336.3321
92,236.5342,2721.51,819.49,350.6591
93,171.9507,3888.97,824.17,344.7159
94,197.0062,2194.88,713.22,335.6294
95,227.684,1945.36,691.61,348.6791
96,202.418,2960.82,814.96,342.3629
97,245.0109,2358.08,754.13,362.0833
98,209.361,2725.41,630.51,357.0241
99,326.2433,1825.29,585.72,380.2985
100,205.3112,2878.59,913.35,344.7431
101,223.0466,4139.87,1019.12,346.8804
102,189.0324,4217.49,1308.62,356.7882
103,172.7432,3799.45,1212.82,344.3256
104,189.3422,4713.21,1306.95,351.0876
105,220.0699,2546.53,1048.71,347.5437
106,211.0753,3837.98,1660.02,346.6155
107,252.5205,3872.04,1254.98,351.9408
108,208.3325,3508.42,1929.38,344.8995
109,188.9552,4366.29,1225.55,343.899
110,247.679,2732.21,1417.48,360.7258
111,196.429,3393.65,1604.41,346.9254
112,226.4672,2959.78,928.95,354.8835
113,152.599,4417.11,3246.37,350.0721
114,144.8314,4356.35,1865.34,341.7087
115,207.2332,2291.02,1386.53,350.0107
116,195.3577,3767.1,3654.24,357.2768
117,211.0231,3308.06,1196.59,349.7926
118,153.1951,4340.3,2976.36,339.495
119,164.484,4457.66,4290.29,339.5255
120,173.0316,4393.59,3245.53,348.4646
121,152.422,4790.93,1075.92,347.6385
122,149.1172,4805.68,1178.88,345.2193
123,178.3722,4528.79,4105.87,345.1385
124,152.5714,4298.22,4680.62,340.4831
125,146.8955,4836.58,5060.0,341.6993
126,168.198,4447.07,4915.73,349.6619
127,165.14,3990.83,4548.91,344.0389
128,150.3523,4977.89,4459.37,346.84
129,155.5536,4622.03,913.57,337.5135
130,146.5249,5017.65,4398.82,336.2817
131,160.6656,4712.25,4550.98,349.0894
132,148.7092,4767.39,4465.31,341.2245
133,155.4975,4293.38,4342.98,334.9662
134,141.2751,4702.34,4716.27,338.2648
135,143.0673,4265.71,2283.31,345.6355
136,161.9583,4257.4,1143.96,350.1462
137,150.2026,4890.02,4631.1,339.2686
138,147.7174,4920.06,5027.07,345.1436
139,139.6531,5020.56,2013.8,338.0985
140,141.0196,4759.65,3468.7,341.8815
141,186.0627,4524.67,3163.76,344.9584
142,172.1495,4596.76,1912.06,341.5325
143,167.6901,4077.41,1056.47,343.2841
144,151.9496,4640.12,4467.54,342.6937
145,134.166,4030.07,4839.63,332.0784
146,176.2316,3798.42,5165.85,343.3137
147,166.0384,4898.47,4729.75,341.8549
148,220.0221,3928.7,2200.59,347.6901
149,144.357,4921.68,4077.58,336.2052
150,151.2949,4658.02,5166.63,336.9674
151,131.4499,4785.68,4719.01,334.523
152,150.3779,5126.48,5209.89,338.136
153,153.7787,4881.4,4866.17,347.9815
154,145.0552,5078.5,5181.01,339.7231
155,151.6011,4410.21,5052.9,351.4648
156,160.0421,4499.62,5128.63,350.6109
157,165.8418,4582.91,4907.11,347.2165
158,148.7543,4299.35,4843.99,344.7084
159,151.974,4815.83,5115.58,340.9182
160,162.0213,4765.97,5101.06,345.0196
161,174.2704,5056.8,5078.19,346.8655
162,161.3514,4927.1,4538.29,341.2206
163,172.7254,4423.59,4798.86,349.0272
164,148.9688,4985.36,5196.47,342.0356
165,153.2827,4936.78,5074.95,351.1712
166,164.9188,4864.19,4798.4,356.3832
167,146.6583,4750.78,4848.27,345.664
168,148.3742,4754.18,5024.08,343.1504
169,160.7444,4875.17,4871.45,357.5021
170,184.8698,4727.5,4227.85,350.2505
171,143.161,5008.25,5230.73,344.5498
172,143.7087,4829.07,5196.07,342.1538
173,147.0981,4805.97,4694.1,337.4332
174,137.9666,4832.48,5218.66,339.3024
175,155.6998,5090.92,5241.24,342.268
176,157.759,4913.8,5154.37,348.863
177,143.0161,4903.14,5080.54,340.7812
178,132.3675,4739.13,4981.51,336.0112
179,132.0878,4189.28,5054.71,340.2706
180,153.8353,5052.18,5266.33,342.3019
181,148.6456,4977.65,5167.94,347.9979
182,141.2757,4935.32,5066.14,344.7628
183,148.9328,4934.53,5234.11,349.7617
184,137.2452,4600.2,4738.67,337.4835
185,169.4729,4510.95,4948.98,353.2551
186,143.608,4250.17,2963.74,340.9209
187,141.7251,4384.32,4987.9,338.5525
188,156.1475,4813.14,4684.77,340.8228
189,141.3769,4714.11,5059.03,339.3986
190,146.38,4199.12,3881.61,345.2993
191,153.5829,4761.49,5020.29,341.0476
192,139.8256,5017.14,5029.1,342.5743
193,135.5243,4717.16,5006.95,344.3698
194,153.5857,4590.42,5208.89,347.3247
195,138.4626,4826.46,5004.43,344.4046
196,151.0898,4888.92,5178.34,343.9865
197,150.4051,4927.21,5211.08,347.8504
198,144.5951,4886.57,5176.86,340.629
199,141.98,4108.41,4059.03,340.9965
200,150.3481,4523.67,4551.21,340.8918
201,135.9882,5018.91,3408.03,333.515
202,149.6582,5095.02,5184.02,338.8783
203,142.9723,5031.8,4528.43,338.2631
204,150.6346,4932.05,4526.54,336.5369
205,154.9363,5098.93,5221.83,337.4465
206,161.8081,4857.63,4447.99,341.0618
207,151.8846,4607.15,5016.98,344.2298
208,166.4206,4619.03,5243.08,349.4599
209,147.8263,4720.61,4716.98,343.438
210,157.4084,5113.54,5250.96,344.8625
211,162.248,4260.49,5213.79,352.9293
212,160.0411,5019.21,5136.49,347.1167
213,168.3981,4889.4,5204.57,343.2173
214,149.812,4885.1,5119.77,339.9603
215,182.6714,4045.47,4997.34,341.8187
216,156.7667,5063.15,4696.12,342.3271
217,147.7651,4200.37,2864.46,332.0467
218,145.4559,4375.26,4856.99,330.77
219,167.269,4442.4,5188.01,349.1474
220,162.9125,3721.28,1992.01,319.4022
221,204.2574,3665.07,3253.55,345.7031
222,158.0176,4474.57,4959.19,333.8361
223,139.6397,4355.33,3186.43,333.4615
224,142.535,4139.11,4626.87,334.5344
225,138.0982,4141.91,2594.62,332.6496
226,163.3084,3572.57,2679.54,338.6907
227,184.2414,3230.77,1964.2,340.5769
228,239.2813,3152.82,1150.55,350.6089
229,173.4282,4180.67,2779.91,340.8307
230,177.9011,3877.38,1809.17,336.4834
231,157.0247,3638.29,3096.9,329.0862
232,201.8622,3981.14,5186.05,350.5029
233,220.4806,2534.05,3223.87,355.7003
234,240.37,3079.13,1803.82,356.8657
235,146.8507,4191.01,5072.04,336.9687
236,157.6083,3870.38,3123.25,345.2708
237,143.6223,3525.23,4461.45,337.5405
238,199.6932,2968.47,1049.13,348.3832
239,195.9698,3810.33,4684.98,352.2774
240,151.4979,3702.55,3795.85,345.8611
241,186.1841,2704.84,1365.32,350.6233
242,228.5089,2613.63,1491.9,357.6958
243,188.7028,3459.76,1790.18,354.2105
244,153.3876,4576.61,3773.59,344.4259
245,156.7464,5099.01,5199.94,351.5139
246,151.2169,4772.87,2786.62,343.0065
247,145.4114,4846.63,4592.88,345.276
248,154.0506,3938.0,4717.01,336.8467
249,145.7619,4504.56,4426.34,339.3733
250,159.3057,4463.82,5000.45,353.9692
251,162.7767,4717.48,4976.73,341.2562
252,141.7518,5075.87,5268.26,337.3322
253,141.2967,4992.83,5260.82,333.7814
254,157.0524,3741.96,4822.28,342.6916
255,156.3042,5004.27,4772.83,344.7878
256,149.4969,4583.1,5134.0,342.2017
257,151.7323,4899.7,5215.57,341.6774
258,147.9978,4497.58,5172.51,337.0256
259,148.189,4396.53,5249.87,337.791
260,153.6602,4492.45,5006.39,337.4088
261,154.0046,3959.28,5184.43,340.0336
262,136.3992,4673.76,5202.13,333.6569
263,162.5802,4613.78,5083.24,342.3856
264,241.4334,3607.33,4144.73,352.4346
265,143.1962,4571.28,5245.24,333.1417
266,149.5047,4066.88,4673.97,334.8108
267,132.384,5036.51,5234.29,329.0389
268,148.4044,4420.71,5192.99,345.5758
269,149.1395,5094.38,5215.38,342.1948
270,162.8319,3671.49,4994.11,336.4938
271,133.184,4862.9,4932.49,330.327
272,156.1975,3780.16,5218.21,352.7321
273,154.1076,4840.77,5216.71,345.1674
274,155.9462,4159.35,5208.26,344.1409
275,150.5937,5091.57,2951.61,340.5318
276,156.8175,4055.82,5051.88,346.6833
277,137.4929,4877.21,4231.93,332.883
278,157.8767,5145.35,5285.85,340.9833
279,128.1465,4557.04,5112.73,326.6293
280,153.1595,4811.6,5026.38,341.4209
281,159.4103,4635.48,5276.53,337.9399
282,156.3123,5078.29,5319.34,342.6665
283,156.368,5058.0,5160.64,349.6699
284,158.311,4869.65,3272.78,335.2311
285,145.5363,4626.84,5231.69,334.3356
286,149.5185,4827.74,5239.31,339.2752
287,158.2989,5061.82,5206.43,336.8132
288,148.9119,4110.49,5266.26,328.7765
289,163.1775,4600.75,5192.01,341.708
290,139.836,4115.96,5249.31,334.4133
291,198.5091,2736.55,2112.77,348.5274
292,168.0457,3956.81,4493.32,349.0324
293,157.6339,4086.08,4895.13,337.3377
294,169.9155,4584.53,4895.89,342.153
295,153.2919,4930.94,5136.56,339.2241
296,141.1851,4717.64,4145.29,322.6094
297,147.2,3840.46,3209.55,324.6938
298,154.0884,4839.66,4715.91,334.9454
299,148.615,3957.82,4771.88,333.1029
300,157.5835,3636.89,4989.17,334.3374
301,144.8336,3453.2,3748.58,325.3093
302,162.2788,3130.81,2067.38,320.5966
303,154.9043,3089.34,3159.12,320.8647
304,182.7982,2960.56,2869.7,339.4208
305,159.751,4666.59,4005.96,341.0387
306,164.0329,2749.57,2681.2,326.4092
307,173.2195,4854.0,3497.39,362.6424
308,170.4439,4566.87,3532.4,362.6622
309,175.2011,3743.65,3849.68,360.3055
310,153.482,4590.0,4007.45,350.1493
311,160.6526,5012.9,4319.6,354.8752
312,159.8322,4657.2,4690.43,349.7748
313,144.388,4550.46,4840.87,346.9767
314,151.1274,5001.75,5089.86,351.5533
315,155.7051,4087.21,1924.5,347.3724
316,153.2908,4896.51,4516.85,344.8254
317,159.8714,4721.55,4793.84,356.1736
318,160.9434,4566.49,5057.11,348.5191
319,171.5427,4627.45,5139.06,351.7576
320,173.2409,4763.7,4434.71,356.9825
321,158.1418,4091.77,3948.52,345.5629
322,173.6683,4351.53,4527.07,356.8222
323,198.4449,3799.34,4461.91,367.7939
324,165.0415,4487.65,4704.81,357.618
325,198.1193,3190.87,2596.55,361.2038
326,180.6769,3620.75,4917.53,365.3253
327,168.053,4856.73,4585.71,352.4532
328,156.6531,4395.44,5101.13,348.7627
329,165.3598,4215.62,3721.67,356.4764
330,177.3341,4858.92,4805.5,359.1366
331,180.6721,5045.36,4209.61,358.2139
332,161.2081,4671.45,3949.2,352.7889
333,157.6028,4383.1,4511.85,354.5332
334,167.562,4791.79,5145.48,353.8357
335,168.8351,4531.63,4412.04,356.1949
336,162.3865,4617.5,4672.82,352.8333
337,160.4628,4157.38,4275.45,350.8714
338,175.5178,2246.51,3366.11,358.2292
339,185.7588,3812.26,4161.04,353.2098
340,175.1596,3905.79,2425.0,352.1667
341,212.8808,1662.61,1242.45,362.5979
342,195.2223,2197.84,1952.03,357.6562
