Running Reverse KL,Itration,Real Det Return,Running Forward KL,Real Sto Return,Running Env Steps,Running Update Time,Reward Loss
47.3344,121,3470.12,20.2676,1638.25,605000,121,-2967.8154296875
28.7335,122,3519.85,19.2941,2081.38,610000,122,-2364.9462890625
13.4026,123,3487.31,19.0903,2277.88,615000,123,-1478.84765625
34.0055,124,3429.57,20.638,2253.68,620000,124,-2683.44677734375
22.6005,125,3423.18,19.8149,2404.07,625000,125,-2434.757568359375
36.6592,126,3457.13,20.4352,1950.61,630000,126,-3577.895751953125
44.0078,127,3280.09,20.4966,1780.81,635000,127,-3487.06689453125
41.7578,128,3481.55,20.3252,2402.05,640000,128,-2926.635498046875
29.637,129,3589.0,21.687,1857.23,645000,129,-3747.552490234375
27.7384,130,3481.07,20.7911,2217.63,650000,130,-3701.296142578125
53.582,131,60.67,21.7369,1399.37,655000,131,-4019.082275390625
30.3476,132,3459.76,21.0951,1907.1,660000,132,-3254.029541015625
20.3007,133,3335.35,20.1781,1338.19,665000,133,-3137.016357421875
33.1563,134,3255.89,20.8738,1882.12,670000,134,-3907.51025390625
22.3312,135,2988.44,20.2129,2167.35,675000,135,-2937.245361328125
37.7502,136,2492.71,22.0481,1566.74,680000,136,-4569.55029296875
37.2839,137,2789.92,22.0248,1474.84,685000,137,-4616.89208984375
39.3535,138,2446.92,22.1262,1750.91,690000,138,-4125.92919921875
43.0019,139,1054.03,23.43,1266.58,695000,139,-5189.52001953125
31.7488,140,1349.09,20.6555,1508.94,700000,140,-4432.89599609375
27.7764,141,3497.84,20.107,1512.75,705000,141,-2874.107421875
46.647,142,1375.71,23.0235,1191.38,710000,142,-5176.15966796875
41.7093,143,3503.4,20.9043,1746.04,715000,143,-4163.732421875
51.6059,144,3051.36,22.5884,1103.67,720000,144,-4792.03173828125
43.4702,145,1782.25,24.2335,2011.66,725000,145,-4986.49658203125
23.559,146,3538.87,20.1169,1821.83,730000,146,-3381.97314453125
45.299,147,1739.65,22.672,1344.7,735000,147,-4799.18603515625
55.7032,148,3371.18,21.7147,1738.0,740000,148,-4586.330078125
47.2293,149,1302.91,22.0737,1510.79,745000,149,-5207.82421875
