Real Det Return,Itration,Running Update Time,Running Env Steps,Running Reverse KL,Real Sto Return,Reward Loss,Running Forward KL
3030.52,52,52,260000,22.1856,2783.66,-252.52220153808594,30.5187
2942.93,53,53,265000,17.2951,2859.37,-59.711544036865234,30.7657
2885.32,54,54,270000,14.8535,2762.34,-114.80742645263672,29.6785
3013.59,55,55,275000,14.5956,2925.11,-87.59188842773438,29.0322
3093.06,56,56,280000,17.0518,2294.66,-258.02301025390625,30.3387
3119.69,57,57,285000,17.1612,3013.94,-123.06388854980469,29.7859
3145.49,58,58,290000,19.2545,2101.64,-237.6907501220703,29.9247
2932.01,59,59,295000,19.4033,2543.45,-222.43890380859375,30.3171
3029.39,60,60,300000,15.6497,2693.22,-90.6774673461914,29.9478
3025.07,61,61,305000,16.4609,3027.82,-83.95504760742188,30.2907
3041.55,62,62,310000,15.968,2875.32,-72.61782836914062,29.3989
3076.28,63,63,315000,17.2706,2647.12,-190.7887725830078,30.364
3064.48,64,64,320000,15.9486,3010.75,-67.73394012451172,29.5646
3170.75,65,65,325000,16.6419,3136.61,-67.67195129394531,29.2371
3129.35,66,66,330000,15.2465,3015.77,-67.64299011230469,28.5366
3136.52,67,67,335000,16.6432,3035.56,-84.82840728759766,29.2601
3209.76,68,68,340000,17.9331,3005.15,-84.99580383300781,30.4972
3190.78,69,69,345000,16.9743,3074.47,-82.27371978759766,29.758
3152.59,70,70,350000,17.2971,3068.16,-85.52247619628906,29.6814
3070.63,71,71,355000,16.6836,3093.63,-102.16692352294922,29.8821
3153.81,72,72,360000,16.8088,3041.2,-111.46891021728516,29.8143
3208.28,73,73,365000,15.4175,2925.89,-120.11251068115234,28.851
3147.42,74,74,370000,15.6034,3028.75,-124.6201400756836,28.5447
3209.11,75,75,375000,19.5661,2920.81,-114.94111633300781,28.9419
3246.36,76,76,380000,23.9203,2272.5,-258.74029541015625,29.1563
3282.47,77,77,385000,17.6227,2595.79,-175.1307830810547,28.5964
3274.82,78,78,390000,21.9305,2665.97,-194.7792205810547,28.9767
3217.21,79,79,395000,21.4897,1933.63,-293.47149658203125,29.1019
3272.21,80,80,400000,17.6489,2066.41,-265.18804931640625,29.1199
3199.41,81,81,405000,16.7238,2914.86,-135.22238159179688,27.8223
3221.89,82,82,410000,23.0612,2029.35,-327.3744201660156,29.4486
3243.01,83,83,415000,18.7799,2451.7,-246.9644012451172,28.1969
3250.1,84,84,420000,21.3394,1512.21,-372.8336181640625,28.9501
3197.22,85,85,425000,13.726,3176.9,-107.65653991699219,27.5228
3186.08,86,86,430000,15.0095,2893.16,-167.6328125,28.0988
3239.77,87,87,435000,16.9384,3248.28,-148.8002166748047,27.0564
3272.36,88,88,440000,18.4136,2960.22,-182.9156036376953,28.0502
3250.48,89,89,445000,13.617,3114.24,-102.71739959716797,26.6936
3222.24,90,90,450000,16.9648,2906.13,-167.2838897705078,28.4862
3298.04,91,91,455000,14.0925,3119.77,-84.94430541992188,27.2493
1635.75,92,92,460000,21.7836,1176.31,-433.9913635253906,29.0491
3278.99,93,93,465000,18.098,2573.79,-276.103271484375,26.5323
3252.51,94,94,470000,13.6793,3248.81,-137.77438354492188,27.0051
3225.23,95,95,475000,13.4733,3225.03,-98.42610168457031,26.6237
1113.19,96,96,480000,20.1219,1119.1,-482.8853759765625,29.1782
3245.29,97,97,485000,15.9107,2607.81,-299.4520568847656,26.9315
3279.1,98,98,490000,17.4484,2362.34,-259.72784423828125,27.0755
3272.08,99,99,495000,13.6532,2665.89,-130.2813262939453,26.2359
3272.07,100,100,500000,16.4275,2714.5,-198.86570739746094,27.5306
3281.64,101,101,505000,15.4613,2249.3,-284.6733093261719,26.2413
3245.59,102,102,510000,20.2493,2049.97,-320.34661865234375,27.5539
3226.63,103,103,515000,25.1716,2230.46,-266.1126403808594,26.367
1107.98,104,104,520000,41.4886,1405.13,-436.85626220703125,27.8924
3215.49,105,105,525000,13.4768,2945.31,-150.8823699951172,25.9124
3220.08,106,106,530000,19.0351,1757.17,-456.0793151855469,27.6962
1470.22,107,107,535000,17.3355,1341.32,-388.5856628417969,27.296
3271.36,108,108,540000,16.6911,2326.24,-314.2427062988281,27.1417
1267.56,109,109,545000,16.8573,1159.49,-519.1826782226562,28.9064
3297.17,110,110,550000,16.2832,2294.97,-358.83929443359375,26.6048
3190.07,111,111,555000,13.9445,2926.54,-264.00323486328125,26.5782
3282.27,112,112,560000,17.4617,2200.12,-345.79022216796875,26.8452
3292.64,113,113,565000,20.685,2519.65,-407.2872009277344,27.0667
3267.69,114,114,570000,13.353,2695.21,-189.8137969970703,26.3537
3284.12,115,115,575000,20.8407,2690.38,-239.9628448486328,26.7463
1010.44,116,116,580000,20.0004,1064.95,-597.4808959960938,29.6138
3331.92,117,117,585000,20.6536,2205.33,-355.5242919921875,26.8836
3335.85,118,118,590000,19.7532,1750.6,-503.5050964355469,27.4197
3292.21,119,119,595000,14.9404,2432.2,-264.3509216308594,26.6542
3326.93,120,120,600000,18.5235,1527.72,-469.3218994140625,28.054
3311.44,121,121,605000,19.9304,2275.71,-498.36083984375,26.9023
3339.29,122,122,610000,19.9789,1700.53,-639.4940185546875,29.599
3335.07,123,123,615000,16.3886,1443.06,-447.58074951171875,27.3292
3326.85,124,124,620000,15.5467,2274.79,-356.68927001953125,26.0934
3305.42,125,125,625000,13.2475,2910.47,-187.51394653320312,26.4597
3395.53,126,126,630000,13.3062,3038.67,-174.7535400390625,25.0928
3312.23,127,127,635000,13.2096,2256.85,-249.5196990966797,26.1437
3293.28,128,128,640000,14.4324,2898.62,-200.87789916992188,25.4493
3338.44,129,129,645000,14.1553,3063.48,-195.9298858642578,26.1291
3334.14,130,130,650000,15.1526,3204.47,-195.54835510253906,25.0711
3343.53,131,131,655000,13.2388,3244.86,-139.93650817871094,25.4473
3302.45,132,132,660000,14.2169,3290.88,-210.6151580810547,26.273
3353.09,133,133,665000,14.3125,3241.98,-151.04490661621094,25.9086
3374.71,134,134,670000,14.2903,3272.09,-124.23223114013672,25.7007
3249.67,135,135,675000,14.3504,3149.67,-175.03643798828125,26.3696
3325.71,136,136,680000,13.589,3213.51,-217.9796142578125,25.5408
3307.12,137,137,685000,14.0458,3004.94,-192.97689819335938,26.0819
3247.56,138,138,690000,14.4325,3154.85,-165.87680053710938,26.8116
3335.98,139,139,695000,13.9556,3309.02,-143.41741943359375,25.4293
3319.66,140,140,700000,12.9572,3107.27,-209.70510864257812,25.8179
3297.34,141,141,705000,13.315,976.04,-206.87628173828125,26.0939
3337.42,142,142,710000,12.5299,3225.52,-169.74658203125,25.357
3272.64,143,143,715000,13.4825,3154.56,-161.38726806640625,26.0038
3340.31,144,144,720000,14.3665,3341.36,-160.37440490722656,25.9544
3300.09,145,145,725000,13.6783,3097.85,-173.65223693847656,26.0702
3341.99,146,146,730000,14.2419,2984.07,-233.6887664794922,26.6697
3341.96,147,147,735000,13.8856,3227.21,-159.72816467285156,25.3885
3286.64,148,148,740000,13.1731,3175.45,-186.38795471191406,25.5434
3327.65,149,149,745000,12.4945,2650.73,-198.72850036621094,25.0243
3331.53,150,150,750000,13.7365,3011.87,-318.6527099609375,25.3621
3333.95,151,151,755000,13.4697,3031.3,-300.21435546875,24.9969
3364.05,152,152,760000,12.675,3036.05,-237.66940307617188,25.1965
3279.23,153,153,765000,14.0044,2310.65,-366.1082458496094,25.6386
3388.2,154,154,770000,14.7233,2941.63,-344.0896911621094,25.6374
3291.16,155,155,775000,13.0208,2836.36,-261.9891052246094,25.8293
3351.96,156,156,780000,13.8603,3282.44,-150.0426483154297,25.4182
3333.42,157,157,785000,14.0617,3100.82,-217.1307830810547,25.6732
3366.02,158,158,790000,12.7632,3243.05,-198.8668975830078,25.4804
3326.43,159,159,795000,13.5405,3208.99,-197.15255737304688,25.2505
3315.29,160,160,800000,12.9996,3320.87,-150.3272705078125,24.7854
3361.62,161,161,805000,13.393,3249.89,-192.2680206298828,25.4376
3336.17,162,162,810000,12.8085,3229.62,-171.4028778076172,24.511
3345.09,163,163,815000,14.0226,3232.84,-204.8791046142578,25.9808
3331.49,164,164,820000,13.7465,2964.48,-260.24639892578125,25.6351
3365.96,165,165,825000,14.0203,3361.52,-174.55535888671875,24.7463
3356.73,166,166,830000,12.9722,3347.49,-195.99061584472656,25.0326
3350.06,167,167,835000,15.3277,3243.88,-273.7833251953125,25.0593
3348.78,168,168,840000,11.8271,2390.24,-316.8455505371094,24.9266
3346.74,169,169,845000,12.9981,3218.85,-239.57794189453125,24.9102
3311.08,170,170,850000,12.948,3311.27,-215.88438415527344,25.4972
3378.39,171,171,855000,12.8398,3283.98,-191.75851440429688,24.8427
3366.85,172,172,860000,13.0706,3194.56,-241.37985229492188,24.7118
3337.88,173,173,865000,13.9378,3251.27,-214.8610382080078,25.63
3399.02,174,174,870000,13.3561,3327.33,-202.7341766357422,24.5902
3372.51,175,175,875000,15.6123,2974.9,-311.5833435058594,25.6975
3310.5,176,176,880000,13.3887,3217.88,-239.51023864746094,25.6259
3378.51,177,177,885000,13.9586,3373.89,-304.4751892089844,25.6097
3416.6,178,178,890000,13.3573,3000.62,-196.09886169433594,24.758
3400.44,179,179,895000,11.1266,2862.49,-217.28872680664062,23.3519
3405.37,180,180,900000,12.6897,3067.4,-311.6084899902344,24.9047
3351.28,181,181,905000,12.6274,3266.84,-247.94119262695312,24.8313
3360.68,182,182,910000,12.2826,3275.75,-250.78732299804688,24.6793
3338.69,183,183,915000,13.0667,3174.06,-235.45230102539062,24.9998
3379.97,184,184,920000,13.0786,3269.89,-248.5486297607422,24.885
3370.06,185,185,925000,12.844,3321.95,-264.9961242675781,25.4097
3404.28,186,186,930000,13.0266,3242.52,-232.78176879882812,25.8322
3356.13,187,187,935000,13.6081,3347.12,-211.6649169921875,25.3044
3364.41,188,188,940000,13.4708,3266.32,-238.6723175048828,25.2021
3363.72,189,189,945000,11.8824,3339.28,-226.4844207763672,24.3857
3379.69,190,190,950000,13.0609,3208.06,-228.74951171875,25.4771
3361.91,191,191,955000,13.5313,3254.92,-240.91786193847656,25.1435
3396.94,192,192,960000,12.5503,3283.81,-246.14608764648438,25.5416
3296.83,193,193,965000,13.2442,3312.92,-282.9556579589844,25.7988
3307.83,194,194,970000,13.6662,2898.02,-350.5075988769531,26.4888
3393.41,195,195,975000,13.6803,3310.76,-244.90505981445312,25.4296
3398.52,196,196,980000,14.5628,3263.33,-248.4388427734375,25.6375
3379.94,197,197,985000,13.5499,3259.14,-228.47425842285156,25.2899
3376.99,198,198,990000,12.7425,3373.35,-258.6495361328125,24.9395
3380.94,199,199,995000,13.0064,3203.34,-258.7444763183594,25.6162
