Real Sto Return,Itration,Real Det Return,Running Forward KL,Running Reverse KL
4709.28,320,4863.78,34.7908,11.8872
4776.45,321,4907.24,34.4184,11.927
4741.04,322,4905.93,34.6894,11.9377
4791.85,323,4986.76,34.4067,12.2573
4785.88,324,4944.19,34.136,12.2099
4783.21,325,4966.42,34.5264,12.0881
4763.22,326,4936.55,34.5585,11.547
4797.75,327,4976.5,34.6418,11.6377
4804.83,328,4975.22,33.802,12.1663
4841.55,329,4980.25,33.5577,11.8
4849.67,330,4972.03,33.6845,11.6388
4866.69,331,5070.88,33.4876,12.3592
4882.99,332,5027.21,33.2139,12.0475
4899.65,333,5072.19,33.9043,12.352
4911.95,334,5046.47,32.9907,12.0582
4914.92,335,5092.42,33.2702,12.242
4976.9,336,5104.33,33.1583,12.7006
4926.54,337,5101.78,33.2583,12.3902
530.83,338,680.18,41.3842,36.5559
4293.57,339,4353.55,38.9179,16.2236
3401.56,340,4422.48,39.3336,21.4001
4613.99,341,4856.87,34.244,14.2882
4811.7,342,4937.54,33.6785,15.5676
4784.48,343,4934.59,33.9581,13.9483
4799.09,344,4924.63,33.219,14.251
4847.42,345,5031.48,32.2843,12.4426
4867.15,346,5047.73,32.6518,12.3279
4953.37,347,5102.15,33.53,13.9833
4936.35,348,5131.89,32.9624,12.8543
4908.56,349,5130.27,32.4378,12.8741
4962.53,350,5219.75,32.4459,12.5974
4881.94,351,5101.72,32.5602,12.1123
4878.84,352,5112.59,33.0548,12.9352
4842.76,353,5060.81,33.1249,12.1731
4846.03,354,5045.37,32.9232,12.2001
4828.21,355,5050.0,32.744,12.1045
4875.25,356,5086.75,32.4163,11.4152
4836.37,357,5080.29,33.0229,12.1227
4819.85,358,5035.71,33.0129,11.698
4909.38,359,5125.64,32.5565,11.9828
4912.67,360,5093.44,32.8422,12.2799
4905.76,361,5100.65,33.0122,12.1462
4913.3,362,5140.35,33.0779,11.987
4922.98,363,5111.21,33.1624,12.3841
4952.77,364,5158.84,32.4345,12.1889
4938.68,365,5140.91,33.5561,12.6609
4985.78,366,5177.65,32.8918,12.2937
4992.62,367,5210.44,32.6651,12.2099
4960.31,368,5161.9,33.2583,12.2079
4923.63,369,5125.24,32.883,11.94
4967.14,370,5179.81,33.2355,12.3279
5014.41,371,5244.67,32.4881,12.7209
4965.38,372,5234.81,32.9774,13.3809
5006.6,373,5153.47,32.6451,13.3218
4990.99,374,5174.69,32.5925,12.5819
4979.75,375,5157.64,32.6891,12.4725
4988.94,376,5198.18,32.2082,13.1592
