Running Update Time,Real Det Return,Running Reverse KL,Running Forward KL,Real Sto Return,Reward Loss,Itration,Running Env Steps
42,4059.2,14.0828,40.1699,3729.56,-1062.0416259765625,42,210000
43,3906.81,14.6024,40.5302,3838.36,-1099.1798095703125,43,215000
44,3935.11,14.758,40.2353,3814.35,-1127.4393310546875,44,220000
45,3845.44,12.5015,39.4154,3802.21,-1164.1802978515625,45,225000
46,4008.4,12.0927,39.6668,3666.5,-1472.1248779296875,46,230000
47,4146.14,14.4343,39.4834,4053.24,-1202.3011474609375,47,235000
48,3735.48,13.5282,40.4497,3807.62,-1435.97216796875,48,240000
49,4157.29,13.1212,37.3897,4048.98,-1097.78662109375,49,245000
50,4185.25,14.1116,38.9902,4004.28,-1128.69189453125,50,250000
51,4000.38,13.4138,39.123,4042.89,-1191.2882080078125,51,255000
52,3974.41,13.3367,39.18,3998.04,-1246.5452880859375,52,260000
53,4088.14,13.2554,38.5491,4028.14,-1253.8997802734375,53,265000
54,4318.62,12.9553,38.1396,4087.51,-1277.3983154296875,54,270000
55,4184.96,13.4716,38.0185,4138.16,-1484.359375,55,275000
56,3861.34,12.6097,38.4553,3773.08,-1480.84912109375,56,280000
57,4114.65,14.8407,39.1694,4110.96,-1215.8511962890625,57,285000
58,3862.17,13.668,38.6123,4050.81,-1269.9971923828125,58,290000
59,4114.49,14.699,38.4998,4159.53,-1240.0587158203125,59,295000
60,4297.62,13.3331,37.2703,4083.04,-1221.540283203125,60,300000
61,4214.95,13.3047,37.6145,4091.14,-1292.2872314453125,61,305000
62,4217.27,13.0117,36.021,4277.87,-1144.2706298828125,62,310000
63,4140.66,16.177,40.0289,4151.75,-1409.09521484375,63,315000
64,4141.71,12.6576,37.7819,4177.28,-1319.947265625,64,320000
65,4221.35,12.4831,37.3148,3826.86,-1281.953125,65,325000
66,4273.28,13.0487,37.5225,4182.67,-1377.661865234375,66,330000
67,4300.81,12.1081,36.3168,4171.98,-1286.29296875,67,335000
68,4322.2,13.1182,37.0862,4244.33,-1394.75048828125,68,340000
69,4493.11,12.8181,35.7027,4324.32,-1210.036376953125,69,345000
70,4130.89,12.2395,36.4782,4154.27,-1291.8258056640625,70,350000
71,4263.8,12.962,36.5172,4263.8,-1329.043212890625,71,355000
72,4432.74,11.992,36.0658,4204.68,-1251.5364990234375,72,360000
73,4350.37,11.9552,36.5478,4160.36,-1394.9686279296875,73,365000
74,4453.98,12.482,35.1958,4353.66,-1322.0015869140625,74,370000
75,4405.7,13.4443,36.5252,4241.25,-1398.4688720703125,75,375000
76,4405.28,12.2672,35.5904,4345.6,-1374.814453125,76,380000
77,4488.72,12.5255,34.8618,4328.51,-1335.2618408203125,77,385000
78,4436.72,13.5339,36.3931,4270.6,-1484.2547607421875,78,390000
79,4503.45,12.8821,36.2729,4369.09,-1526.0458984375,79,395000
80,4373.97,12.3005,36.021,4223.21,-1491.8687744140625,80,400000
81,4330.22,12.5637,36.005,4249.54,-1492.3338623046875,81,405000
82,4518.59,11.3218,34.9139,4398.88,-1358.4737548828125,82,410000
83,4503.48,12.2582,34.89,4413.57,-1384.5595703125,83,415000
84,4465.42,13.6483,36.489,4366.14,-1579.318115234375,84,420000
85,4549.04,12.999,35.4261,4439.41,-1519.16259765625,85,425000
86,4520.72,12.983,36.0981,4313.12,-1567.7298583984375,86,430000
87,4428.69,12.5358,35.502,4346.32,-1473.592529296875,87,435000
88,4440.32,11.8414,35.1251,4423.19,-1486.14892578125,88,440000
89,4602.17,11.6156,34.3209,4466.69,-1428.608642578125,89,445000
90,4553.05,11.4239,35.0854,4472.31,-1465.9285888671875,90,450000
91,4531.17,12.388,35.3034,4453.99,-1585.0400390625,91,455000
92,4592.55,14.4934,37.0556,4494.26,-1668.3214111328125,92,460000
93,4501.85,11.3083,33.6877,4444.08,-1434.154296875,93,465000
94,4523.52,12.4301,35.1607,4470.74,-1532.6837158203125,94,470000
95,4510.48,11.8231,34.8464,4408.18,-1569.8056640625,95,475000
96,4507.55,12.0983,34.6892,4471.28,-1439.5333251953125,96,480000
97,4517.39,12.9489,35.4706,4524.91,-1594.135009765625,97,485000
98,4504.86,11.9977,35.284,4390.15,-1622.03369140625,98,490000
99,4676.1,12.7703,35.2162,4365.17,-1609.72705078125,99,495000
100,4644.91,11.965,34.0754,4584.15,-1562.803955078125,100,500000
101,4590.59,11.7804,34.7559,4483.76,-1619.5830078125,101,505000
102,4661.8,11.7197,33.976,4588.15,-1540.537353515625,102,510000
103,4596.08,10.8077,34.2694,4517.08,-1491.5008544921875,103,515000
104,4632.74,11.3371,32.7856,4584.09,-1416.050048828125,104,520000
105,4665.96,12.4487,34.6165,4607.59,-1584.9678955078125,105,525000
106,4659.56,10.7404,34.0596,4412.36,-1572.291015625,106,530000
107,4663.98,12.229,36.0538,4504.63,-1803.987548828125,107,535000
108,4621.63,12.5502,35.2671,4498.63,-1837.87451171875,108,540000
109,4545.08,11.3275,34.8914,4453.19,-1664.5618896484375,109,545000
110,4655.5,13.3555,35.3294,4536.94,-1857.231689453125,110,550000
111,4599.9,11.6565,34.6349,4535.76,-1594.301025390625,111,555000
112,4620.19,11.5318,33.6655,4559.82,-1589.26025390625,112,560000
113,4732.4,13.1358,34.6536,4624.03,-1888.082763671875,113,565000
114,4789.82,13.4114,34.5812,4622.29,-1730.419677734375,114,570000
115,4680.01,11.2109,33.0927,4510.75,-1794.931640625,115,575000
116,4696.45,12.0166,32.9553,4672.03,-1577.2205810546875,116,580000
117,4655.33,13.2496,35.3539,4602.44,-1897.2738037109375,117,585000
118,4535.11,10.9197,33.5831,4540.44,-1636.9210205078125,118,590000
119,4718.39,11.5891,34.1468,4600.11,-1851.5391845703125,119,595000
120,4707.2,11.7303,33.7434,4612.36,-1607.9969482421875,120,600000
121,4665.59,12.3237,34.7994,4585.78,-1888.331298828125,121,605000
122,4718.98,12.556,34.3483,4637.64,-1828.536376953125,122,610000
123,4688.58,11.734,33.5899,4593.78,-1738.6148681640625,123,615000
124,4660.11,12.8599,34.5703,4569.58,-1829.1055908203125,124,620000
125,4735.44,11.9882,33.2702,4654.71,-1687.62841796875,125,625000
126,4848.93,11.4618,33.3028,4664.21,-1740.0206298828125,126,630000
127,4960.74,11.8565,32.6534,4776.78,-1788.998291015625,127,635000
128,4751.88,12.584,34.1611,4624.03,-2031.427001953125,128,640000
129,4716.46,12.3546,34.4674,4631.64,-2001.3927001953125,129,645000
130,4706.25,13.6377,35.8996,4568.08,-1925.667724609375,130,650000
131,4662.84,12.1363,34.2737,4560.1,-1884.4610595703125,131,655000
132,4724.36,13.5632,35.3731,4597.9,-2123.919921875,132,660000
133,4651.98,14.0738,35.7298,4490.87,-2222.11865234375,133,665000
134,4620.75,12.0492,34.7794,4537.0,-2214.410888671875,134,670000
135,4712.52,13.7472,35.0073,4577.61,-2156.074951171875,135,675000
136,4779.57,13.122,35.3654,4623.38,-2154.173583984375,136,680000
137,4618.78,13.4331,35.6633,4461.65,-2253.50927734375,137,685000
138,4595.18,13.1053,35.7469,4571.46,-2172.97265625,138,690000
139,4887.84,12.284,33.4026,4778.94,-1966.639404296875,139,695000
140,4866.78,13.0281,33.8105,4729.13,-2124.07373046875,140,700000
141,4939.84,11.9079,32.4043,4799.63,-1916.8460693359375,141,705000
142,4889.72,11.4459,32.6735,4742.18,-1990.2362060546875,142,710000
143,4681.72,12.9966,35.2915,4635.13,-2465.978759765625,143,715000
144,4903.15,12.6756,33.5192,4762.64,-2149.10546875,144,720000
145,4799.62,13.7087,36.7202,4486.6,-2515.06298828125,145,725000
146,4853.48,11.6931,32.7923,4859.66,-1902.23388671875,146,730000
147,4666.45,11.989,34.3263,4574.27,-2136.03515625,147,735000
148,4890.5,14.0502,35.4262,4661.79,-2489.06201171875,148,740000
149,5127.09,12.1258,33.6676,4825.78,-2208.582275390625,149,745000
150,4848.63,11.6323,33.2726,4709.3,-2146.968505859375,150,750000
151,4697.29,13.0068,34.0574,4718.98,-2265.466796875,151,755000
152,4987.3,12.4144,34.4682,4656.38,-2358.585693359375,152,760000
153,5121.84,11.0055,32.8549,4790.63,-2024.296875,153,765000
154,4894.65,13.3669,34.916,4737.15,-2364.270751953125,154,770000
155,4971.64,12.1957,34.2554,4775.64,-2367.1064453125,155,775000
156,4990.47,12.4456,33.7639,4714.46,-2282.47265625,156,780000
157,4793.74,11.7634,34.1969,4654.69,-2271.62451171875,157,785000
158,4932.48,12.2615,32.549,4811.85,-2199.93603515625,158,790000
159,4994.27,12.37,35.1441,4703.59,-2432.6650390625,159,795000
160,4827.57,12.4176,34.8645,4454.0,-2296.73681640625,160,800000
161,5055.8,11.9042,33.4508,4848.55,-2227.0439453125,161,805000
162,4994.83,11.2908,33.3418,4840.17,-2234.234130859375,162,810000
163,4801.01,11.8999,33.6352,4816.92,-2304.412109375,163,815000
164,4999.78,11.0798,33.5884,4664.47,-2610.8818359375,164,820000
165,5015.04,11.933,33.9437,4863.92,-2261.2236328125,165,825000
166,4998.93,12.9985,34.6499,4775.99,-2529.7236328125,166,830000
167,4988.87,12.7055,34.3179,4617.15,-2658.6982421875,167,835000
168,5006.82,12.3716,32.9282,4894.31,-2254.182861328125,168,840000
169,4982.19,12.3353,33.9609,4828.66,-2446.533203125,169,845000
170,5115.36,10.8031,32.4095,4849.35,-2254.673583984375,170,850000
171,5138.38,12.1035,32.4357,4952.1,-2302.480224609375,171,855000
172,4908.24,12.4552,35.1066,4685.1,-3042.80615234375,172,860000
173,5225.28,11.4183,31.7663,4724.89,-2234.83154296875,173,865000
174,5106.44,12.7975,33.6503,4664.6,-2545.1337890625,174,870000
175,5087.49,11.8018,32.6829,4863.27,-2256.69189453125,175,875000
176,5139.93,12.0496,33.3856,4877.54,-2461.0380859375,176,880000
177,5186.32,12.3139,33.302,4671.18,-2256.746826171875,177,885000
178,5077.88,11.5177,33.6526,4911.21,-2550.841552734375,178,890000
179,4979.56,11.774,34.3478,4847.16,-2562.46240234375,179,895000
180,5140.37,11.7479,32.6157,4841.23,-2447.68359375,180,900000
181,5232.04,12.0982,32.2682,4969.54,-2447.140380859375,181,905000
182,5138.98,11.8368,32.1351,4917.5,-2299.2568359375,182,910000
183,5108.68,11.4169,31.2085,4980.3,-2086.135498046875,183,915000
184,5077.47,11.4186,32.4412,4367.39,-2602.22900390625,184,920000
185,5255.98,11.2432,32.1172,4789.03,-2353.83837890625,185,925000
186,5177.55,11.2973,32.0239,4903.73,-2413.108154296875,186,930000
187,5059.1,11.8104,32.5547,4864.58,-2603.56787109375,187,935000
188,5104.71,11.7021,33.0464,4726.2,-2678.560302734375,188,940000
189,5067.45,11.0348,32.539,4906.71,-2309.08740234375,189,945000
190,5110.82,11.8676,31.9153,4980.1,-2244.26708984375,190,950000
191,5156.95,12.2465,33.031,4689.96,-2674.450439453125,191,955000
192,5058.12,11.8054,32.1594,4944.2,-2251.174072265625,192,960000
193,5026.33,12.1917,33.2549,4633.03,-2762.924560546875,193,965000
194,5078.19,11.1751,32.8516,4923.04,-2584.4931640625,194,970000
195,5154.53,12.3696,33.1178,4959.21,-2605.486083984375,195,975000
196,5094.44,11.7976,32.1317,4993.95,-2364.14453125,196,980000
197,5178.99,11.642,31.3183,4795.43,-2188.70361328125,197,985000
198,5156.55,11.8842,32.561,4898.53,-2744.28076171875,198,990000
199,5228.41,11.2833,31.807,4950.78,-2544.720947265625,199,995000
200,5345.08,12.0104,31.988,5064.0,-2514.590576171875,200,1000000
201,5297.24,11.4954,30.9216,5057.55,-2190.471923828125,201,1005000
202,5376.96,12.1183,31.1591,4913.45,-2226.033203125,202,1010000
203,5276.12,11.4494,31.1505,5016.46,-2382.12255859375,203,1015000
204,5290.4,11.7031,30.5863,5111.08,-2192.314453125,204,1020000
205,5299.12,11.3225,30.777,5049.19,-2167.144775390625,205,1025000
206,5360.11,11.3066,30.7831,5069.75,-2287.9033203125,206,1030000
207,5384.41,11.0437,30.0701,5099.66,-2273.9248046875,207,1035000
208,5344.08,11.2528,30.3007,5093.11,-2281.7197265625,208,1040000
209,5331.39,11.626,30.1628,5159.04,-2288.382080078125,209,1045000
210,5415.11,11.6599,30.4075,5200.94,-2282.089599609375,210,1050000
211,5338.29,12.0147,31.2885,5058.18,-2742.3203125,211,1055000
212,5334.66,11.2942,30.8687,5109.85,-2615.54052734375,212,1060000
213,5407.77,11.0255,29.6801,5087.0,-2093.4765625,213,1065000
214,5395.26,11.1265,31.481,5061.59,-2636.025634765625,214,1070000
215,5351.25,11.2646,31.3099,5105.79,-2385.58837890625,215,1075000
216,5560.95,11.8415,30.1729,4718.54,-2033.5179443359375,216,1080000
217,5521.5,11.5065,30.6587,4944.48,-2232.738525390625,217,1085000
218,5531.09,11.3892,31.8066,4979.72,-2830.094482421875,218,1090000
219,5314.47,12.1878,31.3288,5122.6,-2526.624267578125,219,1095000
220,5499.7,11.2146,30.7735,5051.17,-2291.953369140625,220,1100000
221,5513.87,11.0133,30.9607,5078.9,-2369.266357421875,221,1105000
222,5494.78,11.6273,31.6403,5143.22,-2576.56396484375,222,1110000
223,5366.28,11.5853,31.7865,4910.34,-2652.35107421875,223,1115000
224,5434.63,11.1865,32.51,4710.98,-2935.678466796875,224,1120000
225,5243.71,11.6419,32.5191,5054.26,-2859.761474609375,225,1125000
226,5262.17,11.1461,33.0225,4837.52,-3398.99462890625,226,1130000
227,5562.95,11.3247,31.9304,4727.21,-2420.322021484375,227,1135000
228,5275.53,10.9912,32.1064,5126.08,-3111.859619140625,228,1140000
229,5260.77,11.5268,32.1609,5115.13,-2758.0029296875,229,1145000
230,5482.74,11.6089,31.9726,5100.54,-2701.795654296875,230,1150000
231,5434.93,11.8413,33.1461,5086.55,-2974.805419921875,231,1155000
232,5349.43,11.4167,31.6877,4598.48,-2799.83935546875,232,1160000
233,5509.05,11.0626,33.7256,4406.66,-4481.60009765625,233,1165000
234,5460.48,11.7653,31.5923,5144.22,-2490.00048828125,234,1170000
235,5357.94,11.4521,31.9927,5140.53,-2706.469482421875,235,1175000
236,5527.38,11.2818,30.8725,4930.83,-2440.28759765625,236,1180000
237,5454.37,11.2363,31.5169,4908.15,-2768.033935546875,237,1185000
238,5321.3,11.4593,32.5292,5187.68,-2865.407958984375,238,1190000
239,5386.99,11.6993,32.4735,5007.03,-2925.34326171875,239,1195000
240,5411.52,12.1698,31.5443,5128.65,-2945.41845703125,240,1200000
241,5513.45,12.1542,32.3767,5250.61,-2669.375,241,1205000
242,5525.64,12.3858,32.4991,5226.22,-2648.247314453125,242,1210000
243,5432.57,12.054,32.4258,5158.85,-2907.814697265625,243,1215000
244,5391.67,11.5716,32.715,4949.46,-2853.5546875,244,1220000
245,5274.6,11.8439,32.2977,5105.44,-2838.199462890625,245,1225000
246,5500.05,11.623,32.3442,4811.47,-3436.267822265625,246,1230000
247,5519.33,11.6632,32.2443,4962.79,-2864.1904296875,247,1235000
248,5296.77,11.1462,32.3187,4909.6,-3729.12548828125,248,1240000
249,5460.86,11.2552,31.9147,5088.73,-3780.995361328125,249,1245000
250,5308.57,10.9819,33.2748,4951.61,-3888.706787109375,250,1250000
251,5432.44,10.6827,31.0386,5241.58,-2811.0224609375,251,1255000
252,5367.27,10.3202,31.9699,4698.71,-3396.863525390625,252,1260000
253,5517.81,11.9114,31.9007,4894.95,-3032.286865234375,253,1265000
254,5273.33,10.4809,31.5358,5048.34,-3794.648193359375,254,1270000
255,5441.94,11.1035,31.2222,5214.64,-2814.38232421875,255,1275000
256,5342.31,10.4694,31.4588,5197.14,-3457.026611328125,256,1280000
257,5533.92,12.6098,33.7318,5006.92,-3240.24267578125,257,1285000
258,5504.24,12.8908,32.3526,4506.62,-2893.831787109375,258,1290000
259,5359.9,11.707,31.6859,5068.54,-2762.1318359375,259,1295000
260,5413.52,11.9004,31.9058,5204.75,-3002.99755859375,260,1300000
261,5422.52,11.9919,32.5485,5016.16,-3855.859619140625,261,1305000
262,4101.27,11.5208,32.0745,4439.04,-3714.639892578125,262,1310000
263,5386.88,11.2899,30.736,4997.74,-2536.669677734375,263,1315000
264,5425.47,11.747,31.7681,4927.43,-3272.014892578125,264,1320000
265,5362.44,12.3445,32.464,4693.56,-3853.005859375,265,1325000
266,5400.74,11.7458,31.5769,4493.8,-3051.77001953125,266,1330000
267,5325.06,11.2166,33.3064,4296.51,-4339.2255859375,267,1335000
268,5373.48,12.0646,31.7727,4753.76,-3225.734130859375,268,1340000
269,5169.99,10.8573,31.2296,5120.22,-3151.77197265625,269,1345000
270,5283.24,12.2871,31.422,4669.71,-3455.37939453125,270,1350000
271,5214.52,11.6196,31.2299,5078.54,-3302.648193359375,271,1355000
272,5340.78,10.6311,31.4432,5036.52,-3179.694580078125,272,1360000
273,4967.29,10.6665,31.0558,5098.49,-3167.362060546875,273,1365000
274,5336.78,10.8322,31.9541,5150.64,-3259.679443359375,274,1370000
275,5171.4,10.7755,31.0007,5051.86,-3286.981201171875,275,1375000
276,5364.92,10.9685,31.1034,4723.79,-3091.761962890625,276,1380000
277,5214.12,10.0045,31.6729,4237.77,-4013.322998046875,277,1385000
278,5262.13,9.8822,31.0624,5122.19,-3640.32568359375,278,1390000
279,5304.13,10.4153,31.3777,5183.64,-3841.054931640625,279,1395000
280,5415.4,10.3851,29.6555,5220.02,-2722.591796875,280,1400000
281,5460.81,11.1422,30.0955,5137.19,-3036.844970703125,281,1405000
282,5015.81,10.7655,30.6732,5080.48,-3085.81298828125,282,1410000
283,5133.58,10.3722,30.6787,4865.7,-2993.708984375,283,1415000
284,5242.55,18.3134,31.0064,5110.48,-3476.08642578125,284,1420000
285,5432.71,10.3605,31.7912,5097.94,-3886.919921875,285,1425000
286,5395.49,12.5439,31.9604,4952.31,-3567.02587890625,286,1430000
287,5425.27,11.5169,31.8207,5195.85,-3410.8017578125,287,1435000
288,5411.5,10.9517,30.8383,5205.16,-3116.1708984375,288,1440000
289,5497.7,12.4938,31.1059,5069.03,-3407.9609375,289,1445000
290,5513.03,11.8754,33.3268,4942.53,-4880.36328125,290,1450000
291,5554.72,11.8939,32.765,5038.48,-3881.22216796875,291,1455000
292,5466.24,12.6148,32.3428,5054.56,-3754.49853515625,292,1460000
293,5176.78,12.2972,32.8216,5112.38,-4213.21044921875,293,1465000
294,5550.04,11.7818,33.3909,4740.47,-4690.3125,294,1470000
295,5500.7,12.9289,32.5346,4955.79,-4669.822265625,295,1475000
296,5495.32,12.0101,32.1813,4928.58,-3856.78564453125,296,1480000
297,5391.97,13.611,33.1577,5192.16,-3898.640869140625,297,1485000
298,5578.23,13.1821,32.3137,4794.7,-3679.015380859375,298,1490000
299,5434.59,11.8448,32.2675,4982.12,-3723.69384765625,299,1495000
300,5471.56,12.2611,31.2585,5255.5,-3447.215087890625,300,1500000
301,5453.54,12.0853,32.1026,4979.48,-3752.38671875,301,1505000
302,5392.08,12.6348,33.5995,5012.57,-3968.58447265625,302,1510000
303,5379.13,12.6004,33.8464,5003.1,-4482.54541015625,303,1515000
304,5376.77,12.3614,33.1578,5163.4,-4472.18115234375,304,1520000
305,5181.98,12.0734,33.1083,4938.98,-4294.86767578125,305,1525000
306,5323.33,11.8438,32.248,5121.2,-3900.60888671875,306,1530000
307,5340.7,11.7729,32.086,5125.77,-4155.06787109375,307,1535000
308,5459.95,12.8874,32.8081,5217.29,-3811.544189453125,308,1540000
309,5391.21,12.2584,32.8682,5120.6,-3956.640380859375,309,1545000
310,5348.82,12.3401,31.8986,5154.98,-3712.829345703125,310,1550000
311,5294.44,12.6399,32.1423,5152.4,-4106.89501953125,311,1555000
312,5037.44,11.8583,31.5002,5217.76,-3746.4560546875,312,1560000
313,5322.98,11.9003,31.4682,5206.74,-3933.632568359375,313,1565000
314,5317.62,11.109,31.6232,5160.82,-3651.7578125,314,1570000
315,5239.67,12.4484,31.3044,5245.03,-3940.735595703125,315,1575000
316,5491.34,12.2491,31.9708,5075.12,-3888.323486328125,316,1580000
317,5434.52,12.24,32.1964,5182.43,-4146.00390625,317,1585000
318,5220.83,12.845,32.1999,5208.43,-4138.99560546875,318,1590000
319,5477.87,12.6895,32.6441,4951.89,-4092.214599609375,319,1595000
320,5474.85,12.6397,33.0817,5184.61,-4429.24169921875,320,1600000
321,5356.34,13.1696,32.8779,5123.84,-4358.5810546875,321,1605000
322,5233.34,13.9479,33.4737,5167.96,-4569.79931640625,322,1610000
323,5036.59,13.5212,33.5669,5001.7,-4542.8662109375,323,1615000
324,5229.8,13.2059,33.6646,5121.58,-4379.37890625,324,1620000
325,5389.34,12.6119,33.4068,5174.43,-4529.64697265625,325,1625000
326,5232.85,13.0384,33.4201,5120.0,-4380.2783203125,326,1630000
327,5407.45,12.8241,31.9306,5280.57,-3908.747314453125,327,1635000
328,5324.3,12.2285,31.8864,5262.91,-3878.949462890625,328,1640000
329,5331.1,11.7709,31.4435,4985.12,-3770.236328125,329,1645000
330,5306.04,11.8565,31.8275,5190.54,-3846.247802734375,330,1650000
331,5297.95,12.2811,32.2189,5111.52,-3872.961669921875,331,1655000
332,5349.52,11.6941,30.9762,4971.32,-3599.5712890625,332,1660000
333,5310.99,10.8845,31.4654,5175.53,-3812.819580078125,333,1665000
334,5219.75,11.5228,31.1999,5189.63,-3680.325927734375,334,1670000
335,5342.61,11.0053,31.5152,5242.5,-3592.7548828125,335,1675000
336,5379.58,12.1643,32.5114,5232.61,-4106.03662109375,336,1680000
337,5196.7,11.6581,32.0658,5152.5,-3958.762939453125,337,1685000
338,5368.57,10.9459,31.0766,5190.1,-3625.118408203125,338,1690000
339,5258.91,11.627,30.7176,5128.83,-3660.324951171875,339,1695000
340,5281.42,11.4898,30.7305,5230.68,-3474.698974609375,340,1700000
341,5175.12,11.3647,30.7577,5140.58,-3696.91357421875,341,1705000
342,5397.33,11.4275,30.4162,5249.98,-3673.456787109375,342,1710000
343,5292.41,11.3141,31.1108,5059.33,-3552.349609375,343,1715000
344,5346.29,11.1084,30.8139,5246.9,-3688.6435546875,344,1720000
345,5298.78,10.7438,29.9675,5234.2,-3837.194091796875,345,1725000
346,5390.32,11.2537,30.595,5339.01,-3735.11376953125,346,1730000
347,5561.34,11.2099,30.993,5306.77,-3978.847412109375,347,1735000
348,5367.94,10.2045,30.8176,4967.0,-4559.71630859375,348,1740000
349,5396.98,10.999,31.7482,5214.86,-4108.70703125,349,1745000
350,5310.37,10.6793,31.3572,4935.35,-4070.013916015625,350,1750000
351,5365.44,10.9955,30.6623,5038.51,-3953.572509765625,351,1755000
352,5380.85,10.8003,31.2388,5253.94,-4194.5849609375,352,1760000
353,5386.73,11.1236,31.1232,5239.79,-4314.2470703125,353,1765000
354,5428.55,10.8589,31.0602,5006.74,-3928.608642578125,354,1770000
355,5020.15,11.201,31.0158,5269.4,-4071.830078125,355,1775000
356,5307.47,11.376,31.175,5236.34,-4143.84375,356,1780000
357,4931.84,12.9108,32.6233,4225.42,-5571.71240234375,357,1785000
358,5261.98,11.8556,31.5315,5278.98,-4304.32421875,358,1790000
359,5359.55,11.2928,31.0594,5230.22,-4538.7294921875,359,1795000
360,5287.66,11.3909,31.0146,5243.72,-4057.634033203125,360,1800000
361,617.7,94.0126,47.383,536.04,-14776.388671875,361,1805000
362,1395.55,41.3308,43.1843,1628.89,-10856.798828125,362,1810000
363,561.11,18.6123,48.4128,699.06,-11528.501953125,363,1815000
364,2010.51,36.4774,41.8887,1623.34,-11013.6162109375,364,1820000
365,3820.18,20.68,40.2551,3315.9,-9276.7216796875,365,1825000
366,2722.25,45.744,43.2978,1916.29,-10597.3974609375,366,1830000
367,1290.76,53.6686,43.6194,925.2,-11215.8779296875,367,1835000
368,460.08,57.0488,41.7549,1099.89,-11811.689453125,368,1840000
369,2963.72,25.1617,37.3556,3394.66,-9501.90234375,369,1845000
370,4326.92,15.0319,36.6052,4306.8,-7133.59619140625,370,1850000
371,4405.08,17.6651,36.5815,4323.39,-7591.74560546875,371,1855000
372,4652.94,15.4446,35.9935,4442.1,-7183.3291015625,372,1860000
373,4593.26,15.4386,35.6623,4533.46,-6741.1142578125,373,1865000
374,5025.78,15.306,33.2744,4842.81,-5828.4384765625,374,1870000
375,4558.71,14.3831,32.9467,4922.06,-5764.7626953125,375,1875000
376,1409.04,42.3696,38.6192,1440.53,-15264.4990234375,376,1880000
377,5203.74,13.887,32.7464,4902.03,-5281.10888671875,377,1885000
378,5119.65,14.4368,32.56,4730.4,-5778.31298828125,378,1890000
379,4721.6,13.591,32.2397,4363.34,-5408.08447265625,379,1895000
380,3491.85,15.3201,33.1246,4244.94,-6737.703125,380,1900000
381,5169.18,16.1268,33.2527,5141.4,-6262.3466796875,381,1905000
382,4976.61,15.2048,32.6887,4735.27,-5765.7412109375,382,1910000
