Running Update Time,Running Forward KL,Reward Loss,Itration,Running Reverse KL,Running Env Steps,Real Sto Return,Real Det Return
72,27.8513,-103.92686462402344,72,19.4531,360000,3251.17,3352.56
73,28.3191,-149.27113342285156,73,20.4937,365000,2754.26,3361.46
74,28.3831,-66.90808868408203,74,15.4013,370000,3093.95,3410.46
75,28.5061,-177.80043029785156,75,21.7319,375000,2684.01,3440.46
76,28.581,-56.492149353027344,76,16.9001,380000,3310.33,3312.59
77,27.2815,-35.12868118286133,77,14.9554,385000,3377.77,3396.47
78,29.4835,-102.9498291015625,78,15.3002,390000,3233.78,3465.22
79,28.4819,-29.997528076171875,79,15.2647,395000,3277.1,3473.82
80,29.0964,-66.39912414550781,80,17.1317,400000,3066.38,3521.18
81,28.5309,-93.06669616699219,81,17.2827,405000,3119.18,3533.23
82,27.8851,-37.195831298828125,82,15.6945,410000,3429.12,3495.4
83,28.643,-54.22624969482422,83,17.2115,415000,3430.28,3449.35
84,28.9761,-86.45054626464844,84,16.2521,420000,3334.02,3486.64
85,29.0224,-41.61909103393555,85,15.5589,425000,3440.75,3536.42
86,29.2281,-50.32476806640625,86,16.5511,430000,3408.43,3513.81
87,28.9209,-57.39173126220703,87,16.7768,435000,3471.98,3511.76
88,28.5848,-72.21406555175781,88,15.6563,440000,3522.06,3560.3
89,29.3685,-46.27996826171875,89,16.582,445000,3423.2,3542.58
90,29.7539,-68.5829849243164,90,16.9832,450000,3477.13,3521.12
91,28.6468,-81.68184661865234,91,16.1495,455000,3280.82,3513.56
92,28.961,-58.614463806152344,92,15.838,460000,2553.0,3569.07
93,28.8938,-80.80887603759766,93,15.0967,465000,3441.88,3491.55
94,28.3222,-64.5187759399414,94,15.1945,470000,3340.88,3477.58
95,29.3577,-127.24671936035156,95,15.8571,475000,3154.16,3507.82
96,29.39,-85.12007904052734,96,15.3154,480000,3422.61,3466.65
97,29.4679,-78.879150390625,97,15.2231,485000,3416.83,3486.81
98,28.8675,-115.65155029296875,98,18.0316,490000,3040.95,3502.74
99,29.4442,-147.07386779785156,99,15.8372,495000,2039.5,3520.69
100,29.813,-84.95101165771484,100,15.068,500000,3290.94,3481.55
101,28.9576,-104.11441040039062,101,15.9143,505000,3483.79,3528.98
102,29.4668,-82.00270080566406,102,14.8323,510000,3454.0,3497.43
103,28.9517,-84.1737060546875,103,14.9784,515000,3467.24,3508.5
104,29.6809,-100.62071990966797,104,14.6971,520000,3464.14,3530.6
105,29.5435,-93.8418197631836,105,16.1493,525000,3449.48,3496.81
106,30.1604,-106.4482650756836,106,16.8738,530000,3284.9,3474.44
107,29.1562,-84.93992614746094,107,15.1968,535000,3463.53,3503.98
108,29.1675,-109.22342681884766,108,16.1261,540000,3475.87,3478.52
109,28.6614,-105.01497650146484,109,15.1711,545000,3105.12,3509.68
110,28.978,-98.93778228759766,110,15.2926,550000,3343.33,3474.15
111,29.8752,-105.11168670654297,111,16.2193,555000,3445.19,3471.89
112,27.2366,-96.55767822265625,112,13.7056,560000,3044.94,3496.11
113,29.5331,-140.61273193359375,113,16.402,565000,3480.01,3502.59
114,30.075,-103.5909652709961,114,16.8975,570000,3413.82,3503.09
115,29.7657,-114.40872955322266,115,16.11,575000,3391.89,3466.86
116,30.0127,-118.4980239868164,116,15.5791,580000,3474.47,3516.5
117,29.8652,-142.23944091796875,117,15.7701,585000,3249.46,3514.7
118,28.2847,-116.80081176757812,118,16.1689,590000,3460.01,3493.29
119,29.3602,-174.76853942871094,119,21.9774,595000,3441.52,3498.93
120,29.2713,-129.67588806152344,120,15.5634,600000,3333.41,3451.5
121,31.1798,-130.6604461669922,121,16.8187,605000,3382.78,3509.7
122,30.7658,-127.03231048583984,122,16.498,610000,3385.11,3537.04
123,31.4891,-125.314208984375,123,17.1196,615000,3451.17,3498.55
124,28.5914,-135.10987854003906,124,16.9404,620000,3386.53,3538.78
125,29.6294,-158.97250366210938,125,21.1737,625000,3409.55,3463.64
126,30.4295,-138.58319091796875,126,16.4351,630000,3331.42,3459.94
127,29.2536,-131.3403778076172,127,16.0593,635000,3468.04,3523.39
128,30.1525,-127.34574127197266,128,15.3587,640000,3478.55,3531.64
129,28.8015,-259.0749816894531,129,19.4302,645000,2831.89,3474.33
130,30.9035,-145.5677947998047,130,16.8319,650000,3471.91,3519.78
131,29.8501,-158.07447814941406,131,15.8512,655000,3424.58,3489.65
132,29.39,-151.749267578125,132,16.2988,660000,3400.72,3447.61
133,30.0241,-153.22097778320312,133,17.3399,665000,3365.42,3509.64
134,29.8958,-182.05038452148438,134,15.65,670000,3489.68,3507.48
135,30.694,-165.5156707763672,135,17.3731,675000,3460.83,3501.76
136,29.8277,-169.26171875,136,16.84,680000,3500.53,3534.61
137,30.4223,-155.0016326904297,137,16.7247,685000,3493.07,3526.77
138,30.1183,-178.64337158203125,138,17.1157,690000,3416.29,3512.54
139,32.9671,-438.47357177734375,139,83.7271,695000,1564.97,15.75
140,29.9465,-176.5884552001953,140,17.1712,700000,3420.67,3534.05
141,29.4113,-166.90728759765625,141,16.0854,705000,3380.59,3534.53
142,29.3289,-167.4532928466797,142,15.5395,710000,3477.58,3507.34
143,30.5997,-188.09999084472656,143,17.2824,715000,3495.73,3532.67
144,30.7069,-187.7552032470703,144,16.9432,720000,3378.05,3517.93
145,29.0645,-167.65444946289062,145,16.9404,725000,3458.41,3494.89
146,28.3863,-180.62393188476562,146,16.2657,730000,3478.32,3535.03
147,30.4091,-191.90478515625,147,16.9327,735000,3378.6,3512.87
148,29.9036,-159.85350036621094,148,14.9467,740000,3488.99,3534.71
149,29.9679,-211.0946502685547,149,17.7404,745000,3422.65,3539.12
150,30.4666,-223.9025115966797,150,16.5565,750000,3122.72,3531.37
151,30.1248,-194.38839721679688,151,15.8353,755000,3371.43,3512.22
152,29.7188,-193.34478759765625,152,15.9345,760000,3378.41,3484.49
153,30.4249,-222.5457763671875,153,18.0011,765000,3474.54,3506.48
154,29.1727,-227.5078125,154,16.7404,770000,3401.99,3537.34
155,30.6235,-220.3717803955078,155,16.2356,775000,3461.69,3507.23
156,29.7815,-203.38600158691406,156,16.2825,780000,3364.55,3519.61
157,31.2605,-232.7578887939453,157,16.6471,785000,3404.33,3534.9
158,29.9183,-207.95834350585938,158,15.2688,790000,3478.9,3517.34
159,28.9904,-214.48092651367188,159,17.006,795000,3384.96,3519.97
160,28.746,-199.47434997558594,160,14.8445,800000,3484.94,3520.24
161,29.2691,-340.83013916015625,161,21.3162,805000,3226.68,3540.77
162,30.3862,-210.97091674804688,162,16.4818,810000,3388.8,3541.49
163,28.2637,-195.46580505371094,163,14.9267,815000,3471.8,3512.66
164,29.1964,-226.802001953125,164,15.7728,820000,3283.81,3524.61
165,30.2338,-264.1286315917969,165,18.5805,825000,3343.38,3526.12
166,29.7024,-216.4570770263672,166,16.3594,830000,3414.43,3525.02
167,29.5167,-351.5295715332031,167,17.3442,835000,3257.33,3503.34
168,29.4456,-279.16070556640625,168,16.5135,840000,3441.35,3528.51
169,29.6489,-293.3670959472656,169,23.806,845000,2599.31,3526.96
170,29.8624,-264.1844177246094,170,18.9181,850000,3260.14,3513.14
171,29.8102,-235.78726196289062,171,15.1094,855000,3490.24,3534.18
172,29.3468,-241.77658081054688,172,16.8804,860000,3331.56,3514.87
173,29.1027,-225.31903076171875,173,15.4687,865000,3453.19,3512.01
174,29.8492,-302.7896423339844,174,23.6317,870000,2636.71,3532.51
175,29.2444,-285.93963623046875,175,16.3935,875000,3426.33,3497.21
176,30.4694,-262.6840515136719,176,17.1857,880000,3492.79,3525.48
177,29.5319,-315.90771484375,177,17.0461,885000,3008.05,3524.65
178,29.0745,-274.26385498046875,178,16.0762,890000,3380.69,3530.21
179,28.1631,-251.05386352539062,179,17.4461,895000,3350.37,3529.72
180,29.8404,-353.7425537109375,180,17.5267,900000,2648.61,3553.02
181,29.5649,-293.4313049316406,181,15.684,905000,3285.3,3522.81
182,28.7324,-360.7403259277344,182,26.0039,910000,2876.1,3525.48
183,29.2292,-282.5813903808594,183,15.437,915000,2962.63,3523.6
184,29.912,-383.98565673828125,184,21.8509,920000,2645.87,3544.98
185,29.2001,-300.7715759277344,185,15.2801,925000,3304.06,3536.22
186,29.589,-279.7552490234375,186,15.3461,930000,3252.52,3539.97
187,27.8381,-287.1133117675781,187,15.2926,935000,3516.39,3546.45
188,29.566,-356.70098876953125,188,16.9688,940000,3114.07,3481.76
189,29.0619,-380.4919128417969,189,17.2858,945000,3448.17,3527.96
190,29.5135,-291.04888916015625,190,16.1696,950000,3401.88,3517.84
191,30.5376,-310.0533447265625,191,17.9112,955000,3266.7,3514.58
192,28.4463,-354.7759704589844,192,24.5065,960000,3349.48,3497.25
193,28.5533,-283.0369567871094,193,14.7332,965000,3373.64,3495.15
194,28.5836,-287.56829833984375,194,15.062,970000,3380.22,3509.51
195,28.104,-333.4421691894531,195,16.4074,975000,3322.58,3535.88
196,29.5226,-326.1474304199219,196,15.7453,980000,3381.64,3523.43
197,28.5963,-384.7635803222656,197,18.5718,985000,3378.02,3504.34
198,28.9106,-320.1848449707031,198,14.6363,990000,3225.12,3511.68
199,27.869,-288.9959716796875,199,14.9229,995000,3499.03,3507.15
