Real Det Return,Running Env Steps,Real Sto Return,Reward Loss,Running Reverse KL,Itration,Running Update Time,Running Forward KL
3610.08,925000,3371.79,-2962.00927734375,12.5899,185,185,19.3298
3572.82,930000,3527.96,-3100.270263671875,13.7411,186,186,19.869
3580.88,935000,3551.47,-3385.26123046875,14.3644,187,187,21.043
3596.42,940000,3513.25,-3069.452392578125,13.3777,188,188,19.578
3552.08,945000,3354.88,-2945.105712890625,12.4541,189,189,19.86
3646.47,950000,3442.19,-3323.46044921875,13.6475,190,190,19.5723
3586.12,955000,3560.47,-3259.36669921875,14.6681,191,191,20.8313
3631.25,960000,3427.18,-2954.96435546875,12.5796,192,192,19.3593
3587.36,965000,3558.94,-3321.1904296875,14.2627,193,193,20.2492
3585.92,970000,3549.65,-3270.816650390625,13.6336,194,194,19.6752
3602.63,975000,3539.77,-3214.23779296875,12.769,195,195,18.5972
3576.96,980000,3565.91,-3528.9599609375,13.9566,196,196,20.7031
3585.8,985000,3501.14,-3107.988525390625,12.713,197,197,18.9949
3572.73,990000,3552.99,-3453.07861328125,13.7513,198,198,19.9897
3602.85,995000,3535.41,-3445.836181640625,13.3281,199,199,19.8373
