Running Reverse KL,Real Sto Return,Running Update Time,Running Forward KL,Reward Loss,Real Det Return,Running Env Steps,Itration
13.011,3053.93,51,22.3402,-479.7749328613281,3107.05,255000,51
13.0873,2863.61,52,21.8973,-463.90509033203125,3145.02,260000,52
13.0669,3093.92,53,22.1871,-444.3272399902344,3138.87,265000,53
14.9068,3113.59,54,21.6981,-482.85443115234375,3120.53,270000,54
15.2044,3102.23,55,22.8663,-420.1731262207031,3187.11,275000,55
12.8522,3110.24,56,21.6795,-456.61187744140625,3084.44,280000,56
14.4515,3124.87,57,23.2149,-444.4566345214844,3110.03,285000,57
12.8763,3210.83,58,21.8829,-511.2996826171875,3226.17,290000,58
14.6174,3117.35,59,23.214,-504.2820129394531,3102.23,295000,59
14.1429,3168.35,60,22.2358,-506.191162109375,3160.11,300000,60
15.3771,2435.71,61,21.7411,-836.909423828125,3230.68,305000,61
14.3917,3082.92,62,22.9931,-547.2210083007812,3055.53,310000,62
14.0911,3166.98,63,22.1296,-521.591064453125,3133.29,315000,63
12.4878,3131.68,64,21.0799,-562.7532958984375,3136.62,320000,64
14.215,3160.63,65,22.4595,-559.9104614257812,3126.62,325000,65
12.1042,2875.09,66,20.9939,-678.819091796875,3053.15,330000,66
13.9402,3197.27,67,22.4512,-598.4482421875,3169.76,335000,67
13.8529,3228.49,68,22.3749,-548.3070678710938,3196.99,340000,68
14.0156,3135.62,69,22.2464,-622.4151000976562,3106.55,345000,69
12.3751,3145.98,70,21.3823,-593.2285766601562,3126.02,350000,70
13.2387,3193.51,71,22.1698,-658.8644409179688,3148.2,355000,71
12.9178,3217.6,72,21.4853,-630.099853515625,3191.83,360000,72
14.3958,3109.03,73,22.8195,-650.192138671875,3130.6,365000,73
11.9639,3070.35,74,21.3421,-777.3760986328125,3091.92,370000,74
12.238,3212.7,75,21.2548,-776.677490234375,3194.68,375000,75
14.0148,3109.01,76,22.6129,-709.0829467773438,3171.22,380000,76
12.8853,3178.0,77,21.7565,-675.1976318359375,3148.27,385000,77
12.6114,3182.59,78,20.9444,-642.93017578125,3162.25,390000,78
11.8578,2892.49,79,20.4495,-664.6310424804688,3213.63,395000,79
15.0423,3219.41,80,22.6648,-695.97021484375,3201.81,400000,80
14.1574,3224.9,81,22.1417,-734.1399536132812,3198.88,405000,81
11.6382,2781.69,82,20.5358,-1000.3077392578125,3219.28,410000,82
13.1926,3239.51,83,20.9605,-767.2056274414062,3195.19,415000,83
12.058,3214.4,84,20.7331,-717.9580078125,3175.55,420000,84
12.5051,3232.75,85,20.5478,-734.3036499023438,3190.37,425000,85
12.0507,3187.39,86,20.6152,-716.1680297851562,3165.51,430000,86
13.7405,3250.33,87,21.4522,-822.769775390625,3236.78,435000,87
11.9398,3306.36,88,19.6565,-637.3727416992188,3286.73,440000,88
13.4565,3275.8,89,21.1577,-742.4411010742188,3265.69,445000,89
12.1494,3173.86,90,20.556,-785.4183349609375,3205.49,450000,90
12.0183,3226.84,91,19.8979,-722.4208374023438,3205.31,455000,91
11.6459,2938.85,92,19.5857,-693.60986328125,3226.56,460000,92
13.3293,3325.25,93,20.7396,-714.7496948242188,3249.17,465000,93
13.4225,3222.44,94,21.5919,-847.4149780273438,3195.87,470000,94
11.3368,3135.58,95,19.2681,-737.392578125,3244.28,475000,95
14.0129,2900.29,96,19.4799,-813.4534912109375,3329.27,480000,96
12.5947,3296.58,97,20.2695,-791.329833984375,3279.35,485000,97
15.985,2454.86,98,20.4393,-1183.09033203125,3394.84,490000,98
12.5388,3230.59,99,20.2353,-812.5984497070312,3271.77,495000,99
13.5684,3311.97,100,20.8749,-834.577392578125,3288.03,500000,100
13.4505,3312.82,101,20.634,-901.48779296875,3279.76,505000,101
13.4589,3390.95,102,20.1062,-791.8640747070312,3368.2,510000,102
12.5867,3408.0,103,19.7445,-837.9533081054688,3416.58,515000,103
11.9704,3392.51,104,19.1483,-728.328125,3370.68,520000,104
12.5783,3357.03,105,19.3392,-858.99267578125,3350.21,525000,105
11.5485,3337.06,106,18.7085,-811.0430297851562,3362.55,530000,106
13.3147,3383.82,107,20.1812,-897.90283203125,3378.14,535000,107
12.4127,3379.03,108,18.8656,-807.80419921875,3351.56,540000,108
13.3202,3270.01,109,20.6223,-975.0009155273438,3242.14,545000,109
13.5063,3411.24,110,20.3812,-993.8098754882812,3405.49,550000,110
12.5663,3350.9,111,20.2967,-923.7784423828125,3324.57,555000,111
12.4603,3343.77,112,19.34,-776.2071533203125,3385.68,560000,112
13.1459,3421.65,113,19.5404,-888.690673828125,3401.48,565000,113
13.0986,3428.37,114,19.0671,-837.3057861328125,3496.77,570000,114
16.4486,3386.29,115,19.6505,-882.4255981445312,3391.41,575000,115
12.246,3385.11,116,18.5502,-900.4110107421875,3449.12,580000,116
12.9703,3431.57,117,18.8433,-751.4204711914062,3439.73,585000,117
11.1023,3134.42,118,19.1347,-804.7938842773438,3492.76,590000,118
11.9754,3384.53,119,19.0357,-847.2283935546875,3492.08,595000,119
12.0546,3436.04,120,18.7474,-881.6651611328125,3453.65,600000,120
13.196,2914.35,121,20.159,-903.4441528320312,3430.21,605000,121
12.1609,2871.52,122,18.9578,-806.7012329101562,3465.33,610000,122
12.9869,2984.6,123,19.1371,-949.25,3480.88,615000,123
13.2401,2717.56,124,19.7952,-1028.7242431640625,3424.48,620000,124
13.148,3441.89,125,19.1442,-894.4803466796875,3420.77,625000,125
12.8949,3341.02,126,19.2181,-898.6444091796875,3464.26,630000,126
11.5433,3303.34,127,18.8024,-985.5662231445312,3435.15,635000,127
13.2736,3406.36,128,20.174,-1047.814697265625,3434.72,640000,128
30.3951,2944.79,129,19.6386,-1068.0989990234375,3434.8,645000,129
12.1842,3412.04,130,19.0537,-919.9298706054688,3405.63,650000,130
11.7416,3302.35,131,19.235,-985.1318969726562,3424.81,655000,131
11.1515,3408.84,132,17.9179,-862.099853515625,3450.69,660000,132
11.8099,3451.39,133,17.9123,-773.7656860351562,3511.77,665000,133
11.7607,3192.79,134,18.7539,-913.2288208007812,3460.31,670000,134
13.3954,3256.34,135,18.8404,-1056.3905029296875,3441.26,675000,135
12.6935,3411.65,136,19.0068,-937.0064697265625,3437.07,680000,136
12.044,3401.06,137,18.6631,-1045.833740234375,3457.77,685000,137
12.0181,3273.91,138,18.6872,-1023.9542846679688,3428.06,690000,138
12.3057,3399.18,139,18.4889,-997.6325073242188,3458.4,695000,139
12.0818,3388.85,140,18.8876,-1033.4129638671875,3461.05,700000,140
12.5315,3421.57,141,18.5132,-1018.43798828125,3494.42,705000,141
12.2591,3421.07,142,19.3757,-1115.0272216796875,3492.7,710000,142
12.3162,3417.6,143,19.0905,-1111.480712890625,3459.76,715000,143
12.6466,3412.02,144,19.312,-1143.37548828125,3470.28,720000,144
11.4859,3405.76,145,19.0955,-1060.05322265625,3475.89,725000,145
11.5109,3325.86,146,19.1036,-1158.4735107421875,3423.66,730000,146
11.4693,3393.02,147,18.9591,-1041.5186767578125,3492.65,735000,147
12.781,3391.3,148,20.1708,-1113.6468505859375,3476.28,740000,148
12.409,3383.4,149,19.7888,-1131.4017333984375,3452.61,745000,149
12.2174,3362.86,150,19.5497,-1146.8790283203125,3489.42,750000,150
12.8182,3401.28,151,18.9815,-1169.7733154296875,3439.12,755000,151
12.1282,3394.66,152,18.9993,-1219.621826171875,3451.95,760000,152
12.5864,3414.5,153,19.2449,-1188.673583984375,3425.96,765000,153
12.5707,2764.72,154,19.2554,-1308.952392578125,3474.81,770000,154
13.183,3411.96,155,19.9798,-1180.4554443359375,3431.52,775000,155
13.0402,3404.36,156,19.7717,-1255.4022216796875,3482.98,780000,156
12.3991,3473.09,157,18.8686,-1188.15087890625,3495.9,785000,157
13.3177,3392.84,158,20.6436,-1429.0902099609375,3436.49,790000,158
12.6469,3406.57,159,19.2744,-1236.30224609375,3436.39,795000,159
11.9863,3369.76,160,19.0238,-1207.292236328125,3397.15,800000,160
13.7804,3241.77,161,19.1313,-1329.35595703125,3450.56,805000,161
11.8783,3404.94,162,17.9619,-1101.6986083984375,3452.02,810000,162
12.6495,3415.06,163,19.3311,-1193.8994140625,3452.53,815000,163
12.7434,3441.08,164,19.4599,-1274.6807861328125,3480.9,820000,164
12.4474,3457.18,165,19.0728,-1254.7662353515625,3469.57,825000,165
12.5475,3425.9,166,19.5229,-1391.0682373046875,3448.78,830000,166
12.6339,3275.55,167,19.8647,-1359.7767333984375,3438.59,835000,167
12.2798,3346.1,168,19.7523,-1358.8404541015625,3450.49,840000,168
14.8939,3362.68,169,20.2526,-1379.7633056640625,3455.96,845000,169
12.6516,3460.56,170,19.3569,-1368.4154052734375,3492.84,850000,170
12.7438,3320.55,171,20.1056,-1345.743408203125,3463.29,855000,171
11.6553,3187.89,172,20.1225,-1590.419921875,3481.91,860000,172
13.6498,3437.32,173,19.9932,-1477.5533447265625,3474.4,865000,173
12.9686,3419.49,174,19.5927,-1475.6905517578125,3459.99,870000,174
13.2346,3419.05,175,19.9256,-1533.5106201171875,3468.01,875000,175
12.6777,3446.24,176,19.275,-1476.6199951171875,3466.72,880000,176
14.3953,1429.42,177,20.5076,-1739.437255859375,3508.12,885000,177
13.2339,3428.2,178,19.847,-1386.8800048828125,3475.83,890000,178
12.0791,3455.25,179,19.0551,-1307.314453125,3493.85,895000,179
10.489,3440.58,180,17.2808,-1263.438720703125,3468.98,900000,180
12.5828,3324.87,181,18.7475,-1625.2877197265625,3452.84,905000,181
12.2927,3287.07,182,19.2781,-1587.6156005859375,3464.93,910000,182
12.3243,3398.6,183,18.7481,-1672.0404052734375,3424.5,915000,183
11.043,3441.23,184,18.6321,-1416.7745361328125,3455.78,920000,184
13.7086,3404.13,185,20.2015,-1702.0401611328125,3445.47,925000,185
12.2625,3339.09,186,18.9463,-1499.4652099609375,3453.69,930000,186
11.9607,3317.45,187,18.7272,-1401.2337646484375,3448.93,935000,187
11.8636,3115.6,188,18.7961,-1507.66455078125,3444.76,940000,188
12.6728,3443.61,189,18.9017,-1686.1614990234375,3452.26,945000,189
12.0785,3253.94,190,18.894,-1567.7589111328125,3458.65,950000,190
11.6847,3360.12,191,18.1547,-1514.6531982421875,3450.11,955000,191
11.9428,3312.04,192,18.4014,-1496.6746826171875,3435.7,960000,192
12.5679,3299.44,193,19.3553,-1575.5855712890625,3471.56,965000,193
11.2445,3238.16,194,18.5441,-1492.8072509765625,3448.99,970000,194
11.6121,3410.77,195,18.5472,-1639.12548828125,3442.23,975000,195
11.9039,3241.44,196,18.9051,-1787.634765625,3421.28,980000,196
12.8079,3011.01,197,19.2243,-1849.0782470703125,3459.86,985000,197
11.1203,3398.49,198,18.1047,-1619.4534912109375,3446.21,990000,198
11.7515,3418.2,199,18.0672,-1462.22021484375,3446.62,995000,199
