Itration,Running Reverse KL,Running Update Time,Reward Loss,Real Sto Return,Running Env Steps,Running Forward KL,Real Det Return
93,38.276,93,-371.5373229980469,1364.33,465000,23.0598,3374.55
94,28.4239,94,-233.7556915283203,2341.05,470000,21.4378,3318.3
95,20.3205,95,-143.3356475830078,2363.29,475000,21.4998,3419.37
96,31.0948,96,-355.53851318359375,1127.94,480000,23.1715,1730.8
97,40.032,97,-341.8496398925781,1885.07,485000,22.9571,2786.06
98,16.806,98,-139.17184448242188,2462.54,490000,20.8498,3349.62
99,14.8428,99,-195.60748291015625,1827.97,495000,21.6835,1695.06
100,12.7918,100,-160.326416015625,2357.45,500000,21.731,3433.49
101,16.6319,101,-141.1820068359375,2734.74,505000,20.5489,3418.39
102,12.8686,102,-78.6760482788086,3321.63,510000,21.4254,3276.7
103,12.4905,103,-74.9140396118164,3208.66,515000,21.1224,3311.93
104,15.1856,104,-249.99014282226562,1747.02,520000,22.57,1210.89
105,12.8287,105,-145.05824279785156,2617.44,525000,20.8503,3403.36
106,12.2063,106,-50.04846954345703,3321.0,530000,18.8924,3434.79
107,11.3248,107,-108.19527435302734,2541.44,535000,21.0579,2324.87
108,12.1139,108,-118.34127044677734,3102.24,540000,20.6142,3265.5
109,12.3087,109,-90.02813720703125,3091.32,545000,21.2019,3445.09
110,13.6663,110,-81.45415496826172,3335.1,550000,21.2628,3253.78
111,12.0424,111,-147.814208984375,2893.89,555000,19.645,3175.64
112,12.6069,112,-69.80523681640625,3335.02,560000,19.6112,3331.63
113,12.9277,113,-62.31930923461914,2884.15,565000,19.5927,3346.45
114,13.1488,114,-43.74995803833008,3371.73,570000,20.7907,3401.61
115,12.5143,115,-63.152523040771484,3132.02,575000,19.6034,3316.98
116,12.5106,116,-62.1804313659668,3387.9,580000,21.0156,3380.92
117,12.6009,117,-67.64921569824219,3376.81,585000,19.6994,3362.14
118,12.2808,118,-58.44694519042969,2972.02,590000,20.2265,3465.53
119,11.9905,119,-46.26527404785156,3358.66,595000,19.2801,3384.84
120,12.5994,120,-61.46517562866211,3360.56,600000,19.6666,3384.63
121,12.7803,121,-72.55399322509766,3385.16,605000,19.4092,3377.79
122,12.0992,122,-57.01497268676758,3337.36,610000,19.2882,3374.06
123,12.4985,123,-71.20093536376953,2827.42,615000,19.7942,3399.96
124,14.7686,124,-113.29388427734375,3120.66,620000,21.0578,3474.67
125,11.6655,125,-81.1829833984375,3304.4,625000,20.189,3447.57
126,12.4285,126,-196.69129943847656,2287.07,630000,20.6643,3445.72
127,12.5702,127,-65.29524993896484,3361.08,635000,20.4553,3410.22
128,12.4362,128,-168.4358673095703,2097.79,640000,20.985,3424.87
129,12.2027,129,-56.24398422241211,3198.25,645000,19.16,3370.3
130,14.2767,130,-214.9913330078125,2289.11,650000,21.1302,3411.8
131,13.802,131,-363.92108154296875,1885.7,655000,23.6839,3150.86
132,12.6826,132,-238.26251220703125,2227.54,660000,21.8296,3372.24
133,12.1249,133,-67.3825454711914,3410.09,665000,19.4639,3448.89
134,11.0715,134,-72.59303283691406,2988.27,670000,19.2221,3467.42
135,11.9618,135,-62.596351623535156,3076.72,675000,19.5509,3440.32
136,11.7781,136,-70.224609375,3414.69,680000,18.766,3440.02
137,15.9783,137,-210.09164428710938,2245.19,685000,20.8891,3396.86
138,11.104,138,-247.06033325195312,2211.31,690000,21.9313,3423.07
139,11.972,139,-131.2264862060547,3014.37,695000,18.9061,3440.4
140,12.3207,140,-110.46623992919922,2967.93,700000,19.4559,3475.75
141,11.762,141,-75.36247253417969,3394.6,705000,18.4269,3441.11
142,11.8201,142,-128.18115234375,2970.88,710000,19.4798,3448.38
143,17.3724,143,-173.28530883789062,2237.99,715000,18.7915,3463.1
144,11.3659,144,-344.7577209472656,1722.29,720000,21.554,3245.16
145,12.2673,145,-365.8917541503906,1969.89,725000,22.4841,1536.75
146,17.4861,146,-200.94320678710938,2626.85,730000,20.1562,3458.87
147,24.6813,147,-356.0276184082031,2210.41,735000,21.3077,3469.4
148,18.5424,148,-101.81492614746094,2836.3,740000,18.7808,3466.89
149,11.5797,149,-67.10797882080078,3328.02,745000,18.7002,3426.13
150,26.5252,150,-402.70703125,1885.31,750000,22.5122,3422.56
151,16.5361,151,-108.29839324951172,3271.08,755000,18.0348,3416.39
152,12.1165,152,-81.93209838867188,3272.42,760000,19.2075,3431.06
153,34.9385,153,-428.16143798828125,2175.34,765000,21.7674,3472.52
154,18.2543,154,-166.39390563964844,2813.77,770000,19.5705,3436.96
155,37.3787,155,-286.157470703125,2125.12,775000,20.4956,3453.86
156,13.783,156,-111.20378875732422,3282.53,780000,18.0446,3456.63
157,14.3393,157,-294.2816467285156,2314.7,785000,20.592,3440.14
158,16.0471,158,-111.67604064941406,2668.89,790000,19.2172,3451.77
159,18.2449,159,-185.11766052246094,3044.44,795000,18.7232,3461.63
160,57.6169,160,-485.5924987792969,2151.27,800000,21.8375,2866.33
161,15.6247,161,-127.56672668457031,3118.76,805000,19.595,3460.43
162,29.9683,162,-374.72039794921875,2592.55,810000,21.4389,3449.47
163,12.3808,163,-79.51179504394531,3296.22,815000,18.5711,3453.16
164,14.1586,164,-126.95762634277344,3403.9,820000,17.9368,3457.58
165,12.5022,165,-130.1455535888672,3373.29,825000,18.7637,3409.86
166,16.8727,166,-135.91925048828125,3088.28,830000,19.212,3438.42
167,13.7329,167,-119.2643051147461,3231.74,835000,19.25,3408.68
168,12.3559,168,-96.29005432128906,3409.55,840000,17.8748,3449.03
169,13.3023,169,-102.9686050415039,3437.24,845000,19.1146,3459.93
170,12.7539,170,-108.5557632446289,2897.7,850000,20.5586,3450.5
171,11.0627,171,-118.97415161132812,3050.96,855000,18.4233,3424.77
172,11.3231,172,-113.97158813476562,3104.38,860000,18.3568,3445.0
173,12.0492,173,-81.09092712402344,3157.12,865000,18.9048,3408.82
174,13.6872,174,-163.69956970214844,2724.67,870000,18.7666,3457.3
175,15.7619,175,-333.37469482421875,2564.13,875000,20.2374,3445.86
176,11.5912,176,-123.47391510009766,3324.89,880000,17.9201,3397.99
177,12.047,177,-135.58653259277344,3368.05,885000,18.865,3381.03
178,12.5308,178,-215.49403381347656,2953.64,890000,18.0666,3443.1
179,18.8165,179,-345.44287109375,2761.93,895000,19.6648,3423.39
180,15.7503,180,-255.65797424316406,2744.92,900000,19.1041,3459.38
181,10.8762,181,-163.65817260742188,3034.72,905000,17.5836,3447.6
182,13.0781,182,-277.0134582519531,2553.39,910000,21.293,3490.5
183,14.2221,183,-392.31390380859375,1815.39,915000,20.3796,3444.32
184,19.3322,184,-325.62628173828125,1837.95,920000,19.2515,3427.48
185,12.5203,185,-195.63275146484375,3069.19,925000,19.2241,3454.7
186,14.4283,186,-244.84121704101562,2796.4,930000,19.8488,3458.1
187,12.0201,187,-265.9344482421875,2560.66,935000,19.8067,3448.37
188,12.2825,188,-207.01295471191406,3148.89,940000,19.449,3418.87
189,14.8069,189,-445.10894775390625,2012.27,945000,22.1729,3439.61
190,15.442,190,-309.34295654296875,2359.19,950000,20.5238,3316.22
191,11.7887,191,-294.50634765625,2126.63,955000,20.2144,3465.76
192,12.7593,192,-114.491943359375,2893.06,960000,19.5293,3431.98
193,12.0006,193,-224.4589385986328,2244.35,965000,19.569,3441.99
194,17.6639,194,-318.5199279785156,2935.94,970000,20.7297,3448.66
195,40.0601,195,-598.1941528320312,1747.52,975000,22.8888,3493.26
196,21.1679,196,-397.7442321777344,2232.3,980000,20.1035,3446.29
197,13.0563,197,-330.8302001953125,2727.53,985000,20.3918,3440.48
198,12.5786,198,-237.2606964111328,2789.8,990000,19.6664,3453.79
199,14.168,199,-288.8479919433594,2491.17,995000,19.9855,3423.68
