Real Det Return,Itration,Running Reverse KL,Running Forward KL,Real Sto Return
3407.84,65,11.2765,23.4088,3284.8
3385.32,66,11.2861,24.4565,3333.29
3346.2,67,11.0706,24.9184,3148.65
3244.52,68,11.0401,24.9815,3207.04
3407.02,69,12.3428,24.5269,3274.76
3460.4,70,14.6729,26.224,3103.81
3366.37,71,12.5642,25.7968,2888.65
3316.03,72,11.9648,25.051,2445.07
3404.17,73,12.8342,25.7403,3339.07
3352.97,74,12.5491,25.1872,2138.31
3354.33,75,11.4191,23.5657,3260.66
3390.05,76,10.5723,23.6406,3239.14
3416.16,77,11.2814,24.571,3052.54
3363.13,78,9.7475,23.6706,3109.78
3140.29,79,15.7152,25.8591,2201.17
3418.73,80,11.8476,24.4232,2105.95
3414.67,81,12.3538,24.4588,3325.83
3361.11,82,11.8087,24.2807,2600.77
3349.12,83,12.8774,25.2118,3348.54
3372.95,84,11.1282,25.1014,3285.12
3271.47,85,10.0629,23.7643,2765.89
1343.99,86,14.9679,27.0216,1766.05
3373.82,87,13.518,25.7947,3169.04
3378.02,88,11.3451,24.9082,2821.5
3381.17,89,10.8078,23.9179,1762.35
3423.5,90,10.0517,23.6259,3077.17
3422.27,91,10.561,24.1641,2604.61
3382.75,92,11.6782,25.1738,2873.38
3411.47,93,12.6812,25.9519,1774.92
3382.93,94,13.7876,25.6005,3385.21
3447.13,95,13.5433,25.8025,3431.22
3415.32,96,17.6584,25.6553,2503.34
3412.65,97,11.8304,24.7544,3056.07
3481.5,98,10.8637,23.6377,3271.24
3453.21,99,11.5227,24.1918,3419.14
3464.64,100,15.842,24.2365,1925.96
3439.73,101,11.0923,24.352,2576.54
3448.65,102,10.7907,24.4397,3194.98
3463.71,103,10.6259,23.4895,3432.68
3383.45,104,10.4593,22.981,3151.93
3395.14,105,12.4476,25.2777,3327.81
3486.57,106,13.2506,24.8805,3427.73
3451.49,107,14.0746,25.886,3401.24
3477.82,108,12.0835,23.6107,3423.79
3450.97,109,13.2201,25.5751,3367.95
3456.2,110,12.5043,24.7098,3389.03
3504.99,111,12.0623,24.5167,3444.86
3472.08,112,11.5225,23.2438,3414.94
3511.63,113,13.6722,25.2452,2569.38
3459.04,114,11.7454,24.0564,3118.05
3427.27,115,13.3552,25.6332,3172.96
3460.63,116,13.2273,24.6181,2870.25
3413.82,117,12.8862,24.5358,2663.82
1700.43,118,13.156,26.6791,1919.83
268.97,119,51.8591,30.4397,278.37
3173.56,120,12.4382,26.3522,2467.51
3402.9,121,13.6326,25.9372,3283.58
3378.3,122,12.3627,25.1719,3231.66
733.92,123,14.3213,26.1824,959.44
3407.19,124,12.1757,24.9123,3153.3
3358.03,125,13.5421,25.3738,3005.21
3385.99,126,13.7775,25.0058,2356.47
3416.84,127,11.7359,23.8328,3373.81
3452.03,128,12.8179,24.3745,2228.85
3366.09,129,18.3315,26.3854,1994.74
3412.78,130,13.5037,25.5488,2354.42
3434.43,131,11.4094,23.9144,3387.8
3481.06,132,12.7914,25.6913,2770.4
3387.49,133,16.3772,25.3969,2615.05
3443.04,134,12.5621,24.6956,3099.54
3440.54,135,12.6543,24.0344,2683.2
3419.1,136,16.1731,26.3605,2143.78
3414.78,137,14.9019,26.6183,3407.42
2785.78,138,14.1753,25.8394,2803.59
3456.53,139,13.0456,25.9979,2767.66
1330.48,140,19.9229,27.3359,1412.35
3388.61,141,14.5103,25.9888,2479.26
3431.19,142,13.7268,25.0068,1982.87
1271.46,143,17.9244,27.7471,1573.71
3481.88,144,12.1155,24.6784,3325.65
3399.27,145,11.4,24.8466,3249.02
3361.47,146,12.0944,26.2432,2578.38
3280.83,147,16.5276,26.8555,1983.64
3450.13,148,13.1266,24.7182,3412.33
3411.88,149,12.1784,25.3542,2969.61
3397.94,150,14.6148,25.6452,2485.13
3407.99,151,12.2617,24.957,3358.58
3434.6,152,10.7817,24.2374,3299.27
3415.97,153,12.5297,25.3432,3286.51
3406.22,154,12.3811,24.8031,3126.53
3392.12,155,12.472,24.9229,3341.8
3385.92,156,10.9893,24.3625,2887.46
3391.19,157,11.8995,24.6276,3325.24
3400.19,158,11.1878,24.3726,3131.9
3342.52,159,11.5675,24.6935,3014.09
3414.25,160,11.6354,24.5151,3162.71
3343.1,161,11.8952,26.3943,3128.55
3449.15,162,11.4166,23.1009,3421.56
3368.61,163,13.093,25.9227,3317.19
3437.59,164,11.6993,24.4596,3377.7
3400.64,165,11.8843,25.1835,3078.0
3419.58,166,12.492,25.2057,3381.44
3451.86,167,12.71,24.6019,3401.36
3427.29,168,11.0417,24.1642,3328.43
3492.05,169,11.2123,23.0956,3421.64
3414.3,170,11.2004,24.263,3333.96
3445.18,171,11.4956,23.8532,3390.07
3406.49,172,12.3917,24.618,3366.89
3437.83,173,13.0135,25.3062,3385.0
3446.51,174,11.8633,24.7053,3399.09
3438.02,175,11.711,24.2229,3394.87
3432.69,176,11.0923,23.6092,3379.92
3433.51,177,11.1271,23.5197,3382.79
3449.78,178,12.3671,23.7948,3394.89
3454.63,179,12.1408,23.9645,3411.2
3420.37,180,11.5058,22.907,3376.41
3418.06,181,12.0564,24.7565,3391.03
3434.35,182,11.3318,23.4506,3260.08
3388.7,183,11.5298,24.483,3027.62
3422.23,184,15.4977,23.9176,3218.2
3464.82,185,11.6523,24.3521,3418.7
3467.0,186,10.808,23.1011,3422.88
3442.36,187,12.1942,24.5273,3393.25
3421.25,188,11.8605,24.7407,3369.19
3403.4,189,10.7408,23.7395,3320.56
3445.2,190,12.1284,24.4598,3385.43
3453.02,191,11.2959,24.2468,3304.07
3437.0,192,11.7706,24.274,3400.9
3473.04,193,11.3833,24.1686,3357.58
3433.18,194,11.6471,24.3192,3369.68
3454.94,195,10.4251,23.3442,3413.92
3469.06,196,12.3999,24.0376,3416.39
3423.32,197,12.582,24.555,3372.6
3457.05,198,11.0849,23.7575,3391.69
3451.3,199,11.9023,24.2073,3417.64
