Running Update Time,Running Env Steps,Real Sto Return,Reward Loss,Real Det Return,Itration,Running Reverse KL,Running Forward KL
43,215000,452.52,-1395.65673828125,444.22,43,37.3535,34.2002
44,220000,358.67,-1290.5372314453125,361.84,44,47.6884,33.1047
45,225000,482.75,-1571.279541015625,521.05,45,41.5874,33.988
46,230000,307.98,-1447.4114990234375,315.85,46,24.0413,31.1621
47,235000,84.77,-1771.681640625,84.59,47,62.7599,33.6163
48,240000,118.28,-2137.554931640625,118.11,48,39.4761,37.5232
49,245000,67.38,-2251.1572265625,64.62,49,37.8235,38.3663
50,250000,315.74,-1745.2958984375,315.72,50,25.5994,32.8518
51,255000,1020.1,-2282.769287109375,1021.0,51,29.5411,37.8121
52,260000,448.59,-2367.330810546875,120.41,52,37.4743,38.676
53,265000,1016.56,-2350.718017578125,1017.2,53,30.1829,36.8905
54,270000,1026.84,-2228.267822265625,1023.67,54,22.1913,36.7265
55,275000,1015.47,-2425.156005859375,1022.11,55,29.6694,36.7251
56,280000,971.78,-2567.41357421875,973.01,56,46.4402,39.2767
57,285000,308.5,-1908.0230712890625,308.33,57,106.6646,35.5579
58,290000,1045.32,-2550.606689453125,1046.47,58,33.6782,36.3789
59,295000,106.96,-2479.90576171875,106.38,59,60.8914,33.5294
60,300000,140.35,-2543.03515625,140.79,60,88.0963,31.8372
61,305000,1026.91,-2761.996337890625,1027.57,61,28.084,39.365
62,310000,1026.55,-2842.93896484375,1026.08,62,37.4274,37.6998
63,315000,1049.47,-2715.52099609375,1049.77,63,30.1439,37.3186
64,320000,450.1,-2621.395751953125,467.48,64,37.7728,36.265
65,325000,1079.83,-2726.735595703125,1058.64,65,27.6932,35.2381
66,330000,1005.33,-3027.93212890625,1005.66,66,38.1209,37.1023
67,335000,979.23,-3052.854736328125,979.45,67,46.1419,36.9604
68,340000,419.39,-2650.375,430.3,68,86.1634,33.9385
69,345000,1069.57,-2885.051025390625,1058.21,69,27.7629,36.4832
70,350000,980.45,-3112.777587890625,990.86,70,37.3265,35.642
71,355000,405.27,-2704.518798828125,667.95,71,39.2037,33.7473
72,360000,328.51,-2914.376953125,331.17,72,27.8698,32.7631
73,365000,1016.27,-3280.608154296875,1011.8,73,40.4005,36.3149
74,370000,727.7,-2960.729736328125,766.62,74,39.681,34.0492
75,375000,52.59,-3062.38671875,52.12,75,35.9113,33.1539
76,380000,1033.24,-3360.9384765625,1029.57,76,24.8119,36.6192
77,385000,1034.97,-3454.30615234375,1036.01,77,36.2936,36.5939
78,390000,993.71,-3603.684814453125,994.04,78,36.0634,38.1241
79,395000,1000.32,-3500.4404296875,1000.08,79,33.2548,37.3669
80,400000,991.37,-3570.4453125,991.5,80,32.4445,34.6914
81,405000,1029.33,-3575.907470703125,1021.3,81,24.9428,38.0657
82,410000,311.43,-3647.244140625,322.52,82,26.2272,34.5425
83,415000,1015.95,-3692.10205078125,1046.81,83,35.1094,33.3253
84,420000,1048.11,-3890.871826171875,1048.17,84,37.9544,35.3835
85,425000,1046.85,-3991.112060546875,1046.62,85,49.4395,35.8491
86,430000,1021.92,-3993.350830078125,1019.26,86,33.9865,37.9858
87,435000,1045.17,-3782.991455078125,1046.18,87,31.7545,36.9264
88,440000,978.36,-4059.90966796875,968.99,88,40.4092,37.2919
89,445000,1059.04,-3870.8056640625,1061.57,89,29.4331,37.2391
90,450000,978.32,-4126.92431640625,978.26,90,48.6461,36.5285
91,455000,292.8,-4174.1806640625,331.09,91,37.55,36.5058
92,460000,1005.4,-4343.35986328125,1005.36,92,43.2022,38.3449
93,465000,1004.55,-4450.87109375,1004.76,93,54.5343,40.6111
94,470000,373.51,-2997.535888671875,373.5,94,29.3816,32.757
95,475000,101.88,-4200.169921875,99.56,95,39.6134,37.2714
96,480000,1015.94,-4461.16455078125,1013.52,96,24.6804,39.3344
97,485000,1033.59,-4492.97900390625,1032.8,97,33.785,35.9935
98,490000,1010.25,-4665.3486328125,1010.75,98,37.2879,39.239
99,495000,977.63,-4732.158203125,978.06,99,47.7341,38.9674
100,500000,203.19,-4655.68408203125,202.78,100,35.8765,35.6696
101,505000,24.24,-4550.6279296875,23.54,101,70.0094,36.3786
102,510000,1005.13,-4937.7265625,1010.88,102,61.4792,38.0034
103,515000,15.54,-2298.221923828125,15.43,103,228.2227,37.8797
104,520000,39.02,-3076.426513671875,39.28,104,215.3342,34.1224
105,525000,806.58,-4107.751953125,1030.61,105,49.4524,36.4429
106,530000,22.0,-4139.2392578125,21.92,106,111.8953,36.3316
107,535000,1034.43,-4952.09130859375,1034.12,107,37.9067,36.3186
108,540000,1065.19,-4962.2880859375,1063.31,108,26.4859,36.8413
109,545000,1037.54,-5115.697265625,1035.88,109,30.9971,35.6544
110,550000,1027.65,-5372.57958984375,1027.64,110,52.0131,36.6301
111,555000,574.92,-5403.12353515625,993.89,111,45.4294,38.1067
112,560000,687.74,-3876.1552734375,595.1,112,23.0797,33.0279
113,565000,1005.44,-5509.78759765625,1007.25,113,38.5747,37.6688
114,570000,485.21,-4713.57666015625,515.83,114,23.1844,33.247
115,575000,173.61,-5621.42431640625,184.49,115,35.1069,35.6598
116,580000,990.66,-5591.98291015625,989.95,116,39.4117,37.5528
117,585000,991.36,-5827.02587890625,990.91,117,42.0242,37.4669
118,590000,440.41,-4458.9892578125,422.56,118,20.0225,32.3613
119,595000,458.96,-5119.78857421875,459.46,119,27.5012,33.9421
120,600000,37.24,-4464.31005859375,36.46,120,26.7704,33.6688
121,605000,238.58,-4856.61572265625,200.21,121,33.407,32.9785
122,610000,965.69,-5880.3349609375,1008.34,122,41.2095,38.6807
123,615000,975.76,-6009.2216796875,975.34,123,58.1098,38.7343
124,620000,994.09,-6177.07080078125,993.73,124,58.6345,38.9783
125,625000,256.18,-4868.59521484375,254.5,125,52.768,32.5465
126,630000,1002.68,-6058.4970703125,1002.89,126,32.3633,38.6349
127,635000,987.63,-6267.3896484375,987.24,127,41.1405,38.9867
128,640000,982.11,-6270.2607421875,982.57,128,42.8545,38.1425
129,645000,188.62,-6200.591796875,177.31,129,34.4046,37.1659
130,650000,997.01,-6550.00146484375,996.85,130,45.2427,37.5072
131,655000,1004.48,-6603.34228515625,1004.15,131,38.6257,39.1453
132,660000,980.28,-6564.2802734375,980.29,132,51.013,38.357
133,665000,992.69,-6528.12548828125,993.06,133,47.8658,37.7611
134,670000,993.26,-6581.79638671875,993.12,134,46.5776,38.2242
135,675000,994.92,-6579.6494140625,995.56,135,37.9951,37.0829
136,680000,997.46,-6697.51416015625,996.96,136,39.9392,38.2772
137,685000,997.64,-6780.4228515625,997.07,137,39.5306,38.2829
138,690000,634.13,-6688.04736328125,996.95,138,30.8071,37.9891
139,695000,169.41,-6029.3427734375,168.21,139,58.8445,35.4585
140,700000,148.07,-5408.08447265625,226.63,140,78.4925,35.7071
141,705000,1017.06,-7127.021484375,1016.87,141,41.7311,39.4657
142,710000,1013.52,-7240.4892578125,1013.61,142,64.4346,40.2779
143,715000,1027.25,-7234.58203125,1026.07,143,30.7811,36.4006
144,720000,1012.03,-7323.6904296875,1012.05,144,34.481,36.8483
145,725000,216.55,-7072.00244140625,199.82,145,29.1296,36.3341
146,730000,829.82,-7336.72900390625,1031.81,146,41.446,39.0592
147,735000,974.13,-7507.32470703125,974.51,147,52.3123,40.5308
148,740000,995.36,-7459.7021484375,995.06,148,40.6096,38.3482
149,745000,983.36,-7410.87841796875,984.24,149,28.8081,37.9227
150,750000,1020.4,-7524.74072265625,1021.44,150,32.9596,37.024
151,755000,1020.71,-7507.837890625,1020.42,151,45.8007,36.7569
152,760000,1017.24,-7748.79638671875,1018.02,152,39.0963,37.3569
153,765000,808.07,-7740.1103515625,863.92,153,34.7958,37.5744
154,770000,844.1,-7954.55615234375,891.22,154,59.5207,38.4353
155,775000,15.23,-6259.92529296875,9.42,155,42.8027,35.6446
156,780000,21.55,-6093.63720703125,21.65,156,66.1581,37.4012
157,785000,67.45,-5734.6650390625,67.14,157,53.7022,33.2074
158,790000,799.09,-6928.39208984375,807.64,158,22.7374,33.9347
159,795000,983.53,-8057.0400390625,977.97,159,25.4627,34.7547
160,800000,1056.44,-8398.0458984375,1054.53,160,27.7703,36.8934
161,805000,1040.96,-8259.353515625,1041.2,161,27.2465,35.557
162,810000,1022.58,-8502.447265625,1022.84,162,36.1942,35.3169
163,815000,1018.16,-8680.4169921875,1017.75,163,42.1879,35.6277
164,820000,1012.81,-8716.375,1013.15,164,39.817,36.0034
165,825000,1012.19,-8778.1181640625,1012.01,165,41.2901,36.4967
166,830000,1041.97,-8980.681640625,1041.98,166,41.053,36.8748
167,835000,609.25,-8120.33642578125,916.79,167,38.7098,34.0973
168,840000,121.75,-7946.1943359375,122.37,168,138.8158,34.4263
169,845000,1039.42,-8928.3115234375,1035.92,169,34.5569,38.4683
170,850000,1056.99,-8896.890625,1056.72,170,30.5628,37.8569
171,855000,1045.85,-8867.9609375,1045.6,171,29.4687,38.5812
172,860000,1007.9,-9118.681640625,1009.65,172,30.1676,39.2295
173,865000,1022.57,-9396.2021484375,1023.09,173,26.5427,39.6325
174,870000,614.34,-9561.365234375,1029.54,174,37.4386,39.5016
175,875000,970.81,-9311.287109375,971.06,175,46.4067,39.5866
176,880000,976.34,-9473.9755859375,976.69,176,38.4101,38.956
177,885000,1014.53,-9266.8330078125,1032.57,177,23.2951,37.6621
178,890000,1014.07,-9675.814453125,1014.66,178,28.2772,37.9301
179,895000,1008.15,-9939.0732421875,1007.24,179,35.0393,38.8608
180,900000,1004.43,-10109.59375,1004.27,180,36.9862,38.0641
181,905000,998.86,-9921.41796875,999.3,181,32.3547,37.7817
182,910000,1003.43,-9762.224609375,1003.51,182,33.4955,36.6881
183,915000,107.93,-9907.017578125,110.52,183,50.2131,38.7923
184,920000,995.87,-9440.80859375,994.53,184,31.1043,35.5469
185,925000,1013.78,-9772.662109375,1012.79,185,33.0554,36.3491
186,930000,806.22,-9750.45703125,876.18,186,35.0153,34.7432
187,935000,1014.7,-10298.689453125,1016.29,187,28.3478,38.2645
188,940000,985.96,-10023.6298828125,1013.46,188,26.9148,33.2408
189,945000,455.28,-8681.095703125,360.58,189,21.4329,30.868
190,950000,354.81,-9153.5009765625,284.68,190,24.878,33.0212
191,955000,972.21,-10433.75390625,971.73,191,32.0018,38.4405
192,960000,969.33,-10003.330078125,974.03,192,26.0292,35.5839
193,965000,249.16,-8973.5078125,269.03,193,35.5554,31.2155
194,970000,292.0,-9510.826171875,292.65,194,46.673,33.5179
195,975000,731.96,-9589.2724609375,783.66,195,30.0054,32.7577
196,980000,900.02,-10352.408203125,1057.81,196,29.3747,34.2711
197,985000,497.84,-9325.13671875,506.08,197,24.2474,32.3363
198,990000,260.2,-9555.8662109375,253.96,198,34.0341,32.5112
199,995000,294.04,-9811.259765625,285.29,199,32.7818,33.7801
