Itration,Reward Loss,Running Forward KL,Running Update Time,Running Reverse KL,Real Det Return,Running Env Steps,Real Sto Return
91,-834.8894653320312,22.337,91,22.7209,3522.99,455000,2132.92
92,-1759.9876708984375,22.2559,92,42.9771,1863.5,460000,1616.31
93,-1914.107666015625,22.5564,93,59.6821,3375.82,465000,1526.73
94,-2427.5595703125,23.8412,94,46.9402,3523.78,470000,1758.18
95,-935.2528076171875,20.1725,95,19.5803,3451.16,475000,2710.43
96,-1616.419921875,21.9092,96,24.8736,3491.78,480000,2032.89
97,-1789.5087890625,22.3154,97,46.8036,269.8,485000,1283.46
98,-1742.85986328125,21.3348,98,49.7858,229.96,490000,444.92
99,-1442.509765625,21.6666,99,24.5066,3436.92,495000,2694.65
100,-1961.1221923828125,21.447,100,31.1558,1917.46,500000,1327.94
101,-2976.441650390625,24.0865,101,63.9555,3121.47,505000,1187.85
102,-2190.259521484375,22.6336,102,57.4353,3435.83,510000,1858.87
103,-2620.782958984375,25.5892,103,43.4803,2174.18,515000,1163.75
104,-2446.79296875,22.2,104,60.5895,3257.46,520000,2020.38
105,-1762.68310546875,23.7825,105,25.4031,1511.27,525000,1510.02
106,-1965.8482666015625,22.1209,106,22.7533,3396.78,530000,1866.53
107,-2734.092041015625,23.594,107,48.2681,1065.27,535000,1398.37
108,-653.3661499023438,20.4014,108,11.8816,3200.83,540000,2399.12
109,-1339.85791015625,21.748,109,32.9098,3481.59,545000,2508.46
110,-3127.7705078125,26.1131,110,70.4943,1958.24,550000,1054.91
111,-1106.9310302734375,20.6545,111,12.7612,3359.04,555000,2862.51
112,-1815.0006103515625,22.9408,112,15.2281,3425.37,560000,1829.31
113,-2208.526611328125,22.458,113,23.8869,2805.0,565000,1741.59
114,-2700.657958984375,23.7147,114,30.8522,2609.68,570000,1863.04
115,-2585.17041015625,24.245,115,29.6117,2053.48,575000,1028.4
116,-3039.152099609375,23.3135,116,41.7534,3127.46,580000,1823.01
117,-3809.916015625,24.4094,117,68.4052,1154.23,585000,1262.08
118,-4100.16455078125,25.031,118,56.5482,1442.0,590000,1161.8
119,-3715.589111328125,23.3154,119,40.0966,2620.57,595000,1797.03
120,-2254.573974609375,21.4203,120,21.3307,453.36,600000,771.32
121,-4270.90234375,23.6755,121,62.4135,1207.23,605000,1250.56
122,-4076.25390625,24.0984,122,45.3373,3102.67,610000,1323.64
123,-2309.844970703125,22.7454,123,41.3375,3455.57,615000,2114.82
124,-4299.486328125,25.5111,124,50.6136,1528.55,620000,1081.7
125,-3774.3984375,23.1472,125,46.6479,1225.15,625000,1169.04
126,-3283.499755859375,22.4343,126,43.531,1425.48,630000,1260.57
127,-4150.8896484375,23.6873,127,41.946,728.93,635000,932.23
128,-4023.951171875,23.8755,128,44.4524,3171.87,640000,1497.52
129,-2917.23974609375,22.4846,129,39.4897,161.6,645000,229.85
130,-4775.90185546875,24.5518,130,68.9957,2305.32,650000,1219.72
131,-4499.18701171875,25.8003,131,55.8014,1495.64,655000,1358.5
132,-3935.3564453125,22.3355,132,47.4998,3500.53,660000,1908.83
133,-4258.28955078125,23.6517,133,42.936,3093.58,665000,1598.16
134,-4973.11376953125,24.7347,134,63.0513,1975.17,670000,1243.37
135,-4477.64013671875,24.7755,135,40.1804,2305.51,675000,1276.07
136,-4497.56103515625,23.5046,136,55.3242,2231.82,680000,1752.75
137,-4982.04833984375,23.7734,137,41.2405,3040.21,685000,1493.11
138,-4146.52294921875,24.6063,138,36.6383,3064.84,690000,736.76
139,-3348.36083984375,22.3535,139,47.1601,945.28,695000,1214.37
140,-5132.3818359375,23.7716,140,47.9457,1398.71,700000,1211.74
141,-4883.8828125,22.4232,141,57.8619,2696.44,705000,1307.91
142,-5168.06689453125,23.926,142,48.1623,2615.4,710000,1223.98
143,-4899.91943359375,24.0037,143,93.7835,2156.35,715000,1302.93
144,-4753.15771484375,24.0607,144,46.3878,22.28,720000,671.23
145,-5834.4287109375,23.1169,145,80.6601,2831.62,725000,1396.6
146,-5017.31494140625,23.9029,146,59.1832,1741.75,730000,1185.39
147,-5823.83984375,24.9439,147,77.8437,868.48,735000,1060.68
148,-5307.74267578125,24.9384,148,77.0523,282.03,740000,170.71
149,-5893.3408203125,24.5666,149,80.1606,455.97,745000,593.07
150,-6109.67138671875,26.1475,150,54.3961,950.35,750000,909.1
151,-5299.634765625,24.5888,151,46.7218,1406.68,755000,1186.05
152,-5094.2109375,23.7063,152,67.2099,1064.86,760000,1248.83
153,-6473.39892578125,25.8677,153,69.8743,2646.27,765000,1237.74
154,-5033.30810546875,23.7468,154,45.824,1811.85,770000,1502.44
155,-6706.0068359375,25.0532,155,67.0197,1134.41,775000,1159.82
156,-5410.5625,23.2468,156,59.0219,2168.98,780000,1433.85
157,-6134.8828125,25.1488,157,58.4553,1388.34,785000,1315.51
158,-6830.2919921875,25.2798,158,56.0972,1944.1,790000,1771.99
159,-5349.16845703125,22.8964,159,79.1867,1819.4,795000,1319.99
160,-6499.841796875,24.0806,160,87.3283,1475.87,800000,1011.49
161,-6335.06201171875,23.7646,161,78.9748,1570.76,805000,1478.59
162,-5562.11181640625,21.7452,162,89.968,3132.56,810000,1402.82
163,-7416.23779296875,25.6551,163,122.2569,1387.51,815000,1233.83
164,-5620.69482421875,23.7773,164,84.2664,3332.43,820000,1385.69
165,-5331.416015625,23.2854,165,54.4355,3381.32,825000,1499.73
166,-7451.3759765625,23.581,166,111.0585,1373.07,830000,1344.97
167,-6494.54150390625,23.7566,167,69.3852,1353.01,835000,1496.45
168,-7028.23388671875,23.6949,168,79.3506,3571.47,840000,1580.91
169,-7243.76611328125,24.7422,169,110.3044,3496.36,845000,1248.59
170,-6999.29345703125,23.7511,170,83.1206,1640.31,850000,927.83
171,-6487.4599609375,22.7018,171,64.1252,2463.66,855000,1278.66
172,-7541.99365234375,23.9061,172,68.5205,1508.47,860000,1259.0
173,-7195.779296875,24.1476,173,96.2765,1013.27,865000,980.88
174,-8118.47021484375,25.4662,174,93.9061,1123.27,870000,1251.29
175,-7560.48046875,23.4311,175,81.4966,2697.18,875000,1306.23
176,-8446.994140625,24.4163,176,131.9298,1226.45,880000,1255.85
177,-6833.3671875,23.7432,177,90.9383,2928.82,885000,1528.52
178,-8111.79150390625,24.8466,178,91.9872,1526.2,890000,1039.11
179,-8741.9248046875,24.5185,179,113.371,1709.28,895000,1530.02
180,-7547.0888671875,25.1383,180,46.9247,1050.02,900000,1055.4
181,-7486.228515625,23.5569,181,76.1883,1306.3,905000,1447.7
182,-8252.58984375,25.1077,182,99.1685,1017.87,910000,1080.06
183,-8928.2998046875,24.8103,183,108.4992,854.81,915000,1228.17
184,-8455.2470703125,24.522,184,106.9328,1635.89,920000,1461.95
185,-7696.62109375,24.5519,185,45.5339,1285.7,925000,1187.46
186,-8526.7763671875,22.728,186,89.1063,1214.62,930000,890.52
187,-8539.078125,24.9692,187,95.452,1274.56,935000,1002.75
188,-8177.15234375,24.4918,188,71.3781,1048.49,940000,1160.84
189,-7624.35009765625,24.5404,189,78.6669,1283.8,945000,1302.28
190,-7474.40576171875,24.1781,190,43.3686,1050.61,950000,745.62
191,-7067.6376953125,23.1602,191,75.4517,911.42,955000,1089.69
192,-7891.2978515625,24.0459,192,83.2565,1351.57,960000,1287.64
193,-7791.0244140625,23.8198,193,49.0197,1208.48,965000,1391.4
194,-6887.15380859375,24.0143,194,25.4696,1404.95,970000,1372.33
195,-10766.7060546875,26.3183,195,111.1253,1112.99,975000,1302.03
196,-8333.58203125,23.7448,196,81.5999,881.37,980000,1773.26
197,-8607.01953125,24.4934,197,82.2762,1237.42,985000,1397.51
198,-7585.87060546875,23.9567,198,58.2522,1166.47,990000,1170.52
199,-8941.1083984375,25.0767,199,82.4624,1243.68,995000,854.61
