Running Env Steps,Real Det Return,Running Update Time,Running Reverse KL,Reward Loss,Real Sto Return,Running Forward KL,Itration
595000,2190.47,119,15.4754,-24814.267578125,1825.16,156.7499,119
600000,2147.73,120,15.517,-25031.544921875,1834.66,156.7753,120
605000,2203.89,121,15.9852,-25321.998046875,1843.9,156.8848,121
610000,2229.06,122,16.2036,-25764.630859375,1878.14,156.8283,122
615000,2160.63,123,15.5693,-25752.009765625,1833.24,156.7813,123
620000,2211.21,124,15.7638,-25948.64453125,1841.25,156.9146,124
625000,2246.1,125,15.9545,-26456.5234375,1862.83,156.7451,125
630000,2178.04,126,15.718,-26659.31640625,1835.76,157.0402,126
635000,2169.82,127,15.4814,-27015.466796875,1776.12,157.0791,127
640000,2158.04,128,15.6794,-27091.892578125,1844.64,156.878,128
645000,2169.48,129,15.8779,-27491.19921875,1843.47,156.9511,129
650000,2161.9,130,15.5503,-27679.576171875,1830.29,156.923,130
655000,2188.35,131,15.5969,-28013.09375,1833.15,156.8846,131
660000,2210.83,132,15.7536,-28147.37109375,1877.53,156.7076,132
665000,2214.61,133,15.8544,-28581.62109375,1872.39,157.0249,133
670000,2110.59,134,15.522,-28733.44921875,1812.8,157.065,134
675000,2214.29,135,15.7766,-29115.81640625,1875.17,157.091,135
680000,2225.29,136,15.4996,-29228.03125,1851.71,156.8486,136
685000,2221.35,137,15.751,-29443.572265625,1856.87,156.7701,137
690000,2219.02,138,15.8289,-29801.46875,1879.02,156.9098,138
695000,2235.39,139,15.8443,-30125.416015625,1878.01,156.91,139
700000,2192.16,140,15.8509,-30340.498046875,1842.98,156.9632,140
705000,2215.07,141,15.835,-30652.685546875,1850.26,156.786,141
710000,2183.26,142,15.6415,-30797.857421875,1858.01,156.7734,142
715000,2159.87,143,15.7114,-31183.921875,1852.16,156.8519,143
720000,2227.49,144,15.6411,-31589.310546875,1852.22,156.9183,144
725000,2187.32,145,16.0179,-31715.0546875,1872.09,157.0574,145
730000,2188.54,146,15.3342,-31879.92578125,1831.64,156.7422,146
735000,2259.67,147,15.6889,-32114.95703125,1891.55,156.8314,147
740000,2148.44,148,15.4827,-32476.365234375,1843.01,156.8839,148
745000,2207.87,149,15.2618,-32658.5390625,1845.58,156.7983,149
750000,2218.04,150,15.3885,-32837.56640625,1877.77,156.6331,150
755000,2231.01,151,15.7805,-33486.34375,1873.12,156.8259,151
760000,2228.3,152,15.4554,-33716.3671875,1828.77,156.7288,152
765000,2189.46,153,15.82,-34254.1484375,1861.27,157.0161,153
770000,2203.03,154,15.6359,-34283.1796875,1846.84,156.8246,154
775000,2219.34,155,15.4712,-34513.99609375,1859.9,156.8881,155
780000,2245.7,156,15.6069,-34907.79296875,1853.54,156.8115,156
785000,2183.1,157,15.5117,-35107.60546875,1848.35,157.0391,157
790000,2207.31,158,15.481,-35610.64453125,1867.99,156.8083,158
