Itration,Running Forward KL,Reward Loss,Real Det Return,Running Update Time,Running Env Steps,Real Sto Return,Running Reverse KL
60,28.1032,-133.36538696289062,3289.95,60,300000,3230.43,12.7923
61,28.1301,-156.25787353515625,3319.98,61,305000,2828.22,12.323
62,28.8547,-166.05471801757812,3301.15,62,310000,3198.61,12.9931
63,26.7674,-116.77436065673828,3369.09,63,315000,3019.23,12.1734
64,28.0753,-155.87863159179688,3418.06,64,320000,3383.24,13.2358
65,27.4939,-143.0836639404297,3350.42,65,325000,3242.89,12.4053
66,27.3216,-162.77488708496094,3389.67,66,330000,3098.49,12.8675
67,26.6468,-133.27098083496094,3393.82,67,335000,3378.88,11.7794
68,28.0423,-183.70343017578125,3440.47,68,340000,2784.26,15.4587
69,27.4203,-149.1264190673828,3395.66,69,345000,3350.32,12.0416
70,27.8868,-163.19851684570312,3354.37,70,350000,3362.75,12.4457
71,27.6092,-154.56109619140625,3400.99,71,355000,2719.35,13.27
72,27.3375,-119.0006103515625,3334.81,72,360000,3325.51,11.4572
73,26.6285,-132.82130432128906,217.79,73,365000,394.45,14.3875
74,27.6107,-165.8813018798828,3392.98,74,370000,3074.78,12.3449
75,27.1787,-128.39158630371094,3339.94,75,375000,3328.01,11.6552
76,28.158,-164.23675537109375,3355.34,76,380000,1811.79,11.2704
77,27.3585,-166.39405822753906,3401.84,77,385000,3314.88,12.0117
78,27.0447,-152.05982971191406,3431.05,78,390000,2207.79,10.8753
79,27.9759,-199.9695281982422,3410.28,79,395000,3385.11,12.6241
80,27.7896,-175.697021484375,3397.2,80,400000,3157.98,11.8159
81,28.192,-130.5486297607422,3360.81,81,405000,2845.79,12.3751
82,27.9292,-153.0247344970703,3352.45,82,410000,3266.95,12.1652
83,28.3253,-180.37106323242188,3400.53,83,415000,3376.66,12.2011
84,28.2277,-206.50015258789062,3457.66,84,420000,3427.55,13.0897
85,28.5611,-195.9201202392578,3468.91,85,425000,3480.69,14.1364
86,28.2754,-182.3513641357422,3408.02,86,430000,3415.68,12.9525
87,28.1423,-188.0414276123047,3445.67,87,435000,3087.56,11.4633
88,27.2775,-169.16966247558594,3473.82,88,440000,3334.17,11.7853
89,27.0082,-192.1476287841797,3419.69,89,445000,3255.52,11.7846
90,26.4806,-171.02694702148438,3426.2,90,450000,3397.75,11.2128
91,27.0898,-169.6262969970703,3480.89,91,455000,3430.42,11.6598
92,28.0657,-224.53631591796875,3453.96,92,460000,2500.4,12.3328
93,26.9777,-170.6970977783203,3474.32,93,465000,3465.22,11.4553
94,27.4778,-160.04901123046875,3422.83,94,470000,3361.11,11.5654
95,27.2852,-146.5779571533203,3458.8,95,475000,3116.41,11.7941
96,26.9996,-173.04946899414062,3409.6,96,480000,3199.1,11.291
97,27.471,-187.216552734375,3473.78,97,485000,2392.65,11.426
98,26.9942,-200.09518432617188,3456.68,98,490000,2794.24,12.9955
99,26.252,-119.11792755126953,3455.84,99,495000,3026.16,10.8437
100,27.6482,-207.82778930664062,3417.11,100,500000,3054.26,11.0322
101,27.3095,-171.05015563964844,3397.01,101,505000,3376.82,12.3754
102,26.8221,-167.06008911132812,3430.96,102,510000,3426.21,11.6758
103,25.9173,-110.11109924316406,3460.76,103,515000,3421.76,10.7487
104,26.5634,-222.55873107910156,3444.84,104,520000,2599.58,10.915
105,26.3694,-185.20965576171875,3431.01,105,525000,3217.55,11.2289
106,27.5245,-255.1378936767578,3440.16,106,530000,1987.58,11.6479
107,28.5476,-290.3445739746094,3393.37,107,535000,1408.41,14.3126
108,26.154,-242.85250854492188,3456.19,108,540000,1973.66,11.3903
109,27.6985,-237.07962036132812,3387.21,109,545000,3308.48,12.4762
110,25.9397,-210.28070068359375,3415.27,110,550000,3288.81,11.2198
111,27.3179,-252.5529327392578,3398.11,111,555000,2804.36,13.2648
112,26.6748,-231.75537109375,3394.33,112,560000,3209.44,11.1322
113,27.3758,-240.56527709960938,3417.88,113,565000,2582.14,13.7582
114,26.1981,-208.35079956054688,3446.18,114,570000,3182.9,11.7689
115,27.6112,-262.15521240234375,3441.27,115,575000,2214.2,14.2462
116,25.9372,-244.11097717285156,3404.78,116,580000,3077.46,10.7312
117,26.8251,-198.710205078125,3379.72,117,585000,2329.83,11.4825
118,28.7346,-302.6844177246094,3430.22,118,590000,2121.93,19.2246
119,27.0204,-206.45541381835938,3396.53,119,595000,3075.86,11.404
120,27.1204,-254.10684204101562,3440.17,120,600000,3012.98,12.5463
121,28.4881,-301.251708984375,3337.35,121,605000,1862.99,17.7776
122,27.2896,-219.10714721679688,3431.23,122,610000,2793.1,11.2415
123,27.9901,-223.18373107910156,3419.63,123,615000,2671.35,12.6204
124,26.9233,-193.44268798828125,3444.08,124,620000,2760.92,12.1941
125,26.8495,-192.0132293701172,3425.15,125,625000,2573.8,11.5382
126,27.6235,-300.3365478515625,3384.47,126,630000,1725.98,15.4296
127,26.1446,-272.65875244140625,3457.32,127,635000,2474.27,11.4405
128,26.9964,-255.75494384765625,3434.5,128,640000,2900.83,12.3157
129,27.8204,-250.35845947265625,3434.41,129,645000,2701.81,11.6439
130,26.465,-244.82452392578125,3454.64,130,650000,3249.48,11.309
131,28.0688,-287.6466064453125,3442.0,131,655000,2842.86,12.109
132,27.3091,-240.9949951171875,3434.29,132,660000,3387.3,11.4958
133,27.0044,-258.6482238769531,3410.81,133,665000,2175.74,12.2538
134,26.8288,-199.65335083007812,3408.55,134,670000,3370.2,11.0942
135,27.9957,-303.375,3477.91,135,675000,2377.06,12.8811
136,27.5528,-281.4433288574219,3411.44,136,680000,2617.29,12.0954
137,27.8379,-234.4965362548828,3488.83,137,685000,2317.94,13.9944
138,27.5345,-247.8311309814453,3432.78,138,690000,3022.55,11.488
139,43.6637,-463.4435119628906,-2.35,139,695000,-2.35,156.3781
140,33.9798,-414.7278747558594,1046.13,140,700000,1134.0,22.371
141,43.4481,-389.4469299316406,986.69,141,705000,985.61,47.2714
142,29.1966,-251.057861328125,1598.4,142,710000,1770.45,21.0509
143,31.6837,-163.16238403320312,186.84,143,715000,191.16,15.008
144,30.84,-310.67999267578125,1002.62,144,720000,870.07,16.763
145,27.6616,-262.7150573730469,2461.86,145,725000,1807.52,13.416
146,27.2102,-328.10064697265625,3317.73,146,730000,3304.28,13.263
147,27.691,-269.0660705566406,3312.89,147,735000,3301.54,13.4062
148,23.3018,-183.93531799316406,3398.77,148,740000,3375.65,10.4855
149,27.6958,-280.88140869140625,3372.38,149,745000,2657.59,12.7336
150,27.0858,-285.8537292480469,3369.78,150,750000,3263.81,11.8074
151,26.1625,-244.72349548339844,1079.69,151,755000,2003.79,12.093
152,26.6389,-331.9874267578125,3412.3,152,760000,1640.49,14.6352
153,26.4154,-290.9945068359375,3341.02,153,765000,2490.85,11.7246
154,25.8499,-377.0224304199219,3450.88,154,770000,2643.76,13.2527
155,25.0428,-227.0389862060547,3380.95,155,775000,3365.83,10.785
156,25.745,-248.54244995117188,3433.85,156,780000,3298.52,12.0282
157,24.9261,-188.47808837890625,3423.02,157,785000,3372.62,11.1519
158,24.7019,-259.6656799316406,3464.77,158,790000,2887.07,12.7779
159,26.68,-300.3471984863281,3442.93,159,795000,2621.33,12.7867
160,26.3143,-248.8600311279297,3425.86,160,800000,3167.63,11.4081
161,24.6873,-279.6269226074219,3475.45,161,805000,3255.3,11.2372
162,25.2468,-316.81256103515625,3374.39,162,810000,3127.58,11.1611
163,25.6733,-248.61654663085938,3420.77,163,815000,3321.71,11.261
164,27.2155,-333.1551513671875,3406.1,164,820000,2585.46,12.3978
165,26.9885,-367.5111389160156,3448.86,165,825000,3350.67,12.5165
166,26.7558,-310.6401672363281,3445.64,166,830000,3218.12,11.8039
167,25.7175,-330.726806640625,3452.68,167,835000,2894.79,15.1449
168,26.4296,-317.03460693359375,3420.72,168,840000,3062.89,11.6795
169,26.4997,-263.1971740722656,3401.65,169,845000,3101.1,11.9963
170,25.685,-310.3324890136719,3411.27,170,850000,2750.05,10.9692
171,25.9141,-290.0575256347656,3450.52,171,855000,2765.93,11.3977
172,26.2629,-272.2404479980469,3406.36,172,860000,3241.24,11.0181
173,25.493,-293.8704833984375,3449.11,173,865000,2813.51,14.3275
174,25.0303,-226.5542449951172,3395.16,174,870000,3259.49,10.7393
175,26.4005,-328.11651611328125,3460.06,175,875000,3227.85,11.1752
176,25.2361,-279.2624206542969,3382.0,176,880000,2879.64,10.3792
177,25.0891,-282.93109130859375,3378.54,177,885000,3117.5,15.5574
178,26.8393,-357.2013854980469,3408.94,178,890000,3046.28,11.3696
179,25.0883,-276.3843688964844,3375.4,179,895000,3375.41,11.2306
180,27.4829,-429.2608947753906,3396.14,180,900000,2318.15,12.655
181,26.3243,-319.52899169921875,3398.36,181,905000,3065.99,11.3555
182,27.4552,-414.7151184082031,3440.71,182,910000,3001.83,14.6116
183,23.9651,-195.81838989257812,3436.29,183,915000,3317.13,10.6004
184,26.7945,-330.1622314453125,3388.9,184,920000,3204.65,11.7301
185,26.6242,-332.4456787109375,3417.78,185,925000,2818.31,13.8632
186,26.0988,-355.17852783203125,3451.59,186,930000,2796.42,11.9471
187,28.0274,-503.7589111328125,3508.96,187,935000,2178.93,30.5021
188,25.5022,-322.96722412109375,3431.89,188,940000,3428.6,11.1569
189,26.0403,-303.0513610839844,3403.3,189,945000,3192.39,12.837
190,26.1811,-323.8063659667969,3427.42,190,950000,2826.0,11.6328
191,26.7326,-371.3650207519531,3434.93,191,955000,3246.98,11.496
192,27.9977,-429.21435546875,3475.75,192,960000,2918.03,11.2948
193,26.4488,-300.1775207519531,3423.75,193,965000,3237.54,11.8195
194,27.9815,-427.5203552246094,3386.5,194,970000,2524.5,11.7396
195,27.0521,-355.45843505859375,3454.2,195,975000,2944.5,11.9517
196,26.7828,-387.4169921875,3406.72,196,980000,3292.15,11.3995
197,26.3747,-328.1156311035156,3473.15,197,985000,3151.75,11.53
198,25.8309,-281.0866394042969,3461.89,198,990000,3173.64,10.4271
199,26.2603,-349.70867919921875,3473.54,199,995000,2995.37,13.4882
