Real Sto Return,Running Env Steps,Itration,Running Reverse KL,Reward Loss,Real Det Return,Running Forward KL,Running Update Time
3272.57,395000,79,15.9852,-525.713134765625,3382.77,24.126,79
3356.86,400000,80,15.4288,-531.2514038085938,3442.03,22.8073,80
3436.59,405000,81,15.4062,-586.7527465820312,3453.85,23.4636,81
3365.0,410000,82,15.4153,-531.0420532226562,3405.45,22.6767,82
3099.18,415000,83,16.0991,-630.3367919921875,3431.83,23.9919,83
3408.38,420000,84,16.5046,-607.843017578125,3428.0,23.8396,84
3293.09,425000,85,18.5953,-769.2720336914062,3468.35,24.2904,85
3321.46,430000,86,15.2763,-620.7688598632812,3353.39,23.944,86
3433.17,435000,87,16.3382,-620.216796875,3444.13,23.5414,87
3353.13,440000,88,16.4822,-635.2549438476562,3432.54,24.289,88
3338.6,445000,89,16.1098,-647.5731811523438,3392.06,23.6777,89
3179.2,450000,90,15.2686,-650.6708374023438,3354.51,24.0846,90
3112.43,455000,91,16.3752,-681.7767944335938,3471.66,24.2917,91
3046.78,460000,92,15.7711,-764.2694702148438,3436.68,24.3178,92
3423.02,465000,93,16.1419,-676.8148193359375,3420.01,24.0301,93
3307.96,470000,94,15.9973,-660.4757080078125,3390.27,24.2295,94
3060.48,475000,95,16.512,-778.9530639648438,3429.03,24.0174,95
3402.44,480000,96,16.2295,-706.0078735351562,3420.33,24.3234,96
3423.19,485000,97,16.4672,-736.484619140625,3432.58,24.2048,97
3319.89,490000,98,16.3667,-745.02587890625,3451.66,23.7494,98
3159.71,495000,99,16.3073,-806.1891479492188,3405.17,24.5212,99
3431.86,500000,100,16.1289,-776.584716796875,3440.57,23.839,100
3301.93,505000,101,15.8704,-805.4000854492188,3372.02,23.575,101
3426.37,510000,102,15.5871,-740.1307983398438,3436.62,23.8415,102
3401.0,515000,103,16.0174,-804.002685546875,3411.47,23.1906,103
3394.55,520000,104,16.1245,-790.73681640625,3415.98,23.8655,104
3322.23,525000,105,16.212,-725.5439453125,3394.36,23.8419,105
3398.91,530000,106,15.2225,-829.7582397460938,3409.3,23.2762,106
3419.12,535000,107,15.5662,-843.1983642578125,3419.19,23.1321,107
3401.68,540000,108,15.0954,-853.2105712890625,3423.9,22.2106,108
3184.16,545000,109,16.1874,-841.907958984375,3437.15,24.2598,109
3337.01,550000,110,15.7028,-830.6704711914062,3394.13,24.2624,110
3423.22,555000,111,15.3642,-911.142822265625,3453.46,23.8375,111
3327.81,560000,112,15.5959,-924.4606323242188,3429.55,23.1135,112
3280.88,565000,113,15.8571,-958.7275390625,3381.72,23.772,113
3393.66,570000,114,15.9333,-882.3968505859375,3416.41,23.2944,114
2976.53,575000,115,12.7705,-912.5357666015625,3430.31,21.8129,115
3317.19,580000,116,15.9256,-929.6699829101562,3421.31,23.4072,116
3313.9,585000,117,15.8314,-961.1109619140625,3417.58,23.7704,117
3357.44,590000,118,15.5749,-1011.7296142578125,3383.14,23.5871,118
3158.31,595000,119,15.7464,-920.9844970703125,3390.73,24.0041,119
3229.45,600000,120,15.3747,-947.6902465820312,3375.1,23.8972,120
3333.27,605000,121,15.4405,-875.3817138671875,3407.79,21.8053,121
3423.01,610000,122,15.9823,-1050.4190673828125,3424.0,23.3832,122
3330.26,615000,123,15.8437,-1012.2149658203125,3392.56,23.2754,123
3011.62,620000,124,15.6307,-1051.189453125,3412.82,24.1169,124
3154.73,625000,125,16.0356,-1144.829833984375,3404.2,24.6103,125
3318.83,630000,126,16.4394,-1125.3304443359375,3422.6,23.6841,126
3216.3,635000,127,14.8596,-1113.239990234375,3450.53,23.5553,127
3289.84,640000,128,14.9632,-1047.1697998046875,3422.14,22.1675,128
3223.14,645000,129,15.6546,-1095.37158203125,3441.86,23.4655,129
3361.58,650000,130,15.3203,-1117.1646728515625,3439.86,22.8888,130
3405.73,655000,131,15.4402,-1184.3773193359375,3425.81,22.6259,131
3374.87,660000,132,15.6319,-1240.364990234375,3404.66,23.5629,132
3277.68,665000,133,15.373,-1188.1129150390625,3434.53,22.48,133
2997.85,670000,134,14.9989,-1107.9520263671875,3382.77,23.9198,134
3409.82,675000,135,15.6014,-1142.6768798828125,3434.12,22.7705,135
3333.94,680000,136,15.6544,-1122.061279296875,3442.95,23.5347,136
3390.01,685000,137,15.529,-1070.183837890625,3420.09,23.1814,137
3108.31,690000,138,16.2782,-1230.0233154296875,3437.7,22.3274,138
3226.9,695000,139,15.9009,-1222.160888671875,3425.3,22.7808,139
3288.63,700000,140,15.7928,-1166.9388427734375,3459.03,22.2936,140
3429.82,705000,141,15.8861,-1315.94482421875,3441.93,23.2177,141
3450.07,710000,142,15.8361,-1249.4854736328125,3466.05,23.4637,142
3379.26,715000,143,16.34,-1188.044677734375,3416.23,23.2713,143
3409.58,720000,144,15.2064,-1206.2415771484375,3443.46,22.0537,144
3192.27,725000,145,15.571,-1428.3896484375,3437.71,23.792,145
3352.97,730000,146,15.8035,-1248.9735107421875,3423.59,23.5752,146
3026.68,735000,147,14.3757,-1377.1336669921875,3432.7,22.0554,147
3307.17,740000,148,14.9445,-1362.0147705078125,3405.69,23.4009,148
3298.74,745000,149,15.2382,-1314.385498046875,3442.74,22.7439,149
3311.64,750000,150,14.723,-1393.04931640625,3442.17,21.7324,150
3202.74,755000,151,16.379,-1415.9791259765625,3424.97,22.8366,151
3409.54,760000,152,15.693,-1368.6575927734375,3437.13,23.01,152
3385.68,765000,153,14.9459,-1388.0225830078125,3438.42,23.3706,153
3399.14,770000,154,15.1804,-1417.474853515625,3420.49,23.3136,154
3312.84,775000,155,15.0947,-1356.6219482421875,3440.75,23.0748,155
3309.4,780000,156,15.4444,-1402.8720703125,3415.23,21.9687,156
3410.22,785000,157,14.7923,-1332.01025390625,3454.65,22.5942,157
3411.75,790000,158,15.4807,-1346.157958984375,3447.04,22.1147,158
3295.64,795000,159,15.5375,-1523.3460693359375,3446.54,23.277,159
3370.93,800000,160,15.6264,-1493.906494140625,3415.87,22.8874,160
3207.71,805000,161,15.2586,-1634.8057861328125,3465.35,23.4784,161
3406.27,810000,162,15.2715,-1552.023681640625,3438.17,22.4114,162
3223.25,815000,163,15.4968,-1528.5224609375,3409.32,22.9219,163
3275.94,820000,164,14.6394,-1692.5784912109375,3433.7,22.9174,164
3369.44,825000,165,15.2287,-1512.6805419921875,3460.94,23.3227,165
3407.81,830000,166,15.6292,-1566.6783447265625,3446.53,23.2443,166
3419.09,835000,167,15.5774,-1563.6318359375,3444.64,22.3541,167
3367.19,840000,168,14.8079,-1688.7698974609375,3434.33,22.4299,168
3436.76,845000,169,15.6848,-1635.774658203125,3460.98,22.0701,169
3316.73,850000,170,15.3976,-1489.2216796875,3449.91,22.3639,170
3318.33,855000,171,15.8917,-1647.4954833984375,3439.71,22.7767,171
3425.43,860000,172,15.3262,-1562.92919921875,3457.49,22.7745,172
3422.49,865000,173,15.6991,-1569.0826416015625,3447.34,21.9547,173
3273.91,870000,174,14.7097,-1818.43310546875,3446.5,22.3591,174
3408.82,875000,175,15.1374,-1674.087158203125,3440.53,22.5267,175
3420.26,880000,176,14.5181,-1719.78173828125,3441.45,22.3213,176
3370.89,885000,177,16.2413,-2152.244140625,3448.43,24.2985,177
3438.31,890000,178,16.0515,-1746.556640625,3457.53,22.9032,178
3331.55,895000,179,15.9607,-1862.455078125,3451.86,22.4298,179
3430.49,900000,180,15.9137,-1848.129638671875,3450.13,22.8965,180
3427.47,905000,181,15.4216,-1717.5177001953125,3450.49,22.4458,181
3252.19,910000,182,16.11,-1805.3609619140625,3466.16,22.9109,182
3358.44,915000,183,15.447,-1920.5364990234375,3460.18,23.0272,183
3376.78,920000,184,15.6451,-1758.7158203125,3432.31,22.3063,184
3395.23,925000,185,15.9398,-1972.7432861328125,3442.64,23.1694,185
3441.45,930000,186,16.0993,-1917.5223388671875,3440.77,23.4374,186
3400.68,935000,187,15.2274,-1835.1082763671875,3443.44,21.3969,187
3366.94,940000,188,15.497,-1995.80078125,3452.36,22.8114,188
3344.93,945000,189,16.2888,-2011.8604736328125,3462.18,22.8203,189
3112.15,950000,190,15.6655,-1905.2171630859375,3459.18,22.3841,190
3068.71,955000,191,20.7023,-1793.617431640625,3444.79,22.5446,191
3421.92,960000,192,15.9524,-2018.451416015625,3469.82,22.7377,192
3338.21,965000,193,14.5403,-1840.5904541015625,3451.15,22.2305,193
3382.21,970000,194,15.379,-1937.249267578125,3438.12,22.3111,194
3410.42,975000,195,15.2068,-1940.687255859375,3457.49,22.445,195
3382.18,980000,196,15.0956,-1924.6370849609375,3450.18,22.2639,196
3359.49,985000,197,14.8716,-2036.439208984375,3444.73,21.296,197
3403.57,990000,198,15.5594,-2163.60986328125,3439.78,22.006,198
3099.07,995000,199,15.3781,-2069.892578125,3446.34,22.4895,199
