Itration,Reward Loss,Running Update Time,Running Env Steps,Running Reverse KL,Real Sto Return,Real Det Return,Running Forward KL
53,-1342.5810546875,53,265000,15.0678,2571.25,2972.28,41.9109
54,-1231.2606201171875,54,270000,13.7459,2808.44,1931.55,42.1089
55,-1173.7008056640625,55,275000,14.4688,3441.76,3509.78,41.6357
56,-1435.2486572265625,56,280000,17.9589,2238.0,2135.23,42.4753
57,-1086.15625,57,285000,13.0532,3810.2,3900.24,41.7761
58,-1131.687744140625,58,290000,12.9802,3541.0,3423.39,42.1365
59,-1113.5577392578125,59,295000,14.6803,3639.92,3643.52,40.9189
60,-1312.6158447265625,60,300000,14.6128,3667.71,3607.89,41.879
61,-1255.42724609375,61,305000,14.0392,3831.12,4015.19,41.3451
62,-1133.78271484375,62,310000,15.9648,3822.8,3906.08,41.6066
63,-1282.7352294921875,63,315000,13.5533,3638.72,3387.33,41.5436
64,-1288.251220703125,64,320000,13.4094,3865.44,3949.8,41.4577
65,-1292.73779296875,65,325000,17.1003,3977.23,3992.7,40.7051
66,-1202.33056640625,66,330000,13.5795,3720.69,4216.03,40.101
67,-1205.113037109375,67,335000,17.0685,4064.72,4130.59,41.6286
68,-1246.0927734375,68,340000,13.4402,3898.71,3987.96,41.2657
69,-1262.7891845703125,69,345000,12.7688,3963.71,4045.28,39.9755
70,-1215.4190673828125,70,350000,14.7571,4222.77,4374.52,40.137
71,-1193.1490478515625,71,355000,13.9957,4150.66,4196.96,40.6202
72,-1190.966796875,72,360000,16.0406,4179.06,4332.53,40.9017
73,-1223.5511474609375,73,365000,17.6261,4242.61,4159.71,41.3299
74,-1315.0174560546875,74,370000,16.4908,4224.28,4369.69,41.1146
75,-1289.617431640625,75,375000,16.5962,4265.9,4345.74,41.2458
76,-1348.4561767578125,76,380000,16.0977,4235.05,4205.32,40.4777
77,-1275.85546875,77,385000,15.1603,4259.69,4219.55,40.3982
78,-1379.8638916015625,78,390000,15.0661,3760.71,4013.92,40.838
79,-1316.634033203125,79,395000,15.25,4334.44,4433.53,40.5883
80,-1309.4443359375,80,400000,14.5419,4357.65,4050.31,38.8105
81,-1377.0328369140625,81,405000,15.9487,4029.32,4538.59,39.7818
82,-1351.61279296875,82,410000,13.4054,4389.62,4580.2,37.9923
83,-1414.2938232421875,83,415000,15.7534,4240.16,4315.59,40.5717
84,-1503.21435546875,84,420000,14.8844,4324.91,4432.07,39.5422
85,-1446.5863037109375,85,425000,13.9265,4244.38,4479.6,38.0909
86,-1437.091552734375,86,430000,15.6423,4401.32,4624.26,39.9838
87,-1541.9532470703125,87,435000,14.18,4403.39,4587.9,38.5823
88,-1483.524169921875,88,440000,15.0366,4426.23,4569.01,39.0819
89,-1566.762451171875,89,445000,15.0481,4229.67,4315.8,40.4147
90,-1653.8966064453125,90,450000,17.3884,4373.86,4470.46,39.8376
91,-1657.34228515625,91,455000,13.6336,4212.8,4538.27,39.3578
92,-1507.28759765625,92,460000,14.3035,4422.3,4484.78,38.1806
93,-1616.3175048828125,93,465000,14.1268,4332.96,4451.95,39.4995
94,-1638.263916015625,94,470000,14.6712,4392.97,4501.65,39.7919
95,-1616.7203369140625,95,475000,14.0162,4427.72,4530.48,38.4173
96,-1592.1170654296875,96,480000,12.8476,4432.06,4536.7,37.1469
97,-1854.1463623046875,97,485000,16.4064,4422.7,4580.48,40.0102
98,-1769.2340087890625,98,490000,13.4225,4454.68,4556.48,38.87
99,-1824.72607421875,99,495000,12.767,4390.21,4538.3,38.8347
100,-1868.034912109375,100,500000,12.9277,3870.51,4472.2,39.3518
101,-1788.759765625,101,505000,13.6097,4394.78,4541.61,38.8405
102,-2048.65625,102,510000,14.3947,3853.21,4433.19,39.3139
103,-1945.8353271484375,103,515000,14.8169,4453.41,4535.06,39.1212
104,-1764.841064453125,104,520000,14.1607,4362.65,4406.38,38.155
105,-1762.480712890625,105,525000,13.218,4227.43,4481.26,38.2681
106,-1999.1575927734375,106,530000,13.1994,3928.53,4445.59,38.7255
107,-2145.54443359375,107,535000,16.0612,4369.68,4442.72,38.4162
108,-1939.438720703125,108,540000,14.2688,4412.53,4514.05,39.1607
109,-1705.661865234375,109,545000,12.8368,4457.48,4534.2,36.4207
110,-1844.0745849609375,110,550000,14.3599,4473.4,4550.25,38.3542
111,-1868.8134765625,111,555000,13.222,4425.38,4558.8,38.0652
112,-1920.2352294921875,112,560000,13.9054,4453.78,4559.58,38.6679
113,-2247.17138671875,113,565000,17.3156,4204.92,4527.96,38.4756
114,-2036.90185546875,114,570000,14.7737,4369.56,4503.94,39.4952
115,-2057.13818359375,115,575000,15.971,4486.17,4518.77,38.9186
116,-1961.771240234375,116,580000,16.0494,4543.82,4645.24,39.5327
117,-2033.737548828125,117,585000,15.6197,4434.26,4631.65,39.2345
118,-2113.30126953125,118,590000,14.1468,3524.59,4493.6,39.2032
119,-2179.629638671875,119,595000,14.1227,4454.99,4569.06,39.4375
120,-2045.374755859375,120,600000,16.4125,4301.7,4566.21,39.1574
121,-2107.55810546875,121,605000,16.0776,4465.35,4597.7,39.3209
122,-2107.670166015625,122,610000,13.2691,4412.99,4487.55,38.7018
123,-2055.2783203125,123,615000,14.9396,4562.96,4614.19,37.9458
124,-2071.258056640625,124,620000,14.996,4592.98,4721.34,37.9757
125,-2234.5849609375,125,625000,14.0763,4509.48,4309.7,37.5207
126,-2210.10205078125,126,630000,13.8752,4306.19,4560.17,38.2717
127,-2265.665283203125,127,635000,14.9102,4498.81,4557.2,38.699
128,-2173.367919921875,128,640000,14.9831,4550.55,4539.67,37.7946
129,-2159.860107421875,129,645000,17.1848,4482.54,4641.46,39.1422
130,-2229.544921875,130,650000,13.735,4614.11,4727.9,37.3109
131,-2117.791015625,131,655000,14.1346,4630.96,4574.11,36.6471
132,-2276.944091796875,132,660000,13.4847,4543.39,4649.7,37.6079
133,-2253.658935546875,133,665000,13.9441,4546.64,4630.1,36.5106
134,-2247.570068359375,134,670000,13.6948,4407.44,4720.68,37.7852
135,-2134.63818359375,135,675000,13.9017,4695.13,4697.62,35.7014
136,-2333.489990234375,136,680000,14.021,4586.97,4584.02,36.8959
137,-2349.970947265625,137,685000,15.7477,4538.03,4662.55,38.4688
138,-2397.1220703125,138,690000,13.6839,4557.31,4634.22,37.8494
139,-2331.248046875,139,695000,13.0879,4672.38,4708.78,35.9681
140,-2426.200927734375,140,700000,13.4391,4625.43,4571.92,36.0975
141,-2439.283447265625,141,705000,14.1371,4621.59,4688.82,37.2625
142,-2488.26513671875,142,710000,14.38,4588.08,4656.53,37.4423
143,-2399.375732421875,143,715000,12.8492,4483.48,4744.03,36.1855
144,-2416.507080078125,144,720000,13.2788,4661.88,4809.73,37.1335
145,-2640.39892578125,145,725000,13.6506,4663.42,4694.85,36.7254
146,-2442.946044921875,146,730000,12.3831,4649.44,4685.76,36.6041
147,-2543.4677734375,147,735000,12.6075,4607.43,4602.08,36.9131
148,-2609.30322265625,148,740000,13.9887,4703.28,4842.67,37.5247
149,-2476.509521484375,149,745000,14.3585,4744.9,4870.81,37.0157
150,-2626.78759765625,150,750000,13.2346,4623.34,4649.47,37.2494
151,-2623.242431640625,151,755000,13.7461,4712.13,4774.52,36.3943
152,-2496.407470703125,152,760000,13.7715,4723.06,4780.24,35.8628
153,-2777.84814453125,153,765000,14.6995,4576.2,4657.11,37.4042
154,-2689.50537109375,154,770000,13.7158,4645.87,4762.55,36.2231
155,-2671.005859375,155,775000,15.3029,4657.33,4685.34,36.5856
156,-2402.44482421875,156,780000,13.3515,4738.48,4775.91,36.0854
157,-2993.323974609375,157,785000,14.8782,4585.58,4628.47,38.8225
158,-2790.5009765625,158,790000,12.415,4580.54,4638.72,37.5346
159,-2901.24755859375,159,795000,14.7618,4579.72,4720.29,36.7129
160,-2875.883544921875,160,800000,13.6638,4676.52,4764.64,37.0927
161,-2783.76123046875,161,805000,13.8982,4690.94,4524.87,35.6189
162,-2860.5,162,810000,12.8679,4570.06,4642.64,37.1741
163,-2792.0625,163,815000,13.4716,4729.38,4744.26,36.3508
164,-2881.4462890625,164,820000,13.5594,4719.3,4779.08,35.6059
165,-2923.490966796875,165,825000,13.8266,4642.29,4613.24,36.7811
166,-3227.92138671875,166,830000,14.8113,4640.13,4713.8,37.8983
167,-2852.928466796875,167,835000,13.7796,4734.77,4809.09,36.5084
168,-3186.381103515625,168,840000,14.3458,4628.42,4727.82,38.0115
169,-2780.31005859375,169,845000,12.6981,4761.32,4601.48,35.5641
170,-2931.24853515625,170,850000,13.9111,4772.26,4875.78,36.7724
171,-3093.75390625,171,855000,13.8881,4723.03,4775.97,37.1729
172,-3150.897705078125,172,860000,13.9829,4729.06,4820.84,36.6026
173,-2994.355224609375,173,865000,13.9725,4748.19,4673.7,36.1007
174,-2861.72998046875,174,870000,14.2245,4753.91,4814.63,35.9583
175,-3060.45556640625,175,875000,14.2663,4733.52,4825.14,36.0495
176,-3008.5498046875,176,880000,13.8522,4795.15,4709.26,35.5474
177,-2961.826904296875,177,885000,13.1631,4524.81,4706.85,35.7592
178,-3019.1611328125,178,890000,14.2702,4855.07,4922.43,36.224
179,-3265.4130859375,179,895000,14.0216,4694.96,4721.68,36.7947
180,-3223.0009765625,180,900000,13.7837,4769.84,4892.46,37.459
181,-3059.43310546875,181,905000,13.1154,4677.97,4983.23,36.2328
182,-3244.865966796875,182,910000,13.8642,4720.47,4747.38,35.7834
183,-3253.27197265625,183,915000,12.5436,4540.87,4757.03,36.9395
184,-3201.3076171875,184,920000,13.1974,4785.22,4723.57,35.8594
185,-3004.067138671875,185,925000,12.9793,4898.98,4841.02,34.4943
186,-3536.50146484375,186,930000,14.4168,4696.49,4739.88,37.3567
187,-3005.853271484375,187,935000,13.4408,4841.79,4846.6,34.7347
188,-3217.52587890625,188,940000,13.8631,4820.47,4787.88,35.9529
189,-3417.8466796875,189,945000,13.1014,4704.09,4665.29,36.4104
190,-3221.34423828125,190,950000,14.6206,4815.58,4815.39,36.2993
191,-3229.116943359375,191,955000,12.9408,4791.19,4700.35,35.8713
192,-3395.542724609375,192,960000,13.1806,4743.91,4798.48,36.5857
193,-3916.25830078125,193,965000,15.2628,4678.16,4761.97,37.3821
194,-3601.89453125,194,970000,14.4762,4737.22,4881.44,36.9949
195,-3518.08740234375,195,975000,14.4376,4686.38,4784.61,36.856
196,-3413.10498046875,196,980000,13.3544,4822.51,4860.91,36.4078
197,-3604.1904296875,197,985000,13.7564,4802.94,4963.74,37.3356
198,-3349.189453125,198,990000,13.8327,4876.67,4873.28,35.1766
199,-3631.048583984375,199,995000,12.7929,4716.45,4635.48,35.919
200,-3612.99951171875,200,1000000,14.7218,4809.58,4954.5,37.0626
201,-3638.863037109375,201,1005000,13.7541,4811.24,4913.09,36.5583
202,-3372.7646484375,202,1010000,14.0725,4919.56,4936.12,35.5701
203,-3531.837890625,203,1015000,14.1641,4887.1,5012.4,36.361
204,-3674.287353515625,204,1020000,14.1124,4804.94,5099.29,37.5385
205,-3614.26220703125,205,1025000,14.2261,4831.91,5013.88,36.9001
206,-3787.7578125,206,1030000,14.1884,4823.1,4988.13,36.2634
207,-3690.5068359375,207,1035000,14.4591,4890.88,5080.44,36.2137
208,-3733.52734375,208,1040000,13.8304,4776.81,4997.83,36.8197
209,-3606.94384765625,209,1045000,13.801,4843.11,4886.51,36.1497
210,-3774.276611328125,210,1050000,14.1926,4879.47,5112.27,36.2812
211,-3711.446044921875,211,1055000,13.6389,4807.22,4936.73,36.3029
212,-3710.947265625,212,1060000,13.9728,4914.86,5054.41,35.3448
213,-3760.8896484375,213,1065000,14.2191,4880.08,5121.11,36.7125
214,-3742.627197265625,214,1070000,14.3244,4938.71,5029.6,35.8488
215,-3941.076904296875,215,1075000,14.139,4567.94,4955.56,36.7758
216,-3839.9453125,216,1080000,14.588,4818.18,5006.88,35.6967
217,-4045.510009765625,217,1085000,13.5391,4658.82,4673.86,35.6153
218,-4119.0654296875,218,1090000,13.7414,4689.52,5057.39,36.5494
219,-4842.9150390625,219,1095000,15.564,2729.44,2636.34,38.4896
220,-4609.66796875,220,1100000,13.488,3372.19,2504.46,37.4154
221,-5691.78857421875,221,1105000,12.5726,2613.16,1642.88,37.8154
222,-4297.236328125,222,1110000,13.8195,3600.98,2229.95,36.4544
223,-3999.658935546875,223,1115000,14.3757,4700.5,4919.61,35.7223
224,-3970.76318359375,224,1120000,13.9771,4888.92,4888.68,36.7456
225,-4163.79248046875,225,1125000,14.0764,4867.41,4955.59,37.0123
226,-3998.8310546875,226,1130000,13.7704,4714.15,4961.94,36.2394
227,-4797.76416015625,227,1135000,17.4805,2846.12,4348.72,36.9235
228,-4110.72021484375,228,1140000,14.0891,4832.45,4862.01,36.6015
229,-4246.76611328125,229,1145000,15.6393,4948.63,5181.71,37.3012
230,-4344.453125,230,1150000,15.7535,4952.69,5166.85,37.5884
231,-4814.97265625,231,1155000,13.9343,4822.42,5139.43,37.2543
232,-5335.4306640625,232,1160000,14.1165,4495.93,4735.51,37.6326
233,-4411.55517578125,233,1165000,15.2965,4904.86,4958.12,37.0568
234,-4412.466796875,234,1170000,15.7701,4858.33,5024.11,37.6606
235,-4228.9599609375,235,1175000,15.6951,4774.59,5114.66,37.2788
236,-4440.50146484375,236,1180000,15.0759,4660.3,5114.08,37.6178
237,-4861.11865234375,237,1185000,19.8461,4832.82,4908.8,38.1929
238,-4846.3701171875,238,1190000,15.2413,4747.84,5068.42,37.5356
239,-4805.45068359375,239,1195000,16.1138,4907.7,5055.58,37.4939
240,-4687.46826171875,240,1200000,16.1892,4910.3,5080.44,37.7239
241,-4848.31884765625,241,1205000,16.2034,4871.34,5049.08,37.8346
242,-5348.32373046875,242,1210000,16.4649,4842.42,5120.49,38.2791
243,-4897.76220703125,243,1215000,15.5723,4905.69,5059.32,37.8877
244,-4924.30517578125,244,1220000,15.2902,4720.62,4796.45,37.8473
245,-5311.388671875,245,1225000,16.534,4411.43,4826.51,38.5362
246,-5156.45703125,246,1230000,15.3734,4849.18,5072.94,37.8873
247,-5334.4111328125,247,1235000,16.1547,4858.15,5032.47,38.5671
248,-5224.5908203125,248,1240000,15.8882,4893.34,5098.07,37.9948
249,-5122.98046875,249,1245000,15.3956,4893.56,5061.62,37.7248
250,-5532.8701171875,250,1250000,14.823,4872.61,5034.83,38.1151
251,-5273.21630859375,251,1255000,15.466,4899.16,5080.9,37.9897
252,-5200.259765625,252,1260000,14.4525,4853.52,5114.28,37.2943
253,-7096.9716796875,253,1265000,15.1296,2648.63,400.62,38.7592
254,-5912.779296875,254,1270000,15.9399,4856.62,5025.4,38.9089
255,-6470.791015625,255,1275000,26.8399,4734.37,4872.26,39.3562
256,-8285.1220703125,256,1280000,53.9136,1366.24,534.02,41.82
257,-6840.2578125,257,1285000,17.2474,3185.67,4345.86,41.4172
258,-6614.7705078125,258,1290000,20.0638,4180.52,3122.0,42.4148
259,-6435.3935546875,259,1295000,19.3537,4486.53,4845.62,41.3042
260,-7351.974609375,260,1300000,18.9439,3586.81,3646.81,40.1973
261,-6715.32958984375,261,1305000,17.624,4080.48,4999.7,39.5855
262,-6182.3037109375,262,1310000,16.8528,4810.29,4985.23,38.7547
263,-5978.5185546875,263,1315000,16.9721,4293.55,4993.18,38.6921
264,-5894.45556640625,264,1320000,15.5646,4816.45,5026.82,37.9825
265,-5556.38232421875,265,1325000,14.4743,4845.4,5080.69,36.7109
266,-5417.68115234375,266,1330000,13.8832,4815.2,4988.63,36.9877
267,-5894.64013671875,267,1335000,13.7292,4848.35,5047.34,37.3716
268,-6311.0390625,268,1340000,12.1191,4343.25,5071.68,36.6329
269,-6321.03271484375,269,1345000,21.1736,4536.91,4990.6,38.1737
270,-7721.4375,270,1350000,33.5163,4216.38,3950.98,40.1549
271,-6294.87890625,271,1355000,31.8845,4440.98,4874.27,38.143
272,-6198.24169921875,272,1360000,15.3141,4176.46,5010.6,38.4178
273,-6619.01123046875,273,1365000,15.3268,4811.84,5078.17,38.4866
274,-6076.77783203125,274,1370000,13.4393,4841.72,5104.58,36.6504
275,-6438.34326171875,275,1375000,13.0905,4584.63,3974.82,37.0028
276,-6847.03564453125,276,1380000,12.4787,4611.62,4757.61,37.1222
277,-10122.8671875,277,1385000,18.7299,32.76,30.68,43.675
278,-8866.3505859375,278,1390000,19.0151,43.35,43.97,52.0818
279,-7740.423828125,279,1395000,13.6424,3304.0,4378.52,39.5381
280,-7360.3896484375,280,1400000,15.3335,3438.93,4136.29,39.8635
281,-7116.37353515625,281,1405000,14.9173,4475.83,4604.8,39.1386
282,-7486.1650390625,282,1410000,16.714,4601.05,4765.01,39.5082
283,-7363.2197265625,283,1415000,15.9926,4561.58,4703.67,38.7639
284,-6711.83984375,284,1420000,15.2605,4771.21,4919.6,38.1596
285,-7229.47412109375,285,1425000,14.4543,4323.9,4233.43,38.6515
286,-8970.90234375,286,1430000,25.8849,3553.9,4516.4,39.0037
287,-6719.26611328125,287,1435000,14.104,4471.92,4798.95,37.2509
288,-7143.9013671875,288,1440000,14.7472,4119.33,4489.39,37.296
289,-7943.01513671875,289,1445000,12.7422,4361.83,4026.03,37.9188
290,-7328.14111328125,290,1450000,13.5061,4621.59,4804.6,37.3397
291,-8130.2509765625,291,1455000,17.9898,4464.2,4732.32,38.8483
292,-7743.70556640625,292,1460000,13.5976,4265.49,3650.86,37.9972
293,-7851.30517578125,293,1465000,14.6663,4697.42,4939.8,38.1355
294,-9352.7197265625,294,1470000,30.3783,4366.99,4833.25,38.8582
295,-9969.50390625,295,1475000,32.4896,2909.75,2609.37,39.1208
296,-7405.330078125,296,1480000,14.7927,4528.03,4907.8,38.1274
297,-8075.60693359375,297,1485000,19.0068,4161.82,3718.2,38.1347
298,-9636.7998046875,298,1490000,28.4955,3683.96,4095.7,38.7524
299,-8894.42578125,299,1495000,25.0847,4366.83,5040.99,38.6574
300,-7480.1845703125,300,1500000,15.4835,4867.56,5068.7,37.4616
301,-7154.955078125,301,1505000,14.2288,4888.99,5065.37,36.9098
302,-7609.8466796875,302,1510000,13.8981,4599.42,4873.94,37.2694
303,-8144.427734375,303,1515000,15.8709,4809.31,4950.04,37.7026
304,-7503.95947265625,304,1520000,14.6147,4923.27,4936.75,37.1122
305,-7922.06591796875,305,1525000,14.6634,4856.74,4972.99,37.4477
306,-7929.33740234375,306,1530000,13.7573,4822.6,4954.97,36.7594
307,-7874.3740234375,307,1535000,14.2395,4872.72,4970.45,36.8579
308,-8491.5703125,308,1540000,14.0916,4481.08,4534.31,37.4048
309,-8053.734375,309,1545000,13.8152,4610.3,4946.57,37.0778
310,-8082.416015625,310,1550000,14.6728,4629.97,5004.68,37.1114
311,-7793.30908203125,311,1555000,15.156,4783.35,5004.67,37.1629
312,-7844.20849609375,312,1560000,14.4993,4797.01,4958.26,36.9563
313,-8572.2666015625,313,1565000,15.536,4582.96,4884.68,37.6689
314,-8336.54296875,314,1570000,14.8587,4797.87,4893.99,37.1406
315,-8520.9150390625,315,1575000,14.8897,4564.61,4841.37,37.6355
316,-8522.4443359375,316,1580000,15.539,4812.28,4955.04,37.0455
317,-8423.9501953125,317,1585000,15.0517,4821.84,4932.05,37.115
318,-8403.6005859375,318,1590000,14.9608,4798.2,4982.22,37.288
319,-8840.0302734375,319,1595000,14.8479,4869.39,5071.87,37.0493
320,-8512.7177734375,320,1600000,13.2988,4291.63,5051.33,36.4649
321,-8652.8662109375,321,1605000,11.8182,4696.74,4763.0,36.859
322,-8792.595703125,322,1610000,13.3923,4702.02,4615.12,36.6277
323,-9362.8115234375,323,1615000,13.3495,4791.03,4846.21,36.677
324,-8862.1845703125,324,1620000,13.1599,4737.5,4855.61,37.236
325,-9584.083984375,325,1625000,16.8255,4543.74,4974.14,37.0153
326,-10382.65234375,326,1630000,17.6652,4451.64,4795.19,37.9573
327,-9090.1923828125,327,1635000,13.7257,4660.36,4957.83,37.1095
328,-9571.1962890625,328,1640000,16.1312,4773.59,4966.17,38.7433
329,-9534.4853515625,329,1645000,14.8554,4825.09,4913.85,38.234
330,-10514.84765625,330,1650000,16.5234,4671.25,4964.18,38.0424
331,-8887.47265625,331,1655000,13.6617,4812.78,4982.53,36.708
332,-9026.60546875,332,1660000,13.7415,4820.83,4975.1,37.0601
333,-9244.1279296875,333,1665000,15.8701,4793.97,4948.73,37.4784
334,-9313.9912109375,334,1670000,14.4193,4801.12,4969.19,36.8451
335,-9340.7900390625,335,1675000,14.2616,4777.06,4927.51,37.2008
336,-9382.0341796875,336,1680000,13.9532,4670.44,4613.0,37.5627
337,-9459.25,337,1685000,16.0798,4779.92,4771.73,38.5949
338,-9794.396484375,338,1690000,16.6519,4843.56,5069.57,38.2761
339,-10148.6357421875,339,1695000,15.9534,4809.7,4896.63,38.4582
340,-10154.2744140625,340,1700000,16.6072,4839.49,5062.78,38.7532
341,-8912.6162109375,341,1705000,13.9231,4930.4,4875.14,36.246
342,-9813.96484375,342,1710000,16.0307,4894.47,5082.66,37.5948
343,-9451.5224609375,343,1715000,13.8176,4621.73,4759.91,36.3316
344,-9977.208984375,344,1720000,15.4548,4923.81,4960.06,37.6489
345,-9064.6533203125,345,1725000,12.5771,4648.61,4645.1,35.98
346,-8989.7158203125,346,1730000,13.1993,4789.45,4664.97,35.1493
347,-10207.8154296875,347,1735000,17.2379,4860.65,4951.06,38.0574
348,-10189.322265625,348,1740000,17.6872,4941.76,5174.83,37.8775
349,-10359.015625,349,1745000,17.7847,4910.98,5080.59,38.7208
350,-9937.841796875,350,1750000,16.0984,4952.36,4917.09,36.9329
351,-9951.4521484375,351,1755000,16.167,4906.16,4863.34,37.3838
352,-9846.9560546875,352,1760000,14.8462,4762.94,4688.87,36.5337
353,-10020.404296875,353,1765000,15.1593,4851.06,4890.82,36.5993
354,-10663.294921875,354,1770000,17.6024,4890.42,4996.65,37.6804
355,-11174.9453125,355,1775000,18.972,4798.38,4929.93,39.2618
356,-10826.607421875,356,1780000,18.1264,4837.11,4949.2,37.9752
357,-10252.595703125,357,1785000,16.8691,4725.04,5034.73,36.6792
358,-10278.2412109375,358,1790000,15.9815,4798.07,4865.24,36.2927
359,-9748.3154296875,359,1795000,13.7331,4820.27,4770.29,35.3304
360,-11074.7373046875,360,1800000,17.0458,4856.59,4934.39,37.1766
361,-9961.8681640625,361,1805000,14.4506,4891.63,4719.98,35.7864
362,-10075.6513671875,362,1810000,15.3065,4879.01,4843.26,36.1827
363,-10658.7373046875,363,1815000,15.2308,4838.21,4803.39,36.8108
364,-10610.4443359375,364,1820000,15.4219,4811.87,4936.87,37.0762
365,-10962.8291015625,365,1825000,16.4311,4877.31,4966.84,37.7846
366,-11411.8095703125,366,1830000,17.5897,4757.95,4909.59,39.0463
367,-12940.171875,367,1835000,24.4418,3849.57,4900.4,39.7799
368,-11577.8310546875,368,1840000,17.192,3154.45,3276.42,39.8543
369,-13183.2490234375,369,1845000,25.349,940.22,532.93,44.4989
370,-15615.75390625,370,1850000,64.1536,104.59,48.99,55.864
371,-12437.248046875,371,1855000,25.7323,3519.28,4290.56,41.6937
372,-15852.5771484375,372,1860000,23.9032,1007.89,1802.78,40.4244
373,-14229.2568359375,373,1865000,26.4245,3323.24,1580.41,38.0629
374,-14317.7109375,374,1870000,22.4535,4607.23,4741.96,41.2455
375,-14951.7724609375,375,1875000,28.9173,4249.73,4782.24,41.5868
376,-12794.0751953125,376,1880000,21.0723,4699.97,4809.42,39.7049
377,-12884.6787109375,377,1885000,22.3374,4650.37,4771.39,41.6523
378,-12405.626953125,378,1890000,21.4469,4828.78,4952.2,41.0559
379,-13086.140625,379,1895000,21.9767,4770.29,4833.95,40.7301
380,-13344.330078125,380,1900000,21.4607,4710.64,4774.77,40.8317
381,-13173.41796875,381,1905000,19.4629,4747.17,4803.41,40.2935
382,-12943.390625,382,1910000,18.8522,4613.97,4770.47,40.3371
383,-13913.6552734375,383,1915000,19.7945,4322.82,4745.06,40.5205
384,-13436.654296875,384,1920000,18.9485,4562.62,4686.8,39.9454
385,-13743.08203125,385,1925000,18.3925,4464.76,4659.36,39.2373
