Running Forward KL,Real Det Return,Running Update Time,Itration,Running Env Steps,Running Reverse KL,Reward Loss,Real Sto Return
19.5383,3288.35,82,82,410000,12.7569,-919.343017578125,2593.81
20.7641,3285.72,83,83,415000,14.4937,-1198.7269287109375,3125.49
20.3782,3286.12,84,84,420000,14.2746,-1517.5672607421875,2701.49
20.3012,3297.68,85,85,425000,14.569,-1209.1820068359375,2915.86
20.1227,3248.21,86,86,430000,13.2521,-1006.8673095703125,2582.84
19.6687,3302.97,87,87,435000,13.3512,-809.5155029296875,3292.88
19.5766,3317.62,88,88,440000,12.6343,-932.8779296875,3206.98
19.1686,3297.69,89,89,445000,13.2184,-738.4571533203125,3300.64
20.0612,3278.76,90,90,450000,12.6845,-1020.9403686523438,2676.61
19.5744,3319.46,91,91,455000,13.0299,-771.3880004882812,3263.91
19.7424,3320.62,92,92,460000,11.6566,-934.6597290039062,2991.75
19.4736,3290.62,93,93,465000,12.146,-822.2796020507812,3057.77
19.9125,3289.89,94,94,470000,11.8863,-900.8796997070312,2695.26
19.2761,3285.69,95,95,475000,11.5576,-964.7254028320312,3139.29
20.4344,3317.46,96,96,480000,12.1308,-1814.594482421875,2519.96
19.5829,3313.24,97,97,485000,12.0861,-1012.7058715820312,2726.62
19.0368,3263.32,98,98,490000,13.3935,-768.618896484375,3282.43
19.6572,3271.83,99,99,495000,11.8212,-927.3463745117188,3121.8
18.6985,3320.05,100,100,500000,11.9728,-755.6199951171875,2951.85
20.461,3360.72,101,101,505000,12.7143,-1583.3370361328125,2633.21
19.6149,3315.96,102,102,510000,12.6713,-1032.4375,2801.02
18.5621,3324.28,103,103,515000,12.74,-806.452392578125,3099.07
19.0936,3307.86,104,104,520000,12.1792,-891.0181884765625,2809.8
19.8925,3305.75,105,105,525000,12.1144,-1189.0623779296875,2876.51
19.5286,3282.18,106,106,530000,11.9891,-936.2993774414062,2920.5
19.0058,3324.5,107,107,535000,13.4167,-883.1693725585938,3330.03
19.4391,3356.06,108,108,540000,12.4021,-1269.058349609375,2931.29
19.6682,3319.8,109,109,545000,13.0384,-1642.652587890625,2612.98
19.45,3339.93,110,110,550000,12.4071,-1130.53271484375,3294.47
18.4609,3356.52,111,111,555000,12.3485,-755.4263305664062,3318.9
18.5738,3347.84,112,112,560000,12.0177,-955.3046264648438,3055.86
18.3214,3337.63,113,113,565000,12.7128,-880.5177612304688,3196.43
19.1258,3365.44,114,114,570000,11.9187,-1294.5362548828125,3082.85
20.0384,3374.08,115,115,575000,12.1684,-1620.876953125,3035.71
18.6394,3365.34,116,116,580000,12.0294,-1028.370361328125,3119.94
18.8553,3338.47,117,117,585000,11.9059,-945.5372314453125,3193.95
18.3133,3348.47,118,118,590000,12.7401,-937.72900390625,3053.75
18.406,3366.59,119,119,595000,11.7593,-1108.465087890625,3316.94
18.5821,3394.36,120,120,600000,11.791,-999.8612060546875,3196.48
20.2295,3390.65,121,121,605000,12.1153,-1637.8709716796875,2721.4
19.4384,3343.21,122,122,610000,11.5902,-1301.72412109375,3180.72
17.9112,3381.34,123,123,615000,11.4625,-1141.71875,3012.4
17.9958,3414.23,124,124,620000,11.7706,-949.2852172851562,2995.53
18.3225,3357.77,125,125,625000,11.7273,-1137.7584228515625,3114.8
18.8566,3357.48,126,126,630000,11.3574,-1264.3502197265625,3091.92
18.1729,3394.91,127,127,635000,11.9304,-933.9450073242188,3337.12
18.1463,3356.49,128,128,640000,12.1759,-1087.197509765625,3267.86
19.0825,3397.03,129,129,645000,11.5746,-1344.9429931640625,3035.64
19.1907,3391.49,130,130,650000,11.3258,-1563.4632568359375,2517.93
19.1444,3408.83,131,131,655000,11.3412,-1191.9884033203125,3322.14
18.4969,3403.5,132,132,660000,12.602,-910.3223876953125,3335.47
18.0623,3417.54,133,133,665000,10.8418,-1005.9276733398438,2891.71
18.5213,3378.64,134,134,670000,11.494,-1369.845947265625,3214.34
18.549,3418.24,135,135,675000,11.7005,-1215.7847900390625,3228.35
18.1803,3433.53,136,136,680000,11.2858,-1075.92919921875,3052.65
18.7139,3435.88,137,137,685000,11.3893,-1253.6007080078125,2911.01
18.2923,3394.64,138,138,690000,11.1058,-1268.42724609375,3051.3
19.0943,3456.39,139,139,695000,11.4405,-1663.3271484375,2752.94
18.7556,3407.12,140,140,700000,11.4196,-1173.634765625,2934.97
18.197,3428.15,141,141,705000,11.62,-1342.75341796875,3112.2
18.5206,3434.46,142,142,710000,11.9196,-1125.5252685546875,3362.34
18.5837,3414.09,143,143,715000,11.6926,-1252.7950439453125,3090.95
17.5877,3388.91,144,144,720000,11.4102,-1050.6256103515625,3283.96
18.4547,3454.34,145,145,725000,11.1294,-1394.4725341796875,3089.05
18.2788,3422.93,146,146,730000,11.7917,-1072.8541259765625,3309.32
18.5407,3452.46,147,147,735000,11.922,-1205.55615234375,3270.09
18.6637,3373.27,148,148,740000,10.5985,-1689.840087890625,2493.64
18.0354,3399.71,149,149,745000,11.6535,-1278.552001953125,3244.1
18.6731,3425.01,150,150,750000,11.7913,-1482.062744140625,2678.52
18.4646,3436.04,151,151,755000,11.6304,-1260.7947998046875,3025.8
17.5497,3418.82,152,152,760000,12.1655,-1166.21630859375,3308.78
18.8672,3422.71,153,153,765000,11.1198,-1573.822265625,2998.41
18.3614,3431.26,154,154,770000,11.3705,-1754.2882080078125,2149.01
19.0109,3427.26,155,155,775000,11.7175,-1381.322998046875,3087.64
19.0119,3452.2,156,156,780000,11.7244,-1674.8173828125,3081.31
19.2524,3377.05,157,157,785000,11.9375,-1607.7415771484375,2438.35
18.6256,3408.0,158,158,790000,11.8915,-1542.3836669921875,3210.01
18.4706,3476.52,159,159,795000,12.7247,-1196.101318359375,2829.19
18.8445,3442.44,160,160,800000,11.4421,-1765.6978759765625,2867.99
18.266,3415.93,161,161,805000,11.5535,-1522.06494140625,2685.24
18.1252,3438.15,162,162,810000,12.7799,-1246.8092041015625,3352.75
18.89,3460.12,163,163,815000,12.0449,-1969.7950439453125,2732.38
18.5169,3440.95,164,164,820000,12.4445,-1723.3177490234375,3130.02
19.1184,3437.95,165,165,825000,11.9147,-2004.9600830078125,3264.77
18.6041,3455.75,166,166,830000,12.6008,-1704.2783203125,3127.87
17.9956,3417.82,167,167,835000,12.459,-1612.67724609375,3159.87
18.6987,3425.46,168,168,840000,11.9312,-1650.814208984375,2962.15
18.2239,3439.96,169,169,845000,12.7031,-1800.770751953125,3026.55
19.0436,3497.24,170,170,850000,14.4894,-1844.8800048828125,3016.55
18.5086,3423.18,171,171,855000,13.8735,-1916.189208984375,2811.63
17.8739,3438.43,172,172,860000,11.7291,-1375.049560546875,3452.43
17.157,3457.18,173,173,865000,11.7542,-1349.35498046875,3446.19
19.5441,3456.43,174,174,870000,18.8442,-2455.771484375,2967.16
18.5927,3464.52,175,175,875000,11.4982,-2203.7666015625,2482.58
18.6932,3419.97,176,176,880000,14.6473,-2337.662353515625,2809.51
18.1857,3427.28,177,177,885000,13.2057,-1962.8900146484375,2556.11
18.9247,3439.1,178,178,890000,13.3,-2150.003662109375,3258.15
18.5309,3422.73,179,179,895000,15.167,-2233.071533203125,2715.36
18.7221,3441.99,180,180,900000,13.4711,-2133.90869140625,2772.79
18.0134,3446.21,181,181,905000,12.466,-1646.853759765625,3366.75
18.2415,3412.28,182,182,910000,13.1156,-1826.5020751953125,3287.93
19.7561,3459.21,183,183,915000,14.6406,-2164.707763671875,2991.37
17.7681,3403.82,184,184,920000,11.9737,-1398.768798828125,2964.21
19.7943,3435.15,185,185,925000,14.2547,-2756.912841796875,2629.98
18.575,3435.6,186,186,930000,12.717,-2253.4990234375,3121.21
18.1196,3418.83,187,187,935000,12.2388,-1893.879150390625,3308.53
19.4279,3468.82,188,188,940000,12.2811,-2529.340087890625,2440.29
19.325,3396.05,189,189,945000,15.2087,-2864.4287109375,2753.3
19.4894,3438.99,190,190,950000,12.7707,-2381.158203125,2600.01
17.528,3434.65,191,191,955000,11.7327,-1420.5902099609375,3443.34
18.2773,3439.54,192,192,960000,12.0585,-1999.11474609375,3321.95
19.6723,3443.0,193,193,965000,15.0235,-3028.357421875,2093.29
18.7293,3449.92,194,194,970000,14.0971,-2144.1953125,2968.05
19.0115,3479.88,195,195,975000,13.0154,-2334.091064453125,3127.71
19.818,3514.75,196,196,980000,16.688,-3080.762451171875,2613.14
19.9583,3446.97,197,197,985000,12.2271,-3497.66162109375,2760.38
20.1063,3450.53,198,198,990000,11.6352,-3256.021484375,2199.36
20.5799,3093.15,199,199,995000,16.2303,-3297.92236328125,2128.37
