Running Update Time,Itration,Real Det Return,Running Env Steps,Running Reverse KL,Real Sto Return,Reward Loss,Running Forward KL
148,148,2184.16,740000,15.9256,1845.29,-6208.47216796875,156.8397
149,149,2163.8,745000,15.8855,1818.04,-6315.6123046875,157.0342
150,150,2143.17,750000,15.5557,1797.53,-6349.7890625,156.7525
151,151,2236.28,755000,16.2258,1850.79,-6390.56494140625,156.8388
152,152,2182.02,760000,16.1215,1851.14,-6474.55419921875,157.077
153,153,2198.52,765000,15.8039,1868.64,-6496.6708984375,156.9928
154,154,2220.51,770000,16.0454,1862.69,-6551.9306640625,156.8875
155,155,2225.6,775000,15.8374,1884.35,-6587.8125,156.8441
156,156,2225.78,780000,15.5622,1861.69,-6655.6650390625,156.7579
157,157,2193.78,785000,15.9954,1862.45,-6744.8720703125,156.9409
158,158,2174.1,790000,15.854,1871.49,-6799.5234375,157.1135
159,159,2168.52,795000,15.7055,1858.98,-6810.25146484375,156.7339
160,160,2237.77,800000,16.0161,1889.53,-6910.16259765625,156.7311
161,161,2186.07,805000,15.8221,1862.95,-6875.26318359375,156.748
162,162,2197.42,810000,15.4342,1878.68,-6925.63525390625,156.8167
163,163,2199.53,815000,15.7275,1859.45,-7014.28125,156.7338
164,164,2164.01,820000,15.6716,1840.55,-7117.0107421875,157.0256
165,165,2246.77,825000,16.028,1887.88,-7126.88818359375,156.8952
166,166,2225.18,830000,15.868,1876.08,-7192.6767578125,156.8814
167,167,2235.67,835000,16.024,1892.45,-7201.26416015625,156.8214
168,168,2214.61,840000,15.9917,1899.52,-7253.9521484375,156.8582
169,169,2188.61,845000,15.7099,1882.18,-7251.591796875,156.8825
170,170,2221.88,850000,16.1125,1923.54,-7330.6279296875,156.8999
171,171,2219.32,855000,15.8941,1903.44,-7277.44140625,156.5475
172,172,2254.78,860000,15.8755,1888.39,-7388.53515625,156.8139
173,173,2175.85,865000,15.7161,1894.51,-7457.021484375,156.8183
174,174,2223.46,870000,15.6537,1896.41,-7461.361328125,156.7209
175,175,2232.73,875000,15.8367,1894.97,-7613.42919921875,156.7924
176,176,2247.11,880000,15.4441,1873.12,-7536.96337890625,156.7602
177,177,2229.32,885000,15.9355,1908.9,-7706.1474609375,156.9413
178,178,2209.36,890000,15.9785,1871.11,-7752.37158203125,156.8885
179,179,2247.38,895000,15.8603,1918.4,-7732.1455078125,156.847
180,180,2213.9,900000,15.5699,1873.47,-7815.44189453125,156.8259
181,181,2205.01,905000,15.7979,1885.36,-7885.36865234375,156.7969
182,182,2207.99,910000,15.6537,1873.49,-7896.3974609375,156.9198
183,183,2223.06,915000,15.7061,1894.4,-7921.99755859375,156.7881
184,184,2093.14,920000,15.4977,1829.92,-7975.9365234375,156.6996
