Running Env Steps,Running Forward KL,Real Sto Return,Reward Loss,Running Reverse KL,Itration,Running Update Time,Real Det Return
265000,22.2964,3208.8,-554.9260864257812,12.046,53,53,3257.8
270000,21.9048,2959.47,-463.025634765625,12.2275,54,54,3326.49
275000,22.116,3192.97,-412.7153625488281,13.6048,55,55,3270.29
280000,21.9563,3137.38,-422.9277648925781,12.9751,56,56,3296.94
285000,23.8936,1287.73,-2183.799560546875,13.7597,57,57,1138.31
290000,22.7609,3238.48,-434.4523620605469,12.3165,58,58,3274.19
295000,22.2199,3164.27,-458.2412414550781,12.2408,59,59,3307.97
300000,23.0438,1668.14,-1951.4805908203125,12.7154,60,60,2211.63
305000,22.2137,3191.99,-461.46990966796875,12.6306,61,61,3235.71
310000,22.6391,3221.46,-545.6781005859375,13.2594,62,62,3279.48
315000,20.8521,3254.02,-458.0444641113281,12.5405,63,63,3287.5
320000,22.0135,2854.43,-1005.2542724609375,17.8747,64,64,3301.53
325000,21.2099,3273.26,-473.86016845703125,11.9371,65,65,3309.21
330000,22.3936,2909.98,-861.88134765625,14.0426,66,66,3333.57
335000,20.1797,2767.82,-1034.7691650390625,13.4701,67,67,3240.14
340000,20.8031,1998.46,-1468.4029541015625,11.0824,68,68,2049.04
345000,21.2172,3253.65,-530.4661254882812,11.7684,69,69,3300.38
350000,21.3061,3308.62,-497.609375,12.4506,70,70,3351.07
355000,20.9754,3130.08,-577.870361328125,12.3833,71,71,3291.52
360000,19.6591,3276.8,-470.5293884277344,11.5556,72,72,3316.38
365000,21.7975,3029.8,-1350.3721923828125,12.7874,73,73,3343.74
370000,19.6748,3354.14,-391.8496398925781,12.3796,74,74,3395.82
375000,21.0965,3290.53,-591.1456909179688,12.0968,75,75,3346.31
380000,20.0183,3149.37,-1067.1922607421875,15.4578,76,76,3319.31
385000,23.0378,1394.31,-1782.076171875,11.2692,77,77,3331.64
390000,19.765,3119.26,-516.1531982421875,12.0816,78,78,3352.23
395000,20.7899,2314.36,-1073.9144287109375,11.2993,79,79,3366.61
400000,20.4276,2464.43,-899.402587890625,11.1294,80,80,3353.44
405000,21.8637,2854.62,-1156.71728515625,11.3562,81,81,3353.28
410000,21.1498,2839.18,-741.74462890625,11.902,82,82,3380.96
415000,20.8896,2993.29,-797.561767578125,12.0615,83,83,3377.77
420000,22.144,2634.38,-1240.22607421875,11.3838,84,84,2868.9
425000,20.9188,3225.19,-755.3594970703125,11.3376,85,85,3332.57
430000,21.5395,3253.02,-630.5404052734375,12.1584,86,86,3375.79
435000,21.6131,3143.97,-630.85302734375,12.6142,87,87,3339.23
440000,21.7417,3112.08,-757.3687744140625,12.192,88,88,3371.47
445000,22.07,3190.61,-622.0987548828125,12.6011,89,89,3379.33
450000,20.6139,3315.17,-608.567138671875,13.1752,90,90,3400.49
455000,21.0393,3101.32,-690.4977416992188,12.0366,91,91,3359.45
460000,20.0514,3259.68,-567.6544799804688,12.5779,92,92,3365.77
465000,21.3475,3364.48,-634.447265625,12.9994,93,93,3398.17
470000,20.2923,3329.43,-645.4618530273438,13.1825,94,94,3363.71
475000,19.1946,3319.1,-637.9279174804688,11.9076,95,95,3354.89
480000,21.828,3114.83,-899.757080078125,11.444,96,96,3337.37
485000,20.749,3011.8,-830.3267211914062,11.5028,97,97,3342.06
490000,19.2608,3355.14,-606.728271484375,12.2135,98,98,3382.5
495000,20.3449,3032.96,-792.1124877929688,12.4159,99,99,3353.87
500000,19.9647,3218.34,-639.9446411132812,11.7037,100,100,3328.07
505000,21.4002,3323.72,-667.1017456054688,12.9371,101,101,3343.24
510000,21.2151,2686.2,-1153.140380859375,11.4792,102,102,3381.75
515000,22.8073,2308.41,-1155.231201171875,11.3087,103,103,3326.95
520000,21.4953,3196.55,-1027.2745361328125,12.4288,104,104,3315.5
525000,19.9059,2948.67,-714.7099609375,12.8572,105,105,3367.2
530000,19.5769,3339.04,-691.919921875,12.705,106,106,3357.88
535000,20.7615,3137.39,-1318.0086669921875,10.9122,107,107,3348.4
540000,20.5187,2635.85,-861.26123046875,11.2911,108,108,3464.7
545000,23.6245,1088.54,-2440.955810546875,11.238,109,109,1267.83
550000,21.1469,2887.9,-1462.0767822265625,10.834,110,110,3333.42
555000,22.7222,1601.83,-2635.72607421875,11.0945,111,111,3399.43
560000,21.137,2389.94,-1314.9483642578125,11.307,112,112,3373.63
565000,21.2888,2500.4,-1664.2030029296875,10.8982,113,113,3401.12
570000,21.283,1514.16,-2052.88818359375,10.4035,114,114,3382.49
575000,19.8553,2792.46,-664.1546020507812,11.9513,115,115,3314.53
580000,21.4815,2463.12,-1394.7447509765625,11.2919,116,116,3406.63
585000,20.4442,3117.21,-811.9380493164062,12.3666,117,117,3362.54
590000,21.4849,3108.13,-1329.2169189453125,11.3687,118,118,3332.19
595000,19.6182,2338.32,-1774.4500732421875,10.4515,119,119,3313.55
600000,20.111,2858.62,-818.3038940429688,11.2747,120,120,3317.86
605000,20.1003,2968.29,-1120.11279296875,13.0895,121,121,3382.79
610000,21.1417,1929.34,-1637.8802490234375,12.594,122,122,3353.42
615000,21.4006,2286.6,-2132.232666015625,15.2025,123,123,3366.94
620000,20.3355,3128.77,-1383.3509521484375,13.0577,124,124,3333.49
625000,19.2733,3102.22,-1061.4881591796875,12.5521,125,125,3387.41
630000,22.8189,2755.85,-1809.452880859375,11.1205,126,126,3385.61
635000,20.3542,2844.42,-993.7969970703125,12.9402,127,127,3397.49
640000,21.2192,2633.7,-1396.7908935546875,12.4615,128,128,3431.96
645000,19.5096,3130.54,-1023.3856201171875,11.9783,129,129,3355.66
650000,20.3554,2759.93,-1836.364013671875,10.8835,130,130,3410.14
655000,19.5621,3179.01,-887.4583740234375,11.8462,131,131,3300.88
660000,20.5186,3303.04,-796.83056640625,12.5634,132,132,3315.42
665000,21.465,1698.53,-2150.462890625,10.5668,133,133,3388.75
670000,19.7253,2705.59,-940.2606201171875,12.6574,134,134,3359.53
675000,18.2541,3353.34,-1020.7913818359375,11.9833,135,135,3406.29
680000,19.7882,3357.31,-859.8049926757812,12.3862,136,136,3396.51
685000,20.6616,3367.37,-877.9080200195312,13.5616,137,137,3380.11
690000,20.4848,2257.71,-1884.8961181640625,11.0094,138,138,3388.06
695000,19.7739,2603.21,-1508.255859375,11.2137,139,139,3373.88
700000,21.9295,1650.14,-2313.37548828125,10.9276,140,140,3423.57
705000,20.4242,1960.0,-2612.74609375,11.2552,141,141,3440.78
710000,21.254,2333.48,-1621.095947265625,15.1295,142,142,3336.84
715000,18.5069,3276.05,-1248.3707275390625,10.4743,143,143,3381.92
720000,19.0785,2581.24,-1557.6981201171875,10.4409,144,144,3375.88
725000,19.1955,3363.48,-770.474853515625,12.0902,145,145,3376.4
730000,18.7083,3253.11,-908.000244140625,11.6813,146,146,3365.15
735000,19.0643,3256.46,-1161.990478515625,11.9348,147,147,3373.32
740000,19.0194,3372.94,-873.7344970703125,11.4057,148,148,3387.63
745000,20.6538,2940.18,-1483.95654296875,11.2263,149,149,3403.92
750000,19.7658,3273.76,-995.1758422851562,12.8639,150,150,3398.44
755000,19.3018,3325.28,-1305.1181640625,11.813,151,151,3382.65
760000,20.0298,2932.39,-1002.330078125,12.9578,152,152,3412.62
765000,19.2239,3064.79,-1185.82958984375,11.4813,153,153,3401.82
770000,21.4039,1945.96,-3131.781494140625,15.5549,154,154,3417.96
775000,18.5539,3322.21,-1013.5162353515625,12.1213,155,155,3352.55
780000,19.3602,3265.76,-1045.1783447265625,12.4925,156,156,3376.04
785000,20.5115,3141.47,-1285.28369140625,12.6601,157,157,3427.21
790000,19.7836,3054.51,-1490.2711181640625,11.7625,158,158,3368.06
795000,18.2541,3374.79,-881.8778076171875,11.9105,159,159,3398.62
800000,19.8168,2724.45,-1324.7105712890625,12.3901,160,160,3391.99
805000,18.5246,3154.31,-1011.1162719726562,11.3531,161,161,3402.47
810000,17.0788,3242.95,-808.7615966796875,10.5695,162,162,3426.92
815000,22.7956,2856.18,-1654.960205078125,12.5341,163,163,2875.03
820000,22.6115,3218.06,-1326.0787353515625,13.3413,164,164,3203.54
825000,19.3078,2226.01,-2416.704345703125,10.2507,165,165,3051.61
830000,18.6513,3389.73,-991.8355712890625,12.1681,166,166,3394.64
835000,18.9267,3259.24,-919.472900390625,11.8563,167,167,3394.23
840000,17.9518,3294.06,-995.0564575195312,11.2294,168,168,3407.38
845000,17.1982,2405.05,-1397.8406982421875,9.9761,169,169,3409.04
850000,16.9859,3362.06,-977.0513305664062,11.093,170,170,3388.38
855000,18.9988,3395.01,-1013.5584106445312,12.616,171,171,3419.55
860000,19.9518,3060.05,-2183.76025390625,11.4033,172,172,3370.7
865000,18.0274,3362.09,-1083.6629638671875,10.704,173,173,3354.48
870000,19.2951,3128.54,-1166.4625244140625,12.1179,174,174,3396.13
875000,19.0425,2159.4,-2635.591796875,11.7203,175,175,3409.05
880000,18.1726,2990.24,-1801.0447998046875,11.1843,176,176,3408.56
885000,18.2577,3315.87,-1045.0653076171875,11.362,177,177,3406.53
890000,19.4273,3392.8,-1080.17138671875,12.8151,178,178,3412.88
895000,19.4386,3373.84,-1141.353759765625,12.342,179,179,3417.0
900000,19.5156,3339.73,-1171.3258056640625,11.6329,180,180,3356.3
905000,20.3809,2105.98,-2378.191162109375,13.7483,181,181,3430.82
910000,19.9483,3275.62,-1406.0179443359375,12.823,182,182,3433.12
915000,18.6608,3035.57,-1889.6695556640625,10.4679,183,183,3414.52
920000,20.8042,3311.63,-1424.589111328125,12.4159,184,184,3421.26
925000,21.4778,3147.57,-2433.480712890625,12.0383,185,185,3420.36
930000,19.8459,3333.99,-1395.0687255859375,11.8204,186,186,3434.51
935000,19.0232,3293.02,-1137.04296875,11.9352,187,187,3444.32
940000,19.4317,3274.22,-1263.34130859375,11.6895,188,188,3390.01
945000,19.7379,3401.78,-1203.9090576171875,12.5556,189,189,3418.3
950000,18.3975,3314.84,-1156.92626953125,12.5416,190,190,3449.79
955000,19.2989,3046.25,-1448.160888671875,11.3728,191,191,3446.67
960000,19.3395,3390.19,-1214.9002685546875,12.4394,192,192,3410.97
965000,19.3591,3394.8,-1309.8648681640625,12.7454,193,193,3430.16
970000,20.6149,2688.88,-3042.63427734375,11.2603,194,194,3460.45
975000,18.642,3406.41,-1469.1063232421875,11.7254,195,195,3410.24
980000,19.4101,3414.04,-1701.0072021484375,12.4896,196,196,3424.73
985000,18.9544,2952.68,-1465.070556640625,11.4714,197,197,3405.53
990000,19.3806,3415.47,-1212.353271484375,12.2717,198,198,3448.54
995000,19.2206,3433.5,-1237.590087890625,12.305,199,199,3432.17
