Running Reverse KL,Running Forward KL,Itration,Running Update Time,Real Sto Return,Real Det Return,Running Env Steps,Reward Loss
13.2148,20.0763,71,71,3279.86,3301.32,355000,-374.6504211425781
13.2602,20.684,72,72,3276.99,3291.32,360000,-426.8039245605469
13.0747,20.2298,73,73,3221.82,3318.76,365000,-427.6470642089844
13.1074,20.1299,74,74,3288.1,3307.7,370000,-338.6505126953125
13.0011,19.1559,75,75,3281.34,3310.1,375000,-427.7366943359375
13.0319,20.1249,76,76,3291.64,3318.8,380000,-376.39141845703125
13.3147,20.1719,77,77,3292.47,3302.59,385000,-437.33343505859375
12.7217,19.626,78,78,3012.2,3314.85,390000,-394.16485595703125
13.6616,19.9244,79,79,3281.28,3300.55,395000,-447.7464904785156
12.8709,20.6374,80,80,2954.17,3319.18,400000,-398.00970458984375
12.4367,19.8543,81,81,3202.03,3305.22,405000,-388.27001953125
12.3156,19.1635,82,82,3313.7,3335.12,410000,-392.643798828125
12.3359,19.8226,83,83,3136.67,3308.64,415000,-395.6896057128906
12.5584,19.9053,84,84,3199.04,3336.9,420000,-459.79449462890625
12.3298,19.0716,85,85,3325.3,3362.43,425000,-441.16375732421875
13.232,19.9908,86,86,3320.96,3340.04,430000,-412.08935546875
12.5775,19.9946,87,87,3278.11,3314.49,435000,-483.86383056640625
12.5331,19.3689,88,88,3296.9,3324.42,440000,-450.31689453125
12.1392,18.6984,89,89,3293.22,3366.39,445000,-342.7531433105469
11.9279,18.7609,90,90,3260.33,3355.77,450000,-367.3088073730469
12.7306,20.2367,91,91,3166.05,3343.98,455000,-446.6816711425781
12.329,19.4527,92,92,3097.56,3351.23,460000,-497.18658447265625
12.5573,19.6592,93,93,3179.22,3340.51,465000,-502.9735107421875
13.3596,19.7763,94,94,3280.75,3373.91,470000,-463.9091491699219
12.8252,19.9055,95,95,3282.25,3385.17,475000,-442.5971984863281
12.6369,19.3501,96,96,3213.06,3388.71,480000,-396.11395263671875
12.8275,19.6729,97,97,3118.15,3365.3,485000,-449.7967224121094
13.0929,19.5259,98,98,3327.79,3363.95,490000,-493.6143798828125
12.7165,18.8186,99,99,3336.32,3379.9,495000,-424.2823791503906
12.9201,18.9666,100,100,3344.36,3373.12,500000,-480.82843017578125
12.3,19.6851,101,101,3190.27,3375.56,505000,-476.06475830078125
12.6366,19.3324,102,102,3205.11,3361.61,510000,-515.8130493164062
13.0739,19.9368,103,103,3342.13,3361.91,515000,-510.92578125
18.379,19.3136,104,104,3209.41,3374.56,520000,-448.6694030761719
11.6086,19.0514,105,105,3180.47,3408.59,525000,-495.2763977050781
12.9721,19.5163,106,106,3217.62,3387.23,530000,-530.37060546875
13.2446,19.5551,107,107,3266.49,3372.26,535000,-577.94287109375
12.7853,19.1396,108,108,3254.23,3390.26,540000,-507.9996337890625
12.3691,18.9593,109,109,3186.07,3387.93,545000,-517.6766967773438
12.6265,18.3813,110,110,3277.71,3419.03,550000,-495.88140869140625
13.1356,19.5292,111,111,3309.12,3397.98,555000,-559.2818603515625
13.0314,19.4309,112,112,3266.43,3423.12,560000,-546.9288330078125
12.8448,19.3286,113,113,3156.35,3417.36,565000,-548.8806762695312
13.1451,19.6535,114,114,3057.48,3414.71,570000,-529.5941162109375
12.724,18.7807,115,115,3370.42,3393.32,575000,-583.7963256835938
12.6073,19.0761,116,116,3153.62,3369.8,580000,-566.728759765625
12.8495,19.3147,117,117,3312.3,3389.15,585000,-586.1859741210938
13.309,19.3268,118,118,3326.53,3408.54,590000,-616.990966796875
12.1751,18.6039,119,119,3345.87,3376.81,595000,-613.1304321289062
12.2313,20.2238,120,120,2564.24,3458.95,600000,-981.3018188476562
12.4062,19.4657,121,121,2928.06,3400.97,605000,-641.0209350585938
12.4813,18.5498,122,122,3280.87,3424.47,610000,-573.3596801757812
12.5066,18.319,123,123,3396.62,3415.12,615000,-592.2100830078125
12.7485,18.1759,124,124,3222.05,3389.94,620000,-585.2821655273438
13.1265,19.1635,125,125,3361.03,3398.34,625000,-665.6070556640625
12.2851,18.3846,126,126,3296.3,3399.73,630000,-726.5421142578125
12.4983,18.8315,127,127,3351.57,3429.32,635000,-657.6163330078125
12.4952,17.7896,128,128,3204.25,3411.39,640000,-602.0286865234375
13.2137,18.5275,129,129,3293.44,3406.96,645000,-654.955810546875
12.8521,19.4186,130,130,2805.06,3436.01,650000,-687.7929077148438
12.5418,18.3558,131,131,3000.71,3400.79,655000,-652.4579467773438
12.3863,18.5458,132,132,3185.93,3388.64,660000,-717.1004638671875
12.9322,18.7201,133,133,3407.39,3440.91,665000,-706.6642456054688
13.2579,18.4375,134,134,3206.1,3409.81,670000,-684.5569458007812
16.2925,18.2458,135,135,3267.51,3395.7,675000,-679.900390625
13.4059,17.9941,136,136,3242.69,3410.41,680000,-697.1973876953125
12.6702,18.165,137,137,3306.91,3397.89,685000,-687.84521484375
20.1519,18.7622,138,138,3089.76,3448.93,690000,-702.4615478515625
12.015,17.6673,139,139,3385.94,3426.51,695000,-660.27587890625
11.5036,17.639,140,140,3375.9,3409.11,700000,-631.2896118164062
14.0846,18.1966,141,141,3147.69,3434.08,705000,-725.9364624023438
12.3011,18.7131,142,142,3300.58,3403.89,710000,-751.58935546875
11.4812,18.0926,143,143,3211.5,3402.92,715000,-687.6205444335938
11.3175,17.9945,144,144,3183.27,3412.33,720000,-693.7089233398438
21.1514,18.9402,145,145,2864.81,3415.46,725000,-805.1807250976562
11.9416,17.7798,146,146,3288.01,3403.88,730000,-725.3323974609375
12.4082,18.5692,147,147,2935.7,3434.1,735000,-739.0152587890625
20.1843,18.8746,148,148,3033.01,3434.02,740000,-792.828369140625
13.7872,19.4513,149,149,2863.45,3445.03,745000,-826.7713012695312
12.344,18.6384,150,150,3077.58,3412.55,750000,-781.8506469726562
12.8213,18.0402,151,151,3206.9,3430.45,755000,-730.8129272460938
11.189,18.9668,152,152,2769.36,3438.08,760000,-872.984375
12.2128,18.2799,153,153,3342.26,3442.76,765000,-772.1285400390625
11.8641,18.8204,154,154,3194.28,3436.46,770000,-800.03173828125
11.7824,17.8345,155,155,3198.6,3449.29,775000,-741.90869140625
12.0575,19.0239,156,156,2838.98,3462.78,780000,-868.66162109375
11.3499,18.1691,157,157,3291.4,3438.77,785000,-808.9684448242188
11.6385,17.6746,158,158,3238.47,3446.99,790000,-719.3751831054688
12.0712,18.0586,159,159,3291.65,3413.67,795000,-801.4616088867188
11.8697,19.1224,160,160,2797.49,3418.39,800000,-1167.435791015625
12.1985,18.9756,161,161,2916.42,3412.78,805000,-986.4456787109375
