Itration,Running Env Steps,Running Update Time,Running Forward KL,Reward Loss,Real Sto Return,Real Det Return,Running Reverse KL
131,655000,131,64.0314,-1647.6859130859375,2220.65,3020.89,33.5615
132,660000,132,64.4816,-1592.958984375,3126.12,3283.94,37.6176
133,665000,133,72.6416,-1659.343017578125,2635.64,3552.36,48.1479
134,670000,134,67.7955,-1708.15185546875,2410.9,3215.61,39.7621
135,675000,135,69.919,-1739.991455078125,2663.68,3887.19,45.2829
136,680000,136,74.5228,-1671.020263671875,2888.41,3421.55,51.1235
137,685000,137,72.1856,-1717.6993408203125,2869.05,3663.7,50.4999
138,690000,138,66.8763,-1679.9547119140625,3514.14,4097.51,39.5768
139,695000,139,68.6911,-1730.68212890625,3347.5,3899.83,43.4144
140,700000,140,68.0725,-1830.7027587890625,2432.27,3103.11,37.7292
141,705000,141,66.8427,-1953.8309326171875,2611.27,3331.76,37.3072
142,710000,142,69.7656,-1761.5108642578125,3566.71,4157.36,48.8967
143,715000,143,68.2961,-1783.974609375,3207.73,4320.69,44.1911
144,720000,144,66.3337,-1884.07275390625,2117.95,3736.49,37.003
145,725000,145,68.9901,-1879.939453125,3171.8,3943.21,43.5003
146,730000,146,71.9156,-1876.189453125,3701.98,4053.47,49.8503
147,735000,147,67.4606,-2144.641357421875,2588.3,4084.52,37.8361
148,740000,148,66.2852,-1959.668212890625,2869.71,3813.42,37.4207
149,745000,149,64.5837,-2302.55078125,1816.72,2424.03,27.6968
150,750000,150,66.5413,-2147.832763671875,2612.23,3031.98,38.5209
151,755000,151,70.3322,-2155.813232421875,2884.81,4164.32,45.5473
152,760000,152,67.28,-2147.205810546875,3118.47,4009.29,38.832
153,765000,153,72.6689,-1998.0321044921875,3715.61,4427.01,49.735
154,770000,154,67.5931,-2232.603515625,1822.96,3405.41,41.7425
155,775000,155,69.6279,-2158.48046875,2639.87,3309.02,44.558
156,780000,156,70.3719,-2072.69677734375,2480.28,3413.42,46.9855
157,785000,157,64.7259,-2376.27392578125,2145.23,2916.68,29.9191
158,790000,158,65.4436,-2440.14306640625,1870.9,2532.18,30.9548
159,795000,159,69.8482,-2304.429931640625,3567.11,3983.3,48.4765
160,800000,160,70.517,-2346.79638671875,3182.25,3751.74,45.3267
161,805000,161,68.6994,-2230.10302734375,3666.14,4178.74,44.5236
162,810000,162,71.5377,-2389.42919921875,3123.53,3879.8,45.4346
163,815000,163,67.9017,-2333.482177734375,3416.24,3665.79,48.1495
164,820000,164,67.3706,-2445.4951171875,2987.06,4365.67,39.7787
165,825000,165,67.9641,-2269.279541015625,4013.36,4451.97,46.358
166,830000,166,68.7754,-2467.452880859375,3292.03,3828.07,46.8141
167,835000,167,74.283,-2632.467041015625,3925.1,4525.43,55.9499
168,840000,168,68.0048,-2659.347900390625,2805.62,2948.07,39.8209
169,845000,169,68.6118,-2592.18994140625,3609.58,4737.05,47.3213
170,850000,170,70.6309,-2542.653076171875,2994.42,4183.06,50.1964
171,855000,171,71.0476,-2769.007568359375,2932.37,4217.57,50.1217
172,860000,172,67.7603,-2693.16259765625,3697.71,3858.41,43.3852
173,865000,173,72.1081,-2680.822998046875,3276.27,4500.51,52.6385
174,870000,174,70.165,-2793.934814453125,3892.2,4715.78,48.6867
175,875000,175,68.997,-2798.27197265625,4057.24,4894.77,48.6384
176,880000,176,68.3763,-2761.293701171875,3274.21,3792.76,47.0266
177,885000,177,68.5327,-2868.09521484375,2462.4,3891.58,45.6312
178,890000,178,75.5759,-2832.081298828125,3681.79,4512.65,56.5259
179,895000,179,67.2169,-2852.644775390625,2346.58,4090.27,43.7405
180,900000,180,69.6143,-2870.7783203125,3614.5,3835.37,47.269
181,905000,181,67.7725,-2903.93115234375,3642.37,4591.76,44.5882
182,910000,182,64.6713,-3073.8955078125,3028.54,3789.93,32.674
183,915000,183,64.1543,-3012.606689453125,3575.35,3911.35,40.6595
184,920000,184,67.8874,-3100.70556640625,4068.27,4889.56,46.391
185,925000,185,67.9981,-3164.344482421875,4281.08,4619.29,48.2772
186,930000,186,71.3232,-3101.51904296875,4570.47,4719.74,51.3367
187,935000,187,70.5299,-3177.273681640625,4215.47,4716.43,53.2955
188,940000,188,69.2117,-3263.689453125,3707.07,4478.63,48.3268
189,945000,189,71.7169,-3258.163330078125,3980.81,4921.9,52.518
190,950000,190,65.5951,-3325.196533203125,2280.43,2984.35,37.5723
191,955000,191,72.1676,-3311.166015625,4382.59,5218.73,52.6677
192,960000,192,65.6502,-3380.09716796875,3443.22,4011.89,37.9704
193,965000,193,75.0531,-3515.771484375,3115.59,4222.66,52.0686
194,970000,194,64.2849,-3455.05859375,3638.39,4681.83,36.8145
195,975000,195,69.4643,-3268.248779296875,3844.39,4593.26,49.3027
196,980000,196,65.9288,-3494.01806640625,2105.98,4141.89,39.5407
197,985000,197,66.0768,-3505.566162109375,3433.2,4306.1,41.7728
198,990000,198,72.4168,-3653.79248046875,3753.26,4468.7,52.8771
199,995000,199,66.5244,-3654.574951171875,4214.48,4918.85,41.3233
200,1000000,200,74.7376,-3759.859375,4789.51,5315.55,60.0703
201,1005000,201,67.3621,-3814.958251953125,4511.2,4860.02,44.2312
202,1010000,202,74.0591,-3728.622802734375,4615.46,5198.52,57.5849
203,1015000,203,77.7353,-4374.77294921875,1109.8,911.06,97.5509
204,1020000,204,87.1845,-3974.33642578125,-1347.31,-1821.84,81.1815
205,1025000,205,95.9064,-4750.4287109375,-1413.37,-1303.01,212.3426
206,1030000,206,94.0538,-4584.9609375,-820.99,-850.85,93.1386
207,1035000,207,82.2798,-4730.1201171875,-740.85,-456.03,77.4238
208,1040000,208,77.5826,-4627.10498046875,-37.41,120.23,68.9859
209,1045000,209,66.4319,-4318.2685546875,1041.72,765.56,42.3471
210,1050000,210,64.6335,-4376.0283203125,1618.96,2074.41,37.9266
211,1055000,211,66.6631,-4416.9267578125,2642.77,4039.54,42.2525
212,1060000,212,68.0592,-4441.97265625,2638.02,3745.8,44.6923
213,1065000,213,69.6523,-4505.4560546875,3622.19,4398.65,43.7163
214,1070000,214,66.875,-4373.458984375,3052.68,4609.78,45.7671
215,1075000,215,67.6916,-4365.27294921875,3744.04,4506.13,44.9323
216,1080000,216,68.5071,-4505.23681640625,3406.24,4602.42,47.134
217,1085000,217,70.9216,-4487.8310546875,3387.95,4836.37,49.474
218,1090000,218,70.6201,-4528.57666015625,3519.26,4879.08,49.0577
219,1095000,219,64.9567,-4588.7861328125,3547.93,4214.03,37.8734
220,1100000,220,72.89,-4634.40283203125,4119.02,5017.63,53.0035
221,1105000,221,71.4885,-4689.68994140625,4375.83,4939.84,51.8332
222,1110000,222,70.0524,-4519.357421875,4339.79,4189.22,49.3343
223,1115000,223,75.4951,-4829.609375,4154.74,4352.58,58.2988
224,1120000,224,72.4382,-4926.79736328125,4552.9,5178.51,55.8921
225,1125000,225,75.8545,-4874.20166015625,3488.25,5123.7,59.2379
226,1130000,226,75.5922,-4819.00732421875,4324.96,4746.62,55.8945
227,1135000,227,67.3949,-4744.70556640625,4274.08,4718.79,44.1742
228,1140000,228,72.8533,-5119.28271484375,2995.51,3182.92,84.6519
229,1145000,229,74.6726,-4851.4482421875,4393.66,4720.68,55.4589
230,1150000,230,76.0544,-5243.333984375,4216.62,4367.83,103.0692
231,1155000,231,70.1528,-5495.166015625,351.37,1331.46,67.7836
232,1160000,232,69.5491,-5190.8291015625,84.35,-136.97,50.6244
233,1165000,233,68.2027,-5078.68212890625,3428.51,4490.88,41.5341
234,1170000,234,74.1972,-5094.1630859375,4760.94,5120.06,56.7463
235,1175000,235,68.9374,-5132.388671875,4682.88,5117.34,47.4798
236,1180000,236,68.9111,-5105.62646484375,4348.87,4887.98,49.7913
237,1185000,237,69.7762,-5186.03369140625,4587.43,4946.94,48.6695
238,1190000,238,72.9009,-5291.39208984375,4726.98,5258.04,56.728
239,1195000,239,68.3695,-5128.99853515625,4530.8,4319.2,46.1871
240,1200000,240,67.7008,-5183.4375,4230.19,4801.09,45.5811
241,1205000,241,75.517,-5363.21875,4960.72,5473.51,57.941
242,1210000,242,70.8617,-5236.08984375,4754.05,5390.98,54.1885
243,1215000,243,71.7543,-5381.70263671875,4961.32,5498.83,53.5217
244,1220000,244,71.794,-5234.78076171875,4144.33,5495.07,55.2154
245,1225000,245,73.1817,-5388.32958984375,5032.98,5477.86,58.0082
246,1230000,246,71.3575,-5520.2626953125,4977.56,5303.83,53.1356
247,1235000,247,74.2734,-5471.27294921875,4745.56,4792.56,57.4016
248,1240000,248,75.3786,-5535.9541015625,4971.06,5609.74,60.0015
249,1245000,249,72.0678,-5589.87841796875,5042.69,5343.01,54.012
250,1250000,250,68.6427,-5522.3857421875,5121.99,5090.59,51.0322
251,1255000,251,66.6522,-5564.08447265625,4993.67,5322.03,46.7255
252,1260000,252,74.0305,-5826.125,5139.78,5600.8,58.4542
253,1265000,253,74.6863,-5738.69970703125,5108.58,5620.2,60.4917
254,1270000,254,76.4066,-5939.75244140625,5109.45,5681.64,61.8789
255,1275000,255,77.0084,-5962.5654296875,5136.31,5305.3,62.0978
256,1280000,256,75.8615,-6090.103515625,5001.24,5405.65,63.9822
257,1285000,257,71.3259,-6120.02294921875,4976.08,5640.63,55.4161
258,1290000,258,77.3724,-6204.05615234375,5019.32,5515.68,67.326
259,1295000,259,71.8591,-6281.83984375,5114.52,5778.55,58.0067
260,1300000,260,78.1512,-6289.90966796875,5206.12,5625.64,66.4249
261,1305000,261,77.5745,-6474.91943359375,5252.83,5584.84,64.8411
262,1310000,262,78.2421,-6311.2333984375,5168.71,5754.96,64.5778
263,1315000,263,74.2171,-6319.39599609375,4941.25,4756.69,60.6395
264,1320000,264,77.8187,-6512.50390625,5416.72,5772.33,65.0305
265,1325000,265,78.4852,-6556.22412109375,5108.76,5525.78,63.8786
266,1330000,266,76.9049,-6732.9765625,5316.25,5893.13,65.2999
267,1335000,267,74.1802,-6499.2802734375,5182.93,5291.43,61.2551
268,1340000,268,78.9159,-6621.8037109375,5371.87,5772.71,67.1634
269,1345000,269,77.3106,-6749.44921875,5442.33,5820.17,66.9342
270,1350000,270,77.8171,-6766.9150390625,5491.75,5767.23,66.5646
271,1355000,271,75.0694,-6758.71728515625,5093.32,5712.69,64.9083
272,1360000,272,79.7882,-7048.2568359375,5154.83,5684.55,69.4119
273,1365000,273,70.9828,-6579.259765625,5184.62,5547.08,54.1191
274,1370000,274,79.9279,-6893.88720703125,5437.71,5387.94,65.7647
275,1375000,275,75.7475,-6857.68994140625,4997.04,5591.64,63.1248
276,1380000,276,81.1397,-6977.9306640625,5325.0,5721.74,69.8394
277,1385000,277,72.9556,-6839.99169921875,5075.97,5428.48,62.5141
278,1390000,278,77.9744,-6894.599609375,5065.58,4997.06,66.1755
279,1395000,279,77.8789,-7245.9658203125,5251.81,5780.27,67.3673
280,1400000,280,68.675,-6278.365234375,4509.65,5284.49,49.8079
281,1405000,281,76.9095,-7081.13671875,5494.82,5826.83,65.3176
282,1410000,282,77.4113,-6949.7822265625,4969.85,5342.73,64.0988
283,1415000,283,77.2829,-7073.0322265625,5200.47,5585.08,63.3138
284,1420000,284,70.1327,-6837.3408203125,5266.15,5556.89,51.39
285,1425000,285,78.9841,-7591.32373046875,5252.08,5534.93,70.8364
286,1430000,286,72.0128,-7030.189453125,4878.35,5647.45,59.574
287,1435000,287,72.7321,-7375.533203125,5168.83,5885.38,62.6552
288,1440000,288,75.2023,-7234.1767578125,5289.66,5667.28,61.7034
289,1445000,289,76.565,-7320.6865234375,4811.83,5412.34,64.4144
290,1450000,290,69.5704,-7247.7841796875,5432.45,5620.5,53.7078
291,1455000,291,71.9817,-7353.07177734375,4929.74,5610.5,61.1991
292,1460000,292,78.6226,-7659.099609375,5465.25,5836.53,70.2038
293,1465000,293,71.7565,-7397.37353515625,4867.87,5586.41,58.5729
294,1470000,294,78.2622,-7597.5693359375,5085.15,5411.97,65.922
295,1475000,295,69.3679,-7135.08740234375,5022.01,5581.01,55.4865
296,1480000,296,68.5366,-7202.4130859375,5097.14,5383.97,50.8345
297,1485000,297,74.9818,-7409.28076171875,4859.49,5511.35,62.8365
298,1490000,298,72.116,-7540.47314453125,5512.69,5853.71,61.4346
299,1495000,299,74.4099,-7613.12451171875,4536.55,4599.71,64.2487
300,1500000,300,72.5159,-7696.1181640625,5124.29,5850.59,63.1254
301,1505000,301,67.4525,-7133.1123046875,3882.22,4865.35,49.6597
302,1510000,302,74.3271,-7932.31201171875,5205.79,5857.28,63.4876
303,1515000,303,75.6762,-7929.94873046875,5183.55,5929.2,63.187
304,1520000,304,74.842,-7858.29638671875,5202.43,5881.2,65.1927
305,1525000,305,77.6461,-8114.67919921875,4721.12,5170.08,69.7739
306,1530000,306,67.5028,-7387.42919921875,4586.0,5956.47,49.575
307,1535000,307,72.1082,-7930.74853515625,5009.18,5994.62,59.9883
308,1540000,308,74.4006,-8079.27978515625,5066.03,5946.55,64.5607
309,1545000,309,77.0946,-8124.41943359375,4915.49,5176.71,65.3498
310,1550000,310,75.9873,-7987.3427734375,5113.23,5985.52,62.3509
311,1555000,311,76.6385,-8309.6103515625,4812.37,5894.56,65.8949
312,1560000,312,78.3661,-8391.3134765625,5229.54,5516.97,65.8236
313,1565000,313,72.4414,-8145.3876953125,5122.53,5686.57,61.9502
314,1570000,314,71.9289,-7976.4951171875,4596.33,5143.69,59.2325
315,1575000,315,78.3799,-8412.6630859375,4041.18,5013.3,65.6636
316,1580000,316,79.071,-8389.5224609375,4418.43,5206.79,66.9767
317,1585000,317,71.1635,-8100.49072265625,4274.27,5786.13,54.9775
318,1590000,318,77.0267,-8590.2548828125,5581.73,5836.0,66.8011
319,1595000,319,70.2402,-8062.22998046875,5266.5,5666.53,55.2621
320,1600000,320,78.105,-8603.1103515625,4915.22,5624.17,66.2946
321,1605000,321,73.5868,-8568.669921875,4741.62,5615.78,64.5915
322,1610000,322,79.6704,-8748.3798828125,5048.96,5928.55,67.9508
323,1615000,323,73.7237,-8532.642578125,4650.75,5953.94,61.362
324,1620000,324,78.0863,-8897.2646484375,5117.54,5979.8,66.3979
325,1625000,325,75.5552,-8573.341796875,4784.66,5702.94,64.0581
326,1630000,326,77.6874,-8708.2275390625,5326.94,5641.73,65.2702
327,1635000,327,77.1071,-8934.3486328125,5227.61,5916.66,62.3014
328,1640000,328,74.2195,-8682.8515625,4115.46,5567.96,62.5703
329,1645000,329,71.7376,-8788.423828125,4704.79,5067.76,57.1444
330,1650000,330,72.9239,-8909.90625,5288.2,6006.16,58.7655
331,1655000,331,76.3387,-9233.048828125,5512.94,5969.63,64.3756
332,1660000,332,79.5703,-9334.9853515625,5436.02,5876.47,70.5522
333,1665000,333,77.9817,-9274.23046875,4876.26,5789.85,64.2707
334,1670000,334,76.7604,-9280.501953125,5562.24,5876.08,66.367
335,1675000,335,77.9994,-9428.8349609375,5478.44,5996.56,64.2491
336,1680000,336,79.4223,-9461.2578125,5539.01,6054.11,65.2169
337,1685000,337,78.5474,-9448.1298828125,5076.53,5993.12,63.6531
338,1690000,338,76.0753,-9286.5908203125,5230.89,5856.37,63.8141
339,1695000,339,78.661,-9636.958984375,4995.31,5871.72,66.302
340,1700000,340,80.3352,-9515.1748046875,5600.62,5993.5,67.8631
341,1705000,341,76.7018,-9654.6484375,5404.58,5760.46,64.4357
342,1710000,342,79.6837,-9778.0224609375,5376.39,5974.35,66.1976
343,1715000,343,79.5424,-9589.0771484375,5199.97,6013.43,67.3594
344,1720000,344,75.5096,-9599.40625,5041.65,5804.02,61.4359
345,1725000,345,72.4942,-9192.3759765625,5063.0,5696.55,58.3966
346,1730000,346,78.5033,-9873.1552734375,4497.09,6092.38,64.2503
347,1735000,347,80.8631,-10210.9169921875,5467.41,6038.64,71.033
348,1740000,348,78.297,-10143.900390625,5319.6,5730.31,66.0441
349,1745000,349,79.6194,-10150.5927734375,5258.0,5760.02,67.6567
350,1750000,350,79.0931,-10062.7705078125,4481.67,5886.25,68.0714
351,1755000,351,80.4644,-10240.5078125,5257.59,6083.46,69.0715
352,1760000,352,77.9224,-10093.841796875,5354.38,6058.29,65.9901
353,1765000,353,76.6146,-10107.6298828125,5326.47,5726.94,65.053
354,1770000,354,74.8136,-10141.86328125,5576.09,5496.64,61.4995
355,1775000,355,72.1374,-9711.4794921875,5039.23,5972.58,59.1977
356,1780000,356,75.0445,-10135.3798828125,4952.87,6012.08,64.542
357,1785000,357,76.5685,-10190.0751953125,4978.03,5860.85,64.7183
358,1790000,358,71.5938,-9615.51953125,5110.27,5796.64,54.2725
359,1795000,359,81.6554,-10550.7265625,4958.97,5938.63,70.3682
360,1800000,360,78.5168,-10364.3623046875,4868.03,5680.0,65.8327
361,1805000,361,79.5765,-10470.0888671875,5411.22,5537.08,66.9871
362,1810000,362,73.1899,-10270.3818359375,5312.86,6075.24,62.7985
363,1815000,363,74.5851,-10383.2666015625,5482.91,5344.56,62.3687
364,1820000,364,80.3333,-10738.11328125,5480.64,5998.38,70.3211
365,1825000,365,81.444,-10903.3525390625,5670.71,5707.12,70.7675
366,1830000,366,76.8193,-10527.572265625,5547.88,5788.65,66.9424
367,1835000,367,81.6889,-10935.638671875,5463.03,6061.22,77.3518
368,1840000,368,78.6918,-10797.1640625,5441.06,6061.19,70.5193
369,1845000,369,76.7687,-10642.533203125,5294.54,5591.42,68.0155
370,1850000,370,77.8269,-10701.2939453125,5442.99,5818.42,69.2704
371,1855000,371,74.8294,-10607.89453125,5443.47,5963.02,68.1814
372,1860000,372,76.5242,-10757.9150390625,5561.06,6075.71,67.2566
373,1865000,373,79.9855,-11044.0078125,5440.36,5750.61,71.5486
374,1870000,374,76.8459,-10871.0810546875,5707.37,5890.36,67.8581
375,1875000,375,79.9698,-11023.986328125,5741.44,6049.07,70.4991
376,1880000,376,78.7357,-11107.0478515625,5388.39,6060.5,69.0566
377,1885000,377,74.9971,-10749.9287109375,5418.5,5994.31,67.0622
378,1890000,378,80.6171,-11238.41796875,5523.51,5806.41,75.0476
379,1895000,379,76.0192,-11038.267578125,5265.1,5757.1,69.559
380,1900000,380,79.9361,-11153.5966796875,5213.88,5747.72,70.3927
381,1905000,381,76.7064,-11073.396484375,5395.17,5836.33,67.8112
382,1910000,382,74.6074,-10836.982421875,5225.5,5988.65,66.3884
383,1915000,383,79.9815,-11285.5439453125,5165.82,5911.18,71.1175
384,1920000,384,80.1737,-11269.896484375,5480.45,6038.39,71.0698
385,1925000,385,80.1632,-11421.64453125,5346.9,6070.24,70.9062
386,1930000,386,80.0268,-11317.19921875,5563.43,5703.9,73.4585
387,1935000,387,78.042,-11141.3994140625,5513.77,5940.25,70.17
