Itration,Running Forward KL,Real Sto Return,Real Det Return,Running Env Steps,Reward Loss,Running Update Time,Running Reverse KL
29,77.2951,-767.96,-898.79,145000,-328.87469482421875,29,45.3887
30,75.9151,-795.07,-316.96,150000,-363.72869873046875,30,32.0286
31,76.4544,-719.94,-843.6,155000,-372.1346740722656,31,38.7943
32,78.4775,-466.23,-550.58,160000,-381.5466003417969,32,41.4621
33,74.6005,-842.35,-447.16,165000,-389.52203369140625,33,29.5785
34,75.9147,-813.4,-970.71,170000,-392.4764099121094,34,37.6698
35,76.5202,-808.8,-781.72,175000,-425.2102355957031,35,30.2389
36,78.236,-913.2,-847.75,180000,-427.6236267089844,36,48.1247
37,76.9098,-893.62,-897.74,185000,-436.62261962890625,37,36.0725
38,75.2953,-705.68,-533.51,190000,-462.0865478515625,38,30.2868
39,77.4372,-361.26,-820.89,195000,-471.8010559082031,39,36.5
40,76.9461,-705.12,-730.14,200000,-474.9975280761719,40,41.4148
41,76.3891,-1112.55,-904.02,205000,-492.5461730957031,41,41.606
42,76.979,-601.65,-622.42,210000,-523.80615234375,42,33.8542
43,78.0612,-1042.25,-862.14,215000,-542.7993774414062,43,49.6192
44,82.0828,-1319.04,-1118.84,220000,-515.1572265625,44,57.1754
45,75.4935,-425.27,-447.47,225000,-517.9959106445312,45,36.0714
46,77.1559,-771.03,-603.76,230000,-562.44287109375,46,41.1849
47,75.1235,-597.88,-240.09,235000,-560.0984497070312,47,33.1294
48,76.1534,-914.83,-688.91,240000,-606.9696655273438,48,31.5386
49,74.6969,-422.2,-585.07,245000,-601.7694091796875,49,27.4702
50,77.0273,-619.95,-791.86,250000,-593.7683715820312,50,47.1841
51,75.7433,-691.5,-546.95,255000,-638.580078125,51,28.4672
52,75.2604,-1203.9,-1574.41,260000,-645.1410522460938,52,51.9275
53,75.1194,-636.45,-535.7,265000,-667.4873046875,53,28.8055
54,75.9505,-1166.24,-1078.08,270000,-672.152587890625,54,37.225
55,74.6193,-860.98,-1034.56,275000,-699.6113891601562,55,32.1695
56,75.3334,-819.14,-800.73,280000,-703.7067260742188,56,34.1567
57,75.096,-977.71,-527.86,285000,-737.6263427734375,57,32.348
58,75.0217,-849.25,-1260.25,290000,-730.947509765625,58,32.1432
59,75.6007,-328.43,-931.16,295000,-737.6591186523438,59,43.2157
60,77.947,-963.56,-704.46,300000,-783.5606079101562,60,80.0607
61,75.213,-919.3,-950.0,305000,-772.265380859375,61,34.3622
62,78.0865,-1215.05,-1392.09,310000,-802.391845703125,62,91.0915
63,75.0256,-910.97,-1347.03,315000,-841.4291381835938,63,34.2295
64,77.1789,-934.69,-1140.89,320000,-814.1449584960938,64,45.9439
65,75.6611,-760.74,-1228.05,325000,-872.0928955078125,65,29.3528
66,76.8925,-1076.36,-949.37,330000,-902.9868774414062,66,28.8723
67,75.7051,-578.46,-883.82,335000,-895.7531127929688,67,27.6531
68,76.6261,-624.38,-966.85,340000,-937.0880126953125,68,29.7311
69,75.659,-1000.51,-1136.8,345000,-926.6857299804688,69,32.0086
70,77.8666,-1289.53,-595.02,350000,-954.9227905273438,70,61.765
71,76.6327,-894.79,-748.01,355000,-982.8176879882812,71,28.2559
72,76.3293,-788.9,-1043.14,360000,-1001.1380004882812,72,27.3709
73,76.8467,-777.74,-955.42,365000,-1035.8104248046875,73,31.7536
74,79.9676,-1011.27,-611.27,370000,-1013.5575561523438,74,123.5045
75,77.0381,-971.91,-648.79,375000,-1046.450439453125,75,34.2922
76,76.3652,-439.62,-717.76,380000,-1039.3499755859375,76,31.0612
77,76.7383,-875.82,-943.44,385000,-1083.1749267578125,77,35.2703
78,75.1838,-857.47,-1176.2,390000,-1085.3643798828125,78,31.09
79,79.2866,-675.12,-1011.73,395000,-1136.8731689453125,79,39.669
80,78.1696,-655.9,-567.67,400000,-1133.7303466796875,80,47.4021
81,75.3009,-452.57,-523.54,405000,-1168.4990234375,81,30.2011
82,77.0577,-653.87,-769.83,410000,-1189.2645263671875,82,33.3745
83,76.0366,-958.97,-781.81,415000,-1217.2733154296875,83,30.4118
84,76.7675,-542.97,-724.83,420000,-1194.136474609375,84,35.4707
85,74.6489,-355.93,-1039.84,425000,-1213.16552734375,85,29.433
86,76.6499,-1127.71,-916.56,430000,-1204.7314453125,86,39.0484
87,74.3206,-483.78,-546.81,435000,-1275.9576416015625,87,27.0385
88,76.4382,-538.24,-686.93,440000,-1313.554931640625,88,35.5412
89,75.3577,-934.67,-861.66,445000,-1269.956298828125,89,29.2311
90,76.8821,-719.65,-608.11,450000,-1337.647216796875,90,33.2183
91,74.6219,-493.36,-651.95,455000,-1360.539306640625,91,30.6218
92,76.6645,-774.7,-629.82,460000,-1340.2564697265625,92,33.3009
93,76.0867,-984.76,-736.37,465000,-1393.1436767578125,93,32.5716
94,77.8335,-898.15,-907.28,470000,-1450.4825439453125,94,39.321
95,74.629,-910.02,-705.64,475000,-1451.376708984375,95,32.8635
96,77.0005,-675.78,-583.68,480000,-1520.0767822265625,96,33.8534
97,76.4164,-794.55,-577.92,485000,-1540.5135498046875,97,34.3424
98,79.059,-385.33,-494.09,490000,-1487.517578125,98,79.2293
99,78.1894,-672.29,-853.96,495000,-1527.759033203125,99,39.9321
100,75.7758,-534.68,-1016.28,500000,-1563.2305908203125,100,37.4474
101,76.5573,-798.51,-756.14,505000,-1612.50244140625,101,31.6977
102,77.2941,-776.47,-601.43,510000,-1570.4102783203125,102,33.849
103,76.229,-916.46,-868.13,515000,-1591.5693359375,103,37.4523
104,75.6324,-459.7,-767.96,520000,-1637.74462890625,104,34.8455
105,77.0092,-598.52,-494.39,525000,-1677.1434326171875,105,32.8383
106,76.9844,-596.91,-817.42,530000,-1733.5863037109375,106,40.2757
107,76.0596,-863.76,-805.03,535000,-1757.09033203125,107,32.5499
108,75.9697,-792.98,-387.14,540000,-1771.79638671875,108,54.3115
109,76.164,-482.71,-759.27,545000,-1825.1024169921875,109,32.9808
110,77.5452,-662.09,-423.81,550000,-1862.79931640625,110,59.4402
111,80.2349,-922.62,-1129.75,555000,-1926.8243408203125,111,39.7729
112,76.4067,-527.46,-986.54,560000,-1865.3802490234375,112,30.3583
113,78.3367,-909.75,-684.6,565000,-1961.5167236328125,113,35.8583
114,75.5928,-712.88,-651.93,570000,-1921.1146240234375,114,32.561
115,75.6047,-590.37,-899.86,575000,-2001.0826416015625,115,31.7916
116,77.7425,-565.13,-732.74,580000,-2076.026123046875,116,31.422
117,76.2176,-786.89,-813.16,585000,-2039.30908203125,117,35.4703
118,76.2084,-895.87,-746.72,590000,-2096.197509765625,118,31.661
119,75.5388,-872.71,-843.34,595000,-2077.498779296875,119,28.6429
120,76.2486,-1071.03,-932.35,600000,-2043.3544921875,120,77.334
121,76.8836,-612.86,-780.6,605000,-2160.41748046875,121,33.4401
122,76.1012,-457.28,-479.79,610000,-2197.59619140625,122,29.7533
123,76.131,-658.11,-785.34,615000,-2169.04248046875,123,35.8567
124,76.4516,-786.63,-866.41,620000,-2304.498779296875,124,32.0011
125,75.8312,-819.94,-533.69,625000,-2307.41552734375,125,31.8896
126,77.549,-596.75,-560.61,630000,-2417.043212890625,126,31.1963
127,75.4983,-353.99,-592.2,635000,-2393.240966796875,127,28.9391
128,76.4514,-704.38,-668.76,640000,-2312.75390625,128,37.818
129,75.8705,-576.19,-439.85,645000,-2377.727294921875,129,32.0471
130,76.9297,-854.03,-880.73,650000,-2433.697021484375,130,33.4169
131,74.008,-727.26,-571.34,655000,-2448.865234375,131,30.1413
132,76.4385,-704.26,-534.34,660000,-2465.872802734375,132,39.4051
133,74.4657,-790.28,-762.43,665000,-2471.80810546875,133,31.1067
134,75.5298,-897.23,-1052.63,670000,-2596.276123046875,134,72.4568
135,76.4032,-872.41,-950.12,675000,-2513.864013671875,135,67.3502
136,74.3256,-288.23,-368.15,680000,-2625.476318359375,136,32.0426
137,76.3806,-746.51,-725.0,685000,-2706.88330078125,137,28.9541
138,74.2162,-629.76,-753.19,690000,-2787.161376953125,138,26.885
139,75.0838,-710.17,-714.83,695000,-2800.71728515625,139,29.1493
140,75.7493,-666.12,-671.7,700000,-2835.620849609375,140,28.8525
141,74.6925,-467.52,-581.23,705000,-2882.773193359375,141,27.2655
142,76.6717,-772.76,-656.13,710000,-2875.52197265625,142,39.845
143,75.3968,-691.46,-514.0,715000,-2997.693603515625,143,33.5021
144,76.6572,-657.48,-846.54,720000,-3003.115966796875,144,31.544
145,75.2374,-736.63,-574.26,725000,-3022.019287109375,145,28.6007
146,75.1163,-665.68,-603.49,730000,-3140.694580078125,146,27.7805
147,75.5229,-881.24,-968.88,735000,-3036.311767578125,147,34.3373
148,74.3188,-633.22,-587.5,740000,-3184.8369140625,148,25.1952
149,74.4934,-671.7,-1047.93,745000,-3121.9697265625,149,29.5218
150,75.7923,-700.1,-565.75,750000,-3187.317138671875,150,25.7828
151,75.2365,-718.94,-637.53,755000,-3300.467041015625,151,26.5595
152,75.7978,-752.62,-955.49,760000,-3345.921630859375,152,26.645
153,75.1547,-767.63,-361.41,765000,-3266.8125,153,29.7759
154,77.3605,-875.84,-1178.39,770000,-3272.82421875,154,37.0941
155,75.2814,-840.81,-875.74,775000,-3385.554443359375,155,28.4651
156,73.6607,-718.4,-863.31,780000,-3406.47509765625,156,28.3823
157,74.6022,-628.83,-555.94,785000,-3529.343505859375,157,26.1891
158,74.2697,-918.74,-922.47,790000,-3625.861083984375,158,28.9207
159,74.6254,-523.36,-370.93,795000,-3720.005126953125,159,28.3631
160,72.8708,-461.85,-587.24,800000,-3610.6162109375,160,24.4502
161,73.8803,-954.16,-875.79,805000,-3693.21826171875,161,30.661
162,73.555,-549.44,-560.69,810000,-3792.420166015625,162,25.0234
163,74.6259,-351.89,-428.86,815000,-3865.310302734375,163,25.6445
164,75.6449,-610.38,-509.98,820000,-3966.210205078125,164,25.6774
165,75.3801,-496.03,-632.04,825000,-3885.461669921875,165,33.9356
166,75.1598,-606.32,-878.09,830000,-3857.310302734375,166,31.3139
167,74.6276,-916.32,-970.75,835000,-3870.882568359375,167,38.7418
168,74.1394,-813.19,-1168.15,840000,-4041.93408203125,168,30.5744
169,75.5627,-406.16,-501.28,845000,-4138.501953125,169,24.7737
170,75.8944,-634.77,-390.35,850000,-4136.52490234375,170,35.0866
171,75.9628,-734.57,-854.06,855000,-4218.7099609375,171,31.2227
172,75.8784,-394.58,-604.4,860000,-4404.28125,172,27.7592
173,74.779,-628.86,-494.0,865000,-4300.1748046875,173,30.4404
174,78.387,-980.96,-863.01,870000,-4469.80615234375,174,156.6232
175,75.957,-495.75,-384.96,875000,-4542.759765625,175,25.2257
176,74.662,-335.47,-690.38,880000,-4540.88671875,176,25.555
177,77.1022,-501.53,-496.38,885000,-4609.73828125,177,53.8098
178,74.0997,-335.64,-570.3,890000,-4680.009765625,178,29.6277
179,76.0472,-872.93,-1169.02,895000,-4716.41552734375,179,137.9106
180,74.5681,-736.95,-703.36,900000,-4786.19580078125,180,28.9708
181,77.6924,-562.49,-286.63,905000,-4744.7158203125,181,40.6988
182,74.619,-385.48,-267.79,910000,-4871.54638671875,182,23.691
183,74.2298,-478.55,-285.93,915000,-5048.31396484375,183,24.9355
184,74.2215,-631.21,-634.87,920000,-5109.86865234375,184,24.1495
185,73.7579,-604.3,-590.66,925000,-5027.79052734375,185,31.6136
186,73.4414,-266.59,-333.62,930000,-5229.58349609375,186,26.2993
187,73.2788,-462.76,-262.29,935000,-5210.3310546875,187,25.6762
188,74.148,-565.61,-478.0,940000,-5319.6884765625,188,25.5955
189,75.4698,-591.28,-621.71,945000,-5360.30078125,189,26.5919
190,74.167,-465.61,-471.05,950000,-5600.15380859375,190,27.214
191,76.6554,-783.23,-838.86,955000,-5574.84375,191,49.7001
192,75.5018,-474.83,-569.52,960000,-5508.88330078125,192,29.6319
193,77.0415,-811.55,-656.31,965000,-5542.6015625,193,38.8613
194,75.9134,-512.05,-515.13,970000,-5495.2138671875,194,34.2354
195,75.0766,-643.14,-517.8,975000,-5803.658203125,195,28.7758
196,73.5834,-727.79,-629.43,980000,-5957.0693359375,196,30.1248
197,75.233,-478.53,-328.29,985000,-5949.572265625,197,25.565
198,74.2422,-468.05,-256.28,990000,-5968.185546875,198,25.3196
199,74.3,-294.01,-864.31,995000,-5985.5537109375,199,29.338
200,74.6826,-527.58,-504.74,1000000,-6158.58203125,200,26.9094
201,77.6948,-288.25,-611.79,1005000,-6385.81298828125,201,29.366
202,74.7259,-619.44,-598.37,1010000,-6368.548828125,202,26.223
203,75.18,-305.96,-757.05,1015000,-6431.09130859375,203,25.9622
204,74.1971,-331.52,-445.48,1020000,-6446.18505859375,204,23.9797
205,75.0684,-353.09,-595.59,1025000,-6555.43017578125,205,24.3198
206,74.5844,-310.05,-304.9,1030000,-6609.4931640625,206,23.6972
207,75.0917,-301.26,-390.66,1035000,-6707.767578125,207,26.127
208,76.3314,-370.65,-331.12,1040000,-6909.00439453125,208,25.031
209,76.0943,-302.87,-384.16,1045000,-6957.04248046875,209,24.8667
210,76.8897,-277.48,-258.84,1050000,-7018.1884765625,210,25.0931
211,74.7463,-352.44,-333.33,1055000,-7028.767578125,211,24.196
212,76.2388,-326.32,-330.16,1060000,-7151.10986328125,212,26.0584
213,73.4687,-200.31,-372.87,1065000,-7166.67529296875,213,24.0818
214,74.7295,-208.63,-468.84,1070000,-7268.60888671875,214,25.5366
215,73.6258,-378.91,-377.62,1075000,-7316.73828125,215,24.6731
216,74.4669,-345.99,-230.44,1080000,-7473.19677734375,216,24.2508
217,73.3764,-445.23,-370.72,1085000,-7572.04443359375,217,23.8648
218,73.9316,-337.77,-366.08,1090000,-7475.38818359375,218,24.2173
219,73.7431,-216.95,-193.55,1095000,-7677.91748046875,219,23.5301
220,74.6555,-484.95,-297.25,1100000,-7788.90087890625,220,23.8052
221,74.9524,-252.49,-197.18,1105000,-7955.6142578125,221,22.2932
222,75.3986,-335.32,-409.84,1110000,-8116.283203125,222,24.1447
223,75.0113,-353.58,-355.47,1115000,-8206.60546875,223,24.4415
224,73.0715,-289.91,-170.88,1120000,-8113.05908203125,224,21.3991
225,77.326,-711.46,-544.75,1125000,-7864.9228515625,225,218.2771
226,74.0634,-391.04,-209.97,1130000,-8387.259765625,226,25.9991
227,73.2044,-385.65,-415.25,1135000,-8497.619140625,227,24.4452
228,75.1624,-127.76,-595.23,1140000,-8659.482421875,228,22.8455
229,75.933,-689.18,-748.81,1145000,-8804.0673828125,229,25.8438
230,73.8922,-457.39,-720.82,1150000,-8748.5654296875,230,25.6859
231,73.956,-304.25,-383.57,1155000,-8695.5634765625,231,26.6404
232,75.1553,-450.39,-323.03,1160000,-9014.8603515625,232,25.5222
233,74.6137,-211.97,-336.6,1165000,-9158.6796875,233,24.9879
234,74.942,-380.57,-527.86,1170000,-9218.9580078125,234,24.0479
235,75.8604,-284.66,-336.72,1175000,-9329.89453125,235,24.7533
236,75.3009,-466.76,-302.32,1180000,-9539.705078125,236,25.9404
237,74.306,-479.26,-300.41,1185000,-9308.3037109375,237,25.8412
238,74.8995,-463.57,-210.66,1190000,-9705.916015625,238,22.396
239,76.1439,-446.97,-274.57,1195000,-9739.357421875,239,25.4617
240,75.3485,-275.26,-407.76,1200000,-9907.7958984375,240,24.562
241,75.424,-254.37,-412.61,1205000,-9921.3115234375,241,26.3159
242,76.5503,-502.77,-566.34,1210000,-10128.591796875,242,25.801
243,76.8108,-428.05,-352.2,1215000,-10275.9365234375,243,73.1739
244,75.7368,-386.84,-221.67,1220000,-10249.2158203125,244,25.1554
245,75.5508,-323.25,-442.06,1225000,-10396.884765625,245,28.6634
246,75.0586,-155.29,-278.11,1230000,-10493.177734375,246,24.7268
247,76.2366,-272.46,-366.25,1235000,-10565.1494140625,247,23.4341
248,77.0506,-315.33,-278.46,1240000,-10524.958984375,248,24.3397
249,74.8136,-381.22,-402.61,1245000,-10631.205078125,249,24.4446
250,75.7748,-327.92,-144.87,1250000,-10872.7421875,250,23.6619
251,75.735,-188.46,-208.23,1255000,-11073.9619140625,251,26.0406
252,76.0978,-357.03,-331.56,1260000,-10841.0400390625,252,25.9526
253,76.0625,-239.6,-354.17,1265000,-11145.3076171875,253,25.41
254,76.1585,-239.81,-295.01,1270000,-11156.1279296875,254,25.9634
255,76.4591,-192.81,-301.86,1275000,-11148.3994140625,255,23.7079
256,74.3079,-571.24,-369.22,1280000,-11171.8251953125,256,27.437
257,75.7585,-219.74,-292.65,1285000,-11339.1396484375,257,23.7656
258,74.7825,-380.71,-245.69,1290000,-11298.15625,258,25.4067
259,76.5424,-301.96,-458.79,1295000,-11759.7412109375,259,24.2954
260,75.6298,-116.95,-398.1,1300000,-11645.3818359375,260,22.9985
261,76.7609,-308.12,-414.89,1305000,-11544.1044921875,261,23.7468
262,76.9725,-395.59,-372.56,1310000,-11692.6826171875,262,54.3233
263,75.1569,-394.35,-410.85,1315000,-11940.71484375,263,24.2078
264,75.1332,-324.83,-272.05,1320000,-11886.4208984375,264,23.761
265,75.4363,-336.69,-500.0,1325000,-11921.3486328125,265,25.7846
266,74.9807,-467.25,-479.7,1330000,-11900.1572265625,266,27.3627
267,75.6819,-398.76,-334.84,1335000,-12078.9658203125,267,25.3518
268,76.9566,-317.97,-398.88,1340000,-12286.98046875,268,24.501
269,75.1911,-315.34,-302.98,1345000,-12349.1328125,269,24.4749
270,75.8901,-288.26,-269.0,1350000,-12327.3466796875,270,25.0648
271,76.4005,-303.74,-247.2,1355000,-12424.1044921875,271,23.4598
272,75.1066,-287.65,-290.59,1360000,-12183.478515625,272,23.2318
273,74.0589,-248.37,-401.17,1365000,-12544.7177734375,273,25.3073
274,73.4868,-275.37,-370.51,1370000,-12338.224609375,274,23.5225
275,75.3897,-505.97,-373.36,1375000,-12712.20703125,275,27.9862
276,75.4614,-267.95,-295.44,1380000,-12738.9560546875,276,26.6431
277,74.554,-414.73,-391.89,1385000,-12477.46875,277,24.0469
278,75.7985,-391.14,-547.6,1390000,-12657.05078125,278,27.3485
279,75.1064,-235.52,-321.52,1395000,-13077.2216796875,279,23.5454
280,73.9436,-334.42,-273.67,1400000,-12551.138671875,280,24.3012
281,74.9779,-395.85,-451.3,1405000,-13047.1240234375,281,24.1812
282,75.9426,-475.09,-296.04,1410000,-13286.80078125,282,25.1154
283,74.679,-299.58,-363.87,1415000,-12888.181640625,283,24.4007
284,74.179,-276.36,-534.01,1420000,-13120.6015625,284,24.8779
285,75.2917,-420.67,-355.25,1425000,-13314.07421875,285,24.2794
286,75.7589,-396.65,-327.21,1430000,-13284.828125,286,24.431
287,74.3192,-387.66,-373.26,1435000,-13214.388671875,287,22.9585
288,75.7656,-284.99,-260.64,1440000,-13446.46484375,288,23.1402
289,76.0483,-314.95,-402.78,1445000,-13413.322265625,289,25.2102
290,75.8191,-353.61,-332.77,1450000,-13655.611328125,290,23.3314
291,74.4737,-267.41,-208.29,1455000,-13623.4326171875,291,23.5692
292,76.3426,-239.03,-419.84,1460000,-13686.0078125,292,24.6842
293,76.2641,-299.96,-504.32,1465000,-14090.7099609375,293,25.153
294,76.5602,-285.04,-192.03,1470000,-14196.8251953125,294,22.4735
295,76.9041,-196.84,-261.28,1475000,-13934.916015625,295,24.814
296,75.6496,-297.53,-273.5,1480000,-13856.6435546875,296,24.5956
297,76.9613,-232.72,-236.74,1485000,-14226.9931640625,297,24.3871
298,75.6004,-313.55,-434.34,1490000,-14236.8193359375,298,27.9094
299,76.9465,-382.79,-291.63,1495000,-14507.5341796875,299,25.3367
300,76.6213,-345.79,-521.43,1500000,-14492.3134765625,300,27.3582
301,77.0683,-443.82,-413.79,1505000,-14502.650390625,301,24.0809
302,76.17,-340.54,-232.99,1510000,-14323.0,302,23.6462
303,75.6125,-621.3,-573.78,1515000,-14484.9169921875,303,23.4461
304,77.0475,-431.38,-319.61,1520000,-14855.0390625,304,24.5656
305,75.6185,-511.89,-727.26,1525000,-14705.0185546875,305,24.7637
306,76.971,-387.17,-412.93,1530000,-14622.0625,306,23.768
307,75.4353,-313.6,-515.9,1535000,-14772.7548828125,307,24.6989
308,76.5467,-472.13,-314.7,1540000,-14854.1162109375,308,25.009
309,76.8833,-371.35,-354.54,1545000,-14753.2568359375,309,23.4306
310,74.5146,-366.02,-530.26,1550000,-14424.4658203125,310,24.3986
311,76.9565,-385.49,-435.2,1555000,-14966.5146484375,311,24.0939
312,76.8225,-458.19,-452.94,1560000,-15067.0263671875,312,24.5468
313,76.2408,-352.12,-414.84,1565000,-15159.5361328125,313,24.1362
314,76.3981,-256.13,-321.08,1570000,-15156.341796875,314,23.3898
315,76.5171,-419.33,-604.8,1575000,-15174.392578125,315,24.1869
316,77.2078,-438.94,-336.31,1580000,-15253.3095703125,316,25.126
317,76.1936,-335.34,-448.12,1585000,-15122.33203125,317,23.8823
318,76.5629,-424.04,-300.22,1590000,-15137.2529296875,318,24.6835
319,75.7553,-362.13,-399.18,1595000,-15105.2470703125,319,22.7772
320,76.6703,-435.15,-339.25,1600000,-15526.4755859375,320,24.712
321,77.1562,-450.78,-312.38,1605000,-15423.5810546875,321,24.7064
322,77.2204,-283.16,-317.75,1610000,-15621.7744140625,322,22.8946
323,76.8995,-437.09,-406.16,1615000,-15341.5341796875,323,30.4645
324,75.8727,-382.07,-413.46,1620000,-15631.6455078125,324,23.5842
325,76.7037,-347.22,-339.71,1625000,-15556.189453125,325,23.2802
326,77.4042,-340.05,-296.93,1630000,-15888.365234375,326,23.1011
327,75.8348,-263.61,-320.21,1635000,-15712.3369140625,327,22.2282
328,76.2664,-270.14,-369.97,1640000,-15744.802734375,328,23.6987
329,76.6894,-301.55,-167.34,1645000,-15959.25,329,22.7034
330,75.7179,-326.36,-308.59,1650000,-15696.3017578125,330,22.343
331,74.3667,-485.87,-270.92,1655000,-15877.1767578125,331,22.9687
332,75.4135,-340.0,-380.38,1660000,-15862.2490234375,332,22.0546
333,76.7344,-220.39,-302.28,1665000,-16063.052734375,333,24.834
334,76.1655,-431.98,-327.03,1670000,-15703.916015625,334,23.0821
335,76.149,-376.29,-344.32,1675000,-16051.77734375,335,24.5626
336,74.6104,-337.99,-384.51,1680000,-15892.60546875,336,24.4581
337,75.7821,-375.8,-376.65,1685000,-16107.115234375,337,25.5564
338,74.1307,-493.08,-275.94,1690000,-15798.6650390625,338,25.3643
339,75.2575,-375.14,-467.84,1695000,-16081.4833984375,339,25.4491
340,75.263,-463.91,-344.45,1700000,-16138.3076171875,340,24.3758
341,75.6554,-563.47,-384.56,1705000,-16251.47265625,341,24.0241
342,75.6195,-364.7,-341.31,1710000,-16187.111328125,342,24.2604
343,76.2176,-276.23,-351.34,1715000,-16216.1767578125,343,24.9432
344,74.6532,-434.8,-347.59,1720000,-16101.4599609375,344,23.5055
345,75.9589,-350.52,-651.8,1725000,-16391.12109375,345,26.1933
346,75.2806,-387.25,-281.79,1730000,-16388.8046875,346,25.5512
347,75.0178,-379.09,-389.82,1735000,-16492.490234375,347,23.9035
348,77.3874,-442.34,-323.78,1740000,-16477.41015625,348,26.9017
349,75.0709,-542.78,-293.56,1745000,-16461.05078125,349,25.8995
350,77.2188,-544.04,-336.61,1750000,-16675.935546875,350,24.251
351,76.5547,-555.37,-498.93,1755000,-16677.283203125,351,24.3754
352,77.3763,-459.12,-378.47,1760000,-16775.556640625,352,25.7792
353,76.7896,-377.0,-607.54,1765000,-16681.880859375,353,26.5084
354,76.3402,-180.25,-416.9,1770000,-16667.849609375,354,24.7277
355,76.0352,-364.14,-407.4,1775000,-16793.134765625,355,22.9758
356,75.1284,-543.46,-316.63,1780000,-16841.123046875,356,26.2737
357,76.0021,-384.8,-396.54,1785000,-16912.701171875,357,24.1868
358,76.9341,-422.81,-237.01,1790000,-17081.630859375,358,23.0872
359,76.5041,-338.47,-605.81,1795000,-17022.09765625,359,23.1445
360,76.0849,-558.77,-547.98,1800000,-17056.541015625,360,25.2123
361,77.6808,-604.77,-528.38,1805000,-17227.486328125,361,30.0156
362,75.6577,-543.0,-310.68,1810000,-17177.150390625,362,25.1429
363,75.7475,-474.35,-520.58,1815000,-17211.271484375,363,26.0255
364,76.3797,-322.76,-199.12,1820000,-17202.552734375,364,24.9936
365,76.548,-602.38,-645.52,1825000,-17215.388671875,365,24.956
366,75.1716,-382.35,-406.76,1830000,-17284.009765625,366,24.3585
367,76.1823,-302.17,-254.4,1835000,-17230.560546875,367,25.4004
368,76.3089,-701.34,-454.63,1840000,-17359.234375,368,23.7086
369,76.0975,-294.74,-492.9,1845000,-17336.75,369,25.8963
370,76.1491,-534.28,-443.79,1850000,-17442.68359375,370,24.3648
371,76.028,-247.53,-335.75,1855000,-17374.33203125,371,23.7928
372,75.6267,-377.9,-393.41,1860000,-17376.015625,372,24.7596
