Running Update Time,Real Det Return,Running Env Steps,Reward Loss,Running Reverse KL,Real Sto Return,Running Forward KL,Itration
187,3411.47,935000,-4449.77978515625,34.2098,2238.64,21.6209,187
188,864.08,940000,-6346.08056640625,62.3951,1226.14,23.6985,188
189,174.86,945000,-3200.050048828125,22.28,700.1,24.4501,189
190,3434.89,950000,-3385.765380859375,15.4464,2289.59,21.8031,190
191,3446.83,955000,-4026.951904296875,28.8281,2175.17,21.3483,191
192,1500.1,960000,-8076.7294921875,93.1894,1255.75,23.2557,192
193,1627.84,965000,-6462.2255859375,59.2716,1500.96,23.0226,193
194,1366.24,970000,-7286.0126953125,63.3465,1156.85,21.4286,194
195,2920.39,975000,-8358.763671875,53.6653,1314.43,22.9091,195
196,1608.61,980000,-5901.68017578125,55.9415,1621.1,23.3434,196
197,1785.01,985000,-5446.65673828125,83.2044,1530.63,22.8112,197
198,3491.03,990000,-2966.704345703125,15.5505,2204.39,21.4118,198
199,3447.18,995000,-2957.364990234375,29.1874,1946.51,20.8266,199
