Reward Loss,Running Forward KL,Real Det Return,Real Sto Return,Running Update Time,Running Env Steps,Itration,Running Reverse KL
-776.2061767578125,17.9766,3407.28,3377.71,120,600000,120,10.438
-1041.0615234375,18.2842,3422.41,3017.68,121,605000,121,11.5131
-574.1751098632812,17.7365,3428.4,3406.09,122,610000,122,10.9522
-1324.6820068359375,19.1664,3433.36,2590.32,123,615000,123,12.1691
-1114.679443359375,18.856,3406.07,2805.96,124,620000,124,11.34
-1316.042236328125,19.3583,3410.35,2849.86,125,625000,125,11.7914
-1225.11083984375,19.0177,3419.49,2906.54,126,630000,126,12.4769
-782.7362670898438,18.0056,3415.48,2996.2,127,635000,127,11.0913
-593.7119750976562,17.8077,3427.0,3394.48,128,640000,128,10.7793
-646.1157836914062,17.7659,3404.24,3391.86,129,645000,129,10.2246
-963.1746826171875,18.5957,3397.74,3170.4,130,650000,130,11.1333
-917.0066528320312,18.3548,3414.48,3305.7,131,655000,131,11.1712
-928.90869140625,17.9289,3424.4,3293.84,132,660000,132,10.8479
-935.1039428710938,18.0846,3430.26,3097.07,133,665000,133,11.0307
-1045.6192626953125,18.232,3440.93,2846.37,134,670000,134,11.0271
-1503.717529296875,19.2703,3435.55,2661.69,135,675000,135,12.8611
-857.9088745117188,18.5243,3410.95,3237.77,136,680000,136,11.0901
-987.8778686523438,18.6463,3397.57,3319.91,137,685000,137,11.3192
-838.7832641601562,18.0622,3414.52,3205.54,138,690000,138,10.858
-1357.17236328125,18.427,3439.83,2606.69,139,695000,139,11.7277
-1134.6422119140625,18.7466,3431.98,3185.8,140,700000,140,11.4968
