Real Det Return,Itration,Running Reverse KL,Real Sto Return,Running Env Steps,Reward Loss,Running Forward KL,Running Update Time
3352.88,51,14.979,2514.01,255000,-501.06561279296875,19.3029,51
3470.4,52,13.009,3133.21,260000,-246.485595703125,19.3841,52
3397.32,53,14.6117,2287.46,265000,-518.6041259765625,19.4182,53
3465.58,54,12.7822,3437.03,270000,-196.79197692871094,18.9468,54
3495.45,55,14.9098,2724.97,275000,-407.36328125,19.0879,55
3512.71,56,12.7464,3456.59,280000,-148.26815795898438,18.8723,56
3479.45,57,11.8201,3130.5,285000,-161.65777587890625,18.4448,57
3487.9,58,12.4039,3234.83,290000,-188.22329711914062,19.6965,58
3503.9,59,10.9653,3195.48,295000,-99.02893829345703,17.8506,59
3494.24,60,15.4597,3246.36,300000,-297.3538818359375,19.0019,60
3480.92,61,13.3757,3424.13,305000,-143.397216796875,18.9626,61
3477.58,62,12.0261,3380.02,310000,-118.7646713256836,18.6049,62
3421.55,63,12.2211,3109.53,315000,-192.61654663085938,19.2831,63
3493.18,64,12.9081,3411.02,320000,-163.4093017578125,18.3124,64
3490.4,65,11.844,3442.28,325000,-152.66104125976562,18.1935,65
3480.82,66,11.405,3432.75,330000,-149.69821166992188,17.9432,66
3448.9,67,11.4459,3311.57,335000,-304.26263427734375,18.61,67
3466.09,68,11.6846,3348.51,340000,-304.3417663574219,18.4326,68
3496.77,69,10.8335,3296.38,345000,-215.60348510742188,17.9873,69
3313.52,70,12.3096,2741.82,350000,-507.6072082519531,19.0614,70
3457.35,71,12.7623,3222.95,355000,-286.05120849609375,18.3341,71
3481.77,72,11.1179,3304.64,360000,-141.8380889892578,17.7382,72
3449.6,73,11.3753,3026.85,365000,-237.0203399658203,17.7518,73
3491.67,74,12.0079,3441.54,370000,-222.84405517578125,18.4692,74
3465.44,75,11.9128,3200.77,375000,-396.85626220703125,18.5499,75
3487.66,76,10.9715,3256.71,380000,-161.99612426757812,17.8278,76
3485.63,77,11.8612,3158.21,385000,-242.21719360351562,17.8014,77
3457.81,78,12.6181,3431.23,390000,-191.1916046142578,18.5394,78
3454.37,79,11.1898,2930.78,395000,-371.7018127441406,18.961,79
3434.36,80,11.5625,3408.66,400000,-273.2952575683594,17.9928,80
3448.08,81,11.7853,3430.06,405000,-203.78477478027344,17.8022,81
3478.84,82,11.0912,3446.68,410000,-170.4317169189453,17.414,82
3449.58,83,11.6346,3417.33,415000,-217.6837921142578,17.5209,83
3453.1,84,11.067,2827.7,420000,-266.01910400390625,18.0411,84
3460.48,85,11.631,3434.8,425000,-220.59471130371094,17.5084,85
3463.96,86,11.4485,3411.25,430000,-217.8189697265625,17.6345,86
3435.65,87,11.2401,3320.26,435000,-316.8898010253906,17.5707,87
3464.29,88,11.3436,3432.98,440000,-195.3761749267578,16.7914,88
3473.47,89,12.4568,3417.47,445000,-280.06591796875,18.2527,89
3466.42,90,11.3276,3357.71,450000,-214.78831481933594,17.2163,90
3481.26,91,11.5689,3455.71,455000,-236.70452880859375,17.5256,91
3444.65,92,12.448,3370.59,460000,-255.37478637695312,17.7438,92
3427.95,93,12.2851,3409.68,465000,-265.0865173339844,17.7825,93
3435.97,94,12.208,3421.56,470000,-262.75115966796875,17.6606,94
3482.52,95,11.6884,3461.59,475000,-257.176025390625,17.3241,95
3448.99,96,11.4376,3342.37,480000,-304.0961608886719,17.9591,96
3448.57,97,11.4605,3424.66,485000,-270.077880859375,16.808,97
3476.31,98,11.226,3432.95,490000,-253.42189025878906,16.8968,98
3430.16,99,11.4191,3392.7,495000,-275.8084411621094,17.0782,99
3461.69,100,11.7168,3435.57,500000,-304.64349365234375,16.9002,100
3470.11,101,10.8332,3321.32,505000,-273.4365539550781,16.9414,101
3475.84,102,11.689,3436.15,510000,-258.3664245605469,17.4451,102
3415.15,103,11.4258,3389.4,515000,-288.9754333496094,17.0526,103
3472.71,104,11.1771,3453.24,520000,-286.3053894042969,17.1633,104
3478.34,105,11.6355,3443.8,525000,-306.9244384765625,17.2443,105
3434.56,106,12.1255,3390.51,530000,-335.06842041015625,17.6448,106
3450.8,107,11.0907,3334.7,535000,-325.5939025878906,16.5116,107
3453.14,108,11.5426,3405.04,540000,-308.0978088378906,17.4789,108
3463.67,109,11.7001,3428.21,545000,-318.7635498046875,16.7625,109
3444.04,110,11.093,3415.27,550000,-320.3663330078125,16.6499,110
3454.06,111,11.3381,3410.03,555000,-328.7460021972656,16.8162,111
3435.31,112,11.6903,3399.15,560000,-348.0999755859375,17.1658,112
3445.5,113,11.4147,3410.76,565000,-331.5337219238281,16.484,113
3446.8,114,10.8999,3425.67,570000,-301.1445007324219,16.482,114
3451.73,115,11.2375,3432.37,575000,-314.0958251953125,16.4921,115
3465.66,116,11.7773,3442.81,580000,-357.41912841796875,17.3685,116
3450.85,117,11.1833,3338.79,585000,-314.95098876953125,17.426,117
3444.87,118,11.1015,3418.41,590000,-352.8682861328125,16.6149,118
3461.73,119,11.3142,3438.73,595000,-357.65802001953125,16.7722,119
3462.26,120,11.5604,3429.37,600000,-358.31085205078125,17.1764,120
3426.06,121,11.6305,3409.99,605000,-386.90093994140625,16.9865,121
3477.62,122,11.6541,3443.35,610000,-367.1120300292969,17.1387,122
3455.21,123,11.3589,3424.58,615000,-356.1129150390625,16.7723,123
3441.44,124,11.4821,3392.15,620000,-395.28997802734375,17.2134,124
3445.48,125,11.2174,3405.31,625000,-402.2440490722656,17.0816,125
3471.1,126,11.5474,3440.17,630000,-398.03216552734375,16.8388,126
3477.79,127,11.1723,3389.64,635000,-363.2755432128906,16.7699,127
3463.15,128,12.0068,3428.12,640000,-416.01263427734375,17.4283,128
3457.92,129,11.5368,3404.26,645000,-408.27392578125,16.9071,129
3458.25,130,10.8387,3426.9,650000,-379.53131103515625,16.4858,130
3431.04,131,11.3337,3401.67,655000,-417.850830078125,16.8791,131
3448.49,132,10.884,3413.85,660000,-410.19769287109375,16.1826,132
3458.98,133,10.8493,3379.38,665000,-395.3878173828125,16.5149,133
3445.72,134,11.3934,3428.23,670000,-433.6303405761719,16.7171,134
3465.33,135,10.4582,3432.32,675000,-371.6072082519531,16.0977,135
3478.73,136,10.8948,3425.84,680000,-392.6413879394531,16.5942,136
3453.33,137,11.333,3429.61,685000,-434.6925354003906,16.4076,137
3459.28,138,11.5243,3441.83,690000,-428.1302490234375,16.5604,138
3462.61,139,10.6751,3434.43,695000,-438.99383544921875,16.1511,139
3455.44,140,11.0032,3425.63,700000,-425.8475646972656,16.3748,140
3472.65,141,11.123,3452.44,705000,-415.96881103515625,16.417,141
3460.36,142,10.385,3436.52,710000,-428.2252197265625,15.6827,142
3447.5,143,10.7901,3421.84,715000,-423.2221984863281,16.0196,143
3429.36,144,10.3252,3403.65,720000,-453.4639587402344,15.8782,144
3458.56,145,11.7373,3440.7,725000,-510.77288818359375,16.7541,145
3469.86,146,10.5969,3445.63,730000,-453.951416015625,15.8387,146
3445.83,147,10.7362,3415.45,735000,-451.3004150390625,16.0103,147
3452.14,148,10.4235,3427.11,740000,-451.17401123046875,15.8579,148
3452.95,149,11.2703,3431.75,745000,-530.8386840820312,16.2238,149
3458.84,150,11.3229,3442.0,750000,-467.358642578125,16.548,150
3459.8,151,11.2167,3432.87,755000,-487.739013671875,16.1491,151
3474.09,152,10.6202,3446.63,760000,-458.813720703125,16.3098,152
3436.4,153,10.9381,3425.53,765000,-464.6893005371094,15.8775,153
3448.24,154,11.0753,3418.09,770000,-501.1464538574219,16.3977,154
3447.11,155,10.5353,3415.11,775000,-476.48590087890625,16.037,155
3448.68,156,10.9348,3335.21,780000,-511.38458251953125,16.1495,156
3423.67,157,10.7452,3397.53,785000,-504.4916687011719,16.2381,157
3471.71,158,10.932,3447.35,790000,-508.72357177734375,16.3108,158
3451.76,159,11.2182,3421.32,795000,-564.8810424804688,16.2188,159
3468.5,160,11.0299,3430.74,800000,-574.7954711914062,16.3085,160
3460.85,161,10.9481,3430.35,805000,-545.3389892578125,15.9382,161
3487.95,162,11.1313,3463.99,810000,-533.9967651367188,16.0959,162
3445.93,163,10.6026,3412.56,815000,-556.58251953125,16.4363,163
3434.37,164,11.3111,3416.65,820000,-532.201904296875,16.3057,164
3467.73,165,10.4164,3410.97,825000,-517.914306640625,16.0057,165
3433.57,166,10.5548,3394.44,830000,-543.2420043945312,15.932,166
3476.22,167,10.9002,3410.72,835000,-549.0150146484375,15.8001,167
3465.2,168,10.6441,3438.35,840000,-577.197998046875,16.0598,168
3484.47,169,11.413,3463.83,845000,-639.7416381835938,16.1694,169
3435.17,170,11.242,3423.14,850000,-574.2944946289062,16.5038,170
3484.13,171,11.2236,3455.36,855000,-519.6275634765625,16.5721,171
3463.85,172,11.1236,3446.35,860000,-579.4464721679688,16.6076,172
3439.72,173,10.4469,3408.72,865000,-581.8892211914062,16.2332,173
3453.51,174,10.7867,3419.84,870000,-611.3749389648438,15.9658,174
3443.42,175,10.3451,3414.33,875000,-600.3991088867188,15.6276,175
3490.24,176,10.6304,3457.14,880000,-599.5408935546875,15.974,176
3486.75,177,10.5926,3463.84,885000,-597.021484375,16.1456,177
3442.75,178,10.5456,3407.64,890000,-545.7255249023438,15.9881,178
3469.66,179,10.5367,3456.4,895000,-568.2510986328125,15.854,179
3467.85,180,10.7891,3451.08,900000,-635.8397827148438,16.0799,180
3495.9,181,10.3016,3460.55,905000,-648.36572265625,16.0864,181
3432.8,182,10.417,3396.68,910000,-593.9302368164062,15.8803,182
3443.62,183,10.6592,3423.79,915000,-680.216796875,15.8311,183
3472.25,184,10.2896,3405.42,920000,-617.3661499023438,16.1281,184
3463.83,185,10.5907,3446.13,925000,-620.63818359375,15.3974,185
3451.79,186,10.5713,3431.04,930000,-683.4629516601562,15.913,186
3484.15,187,10.4842,3449.86,935000,-690.5274658203125,15.6873,187
3441.45,188,10.7334,3420.13,940000,-716.2705078125,15.8765,188
3468.94,189,10.9204,3455.83,945000,-699.5783081054688,15.6954,189
3447.21,190,10.4564,3414.0,950000,-704.548828125,15.4445,190
3465.1,191,10.3772,3449.36,955000,-720.04931640625,16.0472,191
3473.78,192,10.6823,3449.08,960000,-757.3499755859375,15.8647,192
3479.64,193,11.1081,3466.86,965000,-723.1858520507812,16.6243,193
3456.3,194,10.6256,3422.33,970000,-713.7735595703125,15.2422,194
3486.7,195,10.7628,3464.61,975000,-766.0955200195312,15.4818,195
3484.85,196,10.4382,3458.14,980000,-732.3729248046875,15.8509,196
3469.05,197,10.4346,3446.77,985000,-736.8383178710938,15.4627,197
3467.46,198,10.5317,3435.65,990000,-751.1085205078125,16.2911,198
3459.13,199,9.8924,3434.52,995000,-682.8088989257812,15.6444,199
