Running Reverse KL,Real Sto Return,Itration,Reward Loss,Real Det Return,Running Update Time,Running Env Steps,Running Forward KL
261.388,685.72,100,-12808.5205078125,799.57,100,500000,430.2506
340.2962,527.81,101,-13921.876953125,461.69,101,505000,463.2742
239.3675,632.85,102,-12268.447265625,704.96,102,510000,418.6216
265.7525,491.93,103,-14025.3486328125,501.03,103,515000,467.1572
253.0015,871.17,104,-12660.794921875,778.96,104,520000,427.8201
262.1148,639.28,105,-13794.9345703125,336.47,105,525000,444.623
261.7343,834.76,106,-12371.1767578125,828.75,106,530000,416.5633
295.4419,452.93,107,-14007.3447265625,336.82,107,535000,489.7923
282.3263,615.3,108,-14046.7099609375,638.66,108,540000,459.5945
248.1562,1242.44,109,-12533.67578125,1005.66,109,545000,429.0095
268.0643,721.7,110,-13769.7548828125,703.0,110,550000,442.7303
289.6165,743.37,111,-14250.705078125,799.64,111,555000,435.214
259.5873,599.29,112,-13834.404296875,587.41,112,560000,449.9793
261.5768,438.74,113,-13451.646484375,335.45,113,565000,427.7376
301.6895,373.33,114,-14356.33984375,363.05,114,570000,507.5925
288.4153,537.71,115,-13907.2998046875,621.67,115,575000,464.489
315.2352,432.12,116,-13678.2431640625,443.17,116,580000,483.5505
299.1227,457.8,117,-13974.1650390625,446.28,117,585000,470.456
325.1571,592.28,118,-13728.5712890625,594.52,118,590000,449.3819
294.2828,429.01,119,-14242.57421875,347.38,119,595000,464.9391
304.088,466.12,120,-14392.83203125,372.97,120,600000,466.0832
272.4356,416.73,121,-14470.8271484375,352.97,121,605000,456.7993
261.3388,629.36,122,-12958.0537109375,725.69,122,610000,469.8086
294.6635,405.31,123,-14207.69140625,364.98,123,615000,450.1572
281.8253,397.73,124,-13558.716796875,280.89,124,620000,457.323
339.7187,420.6,125,-13825.142578125,458.46,125,625000,423.8055
350.683,532.83,126,-15928.16015625,468.71,126,630000,459.6792
300.2737,611.09,127,-14672.5390625,726.31,127,635000,435.0318
317.3572,441.78,128,-14474.1689453125,452.41,128,640000,420.9802
323.6791,274.37,129,-15566.740234375,282.5,129,645000,513.9368
294.421,643.8,130,-13953.8857421875,638.97,130,650000,427.7403
267.7764,841.76,131,-14240.4052734375,677.48,131,655000,442.8964
310.571,493.54,132,-15273.0849609375,403.59,132,660000,477.5922
284.3138,712.05,133,-14340.2529296875,610.83,133,665000,449.0259
256.9549,535.29,134,-14636.3515625,518.96,134,670000,452.1712
288.1202,723.83,135,-14503.873046875,725.06,135,675000,438.5087
295.5382,401.18,136,-14446.3408203125,478.86,136,680000,452.869
331.2319,696.85,137,-15556.73828125,673.74,137,685000,458.5293
284.0476,590.76,138,-14325.9326171875,543.54,138,690000,432.8999
268.5446,723.42,139,-14781.6787109375,568.4,139,695000,435.147
272.6786,757.5,140,-14559.888671875,701.72,140,700000,442.8053
307.4128,413.91,141,-15101.37890625,433.65,141,705000,503.0598
713.8121,599.87,142,-14649.2763671875,573.3,142,710000,449.2448
284.3377,354.89,143,-16486.8515625,261.56,143,715000,507.0954
267.2848,744.53,144,-14178.5712890625,781.37,144,720000,457.1319
423.6938,636.11,145,-15009.9892578125,754.32,145,725000,460.6509
257.6271,641.99,146,-13741.1376953125,634.57,146,730000,452.8677
268.7926,652.88,147,-13818.5986328125,462.02,147,735000,448.8789
273.4357,747.98,148,-13454.25390625,681.29,148,740000,430.9547
294.2799,449.24,149,-14220.548828125,358.24,149,745000,473.779
261.3091,599.34,150,-13669.53125,530.51,150,750000,436.5105
280.0549,707.48,151,-13891.12890625,592.09,151,755000,433.2693
291.3388,455.13,152,-13925.353515625,403.13,152,760000,448.6343
287.8857,616.78,153,-14491.7099609375,585.23,153,765000,426.9468
248.5537,670.62,154,-13894.7392578125,693.08,154,770000,396.417
279.0409,222.81,155,-14725.1396484375,282.8,155,775000,462.95
251.2169,645.95,156,-14100.6943359375,789.85,156,780000,396.8006
263.7918,270.77,157,-15289.6611328125,234.84,157,785000,437.4059
247.8162,476.11,158,-14787.0810546875,402.35,158,790000,441.0567
259.0842,367.34,159,-15580.38671875,436.01,159,795000,470.102
256.7728,539.87,160,-15028.8525390625,456.37,160,800000,460.7922
266.7049,834.21,161,-14772.38671875,731.38,161,805000,431.9041
291.9368,850.36,162,-14718.322265625,523.31,162,810000,444.5305
283.4591,400.37,163,-16060.046875,213.03,163,815000,518.0209
282.9315,550.64,164,-16183.4892578125,212.97,164,820000,497.4639
254.0083,587.72,165,-15698.0263671875,375.31,165,825000,472.1269
263.479,721.01,166,-15878.0673828125,434.97,166,830000,446.0594
262.0497,435.32,167,-15763.591796875,392.66,167,835000,458.4297
286.2231,421.59,168,-16074.158203125,390.94,168,840000,466.302
302.0969,508.41,169,-15886.1689453125,421.79,169,845000,477.4894
285.1722,404.52,170,-15399.5283203125,600.9,170,850000,458.6091
246.7691,729.66,171,-15148.4052734375,684.94,171,855000,410.8524
319.5853,523.35,172,-15752.6474609375,502.29,172,860000,453.2961
293.0623,535.45,173,-15428.5634765625,610.49,173,865000,465.3347
277.6469,854.81,174,-15704.10546875,742.37,174,870000,445.3498
323.0958,527.33,175,-14654.18359375,536.46,175,875000,439.6881
271.9839,484.1,176,-15327.2109375,417.58,176,880000,447.8721
265.1254,592.72,177,-15365.3583984375,487.43,177,885000,428.3555
317.9127,433.39,178,-16062.4580078125,454.71,178,890000,467.9421
283.5542,403.34,179,-15270.42578125,390.13,179,895000,485.1595
269.55,450.44,180,-15452.1875,492.04,180,900000,480.5183
309.5149,278.05,181,-16418.517578125,226.01,181,905000,506.0286
308.8862,487.55,182,-15332.662109375,466.96,182,910000,455.9602
319.327,258.35,183,-16552.244140625,252.53,183,915000,494.2599
308.4973,446.62,184,-16193.4638671875,500.68,184,920000,477.1147
310.7431,405.25,185,-16084.294921875,368.72,185,925000,471.6322
292.0591,426.58,186,-16242.201171875,548.4,186,930000,492.0527
298.8065,393.77,187,-16150.302734375,295.62,187,935000,482.9103
289.0326,617.22,188,-16300.376953125,597.16,188,940000,467.8963
288.4799,664.48,189,-16369.63671875,715.52,189,945000,471.7537
343.8038,734.73,190,-16043.283203125,831.45,190,950000,446.9504
361.9904,409.05,191,-16370.8720703125,536.1,191,955000,464.0149
326.3361,760.86,192,-15946.6357421875,812.0,192,960000,438.008
307.3423,623.19,193,-15620.7724609375,936.41,193,965000,450.728
321.5675,934.63,194,-15136.1767578125,978.0,194,970000,423.4075
344.2732,606.15,195,-16507.322265625,462.33,195,975000,476.5944
355.1438,844.61,196,-15370.76953125,1035.92,196,980000,425.4631
336.9236,778.37,197,-15920.6572265625,624.78,197,985000,447.6528
363.3317,780.8,198,-15876.70703125,850.09,198,990000,451.7119
321.6544,683.16,199,-15991.060546875,695.89,199,995000,446.6215
293.6836,780.0,200,-14714.5634765625,790.54,200,1000000,391.4663
374.7801,733.51,201,-15169.7041015625,724.95,201,1005000,405.509
357.7082,969.26,202,-16019.4287109375,754.35,202,1010000,453.2248
361.8556,503.18,203,-16248.37109375,479.68,203,1015000,487.1887
464.3708,378.46,204,-17768.4609375,364.17,204,1020000,506.0756
