Itration,Running Update Time,Reward Loss,Running Forward KL,Real Sto Return,Real Det Return,Running Reverse KL,Running Env Steps
97,97,-6260.7978515625,335.8792,4424.59,1180.52,144.5008,485000
98,98,-5787.42333984375,336.2987,4596.65,1417.3,142.9767,490000
99,99,-6650.24951171875,336.4933,4707.38,1157.3,148.5557,495000
100,100,-6596.5634765625,332.6207,4878.05,1097.69,141.744,500000
101,101,-6651.046875,332.0805,4741.31,1288.99,137.7326,505000
102,102,-7035.91015625,331.5558,4537.73,683.17,136.4019,510000
103,103,-9725.4453125,347.5067,3507.44,1128.88,186.7978,515000
104,104,-10435.341796875,360.5789,2705.09,662.71,196.2472,520000
105,105,-7506.13525390625,332.1056,4489.06,1874.44,134.2175,525000
106,106,-7505.0849609375,337.9371,4727.72,961.8,141.1281,530000
107,107,-8577.4345703125,332.8708,4621.35,845.86,161.7779,535000
108,108,-8418.201171875,332.9602,4712.16,741.8,144.816,540000
109,109,-11037.4794921875,353.2678,2397.3,633.39,204.0593,545000
110,110,-8900.591796875,331.6648,3742.5,1159.05,139.7548,550000
111,111,-9642.3798828125,333.997,4208.81,591.28,162.0132,555000
112,112,-8827.6162109375,336.8166,4266.14,857.26,135.3556,560000
113,113,-10061.0927734375,346.4861,4055.33,1126.96,164.9878,565000
114,114,-9055.115234375,339.8633,4473.27,698.6,137.2883,570000
115,115,-9563.1435546875,335.3698,4580.33,2242.49,135.558,575000
116,116,-11377.1591796875,356.6533,2654.21,756.55,184.3872,580000
117,117,-9828.517578125,331.2527,4177.38,4466.12,137.8237,585000
118,118,-9455.1357421875,335.456,4509.46,1658.44,135.984,590000
119,119,-9878.9912109375,323.0028,4013.81,626.08,127.0358,595000
120,120,-9974.6279296875,324.1875,3793.56,1605.55,129.9426,600000
121,121,-10839.6416015625,341.8166,3715.27,910.82,157.8369,605000
122,122,-10258.017578125,333.2742,4484.06,2239.11,136.5236,610000
123,123,-10912.994140625,329.1418,3451.34,4361.36,147.6301,615000
124,124,-10758.0341796875,330.002,4685.83,1495.98,137.8275,620000
125,125,-10826.810546875,329.4376,4348.54,1299.22,135.2254,625000
126,126,-11306.14453125,333.2661,4508.67,1208.04,148.5806,630000
127,127,-10778.7802734375,325.2626,4346.88,4115.22,124.879,635000
128,128,-11500.4921875,332.0853,4760.42,1043.43,141.3303,640000
129,129,-11440.853515625,332.7735,4824.03,2202.0,133.2727,645000
130,130,-11545.8798828125,328.0736,4649.82,1645.09,125.303,650000
131,131,-11926.3037109375,334.5677,3792.51,1342.43,134.6841,655000
132,132,-11970.853515625,331.5523,3227.56,2619.08,135.656,660000
133,133,-12360.7490234375,329.3667,4773.88,1070.26,135.5416,665000
134,134,-12551.0546875,333.1537,4260.09,2480.42,151.1889,670000
135,135,-12271.435546875,321.6174,4901.44,3177.01,126.6091,675000
136,136,-12762.69921875,330.5486,4628.7,1998.17,129.8307,680000
137,137,-13130.8251953125,328.8107,4003.28,1106.91,158.7526,685000
138,138,-13017.255859375,326.7435,4899.42,1378.87,130.7947,690000
139,139,-13056.056640625,321.0561,4658.09,994.57,119.1293,695000
140,140,-13524.349609375,326.4537,4765.19,2475.34,123.8565,700000
141,141,-13571.4658203125,324.8199,4813.4,3013.61,127.8473,705000
142,142,-13525.4345703125,321.5565,4895.37,2300.16,120.9649,710000
143,143,-13700.720703125,320.2795,3786.57,1361.47,124.0175,715000
144,144,-13623.548828125,313.0582,4910.76,1588.83,112.206,720000
145,145,-14265.62890625,323.4789,4867.28,4262.19,123.3273,725000
146,146,-14535.193359375,328.8743,4869.7,1705.44,130.1919,730000
147,147,-14358.0830078125,320.5321,4111.85,940.16,121.1806,735000
148,148,-14534.3955078125,318.3946,4846.54,1308.43,119.7847,740000
149,149,-14554.0703125,319.1427,4819.76,1087.98,121.511,745000
150,150,-14866.943359375,320.7442,4662.25,1051.88,121.8527,750000
151,151,-15244.0517578125,326.9852,4685.23,1387.54,131.7647,755000
152,152,-15373.4794921875,322.839,4285.58,1385.45,129.1845,760000
153,153,-15450.240234375,321.7279,4349.46,1450.31,119.6603,765000
154,154,-15306.796875,313.0336,4404.33,4031.57,121.5014,770000
155,155,-15499.54296875,313.4667,4505.16,1914.67,117.7295,775000
156,156,-15450.818359375,313.838,4617.15,1417.65,108.7539,780000
157,157,-15837.0322265625,323.1538,4076.02,1561.11,127.0525,785000
158,158,-15836.98828125,319.9865,4848.79,1797.14,118.1219,790000
159,159,-15789.7109375,319.1907,4842.69,1031.31,117.931,795000
160,160,-15556.939453125,337.5428,3461.44,1014.32,163.1392,800000
161,161,-15957.93359375,319.259,4944.11,1688.26,120.1049,805000
162,162,-16172.1533203125,317.4328,4797.94,1647.0,113.7397,810000
163,163,-16043.4072265625,318.3979,4838.27,1818.5,113.5987,815000
164,164,-16512.13671875,329.8833,4274.37,1684.95,129.6768,820000
165,165,-16308.4755859375,328.1992,4354.37,1131.88,131.9057,825000
166,166,-16320.7568359375,318.0917,4778.12,4761.65,115.807,830000
167,167,-16660.748046875,323.4254,4850.48,3468.39,122.6833,835000
168,168,-16650.177734375,321.7173,4729.49,1001.18,121.2967,840000
169,169,-16276.1953125,328.5927,4094.42,1579.76,127.1972,845000
170,170,-16575.50390625,327.5168,4401.99,1521.55,123.0631,850000
171,171,-16525.078125,323.576,4423.46,1184.23,124.4062,855000
172,172,-16844.986328125,325.5154,4300.64,831.03,121.0434,860000
173,173,-16586.60546875,316.444,4741.85,4748.03,119.0565,865000
174,174,-16644.52734375,320.1322,4802.39,3544.95,121.8158,870000
175,175,-16646.037109375,313.8611,4878.65,1733.64,112.2086,875000
176,176,-15992.8720703125,343.746,3224.02,4560.64,159.2559,880000
177,177,-16787.931640625,318.8696,3988.64,3396.11,114.4175,885000
178,178,-17087.9140625,324.7576,4835.4,3547.61,121.7591,890000
179,179,-16993.892578125,323.4492,5022.19,3508.26,123.0891,895000
180,180,-16954.75390625,316.3739,4983.29,4883.43,114.0591,900000
181,181,-17167.771484375,318.3382,4950.55,3206.44,118.0576,905000
182,182,-17006.099609375,324.9431,4826.42,2180.95,120.6527,910000
183,183,-16685.404296875,311.2537,4993.53,5066.13,114.844,915000
184,184,-17179.3359375,321.8409,4535.24,2610.37,114.6549,920000
185,185,-17159.638671875,318.0595,4579.61,3003.83,110.1487,925000
186,186,-17102.8359375,323.9877,4588.84,1176.47,132.5729,930000
187,187,-17114.609375,316.8327,3487.02,4750.41,116.3518,935000
188,188,-16727.783203125,352.6226,3063.5,981.34,196.9665,940000
189,189,-17142.390625,319.4098,4438.82,4794.5,123.5661,945000
190,190,-17233.619140625,324.6636,4648.12,5226.12,131.2143,950000
191,191,-17277.392578125,317.2067,4181.5,1394.06,115.0782,955000
192,192,-17145.1015625,309.3424,4284.45,3209.35,108.846,960000
193,193,-17318.734375,312.4262,4388.02,4795.98,106.9178,965000
194,194,-17305.892578125,309.4213,4468.26,5007.81,108.0499,970000
195,195,-17220.38671875,316.9634,4503.21,2632.91,123.7721,975000
196,196,-17222.353515625,308.4268,3899.96,5163.82,108.2648,980000
197,197,-17278.740234375,315.3216,4649.07,4858.86,115.612,985000
198,198,-17364.65234375,313.7657,5059.96,4742.09,119.1014,990000
199,199,-17395.111328125,310.7013,5023.74,5184.87,106.7622,995000
200,200,-17089.580078125,323.5109,3869.57,3983.51,121.0464,1000000
201,201,-16699.40625,324.2362,4088.2,5127.59,132.9102,1005000
202,202,-17433.234375,314.4762,4625.85,5147.77,109.6199,1010000
203,203,-16996.130859375,325.3029,3175.25,5063.83,128.4259,1015000
204,204,-17061.580078125,330.0096,4062.18,3980.19,147.6495,1020000
205,205,-16716.33203125,333.0341,2972.36,3111.1,149.1496,1025000
206,206,-16397.556640625,331.9323,3678.62,5141.85,158.5338,1030000
207,207,-17167.359375,323.2677,3185.22,3649.7,126.9746,1035000
208,208,-16772.720703125,324.4893,3032.17,5150.53,140.676,1040000
209,209,-16867.576171875,323.0554,3634.63,5150.8,135.571,1045000
210,210,-17001.328125,319.3922,3964.71,5133.78,118.9567,1050000
211,211,-17006.669921875,324.9833,2840.39,3296.77,138.869,1055000
212,212,-17364.630859375,314.463,3819.35,5138.81,112.2439,1060000
213,213,-16883.087890625,328.2224,3333.89,4689.75,136.5491,1065000
214,214,-17381.111328125,322.9789,4089.14,5129.34,123.8226,1070000
215,215,-17559.26953125,324.4013,3413.31,5097.45,124.0949,1075000
216,216,-16936.423828125,324.8899,4476.79,5114.03,130.4821,1080000
217,217,-17639.283203125,313.1369,4199.34,5130.38,109.94,1085000
218,218,-17233.6171875,325.9922,4419.53,5119.15,141.1289,1090000
219,219,-16843.14453125,332.1828,3380.75,5099.73,161.7407,1095000
220,220,-17818.99609375,322.7089,3636.02,5109.73,121.0165,1100000
221,221,-17263.328125,322.1452,3578.11,5136.24,127.8275,1105000
222,222,-17914.767578125,312.9804,4365.67,5112.06,107.6941,1110000
223,223,-17608.634765625,328.4623,4342.62,5106.08,141.3646,1115000
224,224,-17569.45703125,323.3634,4092.47,5124.61,126.808,1120000
225,225,-17816.462890625,324.0654,4666.05,5132.14,120.7487,1125000
226,226,-17943.37890625,313.8516,4580.25,5130.93,108.0365,1130000
227,227,-17920.224609375,319.9624,4579.87,5115.97,120.534,1135000
228,228,-17842.212890625,323.1886,4684.6,5128.87,132.6593,1140000
229,229,-18183.689453125,318.9827,4876.0,5144.88,119.459,1145000
230,230,-18235.740234375,319.7696,5006.47,5166.77,117.8383,1150000
231,231,-17549.857421875,319.4007,4293.68,5158.59,134.4361,1155000
232,232,-18190.7578125,320.8922,4792.22,5170.94,117.6095,1160000
233,233,-18118.880859375,324.9921,4632.92,5163.45,123.4594,1165000
234,234,-18205.19140625,318.5888,4826.18,5080.15,120.9816,1170000
235,235,-18200.048828125,320.257,4174.72,5155.67,120.3643,1175000
236,236,-18134.447265625,309.2826,4577.3,5160.47,112.4401,1180000
237,237,-18285.013671875,315.6995,4555.35,5127.91,115.1164,1185000
238,238,-18077.8359375,313.1487,4590.42,5166.1,121.8603,1190000
239,239,-18060.939453125,315.9802,3878.2,925.08,121.5041,1195000
240,240,-18175.845703125,326.847,3895.47,2150.32,142.1138,1200000
241,241,-18008.896484375,297.4054,4757.04,5174.78,95.04,1205000
242,242,-17931.419921875,308.3814,4459.34,5150.64,111.4514,1210000
243,243,-18042.876953125,302.7283,4711.59,5132.75,113.261,1215000
244,244,-17998.619140625,299.6856,5041.85,5147.0,103.1235,1220000
245,245,-18223.48828125,306.6132,4719.8,4874.62,99.5124,1225000
246,246,-18030.421875,303.1275,4019.04,5083.16,100.3654,1230000
247,247,-18131.1171875,299.6072,5003.6,5106.41,94.6101,1235000
248,248,-17892.09765625,301.0507,4999.14,5123.72,98.7065,1240000
249,249,-17922.470703125,298.7524,4824.3,4694.56,91.5509,1245000
250,250,-17830.8828125,293.729,5016.91,5158.08,86.3525,1250000
251,251,-17907.23828125,295.8402,4861.86,3048.11,88.6286,1255000
252,252,-17846.724609375,293.976,5018.43,4934.94,88.7901,1260000
253,253,-18099.125,303.7006,4604.29,2672.82,102.6626,1265000
254,254,-18208.20703125,305.6258,4605.25,3736.56,100.498,1270000
255,255,-18128.7109375,299.6201,4839.37,4989.3,93.6987,1275000
256,256,-17935.88671875,300.5075,4933.83,4081.99,89.0406,1280000
257,257,-18240.05078125,310.0596,4904.8,4517.87,104.206,1285000
258,258,-18101.025390625,309.4148,4894.72,4059.84,103.2968,1290000
259,259,-18244.53125,306.5844,4928.7,4937.16,96.7899,1295000
260,260,-18304.982421875,305.3712,4830.76,2819.46,98.0025,1300000
261,261,-18412.4921875,313.0947,4796.63,3296.49,107.5333,1305000
262,262,-18473.6640625,318.5836,4528.08,4386.15,121.0325,1310000
263,263,-18049.873046875,313.4466,3720.68,4924.08,112.2457,1315000
264,264,-18556.720703125,313.5653,4844.04,4961.9,109.5368,1320000
265,265,-18536.96484375,318.6366,4623.64,5209.17,134.0521,1325000
266,266,-18712.05859375,317.7292,4945.66,4959.6,118.718,1330000
267,267,-18610.572265625,319.0825,4984.23,4953.37,124.4613,1335000
268,268,-18669.876953125,314.7453,4356.65,4593.31,110.6142,1340000
269,269,-18212.376953125,318.5548,4530.46,4577.6,119.8735,1345000
270,270,-18739.70703125,320.6693,4778.52,4947.86,116.1144,1350000
271,271,-18655.94921875,309.7677,4982.22,5185.71,107.7711,1355000
272,272,-18617.515625,308.7371,4425.92,4033.36,103.9186,1360000
273,273,-18793.345703125,313.2174,5001.8,4958.95,110.7723,1365000
274,274,-18231.10546875,318.1677,4739.46,5157.97,119.6095,1370000
275,275,-18671.654296875,315.8327,5103.29,5172.12,121.513,1375000
276,276,-18764.6171875,313.9741,4865.91,5075.09,128.5904,1380000
277,277,-18561.37109375,326.7738,4708.66,5122.14,145.8315,1385000
278,278,-18078.994140625,309.0119,5012.96,5194.77,114.5464,1390000
279,279,-18627.328125,305.5396,4413.23,5168.65,104.9015,1395000
280,280,-18560.787109375,301.7656,4877.95,5236.64,100.4171,1400000
281,281,-18107.060546875,308.2563,4246.15,3808.92,111.725,1405000
282,282,-18565.556640625,305.4578,5013.4,4794.52,104.4731,1410000
283,283,-18294.41015625,302.697,4527.83,4371.06,106.0652,1415000
284,284,-17832.623046875,312.0346,2624.04,1219.46,122.9192,1420000
285,285,-17621.22265625,314.4794,3314.46,3407.76,120.1655,1425000
286,286,-16378.51953125,322.8221,3621.22,2546.86,160.3776,1430000
287,287,-17776.8359375,318.2134,3387.14,3831.19,122.6543,1435000
288,288,-17889.298828125,308.131,4331.05,4959.1,107.0267,1440000
289,289,-17333.69921875,316.7265,4548.74,4949.3,123.3465,1445000
290,290,-18371.13671875,307.6268,4701.68,4368.82,107.4312,1450000
291,291,-18220.615234375,303.3827,4803.55,4873.63,106.9808,1455000
292,292,-18007.16796875,310.2269,4724.84,4992.06,114.7947,1460000
293,293,-18507.47265625,300.3029,4560.21,4386.69,98.6428,1465000
294,294,-17139.576171875,327.7957,3754.52,4227.16,138.0278,1470000
295,295,-17409.501953125,308.189,3342.62,3012.69,117.1856,1475000
296,296,-17337.37890625,321.8104,4303.83,4068.94,133.2163,1480000
297,297,-16492.47265625,320.1959,2181.82,3522.08,138.5046,1485000
298,298,-16180.1416015625,372.6647,974.87,1849.07,197.1068,1490000
299,299,-16803.857421875,337.2025,2416.11,1905.56,158.1667,1495000
300,300,-17026.900390625,332.1224,3469.51,2609.49,161.5594,1500000
301,301,-17126.0,323.2511,3570.78,3915.12,162.5371,1505000
302,302,-16964.71875,340.1457,2669.11,1912.15,247.3868,1510000
303,303,-17101.28515625,392.4584,970.62,824.37,332.506,1515000
304,304,-16608.4375,325.884,3642.23,3318.24,148.8763,1520000
305,305,-15361.80859375,378.7563,1495.65,1725.64,255.9434,1525000
306,306,-17676.677734375,330.1097,3531.25,3807.34,165.7656,1530000
307,307,-17061.3828125,340.847,3267.98,4046.28,169.0509,1535000
308,308,-17263.97265625,345.1323,3008.06,4920.83,189.1952,1540000
309,309,-17424.232421875,338.4999,3940.77,4436.24,160.6143,1545000
310,310,-19061.1640625,331.001,4843.45,4896.13,160.9709,1550000
311,311,-18764.1953125,333.0775,4848.73,4537.56,161.8506,1555000
312,312,-19226.322265625,349.5139,4850.47,4900.01,188.0092,1560000
313,313,-19004.69921875,349.7835,4719.45,5030.66,180.5012,1565000
314,314,-17819.326171875,360.577,2826.87,3144.64,200.3843,1570000
315,315,-18717.388671875,348.4704,4383.97,3793.32,166.2512,1575000
316,316,-19256.19921875,345.0025,4734.13,4636.15,179.922,1580000
317,317,-18067.806640625,349.2297,3961.05,3599.92,199.0362,1585000
318,318,-18235.21484375,350.5736,4417.94,4367.03,212.5711,1590000
319,319,-19209.998046875,350.3225,4741.91,5011.87,189.1944,1595000
320,320,-18748.302734375,362.45,4930.13,4958.4,215.5547,1600000
321,321,-19312.384765625,362.0529,4963.07,4992.39,216.0644,1605000
322,322,-19394.322265625,358.7935,4955.3,4975.03,206.2752,1610000
323,323,-19333.203125,368.7137,4965.99,4983.51,239.7174,1615000
324,324,-19371.654296875,371.1601,4861.92,4733.9,246.2466,1620000
325,325,-19496.33984375,385.622,4965.65,4992.67,256.8003,1625000
326,326,-19397.091796875,383.2908,4960.66,4978.49,254.7446,1630000
327,327,-18958.69140625,397.4755,5015.04,5015.43,247.8955,1635000
328,328,-19394.205078125,396.2504,4769.16,4698.89,248.3329,1640000
329,329,-18460.384765625,413.3382,4330.34,4429.47,271.3125,1645000
330,330,-18714.404296875,403.7348,4714.36,4052.31,230.1008,1650000
331,331,-17476.638671875,409.3805,3513.0,2787.11,225.1763,1655000
332,332,-18304.494140625,405.389,4129.49,3997.91,211.015,1660000
333,333,-19402.083984375,415.2982,4779.87,4922.14,253.9925,1665000
334,334,-19113.8984375,413.5834,4051.95,4005.68,229.4059,1670000
335,335,-18709.93359375,418.0032,3882.94,3189.14,221.9595,1675000
336,336,-17750.884765625,417.1455,2915.69,2004.3,220.9736,1680000
337,337,-18752.755859375,417.2056,4022.15,3833.12,256.0767,1685000
338,338,-19237.033203125,428.5771,3031.23,2610.28,225.488,1690000
339,339,-18971.22265625,422.92,4126.75,4631.12,217.5189,1695000
340,340,-19348.140625,426.953,4388.55,3798.72,220.8674,1700000
341,341,-19185.115234375,429.9901,3942.68,4145.97,245.5678,1705000
342,342,-16805.181640625,435.8271,1941.6,1700.23,261.8038,1710000
343,343,-17432.0,432.1689,1938.07,1677.12,250.0397,1715000
344,344,-19217.080078125,431.0544,4740.35,4790.45,261.3045,1720000
345,345,-19618.61328125,431.8519,4575.59,4741.82,267.0804,1725000
346,346,-18485.833984375,434.7226,4065.7,4169.9,409.1952,1730000
347,347,-18523.701171875,429.6379,4041.57,4225.1,231.4963,1735000
348,348,-18434.451171875,425.4438,3727.31,3387.18,215.2846,1740000
349,349,-19100.349609375,426.3754,4035.24,4541.12,218.4899,1745000
350,350,-19175.111328125,428.5011,4450.83,4141.75,216.1853,1750000
351,351,-18474.462890625,428.8766,4125.06,4360.04,233.6938,1755000
352,352,-19056.28515625,426.6741,4345.38,4320.86,219.1236,1760000
353,353,-19330.419921875,430.9325,3661.27,3716.35,228.6841,1765000
354,354,-18668.16796875,427.7725,4241.4,3325.58,222.3014,1770000
355,355,-18418.529296875,432.0141,4347.56,3578.11,209.6667,1775000
356,356,-19574.693359375,435.3336,4519.68,4059.11,235.6454,1780000
357,357,-19487.453125,440.1058,4650.77,4375.64,265.0305,1785000
358,358,-19641.208984375,439.2686,4923.25,4918.41,269.8309,1790000
359,359,-19630.67578125,443.7464,4923.97,4926.3,275.4959,1795000
360,360,-18586.341796875,438.5043,4041.26,4468.6,265.3525,1800000
361,361,-19193.953125,444.9789,4222.78,4917.12,293.8108,1805000
362,362,-19682.169921875,450.218,4633.5,4183.76,292.373,1810000
363,363,-19672.150390625,449.8565,4866.09,4864.9,267.5819,1815000
364,364,-19694.328125,452.3506,4829.34,4839.7,274.4823,1820000
365,365,-19712.6640625,454.2096,4871.34,4872.06,316.1907,1825000
366,366,-19704.0859375,451.3983,4710.17,4869.95,314.3316,1830000
367,367,-19392.9609375,454.5783,4592.52,4593.56,305.298,1835000
368,368,-19635.806640625,449.8115,4737.32,4680.6,290.2708,1840000
369,369,-19692.2578125,447.0114,4852.89,4897.99,278.1187,1845000
370,370,-19652.97265625,450.654,4918.44,4920.98,291.2408,1850000
371,371,-18963.04296875,444.9305,3879.48,4285.37,239.9981,1855000
372,372,-18957.611328125,449.9312,4567.37,3441.67,271.3602,1860000
373,373,-19309.37890625,449.8513,4786.72,4697.98,261.0036,1865000
374,374,-19628.46875,440.7387,4373.14,4347.26,253.0171,1870000
375,375,-18774.72265625,446.4884,4237.01,4412.26,311.9668,1875000
376,376,-19172.189453125,449.3964,4842.05,4437.44,278.6037,1880000
377,377,-19516.544921875,444.2155,4514.36,4936.69,259.5662,1885000
378,378,-19691.1484375,447.8258,4788.72,4742.37,279.7324,1890000
379,379,-19608.322265625,447.5571,4894.39,4903.61,263.0055,1895000
380,380,-19725.302734375,448.0477,4924.17,4927.85,281.9532,1900000
381,381,-19196.32421875,445.9642,4062.19,4487.64,250.6557,1905000
382,382,-19651.748046875,447.9565,4951.76,4943.34,271.2137,1910000
383,383,-19481.919921875,449.881,4577.15,4898.64,277.6131,1915000
384,384,-18802.794921875,442.5417,4023.11,4717.64,386.9151,1920000
385,385,-18194.48828125,441.655,3275.41,3298.54,288.8176,1925000
386,386,-19251.76953125,449.8069,3372.63,2696.93,265.1633,1930000
387,387,-18689.62109375,442.093,4014.18,3487.3,241.1757,1935000
388,388,-19508.236328125,446.8708,4890.97,4802.3,285.6035,1940000
389,389,-19306.81640625,443.216,4465.99,4514.16,247.1057,1945000
390,390,-18441.07421875,450.6986,4316.18,4345.68,287.6638,1950000
391,391,-16488.240234375,448.8447,3115.19,2838.58,235.2102,1955000
392,392,-19543.7421875,447.4495,3792.7,3772.35,306.6484,1960000
393,393,-17256.6328125,441.2373,3251.58,4158.89,230.0522,1965000
394,394,-17786.005859375,442.5534,2367.17,2394.88,230.8497,1970000
