Real Det Return,Itration,Running Reverse KL,Running Forward KL,Running Update Time,Real Sto Return,Reward Loss,Running Env Steps
3171.01,49,21.8458,24.053,49,2818.65,-646.461669921875,245000
3116.49,50,15.3834,24.251,50,3037.84,-570.1441040039062,250000
3151.2,51,16.8067,23.842,51,2971.73,-677.6322631835938,255000
3099.59,52,14.2081,23.6,52,3095.46,-631.820068359375,260000
3174.91,53,15.2973,24.4106,53,2821.67,-705.6815795898438,265000
3143.39,54,16.1063,24.7111,54,2981.84,-774.7523803710938,270000
3078.25,55,15.3882,24.1671,55,2634.24,-714.6472778320312,275000
1817.25,56,15.8663,24.418,56,2704.27,-680.486328125,280000
3127.98,57,14.5877,23.8032,57,2919.02,-707.857666015625,285000
3171.33,58,14.4519,23.9555,58,2706.53,-789.5169677734375,290000
3126.2,59,15.5378,23.7879,59,3134.21,-686.1261596679688,295000
3112.33,60,14.2925,23.3448,60,3062.68,-675.5630493164062,300000
3156.89,61,15.0556,23.8881,61,3074.35,-694.9300537109375,305000
3195.93,62,15.316,24.4781,62,2868.51,-821.8928833007812,310000
3178.96,63,15.5474,23.7417,63,3136.05,-683.2645263671875,315000
3183.17,64,15.8611,24.3968,64,2774.24,-894.0059814453125,320000
3179.35,65,13.9455,23.3676,65,3112.33,-728.2827758789062,325000
3163.5,66,13.8449,23.3533,66,3005.17,-870.2717895507812,330000
3151.27,67,14.3961,23.5375,67,3093.3,-749.5050048828125,335000
3136.66,68,14.4765,24.1014,68,2896.23,-842.0662231445312,340000
3173.51,69,13.235,24.1665,69,2652.67,-944.670654296875,345000
3163.2,70,13.4552,23.7941,70,2816.24,-851.5021362304688,350000
3178.27,71,13.7194,23.9749,71,2769.66,-896.1743774414062,355000
3153.72,72,18.3519,24.3126,72,2931.38,-942.5383911132812,360000
3135.52,73,14.6876,23.712,73,3132.94,-799.5556030273438,365000
3164.64,74,12.6755,22.9562,74,2682.13,-895.2362060546875,370000
3025.04,75,12.9616,24.0216,75,2523.23,-1032.0137939453125,375000
3156.81,76,14.8231,23.0459,76,3080.47,-870.0952758789062,380000
3203.96,77,18.8225,23.4943,77,2643.48,-956.6127319335938,385000
3163.69,78,14.5759,23.6491,78,3116.89,-854.1923828125,390000
3168.25,79,14.0285,22.9979,79,2979.84,-843.3049926757812,395000
2907.88,80,14.4952,22.9672,80,3017.97,-915.18603515625,400000
3193.0,81,18.2116,23.8415,81,2896.74,-1047.5162353515625,405000
3179.65,82,13.8914,23.3955,82,2987.99,-896.9110717773438,410000
3173.07,83,13.7754,23.646,83,3070.44,-917.9266357421875,415000
3159.08,84,13.7592,22.9163,84,2845.94,-903.0770263671875,420000
3189.62,85,13.7097,23.421,85,2809.91,-949.1019897460938,425000
3155.96,86,14.1224,22.9491,86,3154.8,-896.1319580078125,430000
3165.43,87,13.6562,22.3427,87,3058.57,-919.684326171875,435000
3180.65,88,13.7378,22.5938,88,2974.75,-924.946044921875,440000
3162.14,89,14.9947,22.7196,89,3169.01,-985.67626953125,445000
3194.18,90,12.8711,22.7048,90,2928.9,-982.0807495117188,450000
3040.45,91,17.101,22.7392,91,2770.81,-1013.0367431640625,455000
3182.51,92,12.9852,22.2812,92,1149.72,-964.744384765625,460000
3202.93,93,13.7003,22.6594,93,3209.67,-1013.186767578125,465000
3170.81,94,13.5666,22.3527,94,3176.96,-1010.5046997070312,470000
2291.64,95,13.3466,22.2342,95,2898.84,-957.5432739257812,475000
3208.02,96,13.6724,22.693,96,3087.12,-1038.3397216796875,480000
3154.85,97,14.7485,22.0804,97,3058.25,-1034.405029296875,485000
3184.59,98,13.8112,22.1529,98,3055.78,-1036.864990234375,490000
3202.02,99,14.0595,23.0752,99,3206.93,-1041.1280517578125,495000
3198.67,100,13.6079,21.9384,100,3023.9,-1031.4119873046875,500000
2032.78,101,13.4565,22.0014,101,2177.08,-1025.3572998046875,505000
3218.31,102,14.4225,22.647,102,3113.09,-1024.591064453125,510000
3144.46,103,13.9794,22.0104,103,3106.81,-1025.82568359375,515000
3247.57,104,13.9118,21.578,104,3238.47,-1030.8875732421875,520000
3231.24,105,13.4412,21.9633,105,3223.08,-1046.3280029296875,525000
3241.48,106,13.5517,22.0649,106,3221.14,-1064.5213623046875,530000
2922.56,107,13.1721,21.4903,107,3136.03,-1086.0760498046875,535000
3219.31,108,13.7991,22.2081,108,2822.18,-1086.2481689453125,540000
3167.98,109,12.6627,21.8748,109,3182.87,-1047.302001953125,545000
3248.87,110,13.7729,21.5061,110,3232.2,-1044.6795654296875,550000
3277.5,111,13.4954,21.8897,111,3266.36,-1052.1148681640625,555000
3263.75,112,13.9121,22.0458,112,3247.09,-1062.268310546875,560000
3260.56,113,13.2554,21.9031,113,3241.81,-1051.2532958984375,565000
3291.98,114,13.5191,22.1022,114,3262.69,-1019.7062377929688,570000
3303.19,115,13.6539,21.7386,115,3281.84,-961.7146606445312,575000
3286.05,116,12.8026,21.1938,116,3256.03,-1020.9398803710938,580000
3286.55,117,13.4554,21.4344,117,3283.07,-1043.4420166015625,585000
3321.53,118,12.9268,20.9631,118,3272.74,-1033.91845703125,590000
3344.68,119,13.1542,21.1233,119,3309.96,-961.0487060546875,595000
3308.4,120,13.0213,21.3489,120,3306.52,-995.4154663085938,600000
3327.29,121,13.465,21.7872,121,3317.25,-978.2931518554688,605000
3360.2,122,13.7109,21.91,122,3327.58,-957.8748779296875,610000
3330.91,123,13.2619,21.3723,123,3324.3,-979.9724731445312,615000
3362.87,124,13.4511,20.8729,124,3226.58,-915.3944091796875,620000
3353.65,125,13.338,21.3183,125,3322.04,-976.653564453125,625000
3383.58,126,13.2652,21.5577,126,3308.16,-912.1101684570312,630000
3392.29,127,12.7992,20.7771,127,3360.25,-875.3094482421875,635000
3321.5,128,12.3429,20.3393,128,3290.13,-1032.2784423828125,640000
3366.01,129,11.9517,19.7556,129,3346.82,-864.7247314453125,645000
3388.84,130,12.9633,20.9098,130,3361.77,-877.6444091796875,650000
3410.87,131,13.0641,20.8182,131,3390.34,-764.81103515625,655000
3393.96,132,13.1987,21.067,132,3364.47,-823.4581298828125,660000
3351.19,133,12.5218,20.7999,133,3306.27,-1000.0069580078125,665000
3369.72,134,12.1179,19.9791,134,3342.75,-918.9500732421875,670000
3420.88,135,13.0975,20.9198,135,3385.45,-867.0309448242188,675000
3387.27,136,12.7057,20.8006,136,3375.31,-990.8086547851562,680000
3373.88,137,11.6791,19.7833,137,3358.05,-861.0379028320312,685000
3403.43,138,11.7609,19.7056,138,3371.32,-789.879638671875,690000
3381.52,139,11.9875,20.047,139,3361.73,-899.89990234375,695000
3384.57,140,11.6636,19.33,140,3358.01,-883.0489501953125,700000
3425.97,141,11.8957,19.3242,141,3406.55,-779.906005859375,705000
3371.54,142,12.0603,19.6607,142,3362.88,-963.812255859375,710000
3383.61,143,12.7684,20.7622,143,3348.57,-989.5838012695312,715000
3397.24,144,12.3127,19.9763,144,3344.94,-968.541015625,720000
3399.76,145,12.6022,20.0698,145,3370.46,-888.1875,725000
3406.68,146,12.2057,19.6405,146,3370.0,-903.019775390625,730000
3389.79,147,12.1575,20.0107,147,3360.84,-983.2715454101562,735000
3376.97,148,12.1461,20.3012,148,3318.84,-964.3203735351562,740000
3401.81,149,11.8294,19.6559,149,3381.25,-905.437744140625,745000
3406.27,150,12.249,19.9049,150,3370.27,-969.107177734375,750000
3427.32,151,11.7454,19.6384,151,3014.34,-817.09423828125,755000
3372.43,152,12.0483,19.4954,152,3344.69,-1035.0045166015625,760000
3378.0,153,12.0334,20.1155,153,3356.63,-1047.5244140625,765000
3401.76,154,12.5378,19.8143,154,3385.52,-1000.4453125,770000
3428.85,155,11.6341,19.5219,155,3374.86,-952.6674194335938,775000
3405.54,156,12.0233,19.4646,156,3376.27,-986.9817504882812,780000
3415.33,157,11.7753,19.1451,157,3393.32,-898.8301391601562,785000
3389.88,158,12.095,19.3807,158,3368.96,-1017.3287353515625,790000
3436.01,159,11.679,19.0941,159,3380.41,-869.7068481445312,795000
3411.98,160,11.3681,18.9252,160,3383.17,-1022.451904296875,800000
3386.93,161,11.5959,19.5838,161,3318.18,-1086.0054931640625,805000
3417.03,162,12.1946,19.0831,162,3390.83,-992.5947265625,810000
