Running Update Time,Itration,Real Sto Return,Real Det Return,Running Reverse KL,Running Env Steps,Running Forward KL,Reward Loss
52,52,3922.24,4062.74,13.6352,260000,38.2965,-215.9769287109375
53,53,3419.87,4141.48,15.5104,265000,38.1785,-271.6495056152344
54,54,4002.52,3917.36,13.1458,270000,36.2265,-197.613525390625
55,55,4186.26,4249.48,13.9337,275000,37.707,-207.70791625976562
56,56,3403.75,4125.71,13.6977,280000,37.4836,-212.51478576660156
57,57,1017.25,477.22,26.881,285000,40.8678,-561.208740234375
58,58,1768.09,508.07,18.0616,290000,40.4366,-570.261474609375
59,59,3469.51,3912.01,17.0871,295000,38.7836,-291.4986877441406
60,60,3361.31,4030.69,14.0222,300000,37.4957,-296.9679870605469
61,61,4126.55,4148.21,14.0184,305000,37.4215,-234.8804473876953
62,62,4258.5,4295.12,13.5938,310000,35.7411,-229.05763244628906
63,63,771.64,2173.87,27.1761,315000,44.4753,-736.3452758789062
64,64,4245.02,4383.19,12.9988,320000,36.1645,-234.16392517089844
65,65,4235.42,4483.77,12.0167,325000,35.1029,-245.5124053955078
66,66,4127.35,4169.09,12.4174,330000,34.5472,-249.2099151611328
67,67,2663.76,1019.72,20.2511,335000,38.9608,-520.114013671875
68,68,3651.11,4106.85,15.4266,340000,35.6841,-383.5706787109375
69,69,4196.11,4357.11,13.9986,345000,35.2462,-232.3459930419922
70,70,4777.6,4874.1,12.7063,350000,33.5938,-209.14251708984375
71,71,747.76,122.99,139.3058,355000,41.3028,-722.1568603515625
72,72,-4.41,-4.39,20.2,360000,52.3182,-991.5321655273438
73,73,3734.25,3918.31,15.7487,365000,35.983,-345.1579895019531
74,74,1659.56,1179.93,38.0812,370000,41.1129,-531.395751953125
75,75,990.58,1009.37,28.5621,375000,53.5865,-652.9680786132812
76,76,1595.36,1538.99,38.2085,380000,40.971,-704.264892578125
77,77,4532.26,4484.54,15.2185,385000,36.6628,-282.5090637207031
78,78,1061.16,1031.52,21.1609,390000,45.4419,-697.8390502929688
79,79,1194.82,1191.35,41.8468,395000,54.3804,-689.0097045898438
80,80,1838.31,1028.3,43.1725,400000,40.6967,-910.7805786132812
81,81,-11.3,-12.53,31.144,405000,55.3305,-885.594970703125
82,82,4502.26,4572.8,13.0818,410000,33.1732,-290.9388427734375
83,83,-6.08,-5.94,47.5383,415000,54.0591,-765.990478515625
84,84,265.65,49.08,26.3557,420000,38.7462,-723.4488525390625
85,85,4699.8,4880.07,13.1132,425000,33.9613,-274.8868713378906
86,86,52.37,60.98,58.9013,430000,53.3035,-813.4739379882812
87,87,4860.09,4913.9,13.0286,435000,33.3089,-265.1395568847656
88,88,4671.1,1655.7,12.7611,440000,34.985,-308.47265625
89,89,4782.26,4975.59,12.7552,445000,34.1224,-271.76141357421875
90,90,16.16,10.73,34.4388,450000,54.3313,-1241.4429931640625
91,91,4836.05,4910.52,12.5663,455000,32.9531,-258.4632568359375
92,92,-35.31,-51.12,109.975,460000,57.6995,-953.8870849609375
93,93,3988.1,4716.31,18.1852,465000,34.9925,-493.8327941894531
94,94,2405.25,1217.51,24.7897,470000,38.319,-711.215087890625
95,95,2812.35,1715.85,37.6289,475000,35.3645,-646.68505859375
96,96,4534.8,4929.78,13.0376,480000,33.0192,-272.99554443359375
97,97,-23.1,-24.16,105.5455,485000,57.0989,-946.505126953125
98,98,971.99,19.45,46.8312,490000,35.9857,-756.838134765625
99,99,336.41,531.65,40.0309,495000,56.916,-995.6394653320312
100,100,-10.22,-7.28,62.0617,500000,57.5834,-1008.4979248046875
101,101,4115.75,4380.95,13.842,505000,34.1928,-365.31768798828125
102,102,3519.23,3978.18,15.2119,510000,34.8687,-580.0057983398438
103,103,4586.89,4650.87,13.0657,515000,34.0699,-337.22412109375
104,104,28.84,5.27,58.8672,520000,43.4897,-1105.03369140625
105,105,3422.46,4189.1,19.4356,525000,33.5017,-408.0878601074219
106,106,4728.11,4817.87,13.78,530000,32.9993,-299.03204345703125
107,107,1049.59,1032.57,23.6966,535000,53.2936,-1076.2928466796875
108,108,-10.84,-11.29,79.412,540000,58.1739,-1203.9447021484375
109,109,1004.67,1003.09,20.7124,545000,53.2114,-1061.62255859375
110,110,965.52,1023.1,19.0344,550000,52.9056,-1033.721435546875
111,111,2129.04,559.51,15.6716,555000,36.9982,-696.107177734375
112,112,450.51,416.11,59.9488,560000,52.3744,-1111.467529296875
113,113,2033.71,3012.79,22.5145,565000,37.542,-984.5452880859375
114,114,4248.01,4557.24,13.756,570000,33.5009,-350.72039794921875
115,115,3749.46,2812.82,13.6054,575000,35.0163,-438.6884460449219
116,116,3736.08,4171.78,13.9911,580000,37.4616,-551.2146606445312
117,117,3121.89,4410.23,15.4839,585000,37.4123,-771.277099609375
118,118,2989.79,2494.21,14.4197,590000,40.6514,-675.6054077148438
119,119,997.98,1003.39,28.8774,595000,54.0382,-1170.528564453125
120,120,995.9,1000.53,36.6318,600000,54.8519,-1181.6396484375
121,121,1003.87,1007.2,39.7412,605000,55.0118,-1202.0313720703125
122,122,4325.1,4580.28,13.9949,610000,33.9254,-427.846923828125
123,123,1288.51,918.79,27.2206,615000,37.3941,-882.5423583984375
124,124,1256.2,103.55,36.4934,620000,37.9861,-977.5313720703125
125,125,4606.52,4883.15,12.5309,625000,35.1672,-360.2542419433594
126,126,4701.12,4723.62,11.9327,630000,33.1428,-334.67340087890625
127,127,4790.75,5000.41,12.5935,635000,35.8412,-344.2826843261719
128,128,4628.87,4768.1,11.3646,640000,35.1304,-380.9977722167969
129,129,4849.45,4902.47,13.0615,645000,34.6318,-338.10693359375
130,130,4847.98,4888.32,12.4867,650000,34.7222,-377.37286376953125
131,131,4825.47,4783.47,12.2004,655000,34.9461,-371.1956787109375
132,132,4889.55,4996.33,13.2904,660000,35.211,-382.7192687988281
133,133,4693.32,5108.41,13.2639,665000,33.4354,-345.8493347167969
134,134,3034.21,3410.34,14.4305,670000,36.1615,-615.6396484375
135,135,4592.94,4786.87,11.6329,675000,36.3889,-463.4527587890625
136,136,-5.08,-4.98,148.1157,680000,56.7439,-1408.094482421875
137,137,48.96,44.11,67.5352,685000,56.7588,-1579.797607421875
138,138,352.7,581.91,30.3438,690000,54.7835,-1531.280029296875
139,139,1001.17,1001.89,32.9732,695000,55.2535,-1437.81005859375
140,140,1009.87,1012.25,38.4559,700000,55.3979,-1423.554443359375
141,141,1018.57,1020.02,37.9538,705000,54.9921,-1425.8489990234375
142,142,1013.86,1073.27,35.6418,710000,54.6117,-1325.339599609375
143,143,1015.25,1006.11,29.118,715000,54.3624,-1400.001953125
144,144,1017.03,1016.24,52.8845,720000,56.3456,-1480.5489501953125
145,145,1023.3,1024.16,32.0656,725000,55.6161,-1512.103515625
146,146,310.42,331.0,56.2639,730000,50.7959,-1796.998046875
147,147,584.66,465.93,44.3282,735000,49.2094,-1724.76416015625
148,148,826.72,1639.27,20.4773,740000,43.2156,-1744.6158447265625
149,149,1011.14,1013.41,45.306,745000,56.3766,-1578.7659912109375
150,150,1014.11,1016.38,30.1642,750000,55.3842,-1607.51025390625
151,151,1025.07,1024.66,49.0623,755000,56.0395,-1633.766357421875
152,152,1022.32,1023.24,42.2757,760000,56.1021,-1637.66943359375
153,153,1020.42,1021.65,40.7279,765000,55.7746,-1671.2733154296875
154,154,1435.65,1030.86,36.3104,770000,47.7541,-1629.23291015625
155,155,3326.26,3978.7,14.7801,775000,37.5721,-835.8238525390625
156,156,3788.01,2946.27,12.8626,780000,37.6348,-641.08837890625
157,157,4138.17,4345.19,13.754,785000,37.9126,-627.8275146484375
158,158,4263.56,4631.12,13.1775,790000,36.3281,-624.4838256835938
159,159,2353.46,3364.73,12.4372,795000,37.7864,-960.6128540039062
160,160,4608.63,4814.0,12.5594,800000,35.4409,-580.8609619140625
161,161,4615.91,4360.27,13.0919,805000,34.3584,-529.5632934570312
162,162,4222.5,4737.94,11.7153,810000,34.2646,-669.8665771484375
163,163,4543.91,4538.35,14.6301,815000,34.8578,-592.530029296875
164,164,4072.46,4683.11,14.0193,820000,34.1095,-651.9124755859375
165,165,4354.27,4232.63,13.1488,825000,34.1331,-535.1327514648438
166,166,4683.13,4718.58,12.7272,830000,33.9081,-528.3955078125
167,167,4403.86,4719.05,12.9996,835000,35.338,-519.012451171875
168,168,4584.53,4429.54,12.0788,840000,33.8576,-539.5844116210938
169,169,4639.49,4676.94,12.4346,845000,34.1803,-544.2133178710938
170,170,3837.45,4081.07,15.5119,850000,38.1057,-1041.9654541015625
171,171,4371.01,4557.2,12.2883,855000,34.8769,-616.2549438476562
172,172,4569.66,4810.2,15.9504,860000,35.9292,-555.1284790039062
173,173,4578.07,4683.96,12.4457,865000,33.4956,-566.425537109375
174,174,4755.05,4784.57,13.1523,870000,34.1731,-483.6220703125
175,175,4585.12,4650.12,13.3702,875000,34.5534,-582.3038940429688
176,176,4869.18,4839.82,13.7096,880000,35.8005,-512.1946411132812
177,177,4669.08,4724.77,11.8619,885000,33.2009,-545.8546752929688
178,178,4703.83,4747.97,12.6864,890000,34.1828,-545.654296875
179,179,4618.94,4732.04,12.9083,895000,34.6631,-537.6213989257812
180,180,4764.67,4798.51,13.4757,900000,34.2821,-509.21929931640625
181,181,4578.87,4793.52,12.8154,905000,35.9493,-530.0822143554688
182,182,3909.82,4684.94,16.5872,910000,38.4223,-793.4498901367188
183,183,4695.46,4727.73,14.0817,915000,34.3555,-555.1276245117188
184,184,4647.82,4506.93,15.7834,920000,35.3278,-573.302001953125
185,185,189.5,-7.04,155.2652,925000,57.4579,-2733.92822265625
186,186,4357.38,4308.65,17.838,930000,37.5043,-759.4990844726562
187,187,4587.95,4604.86,14.0335,935000,35.2678,-604.8851928710938
188,188,1016.13,1017.4,48.9394,940000,55.9756,-2037.575439453125
189,189,1003.58,1007.12,34.9614,945000,55.6738,-2038.6583251953125
190,190,1000.23,1002.35,38.3979,950000,55.7095,-2102.733154296875
191,191,2323.73,3843.2,17.9079,955000,36.8448,-1523.881591796875
192,192,4711.0,4677.22,13.2679,960000,35.1637,-593.4462280273438
193,193,4630.8,4626.25,13.1628,965000,34.2982,-622.1812744140625
194,194,4532.67,3475.94,14.0547,970000,36.6618,-578.39892578125
195,195,-4.82,-4.76,54.6841,975000,57.462,-2298.957275390625
196,196,4551.68,4577.84,12.9842,980000,33.8721,-645.7400512695312
197,197,21.38,38.11,177.391,985000,57.3411,-3035.319091796875
198,198,4677.03,4760.93,13.7532,990000,33.8347,-614.955322265625
199,199,4839.1,4938.85,15.2055,995000,34.8255,-607.8609008789062
200,200,4748.15,5176.47,14.396,1000000,36.8706,-658.182861328125
201,201,4698.93,4750.03,13.1462,1005000,34.0244,-637.4041748046875
202,202,2860.47,3007.78,17.2061,1010000,39.7914,-1714.879150390625
203,203,11.83,8.06,51.7818,1015000,52.1087,-2375.202392578125
204,204,4770.64,4793.59,14.6534,1020000,34.7365,-613.0907592773438
205,205,37.4,124.12,21.3563,1025000,53.4466,-2498.123046875
206,206,721.99,19.49,75.6069,1030000,55.7079,-3174.14599609375
207,207,4540.39,4538.78,14.3538,1035000,34.3956,-695.8136596679688
208,208,4650.73,4655.59,12.8166,1040000,33.9406,-661.5380249023438
209,209,3881.74,4390.27,11.9236,1045000,36.6005,-874.9563598632812
210,210,4645.44,4584.08,12.0247,1050000,35.3192,-725.8081665039062
211,211,16.53,30.61,30.6503,1055000,54.9368,-2437.98388671875
212,212,-20.96,-21.18,76.5661,1060000,57.8332,-3244.494873046875
213,213,193.87,33.46,36.1829,1065000,55.5368,-2467.146240234375
214,214,4553.15,4652.46,16.5828,1070000,35.4894,-973.5133666992188
215,215,1005.79,1006.91,39.5987,1075000,55.4438,-2417.974853515625
216,216,1037.34,1035.36,32.2334,1080000,54.7512,-2377.814697265625
217,217,2783.5,3141.11,13.8308,1085000,36.6025,-1295.73193359375
218,218,1012.16,1017.65,31.4176,1090000,54.9774,-2452.179931640625
219,219,1018.85,1024.34,31.6559,1095000,54.9621,-2454.08642578125
220,220,1012.17,1013.13,35.0211,1100000,55.173,-2475.61962890625
221,221,1012.78,1013.65,52.4919,1105000,57.0934,-2548.906494140625
222,222,980.38,981.44,55.1869,1110000,56.5746,-2705.543701171875
223,223,1000.31,1039.88,23.2016,1115000,52.6728,-2528.9306640625
224,224,1029.24,1019.45,47.9474,1120000,55.4399,-2618.67431640625
225,225,361.97,413.04,95.1,1125000,56.8459,-3237.19677734375
226,226,110.39,125.61,74.2642,1130000,53.9968,-3031.991943359375
227,227,1421.05,1028.29,20.6315,1135000,41.2595,-2413.847900390625
228,228,1024.9,1023.43,29.6458,1140000,53.5451,-2646.10205078125
229,229,1046.9,1037.6,34.2339,1145000,54.5499,-2720.589599609375
230,230,1042.3,1036.05,31.2967,1150000,54.168,-2730.095703125
231,231,1029.04,1027.92,24.2836,1155000,53.507,-2710.894287109375
232,232,1015.12,1023.76,31.8937,1160000,53.8058,-2766.95849609375
233,233,105.68,71.03,23.6753,1165000,41.5911,-2388.60400390625
234,234,1006.46,1008.61,42.4353,1170000,55.6283,-2878.890380859375
235,235,972.74,1015.65,34.4266,1175000,55.5468,-2937.44482421875
236,236,1009.41,1010.41,43.1634,1180000,56.3374,-2963.390625
237,237,1026.98,1027.06,59.8289,1185000,56.4656,-3009.406982421875
238,238,1007.3,1009.73,32.6592,1190000,55.0272,-2953.26220703125
239,239,1023.94,1024.74,32.7692,1195000,54.5348,-3011.052734375
240,240,1023.06,1023.21,29.8228,1200000,54.194,-3027.155517578125
241,241,1011.86,1016.43,23.8933,1205000,53.7299,-3046.430908203125
242,242,1015.79,1018.95,32.4456,1210000,54.5876,-3092.502685546875
243,243,1024.54,1024.2,28.5758,1215000,54.0744,-3117.643798828125
244,244,1560.02,1003.73,29.627,1220000,40.2641,-2911.333251953125
245,245,4492.37,4200.16,14.3443,1225000,33.524,-1008.8870239257812
246,246,4712.26,4725.61,12.7432,1230000,33.9138,-789.6055908203125
247,247,4805.63,4839.47,12.9904,1235000,33.3507,-753.1185302734375
248,248,4363.98,4247.54,13.9893,1240000,36.3816,-1102.8077392578125
249,249,52.79,35.0,39.4719,1245000,53.487,-3478.87890625
250,250,4716.0,4838.72,14.4425,1250000,33.5548,-790.3008422851562
251,251,2551.38,1409.81,23.8434,1255000,34.8569,-1788.8267822265625
252,252,1441.73,2769.25,22.3098,1260000,34.9611,-2043.1048583984375
253,253,4862.5,4912.39,15.3812,1265000,34.187,-717.9443969726562
254,254,4593.84,4683.97,13.3304,1270000,34.4928,-1349.027587890625
255,255,4938.26,5031.0,15.1178,1275000,34.0613,-681.2529296875
256,256,4852.98,4876.81,12.2989,1280000,33.5031,-764.2540893554688
