Itration,Running Reverse KL,Real Sto Return,Running Forward KL,Real Det Return
108,44.3929,5083.29,235.838,5089.92
109,54.8144,5105.57,228.3732,4967.83
110,33.0304,5025.85,230.128,5134.76
111,30.8925,5215.49,225.0942,4819.39
112,34.7041,5085.39,230.1914,4977.8
113,30.9659,5038.78,229.5542,5050.99
114,31.3107,5096.5,227.644,5091.66
115,39.3588,4883.52,228.0409,4881.75
116,36.2212,4781.15,232.5651,3400.9
117,49.9609,4574.52,225.9813,3302.0
118,61.2797,4896.93,234.305,4490.18
119,43.3991,4888.01,232.3086,4771.53
120,29.2145,5082.9,227.9706,4819.02
121,33.594,5118.77,226.1639,5092.68
122,32.9462,5009.39,230.7804,5012.11
123,49.1453,4693.6,235.0993,5078.75
124,36.8676,5204.15,228.602,4986.64
125,34.5745,4780.09,231.2295,5295.26
126,34.8208,5164.26,229.0234,5181.19
127,64.2326,4760.11,234.2943,4379.1
128,84.1661,4275.18,240.8226,4083.42
129,31.4505,4725.52,233.8118,5056.38
130,32.5552,5017.96,222.6569,3825.8
131,42.8984,4747.87,236.5067,4804.43
132,35.3016,4751.22,227.2874,5287.86
133,35.6898,4954.19,225.572,4982.28
134,37.0684,5147.53,232.4163,5180.07
135,43.8259,4682.24,231.2395,4809.03
136,29.7067,5160.69,222.4443,5280.01
137,34.5838,5051.17,228.8466,5111.29
138,34.0398,5125.3,228.2863,5143.6
139,34.9412,4782.94,233.2266,5177.84
140,51.1864,5116.85,236.9686,5144.91
141,28.7304,4936.19,225.6596,5149.11
142,36.8256,5047.3,233.2007,5062.97
143,32.5601,4768.19,228.6699,3300.62
144,32.2965,4465.72,233.9024,4787.31
145,33.388,4465.17,225.8478,5257.13
146,61.3679,4507.45,231.2913,5213.84
147,39.4832,4086.21,233.809,5000.58
148,32.2736,4748.7,231.4726,5176.33
149,28.8911,4893.33,231.84,5229.48
150,32.4468,4892.3,236.2724,4973.4
151,27.8376,4634.77,224.6094,5105.14
152,28.3679,4929.87,224.4328,4554.62
153,26.6626,5117.66,224.8512,5173.84
154,27.28,4298.41,219.9306,4466.86
155,40.2359,4391.39,225.6332,2878.52
156,25.2057,4893.52,226.896,5066.44
157,28.4082,4936.31,231.8206,5262.5
158,46.5515,5016.51,232.3072,5268.45
159,28.7003,4954.94,229.8364,4870.51
160,27.6482,4855.95,226.5476,4981.16
161,31.6546,4934.45,228.7557,4614.95
162,45.594,4836.83,237.7969,4960.83
163,34.2646,4832.11,228.0189,4994.95
164,40.4621,4500.44,238.1243,5132.59
165,24.9404,4923.58,230.3775,5168.92
166,24.2187,5091.05,230.8315,5208.61
167,33.625,5038.37,232.0304,5195.56
168,32.0803,4379.99,228.3017,3857.13
169,42.7106,4717.56,235.6051,4350.34
170,46.9808,4805.75,234.0528,5034.11
171,25.3173,4753.33,227.6436,5267.23
172,25.4768,4793.32,229.5985,5162.78
173,31.6026,5139.07,235.9828,5148.9
174,54.0124,5111.6,236.8046,4968.81
175,64.0288,4980.33,240.5172,5292.87
176,25.1366,5109.38,228.4998,5118.64
177,23.3113,4845.95,223.9942,5113.95
178,36.9126,5186.07,230.8051,5235.43
179,33.0554,5020.48,231.0679,5100.34
180,48.7551,5085.26,236.2763,5205.34
181,26.9123,5232.9,224.0204,5358.38
182,55.0414,4663.17,234.0965,5191.34
183,52.9495,5107.3,245.6999,5126.97
184,34.1779,5065.35,235.6931,4563.85
185,55.8505,5181.22,238.7973,5127.42
186,30.4276,5033.94,235.2912,5096.32
187,62.0083,4511.64,239.5373,5298.52
188,36.3857,4268.39,243.689,5030.86
189,34.9813,4489.91,238.8313,5060.28
190,32.9763,4884.49,228.3506,5146.84
191,36.2153,4930.47,240.1079,5123.01
192,30.6436,4558.7,234.9858,5021.14
193,31.2843,4949.14,230.4741,5134.66
194,30.7391,5125.11,235.4124,5200.22
195,28.634,5017.56,236.5731,4691.55
196,26.4657,4945.25,231.8134,5018.55
197,24.9519,4933.47,238.3538,4864.21
198,21.0697,4891.1,226.9452,5085.56
199,24.132,4936.09,227.0863,4858.02
200,28.6429,4963.25,224.7479,5063.85
201,27.0223,5100.43,234.6879,4377.11
202,22.8783,4972.21,225.6457,3300.76
203,49.2801,4406.63,231.8396,4738.63
204,24.9793,5134.98,231.6524,5104.89
205,63.222,5201.96,231.4565,5203.38
206,25.2244,4603.41,227.7696,4880.24
207,30.8333,4435.33,227.3573,4275.72
208,43.3081,4600.54,229.4061,5125.29
209,49.6527,5049.08,233.0968,5201.74
210,81.6337,4229.63,235.8967,4981.66
211,79.4177,4007.81,241.4375,4811.4
212,225.4458,2764.44,263.3172,3674.95
