Running Reverse KL,Real Sto Return,Reward Loss,Real Det Return,Running Env Steps,Itration,Running Forward KL,Running Update Time
35.136,955.22,-3890.892333984375,990.59,195000,39,37.5087,39
42.9114,246.82,-3497.8330078125,241.46,200000,40,33.4668,40
24.3769,1027.32,-3912.594482421875,1028.52,205000,41,36.0741,41
22.2642,1044.7,-3966.683349609375,1041.8,210000,42,36.6101,42
30.468,1002.36,-4032.126708984375,1004.4,215000,43,37.7032,43
24.1683,207.07,-3478.689697265625,207.15,220000,44,32.579,44
15.5336,331.79,-3444.134033203125,347.44,225000,45,31.7858,45
14.0484,322.82,-3129.35693359375,320.18,230000,46,29.5833,46
32.786,996.73,-4265.189453125,996.54,235000,47,37.9963,47
19.4211,337.96,-3898.538818359375,336.74,240000,48,32.4966,48
17.5773,371.2,-3304.896240234375,370.81,245000,49,30.586,49
23.2075,333.28,-3934.77685546875,332.93,250000,50,31.4442,50
19.1108,345.02,-3139.263671875,345.31,255000,51,30.9732,51
20.1025,384.06,-3862.680908203125,385.85,260000,52,32.4302,52
23.8552,352.58,-4042.384765625,351.37,265000,53,33.2439,53
21.07,432.92,-4124.5546875,448.18,270000,54,33.643,54
17.6541,403.96,-4038.83203125,430.19,275000,55,32.5831,55
17.6147,445.74,-4126.24169921875,467.64,280000,56,31.4886,56
28.2237,401.83,-4168.2724609375,400.41,285000,57,31.6077,57
17.9869,358.18,-4271.47119140625,361.66,290000,58,30.0173,58
52.8743,400.47,-4268.4560546875,411.02,295000,59,31.3174,59
17.9327,392.31,-4238.5078125,409.27,300000,60,29.2631,60
31.0957,449.03,-4170.84716796875,438.65,305000,61,30.4093,61
15.7135,432.34,-4433.92919921875,426.43,310000,62,31.3587,62
49.8703,640.24,-3842.257568359375,772.94,315000,63,27.108,63
27.6924,628.24,-3674.025634765625,697.68,320000,64,26.6477,64
15.8447,810.98,-3462.07373046875,968.94,325000,65,26.0466,65
13.5639,2065.42,-2003.0360107421875,2343.64,330000,66,26.619,66
16.3892,657.49,-4173.85498046875,623.45,335000,67,26.7693,67
15.759,716.81,-3980.56005859375,761.46,340000,68,26.2049,68
17.1248,828.07,-3885.399658203125,855.87,345000,69,25.7616,69
15.9476,891.22,-3718.275146484375,1021.76,350000,70,25.6869,70
24.1,855.05,-4120.9716796875,941.81,355000,71,25.7568,71
21.6834,836.63,-4191.96728515625,948.38,360000,72,25.6849,72
23.9402,650.21,-4703.8349609375,689.39,365000,73,27.0882,73
20.4676,567.83,-4754.19482421875,528.63,370000,74,27.3912,74
20.1817,848.21,-4324.734375,923.6,375000,75,26.2767,75
18.7899,774.43,-4424.8896484375,809.47,380000,76,26.7922,76
21.7559,925.87,-4333.14501953125,1062.09,385000,77,25.3858,77
18.1212,1456.3,-3183.07080078125,3016.52,390000,78,23.7742,78
18.8011,1196.35,-3997.378662109375,1360.48,395000,79,25.3616,79
12.1682,2796.73,-1217.9810791015625,2856.55,400000,80,23.1854,80
19.8783,860.0,-4497.52685546875,934.83,405000,81,25.9023,81
20.8725,809.83,-4771.81103515625,844.97,410000,82,25.4276,82
19.7253,963.78,-4630.0888671875,1268.23,415000,83,25.0219,83
21.8041,1086.31,-4571.1484375,1338.46,420000,84,25.2889,84
20.3908,1111.09,-4422.1494140625,1280.27,425000,85,24.3894,85
19.3801,1109.3,-4346.7001953125,1258.0,430000,86,24.5018,86
18.8273,1386.8,-3874.650390625,1814.74,435000,87,24.0167,87
16.0841,1937.3,-3206.64990234375,2966.92,440000,88,23.6251,88
20.0788,2098.99,-3229.802734375,2972.16,445000,89,23.5271,89
18.1609,2039.71,-3679.30859375,3083.4,450000,90,24.3405,90
13.3974,2892.19,-1062.5084228515625,3032.25,455000,91,23.0764,91
13.6768,2961.18,-862.2337646484375,3061.96,460000,92,23.0921,92
13.092,2970.17,-1034.9759521484375,2922.75,465000,93,23.2063,93
18.1785,1757.43,-3808.60205078125,3092.18,470000,94,23.9744,94
12.5974,2965.24,-1183.5352783203125,2855.27,475000,95,22.877,95
14.1376,2580.07,-1559.63818359375,2964.02,480000,96,22.3629,96
13.4115,2931.12,-1311.9600830078125,3024.58,485000,97,22.8657,97
14.8989,2831.01,-1900.142333984375,3048.53,490000,98,23.2436,98
13.1326,2813.46,-1189.0682373046875,2854.11,495000,99,23.0827,99
12.4669,2843.4,-1335.1602783203125,2763.29,500000,100,23.0119,100
13.6718,2785.7,-1236.8131103515625,2697.93,505000,101,23.6972,101
14.5208,3005.45,-1148.771484375,2953.15,510000,102,23.6419,102
14.0317,2981.83,-1041.7310791015625,2947.25,515000,103,22.8289,103
13.2679,3056.26,-1065.50537109375,3014.68,520000,104,22.8788,104
21.3308,1162.53,-4836.439453125,1292.23,525000,105,24.0505,105
13.0377,2960.53,-1046.2098388671875,2989.81,530000,106,23.1846,106
13.1538,3012.05,-1118.9700927734375,3023.76,535000,107,22.3657,107
25.2994,2087.43,-3517.478515625,3264.05,540000,108,23.1906,108
11.9468,3074.28,-1429.1695556640625,3054.12,545000,109,21.9461,109
13.9715,3026.99,-1178.7352294921875,3134.16,550000,110,23.5367,110
13.7549,3080.88,-1228.7757568359375,3022.49,555000,111,22.9733,111
12.7711,2880.14,-1504.025146484375,2819.81,560000,112,23.1227,112
14.1885,2987.08,-1288.4544677734375,2945.18,565000,113,23.3365,113
11.4494,2927.43,-1459.580810546875,2891.76,570000,114,22.6928,114
12.7727,2964.73,-1427.813720703125,2891.03,575000,115,22.8999,115
18.5099,1576.4,-4284.845703125,2019.78,580000,116,24.1175,116
13.2323,3089.06,-1231.4300537109375,3057.9,585000,117,22.5588,117
14.1297,3086.76,-1265.308349609375,3032.83,590000,118,23.0057,118
14.3947,2967.54,-1443.4500732421875,2936.59,595000,119,23.4899,119
13.4035,3000.69,-1401.091552734375,2945.05,600000,120,22.5758,120
13.0737,2848.41,-1684.423583984375,2823.58,605000,121,23.5811,121
14.5098,3066.97,-1310.3853759765625,3039.65,610000,122,22.8685,122
14.2264,3088.83,-1348.8123779296875,3074.57,615000,123,23.1167,123
12.4052,3162.87,-1322.9150390625,3132.47,620000,124,21.7949,124
13.0876,3059.96,-1489.0916748046875,3023.44,625000,125,22.6674,125
12.7939,3009.03,-1522.2119140625,2964.08,630000,126,22.73,126
12.2524,3014.17,-1573.5947265625,2982.52,635000,127,22.4113,127
12.5482,3085.21,-1395.1917724609375,3047.24,640000,128,21.6296,128
13.4528,3019.81,-1598.7371826171875,2932.7,645000,129,23.0761,129
13.9559,3056.31,-1518.93701171875,3026.2,650000,130,22.9164,130
13.7992,3058.56,-1529.4403076171875,3010.95,655000,131,22.6928,131
13.3784,3100.18,-1487.443603515625,3070.09,660000,132,22.7013,132
13.3285,3110.3,-1442.8800048828125,3095.45,665000,133,22.3756,133
13.9069,3154.18,-1395.2257080078125,3126.85,670000,134,22.507,134
14.602,3162.51,-1410.672607421875,3159.04,675000,135,23.0246,135
12.5962,3273.57,-1191.65673828125,3297.08,680000,136,20.6906,136
11.3675,2955.83,-1623.8485107421875,2930.82,685000,137,21.9639,137
11.1971,3272.28,-1180.8233642578125,3313.31,690000,138,19.8453,138
13.7219,3164.98,-1457.1180419921875,3173.26,695000,139,22.4461,139
13.6105,3126.17,-1489.240234375,3085.06,700000,140,22.2512,140
12.7253,3069.62,-1659.1951904296875,3048.74,705000,141,22.694,141
12.5221,3132.81,-1521.3077392578125,3148.43,710000,142,22.1135,142
13.9008,3174.15,-1518.6513671875,3197.43,715000,143,22.7102,143
13.4377,3185.75,-1491.597900390625,3203.23,720000,144,22.0451,144
12.7896,3179.4,-1480.138916015625,3139.95,725000,145,21.6312,145
13.313,3259.08,-1301.7012939453125,3270.38,730000,146,21.1986,146
14.0799,3225.72,-1437.45068359375,3242.85,735000,147,21.7696,147
14.1079,3252.8,-1342.810546875,3277.1,740000,148,21.3333,148
12.6091,3223.7,-1476.9197998046875,3243.37,745000,149,20.9854,149
11.8471,3257.51,-1304.9207763671875,3278.75,750000,150,20.25,150
14.0232,3222.78,-1478.9793701171875,3242.14,755000,151,21.7637,151
13.8137,3245.24,-1495.640380859375,3268.47,760000,152,21.6526,152
12.44,3267.75,-1410.8480224609375,3287.48,765000,153,21.2031,153
13.2164,3247.91,-1458.9969482421875,3247.39,770000,154,21.4268,154
13.6907,3245.15,-1398.5379638671875,3273.85,775000,155,21.3131,155
12.5207,3287.79,-1424.06884765625,3299.15,780000,156,20.3297,156
13.4048,3238.0,-1569.7164306640625,3242.3,785000,157,21.0179,157
13.9217,3216.59,-1638.254150390625,3224.73,790000,158,21.7477,158
14.2348,3275.73,-1432.3782958984375,3276.22,795000,159,21.5035,159
13.0583,3259.72,-1557.9940185546875,3278.29,800000,160,21.3354,160
13.7368,3295.39,-1356.6602783203125,3239.48,805000,161,20.9586,161
13.804,3314.84,-1456.2110595703125,3325.16,810000,162,21.4002,162
13.9585,3263.88,-1579.4666748046875,3311.13,815000,163,21.527,163
13.7789,3276.51,-1484.9827880859375,3294.03,820000,164,21.3195,164
13.4412,3251.75,-1489.89111328125,3292.15,825000,165,20.8098,165
13.1862,3260.59,-1611.2320556640625,3275.37,830000,166,21.129,166
13.3053,3300.54,-1313.0672607421875,3327.43,835000,167,20.3787,167
13.1142,3287.1,-1472.9276123046875,3315.34,840000,168,20.5373,168
13.4266,3249.35,-1594.955810546875,3295.06,845000,169,20.7156,169
14.6842,3285.84,-1594.8187255859375,3304.2,850000,170,21.685,170
14.0502,3290.73,-1572.184814453125,3275.13,855000,171,21.1055,171
13.7739,3265.82,-1604.8878173828125,3257.16,860000,172,21.3747,172
14.0002,3193.66,-1582.613525390625,3309.86,865000,173,20.9709,173
14.5524,3269.77,-1689.3814697265625,3295.31,870000,174,21.1086,174
14.5877,3247.35,-1635.5582275390625,3309.35,875000,175,21.3471,175
14.1887,3304.98,-1604.5882568359375,3320.94,880000,176,21.1472,176
13.5562,3305.48,-1568.430419921875,3318.88,885000,177,20.8104,177
15.3868,3231.87,-1862.50927734375,3259.09,890000,178,22.0388,178
14.6826,3307.18,-1673.12841796875,3329.44,895000,179,21.5188,179
13.7798,3321.08,-1591.752197265625,3335.98,900000,180,20.6075,180
14.2196,3323.36,-1542.5643310546875,3334.26,905000,181,20.7798,181
15.2049,3307.13,-1818.7432861328125,3330.71,910000,182,21.889,182
14.1437,3353.9,-1420.009765625,3400.41,915000,183,20.7738,183
14.4544,3335.32,-1690.4759521484375,3358.92,920000,184,21.2866,184
14.2156,3339.25,-1545.04443359375,3337.54,925000,185,21.589,185
13.7516,2852.12,-1565.2979736328125,3337.59,930000,186,21.3192,186
14.5484,3346.19,-1680.853515625,3377.83,935000,187,21.4439,187
14.8079,3249.93,-1961.761474609375,3288.92,940000,188,22.0002,188
13.3592,2968.71,-2853.489013671875,2975.3,945000,189,24.0966,189
14.5677,2793.21,-1305.5333251953125,3277.62,950000,190,23.0127,190
13.848,3291.8,-1636.8248291015625,3262.64,955000,191,21.3511,191
13.5483,3100.4,-1979.07275390625,3160.35,960000,192,21.1727,192
14.3972,3134.35,-2495.693359375,3084.12,965000,193,23.0152,193
13.2799,1838.33,-2495.005615234375,2354.29,970000,194,21.6008,194
14.1254,3117.68,-2476.260498046875,3076.59,975000,195,21.993,195
12.9836,3352.44,-1492.2762451171875,3311.55,980000,196,20.081,196
13.6664,3333.67,-1588.2840576171875,3292.33,985000,197,20.9176,197
14.3256,2609.21,-2670.153564453125,3383.57,990000,198,20.9272,198
12.9501,3073.24,-1918.768310546875,3190.95,995000,199,20.8081,199
