Running Env Steps,Running Forward KL,Itration,Running Update Time,Reward Loss,Real Sto Return,Real Det Return,Running Reverse KL
780000,156.7749,156,156,-5364.7666015625,1913.6,2230.47,15.3319
785000,156.6058,157,157,-5408.88623046875,1895.97,2281.0,15.3311
790000,156.6267,158,158,-5473.18017578125,1888.91,2242.57,15.7081
795000,156.7221,159,159,-5510.72216796875,1863.15,2250.58,15.1265
800000,156.5891,160,160,-5552.2822265625,1901.24,2238.22,15.2827
805000,156.603,161,161,-5589.18359375,1910.99,2271.75,15.2114
810000,156.6666,162,162,-5659.45556640625,1872.87,2213.08,15.2602
815000,156.6557,163,163,-5736.6435546875,1880.41,2252.87,14.9044
820000,156.6109,164,164,-5730.66015625,1886.2,2248.96,15.3433
825000,156.7169,165,165,-5818.18310546875,1886.33,2255.06,15.502
830000,156.7674,166,166,-5871.67431640625,1895.03,2228.71,15.2467
835000,156.7607,167,167,-5941.42822265625,1931.83,2266.4,15.3002
840000,156.6391,168,168,-5959.53955078125,1894.47,2273.81,15.3035
845000,156.5696,169,169,-6012.94482421875,1904.37,2281.76,15.1162
850000,156.6387,170,170,-6069.91748046875,1886.36,2219.25,15.181
855000,156.64,171,171,-6143.0849609375,1878.65,2284.65,14.8375
860000,156.6362,172,172,-6185.2451171875,1880.61,2258.19,15.0355
865000,156.6416,173,173,-6261.232421875,1892.24,2224.54,15.3334
870000,156.613,174,174,-6311.25390625,1883.05,2257.82,15.1362
875000,156.7777,175,175,-6397.201171875,1932.08,2310.38,15.6691
880000,156.7186,176,176,-6407.2607421875,1908.01,2269.54,15.3896
885000,156.7152,177,177,-6490.548828125,1856.2,2262.63,15.1132
890000,156.7211,178,178,-6509.306640625,1923.18,2252.5,15.7196
895000,156.6702,179,179,-6549.95703125,1910.22,2246.81,15.2468
900000,156.6065,180,180,-6596.65185546875,1908.41,2242.01,15.1923
905000,156.7679,181,181,-6661.00439453125,1844.22,2200.7,15.1427
910000,156.5152,182,182,-6679.6015625,1856.31,2242.39,14.9409
915000,156.6529,183,183,-6763.29443359375,1891.45,2227.53,15.174
920000,156.7013,184,184,-6793.751953125,1924.01,2279.12,15.3248
925000,156.6993,185,185,-6825.91845703125,1867.31,2212.09,15.0995
930000,156.4878,186,186,-6837.2021484375,1919.59,2302.78,14.9197
935000,156.7754,187,187,-6935.37255859375,1915.55,2287.33,15.4384
940000,156.8057,188,188,-6973.6044921875,1918.28,2268.67,15.382
945000,156.7649,189,189,-7010.16796875,1895.53,2255.39,15.2174
950000,156.6206,190,190,-7062.630859375,1897.87,2266.21,15.4213
955000,156.5714,191,191,-7119.23876953125,1894.16,2281.19,15.0105
960000,156.5975,192,192,-7153.8447265625,1912.86,2254.96,15.123
965000,156.755,193,193,-7215.99365234375,1882.0,2233.45,15.0772
970000,156.587,194,194,-7284.861328125,1889.56,2254.75,15.1968
975000,156.7175,195,195,-7346.353515625,1925.57,2300.66,15.1678
980000,156.6016,196,196,-7375.39990234375,1872.26,2203.55,14.8973
985000,156.6439,197,197,-7421.51904296875,1948.18,2289.14,15.2496
990000,156.6822,198,198,-7455.1171875,1888.3,2219.57,15.2478
995000,156.4935,199,199,-7549.33740234375,1875.63,2231.44,14.9913
1000000,156.6434,200,200,-7587.998046875,1945.22,2286.65,15.3115
1005000,156.7856,201,201,-7647.5634765625,1930.58,2279.41,15.3713
1010000,156.7758,202,202,-7693.27685546875,1936.24,2269.53,15.316
1015000,156.5691,203,203,-7759.0126953125,1932.5,2281.85,15.3713
1020000,156.6888,204,204,-7805.91943359375,1930.89,2277.43,15.304
1025000,156.6893,205,205,-7832.22314453125,1945.72,2295.14,15.3737
1030000,156.7532,206,206,-7903.66748046875,1899.22,2233.47,15.2879
1035000,156.5593,207,207,-7958.240234375,1916.26,2246.54,15.143
1040000,156.6435,208,208,-8016.36767578125,1930.03,2290.51,15.2638
1045000,156.5946,209,209,-8056.16357421875,1957.92,2275.74,15.1662
1050000,156.6042,210,210,-8119.49267578125,1931.77,2249.26,15.2547
1055000,156.6223,211,211,-8167.09521484375,1919.52,2242.74,15.2616
1060000,156.5656,212,212,-8230.2236328125,1928.15,2241.41,15.2398
1065000,156.8368,213,213,-8260.408203125,1928.53,2263.66,15.2629
1070000,156.8186,214,214,-8328.8212890625,1930.43,2267.75,15.3998
1075000,156.6308,215,215,-8400.0810546875,1921.85,2247.86,15.2939
1080000,156.5692,216,216,-8448.1552734375,1917.12,2246.95,15.141
1085000,156.5899,217,217,-8460.021484375,1944.59,2294.51,15.3139
1090000,156.6736,218,218,-8512.7890625,1931.23,2255.17,15.2156
1095000,156.7014,219,219,-8537.767578125,1961.16,2285.16,15.275
1100000,156.6649,220,220,-8543.7216796875,1940.12,2275.36,15.3397
1105000,156.7273,221,221,-8573.5888671875,1923.29,2280.64,15.0281
1110000,156.4605,222,222,-8589.828125,1951.12,2293.76,15.3132
1115000,156.6048,223,223,-8678.498046875,1944.57,2280.86,15.4772
1120000,156.6458,224,224,-8690.572265625,1944.19,2262.58,15.2064
1125000,156.6787,225,225,-8718.1044921875,1928.99,2277.28,15.2087
1130000,156.66,226,226,-8733.01953125,1952.82,2291.52,15.2817
1135000,156.5029,227,227,-8780.5302734375,1957.83,2289.93,15.2475
1140000,156.6022,228,228,-8836.572265625,1945.94,2281.39,15.28
1145000,156.5842,229,229,-8861.826171875,1982.05,2318.08,15.4052
1150000,156.5668,230,230,-8867.6650390625,1965.13,2313.13,15.3917
1155000,156.5146,231,231,-8917.5390625,1974.22,2325.45,15.3013
1160000,156.6721,232,232,-8972.2978515625,1956.12,2309.24,15.2475
1165000,156.6572,233,233,-9001.060546875,1942.07,2284.08,15.1728
1170000,156.4172,234,234,-9010.3037109375,1958.36,2309.7,15.2297
1175000,156.6617,235,235,-9076.7744140625,1963.97,2304.46,15.2483
1180000,156.5457,236,236,-9101.642578125,1957.72,2314.15,15.1462
1185000,156.6671,237,237,-9103.6015625,1936.38,2304.5,15.2425
1190000,156.7528,238,238,-9148.63671875,1945.66,2294.96,15.3159
1195000,156.4769,239,239,-9183.5087890625,1967.11,2306.24,15.1365
1200000,156.3695,240,240,-9206.9111328125,1956.15,2288.62,15.1675
1205000,156.532,241,241,-9225.0888671875,1974.08,2319.7,15.4252
1210000,156.6718,242,242,-9288.2802734375,1944.34,2314.7,15.288
1215000,156.6092,243,243,-9308.5078125,1943.04,2302.95,15.0601
1220000,156.5662,244,244,-9327.8125,1942.46,2302.28,15.118
1225000,156.671,245,245,-9392.69140625,1960.6,2335.94,15.3957
1230000,156.7895,246,246,-9418.546875,1955.14,2303.83,15.0895
1235000,156.7915,247,247,-9429.1416015625,1973.14,2330.76,15.2285
1240000,156.6866,248,248,-9493.75390625,1951.58,2310.82,15.2678
1245000,156.5177,249,249,-9514.26171875,1963.43,2307.34,15.1276
1250000,156.6037,250,250,-9509.1943359375,1957.17,2314.02,15.2014
1255000,156.8055,251,251,-9569.9609375,1958.46,2323.31,15.2994
1260000,156.5382,252,252,-9595.912109375,1967.39,2303.83,15.2208
1265000,156.6334,253,253,-9623.3857421875,1970.25,2330.54,15.2588
1270000,156.522,254,254,-9658.6689453125,1956.9,2305.59,15.1781
1275000,156.5602,255,255,-9713.8564453125,1935.01,2325.92,15.3215
1280000,156.7183,256,256,-9722.5,1969.88,2330.81,15.2659
1285000,156.5313,257,257,-9731.8505859375,1958.44,2312.26,15.1289
1290000,156.4988,258,258,-9781.5341796875,1971.3,2325.88,15.3537
1295000,156.6893,259,259,-9759.4111328125,1953.03,2297.47,15.1529
1300000,156.6733,260,260,-9835.5029296875,1983.6,2299.45,15.4155
1305000,156.842,261,261,-9835.578125,1962.03,2302.64,15.3867
1310000,156.5877,262,262,-9883.1474609375,1975.26,2314.01,15.4991
1315000,156.4436,263,263,-9933.54296875,1963.06,2313.46,15.4591
1320000,156.5182,264,264,-9951.49609375,1957.47,2327.48,15.2656
1325000,156.7161,265,265,-9991.0078125,1961.08,2306.11,15.5057
1330000,156.6756,266,266,-10007.0234375,1962.73,2324.95,15.4288
1335000,156.611,267,267,-10042.447265625,1949.21,2299.08,15.2847
1340000,156.6846,268,268,-10110.1318359375,1970.46,2335.79,15.4417
1345000,156.6312,269,269,-10086.6533203125,1940.71,2299.04,15.3484
1350000,156.7517,270,270,-10120.0791015625,1968.53,2325.54,15.329
1355000,156.6468,271,271,-10153.2265625,1956.85,2312.65,15.3469
1360000,156.5235,272,272,-10182.7841796875,1962.86,2317.77,15.3822
1365000,156.6274,273,273,-10239.4384765625,1964.76,2341.35,15.4777
1370000,156.6711,274,274,-10262.140625,1960.95,2313.4,15.2829
1375000,156.7847,275,275,-10287.2353515625,1947.6,2330.3,15.5603
1380000,156.8041,276,276,-10318.8046875,1956.59,2314.92,15.4627
1385000,156.6554,277,277,-10328.740234375,1969.39,2323.3,15.4995
1390000,156.6091,278,278,-10371.4765625,1968.72,2297.85,15.3311
1395000,156.58,279,279,-10399.365234375,1968.14,2326.51,15.4554
1400000,156.6999,280,280,-10392.693359375,1964.41,2344.32,15.3061
1405000,156.6043,281,281,-10428.9033203125,1953.98,2330.4,15.4055
1410000,156.5925,282,282,-10480.291015625,1964.95,2302.34,15.2764
1415000,156.5939,283,283,-10469.224609375,1968.09,2311.86,15.3033
1420000,156.5987,284,284,-10516.5615234375,1962.49,2325.73,15.3637
1425000,156.5824,285,285,-10547.47265625,1978.12,2357.1,15.3227
1430000,156.5705,286,286,-10579.8251953125,1963.23,2325.27,15.2639
1435000,156.6218,287,287,-10595.177734375,1968.42,2344.83,15.4391
1440000,156.5738,288,288,-10628.845703125,1971.29,2318.58,15.4146
1445000,156.6397,289,289,-10640.44140625,1995.9,2307.88,15.394
1450000,156.5362,290,290,-10655.69921875,1986.08,2328.58,15.3912
1455000,156.6981,291,291,-10735.671875,1944.71,2288.83,15.3348
1460000,156.6422,292,292,-10737.7724609375,1975.52,2311.1,15.3886
1465000,156.5977,293,293,-10760.4052734375,1976.05,2312.01,15.396
