Running Reverse KL,Itration,Running Forward KL,Real Det Return,Real Sto Return
142.5566,125,317.1605,4162.31,4650.09
126.4995,126,315.4566,5019.0,4932.07
153.3075,127,320.3659,5217.04,4711.51
144.3282,128,318.9889,5222.88,4927.12
142.9817,129,317.4572,5207.42,5157.24
149.363,130,307.4693,5314.85,4694.56
148.687,131,319.0767,3226.38,4106.9
139.5098,132,314.0563,4972.93,4722.6
161.2323,133,323.3253,5077.76,5005.51
137.8094,134,309.64,5274.51,5135.9
133.2254,135,312.9979,5250.08,5144.53
129.053,136,313.7234,5044.76,4926.4
130.4544,137,308.6546,5145.2,5118.38
123.4314,138,309.24,4422.68,4338.86
134.1978,139,315.8841,5201.5,5116.77
132.3469,140,316.0232,5246.05,5141.84
122.0637,141,308.3922,5184.91,4333.8
138.6362,142,311.9119,5268.2,5147.68
114.3209,143,303.2949,5257.18,4980.8
139.4549,144,311.7541,5296.63,5123.13
145.9118,145,313.2107,5242.63,5151.01
148.2311,146,315.4294,4997.65,5138.97
129.8706,147,308.3151,5071.4,5141.86
149.2764,148,317.3713,3587.74,4226.59
121.4758,149,299.2864,5288.09,5186.29
127.8004,150,310.9688,4332.06,4651.82
125.2653,151,299.2417,5275.01,5158.24
133.0595,152,311.7212,5218.56,5145.42
135.0859,153,307.8357,5200.83,5139.86
126.7151,154,304.961,5294.59,5173.56
120.9285,155,296.1372,5241.25,5136.89
110.3566,156,292.4356,5211.92,5116.02
129.7909,157,310.6702,5255.92,5131.13
119.1275,158,299.5497,4576.12,4730.56
115.9716,159,300.8697,4403.1,4909.45
131.5231,160,308.5343,3884.31,4832.71
128.0926,161,300.4047,5292.5,4950.82
118.8049,162,303.9445,3018.97,5143.11
132.2524,163,303.7309,5294.59,5149.39
142.3459,164,316.2863,3217.3,4334.34
132.1611,165,303.1431,3682.91,4940.06
120.6936,166,300.3145,4913.7,5079.07
138.0835,167,309.4445,5275.42,4772.57
129.6637,168,307.9765,5206.67,4740.2
113.972,169,295.9014,5184.0,4671.58
113.9485,170,292.5881,5254.32,5191.81
123.0838,171,304.7803,5075.5,5191.86
128.6955,172,308.9077,5227.9,5125.93
