Itration,Real Sto Return,Running Forward KL,Real Det Return,Running Reverse KL
94,363.6,49.9494,373.38,18.4035
95,352.4,50.1806,447.16,48.5449
96,266.77,50.4846,283.84,28.7972
97,360.89,51.8443,454.94,26.6967
98,-13.92,54.4268,-15.17,37.3161
99,150.62,53.5374,255.89,83.8595
100,214.7,54.1777,-6.54,59.8138
101,488.48,51.0084,473.18,41.533
102,207.46,50.8913,295.7,59.5436
103,-2.8,55.6196,-1.34,98.8121
104,1028.43,56.784,1028.2,63.0472
105,111.89,54.6432,43.76,58.8194
106,996.3,57.1918,995.59,55.3685
107,1010.11,55.1471,1010.87,52.5063
108,281.23,54.5184,282.12,75.0105
109,396.59,53.2618,393.87,44.5244
110,322.64,50.6138,315.1,21.6866
111,594.07,50.2727,764.91,48.1419
112,1005.38,56.5583,1039.9,62.2357
113,534.43,51.2335,952.71,52.672
114,65.03,55.6967,62.58,57.7794
115,12.1,56.6939,10.75,199.3846
116,422.67,52.4679,402.61,54.4478
117,1007.96,57.4125,1009.42,56.8665
118,1007.82,56.754,1008.92,56.4519
119,1015.53,56.6407,1016.2,48.8784
120,572.93,51.2378,555.86,61.1186
121,-12.92,59.1574,-14.7,332.5137
122,995.27,57.6426,996.05,50.9382
123,1025.78,57.4557,1025.92,61.3197
124,1034.52,57.1642,1036.08,58.1992
125,1021.77,56.9865,1022.04,56.5439
126,932.45,52.0773,1052.96,40.4368
127,1045.3,55.8198,1045.37,63.0865
128,1032.71,54.7049,1030.73,61.0857
129,969.83,57.0506,1010.03,67.5023
130,871.46,55.4281,996.25,54.5607
131,52.06,55.1944,56.0,37.8284
132,5.84,52.195,5.93,74.5915
133,14.51,52.6895,15.33,26.7129
134,987.3,56.0932,990.8,57.6129
135,938.12,55.2581,950.16,31.9847
136,703.69,53.071,905.79,44.5932
137,802.51,52.517,773.04,53.6167
138,385.01,51.3472,385.5,41.8924
139,1010.59,57.4063,1011.32,57.6907
140,1003.34,55.769,1002.94,40.733
141,995.21,55.1168,997.96,44.6702
142,869.0,54.6219,971.97,26.8681
143,1041.57,53.6315,1043.1,37.4259
144,1012.63,54.5794,1013.4,43.9809
145,989.71,54.6195,1005.56,51.0452
146,704.12,54.0561,817.82,59.6853
147,44.95,51.2439,19.19,39.2563
148,38.71,52.6453,15.05,39.2639
149,283.06,50.074,168.07,40.0238
150,998.89,56.3601,997.89,61.9782
151,1018.39,56.5319,1019.26,56.5336
152,721.79,52.4951,1046.22,29.7412
153,1013.18,57.3388,1014.23,54.5843
154,1012.34,56.6529,1014.96,52.2652
155,1030.27,56.659,1031.1,43.7976
156,62.09,53.6922,101.23,82.0634
157,19.59,54.3002,18.04,91.2297
158,1005.41,57.8254,1007.8,55.6369
159,780.48,54.3581,812.93,56.3718
160,987.63,55.599,974.44,48.232
161,1044.92,56.8103,1044.97,57.6146
162,942.78,54.6015,1004.33,40.9716
163,1026.16,57.2331,1027.07,54.3372
164,1018.57,57.4971,1018.52,55.4234
165,583.01,53.494,247.08,39.3839
166,1015.66,57.7727,1016.17,59.8091
167,997.49,54.258,1051.15,52.8058
168,105.98,55.0291,102.42,61.1248
169,202.53,52.2277,371.8,26.4732
170,701.71,54.5425,618.58,47.647
171,878.24,55.8577,893.5,55.0299
172,1040.21,55.4623,1043.81,40.1971
173,949.02,54.7455,1000.58,68.2727
174,1023.65,56.4041,1024.12,62.1916
175,1021.92,57.2739,1021.97,64.5161
176,1000.92,57.2394,1001.15,63.7376
177,1021.33,56.5327,1021.59,60.0444
178,1028.22,57.558,1028.21,64.9307
179,1039.14,56.5773,1038.97,55.4983
180,943.71,51.9482,989.07,52.0906
181,1044.93,56.6873,1045.3,56.9267
182,1007.41,57.6791,1005.61,59.7009
183,1039.08,56.5995,1039.17,56.1645
184,989.44,55.0536,1011.38,51.0808
185,1005.98,58.3609,1006.37,62.6946
186,1029.97,57.9492,1031.67,40.9578
187,1008.27,55.3347,1011.28,38.1795
188,980.4,54.3954,991.23,26.1542
189,92.82,54.2385,65.58,58.1966
190,717.34,52.6785,496.62,39.7854
191,-11.11,58.6853,-10.84,111.8365
192,269.13,55.0268,527.72,73.6588
193,105.87,52.3452,11.76,27.219
194,-15.19,56.4941,-10.03,71.5051
195,237.28,55.5896,170.43,58.2349
196,376.84,51.1597,365.33,30.2656
197,1034.3,57.6487,1034.03,64.8211
198,1040.16,53.4767,1053.32,47.2852
199,374.68,51.9421,378.51,31.6364
200,734.38,52.0302,1040.44,29.4101
201,1035.12,54.6845,1035.23,41.7055
202,1000.05,54.009,1009.04,27.0378
203,964.95,55.8827,968.36,47.1944
204,94.31,55.3106,49.3,87.4255
205,33.89,56.0053,34.35,53.3967
206,5.74,53.866,4.65,44.3533
207,-11.48,55.0289,-11.06,35.7715
208,44.24,53.5355,-6.58,43.7264
209,35.78,51.4501,44.8,35.847
210,1029.14,56.1733,1016.01,46.8803
211,992.29,54.2736,1037.86,49.13
212,1010.56,54.7539,996.4,34.1114
213,245.82,53.8794,237.48,64.9239
214,97.78,56.0097,62.18,78.7886
215,278.7,53.3217,174.46,62.1619
216,65.49,55.4663,46.44,78.1383
217,147.09,52.926,153.65,42.3686
218,20.2,50.5233,19.09,27.9376
219,7.51,54.0854,26.8,48.5137
220,82.16,50.8428,82.22,93.8081
221,53.69,54.6227,63.01,49.8173
222,785.53,55.7129,791.36,49.0844
223,1007.99,57.7294,1008.05,66.2911
224,1017.32,57.4941,1016.81,57.0991
225,1005.02,57.8331,1005.28,61.8908
226,1013.56,57.0042,1013.48,51.5772
227,1002.46,57.5854,1002.82,64.0513
228,1001.32,57.2742,1005.4,60.9179
229,1038.06,55.6552,1040.86,57.0825
230,1011.9,56.8566,1012.18,65.512
231,1040.65,56.5738,1040.82,62.824
232,18.91,53.6494,18.31,53.9859
233,52.66,54.1293,81.78,46.8747
234,27.18,54.5411,24.6,42.2801
235,83.45,53.8743,74.39,51.8813
236,40.89,52.213,76.97,38.0042
237,99.36,52.9729,92.51,59.7815
238,42.98,52.6829,46.84,31.5211
239,867.15,54.3678,993.4,44.5823
240,1044.84,57.6371,1044.95,57.109
241,1023.02,57.4572,1023.43,54.4037
242,192.41,52.4971,231.96,36.8858
243,165.47,52.6186,226.6,42.7689
244,7.79,55.8802,7.47,33.9232
245,87.06,52.0556,94.15,34.9242
246,145.22,51.8999,126.5,42.7541
247,144.34,52.7099,189.91,37.2276
248,148.98,50.5378,149.49,31.4
249,228.46,53.0,227.82,45.3062
250,146.44,51.6787,166.04,57.0122
251,261.78,50.4134,217.7,36.9763
252,997.1,56.475,1024.51,48.6455
253,836.24,55.0582,990.71,60.0942
254,305.65,55.2126,249.16,45.7029
255,344.87,51.2405,710.46,29.9971
256,1003.67,57.328,1004.56,58.8008
257,259.74,52.5408,227.46,35.0534
258,162.98,50.3635,178.24,26.4243
259,84.44,52.5255,54.68,28.631
260,150.25,51.2514,177.98,17.2546
261,180.35,49.9498,175.72,17.0848
262,202.6,50.7889,255.47,17.2064
263,790.51,53.9879,952.23,40.8732
264,937.03,57.2657,982.4,54.9944
265,997.0,57.9179,997.95,60.8671
266,840.64,56.0579,654.22,52.5286
267,1025.73,57.9718,1020.23,49.7946
268,932.4,53.0064,1001.08,43.7041
269,996.02,59.0444,996.35,65.1133
270,647.27,54.9414,831.91,43.0688
271,1010.96,57.3168,1011.03,69.9146
272,138.1,52.2175,201.56,30.0284
273,183.26,50.2132,201.34,15.6335
274,34.34,51.5716,24.78,35.8196
275,49.47,51.1603,40.31,23.7663
276,48.17,51.738,34.32,42.3246
277,151.0,51.8006,238.65,22.1961
278,57.88,50.8272,42.8,20.4261
279,319.65,50.6803,848.09,24.3486
280,93.43,51.1244,169.58,18.707
281,183.27,50.3037,177.12,25.869
282,282.24,50.4594,999.04,19.747
283,272.59,52.7214,402.8,24.2668
284,1053.62,54.4476,1038.03,34.2648
285,1021.13,54.2496,1019.64,28.7291
286,998.74,58.1978,999.19,75.6347
287,739.96,54.4177,503.26,40.0034
288,683.67,52.1818,793.79,30.4596
289,408.16,54.5077,409.41,37.3815
290,564.18,53.8802,516.83,61.2503
291,1018.4,58.1054,1018.29,65.0652
292,1007.98,56.9472,1008.49,47.2233
293,1026.64,57.296,1026.62,58.3042
294,742.38,52.7367,701.86,39.46
295,878.18,52.9594,907.46,40.8707
296,998.96,57.4669,999.5,68.7212
297,1021.03,57.2677,1021.01,59.0223
298,1003.48,57.6863,1004.45,60.203
299,1001.46,57.0264,1002.22,59.3573
300,80.29,53.4326,80.67,46.9328
301,40.16,53.8149,29.45,46.4319
302,17.05,54.1457,47.95,49.7961
303,989.32,57.8489,993.95,40.6101
304,27.88,57.6505,20.2,105.1023
305,23.18,55.2741,22.78,109.8878
306,-4.44,55.1642,-4.44,95.4722
307,155.35,56.2235,178.19,70.9178
308,1040.59,57.9321,1041.91,46.0119
309,762.18,57.4657,387.68,40.4615
310,324.94,53.6499,324.88,47.2913
311,268.96,53.5812,284.87,55.3882
312,1018.47,59.1389,1018.63,67.6361
313,1001.47,57.6992,1001.53,63.6162
314,1003.31,58.0964,1004.05,63.3303
315,1006.11,57.5952,1006.22,72.6907
316,1027.81,57.0738,1027.45,61.799
317,1026.97,56.6051,1027.41,58.0332
318,1041.68,56.406,1051.81,49.8232
319,1019.53,56.4598,1016.17,52.7663
320,1018.1,56.4966,1019.94,44.5214
321,70.18,51.092,57.15,41.589
322,1030.16,57.5286,1030.22,59.2731
323,1029.16,58.2272,1029.23,59.8088
324,284.04,55.1887,452.24,56.6101
325,58.76,55.5682,55.12,63.1428
326,86.61,56.57,85.2,102.1733
327,119.06,56.9028,120.8,70.5268
328,188.35,56.0223,187.79,75.0256
329,-6.89,52.6233,-6.79,49.1384
330,83.93,55.2323,90.5,59.9861
331,6.38,55.0723,4.33,105.9229
332,1038.55,55.7326,1037.74,49.8909
333,1047.0,56.6382,1039.77,46.2315
334,246.24,52.6125,806.5,37.7045
335,139.74,54.0958,139.78,54.582
336,1012.0,57.5896,1012.41,57.5076
337,1015.76,55.9359,1019.75,56.3015
338,1025.34,56.6425,1026.31,57.4023
339,1002.0,56.7645,1001.63,44.9611
340,10.59,58.782,10.2,122.4285
341,11.08,57.0349,9.54,68.6658
342,-1.81,51.8803,-2.18,30.8523
343,1000.24,54.8725,998.15,40.9143
344,989.41,55.8325,984.03,50.777
345,1009.45,56.4647,1008.83,51.6748
346,801.39,53.7425,920.65,52.4802
347,655.56,54.3803,753.04,49.8209
348,821.73,54.7151,681.96,51.5547
349,1021.28,58.0882,1021.56,64.204
350,1031.25,56.259,1031.72,61.4443
351,1033.09,57.1008,1033.13,62.685
352,1014.98,57.6452,1012.99,48.6243
353,1022.36,57.1604,1020.5,48.0073
354,1013.22,57.0814,1012.13,41.863
355,1015.2,56.5495,1016.67,40.363
356,1002.96,56.056,1003.07,40.41
357,1004.14,55.4949,1000.88,36.6191
358,1032.0,57.454,1032.22,67.1212
359,119.74,56.643,162.24,80.3502
360,1035.91,57.6317,1035.88,55.1548
361,912.14,55.7136,1007.4,51.1864
362,495.85,55.7774,407.21,67.3342
363,1009.69,56.4877,1012.34,48.9593
364,1003.76,56.5936,1010.77,45.1258
365,304.26,51.7397,280.55,69.0045
