Running Reverse KL,Running Env Steps,Reward Loss,Itration,Real Sto Return,Running Forward KL,Running Update Time,Real Det Return
13.9079,590000,-283.170654296875,118,3128.2,21.7779,118,3214.25
13.5569,595000,-307.49530029296875,119,2781.18,21.2297,119,3178.35
14.2564,600000,-307.23895263671875,120,3025.6,21.5064,120,3217.61
13.1871,605000,-298.7185974121094,121,2987.79,21.6876,121,3194.72
13.2272,610000,-301.5686340332031,122,2646.47,21.2658,122,3222.46
13.5321,615000,-299.977783203125,123,2605.95,21.2266,123,3219.39
14.1504,620000,-315.9854431152344,124,3035.4,21.5171,124,3206.46
13.5904,625000,-333.2533264160156,125,2842.17,21.318,125,3233.63
13.4462,630000,-304.2568054199219,126,2862.54,21.3624,126,3186.43
14.9517,635000,-322.5673522949219,127,3050.21,21.4326,127,3174.06
13.561,640000,-326.0466613769531,128,3125.82,21.3938,128,3196.14
13.7304,645000,-323.2516174316406,129,3093.65,21.8492,129,3222.96
13.2047,650000,-332.7901306152344,130,3150.93,21.3585,130,3223.75
13.5609,655000,-332.1150817871094,131,3143.11,21.6027,131,3224.83
13.1231,660000,-325.5611877441406,132,2845.89,21.4594,132,3219.93
12.9685,665000,-325.59381103515625,133,3026.49,21.3065,133,3219.74
13.4031,670000,-323.083984375,134,3143.9,21.5176,134,3209.4
13.0886,675000,-321.00927734375,135,3093.9,21.1357,135,3209.08
13.652,680000,-337.1739501953125,136,3057.38,21.8185,136,3242.44
12.9816,685000,-363.6009216308594,137,3095.31,21.5275,137,3237.92
12.6062,690000,-348.283203125,138,2909.13,21.6759,138,3238.29
12.5151,695000,-356.3497314453125,139,3019.48,21.5596,139,3189.85
12.7644,700000,-348.6340637207031,140,3023.15,21.0194,140,3163.53
12.9294,705000,-357.8767395019531,141,2993.23,21.6,141,3208.37
13.0703,710000,-354.4352111816406,142,2998.37,21.599,142,3251.65
13.8814,715000,-341.7896728515625,143,2904.07,21.5979,143,3214.21
13.19,720000,-385.30029296875,144,3031.58,21.7758,144,3216.02
13.3995,725000,-372.14886474609375,145,3190.19,21.8434,145,3235.03
13.4391,730000,-385.30169677734375,146,3160.33,21.8922,146,3259.11
13.6125,735000,-369.0498352050781,147,3147.84,21.4572,147,3221.57
13.151,740000,-390.4433288574219,148,2824.63,21.5606,148,3248.59
12.9446,745000,-379.51495361328125,149,3067.53,21.5402,149,3219.03
13.0843,750000,-395.7523193359375,150,3016.36,21.6156,150,3214.26
13.8965,755000,-388.3470764160156,151,3000.04,22.1622,151,3216.71
13.1686,760000,-415.36138916015625,152,3133.79,21.7886,152,3250.56
14.4507,765000,-400.0848083496094,153,3225.89,21.8407,153,3223.38
13.2698,770000,-400.94512939453125,154,3151.27,21.1657,154,3228.26
13.262,775000,-417.7948913574219,155,3148.85,21.6859,155,3264.3
