Running Update Time,Real Det Return,Running Forward KL,Running Env Steps,Real Sto Return,Itration,Reward Loss,Running Reverse KL
188,6090.35,68.4728,940000,5640.69,188,-2968.356689453125,51.2553
189,5645.89,67.8636,945000,4977.76,189,-2991.99658203125,51.9621
190,6086.79,68.7429,950000,4755.64,190,-3020.7138671875,52.6228
191,6182.6,67.6346,955000,5261.24,191,-3137.738037109375,49.572
192,6125.64,65.971,960000,5424.43,192,-3043.67236328125,48.7453
193,5628.93,67.9004,965000,5588.54,193,-3191.57177734375,51.6553
194,5867.77,64.3442,970000,5455.02,194,-2952.550048828125,42.7737
195,6067.1,69.5162,975000,5274.55,195,-3356.494873046875,54.1155
196,5976.93,65.1054,980000,5464.32,196,-3161.5615234375,45.2459
197,6071.55,66.0972,985000,5399.63,197,-3345.797607421875,49.5098
198,6014.66,65.4987,990000,5560.02,198,-3326.470458984375,48.8324
199,5793.07,68.5352,995000,5281.52,199,-3536.655029296875,53.1228
200,5780.9,67.6696,1000000,5130.35,200,-3529.50341796875,52.6062
201,6163.54,69.7455,1005000,5422.53,201,-3549.25048828125,54.3965
202,6147.76,70.4718,1010000,5279.54,202,-3602.67724609375,55.5695
203,5913.7,69.8653,1015000,5702.8,203,-3695.16748046875,54.1717
204,6094.85,69.581,1020000,5235.99,204,-3824.5341796875,55.6488
205,6001.61,68.9191,1025000,5608.43,205,-3776.50537109375,52.556
206,5336.55,68.9266,1030000,4941.06,206,-3793.996826171875,53.6838
207,6212.25,66.118,1035000,5518.45,207,-3739.995849609375,49.1109
208,6255.92,70.6602,1040000,5605.88,208,-4007.83447265625,53.5621
209,5868.84,69.9146,1045000,5737.38,209,-4021.491455078125,53.4076
210,5581.68,66.3867,1050000,5398.08,210,-3952.021728515625,49.1151
211,5929.42,68.742,1055000,4840.51,211,-4070.2314453125,54.9242
212,5704.28,68.7951,1060000,5194.61,212,-4211.140625,56.195
213,5953.8,69.8603,1065000,5539.67,213,-4115.5126953125,55.1124
214,5842.58,69.4791,1070000,4748.63,214,-4235.82861328125,55.0258
215,5909.27,69.4212,1075000,4522.58,215,-4342.564453125,52.9202
216,5938.36,69.7482,1080000,5330.98,216,-4393.28076171875,56.1571
217,5840.49,68.9432,1085000,4992.16,217,-4424.3876953125,55.4673
218,6053.68,68.3525,1090000,5301.64,218,-4475.26953125,52.685
219,6083.88,65.1771,1095000,5299.11,219,-4249.04150390625,45.4908
220,5503.23,65.2232,1100000,4588.48,220,-4337.70068359375,49.2455
221,6199.6,66.056,1105000,4346.2,221,-4401.14697265625,48.4584
222,6035.35,67.995,1110000,3913.62,222,-4639.48828125,53.6879
223,5547.75,68.0745,1115000,5278.85,223,-4653.9609375,52.8786
224,5384.49,67.2924,1120000,4876.79,224,-4673.0556640625,54.2395
225,5859.02,68.118,1125000,5508.88,225,-4836.25048828125,54.9604
226,5903.35,66.0919,1130000,4979.99,226,-4750.38037109375,50.5391
227,5356.32,68.9269,1135000,5081.96,227,-4912.638671875,55.3476
228,5651.8,67.7678,1140000,4085.14,228,-4985.5791015625,51.2128
229,5555.19,67.8888,1145000,4424.68,229,-5031.56005859375,54.5052
230,5608.46,68.3552,1150000,3808.11,230,-5117.7548828125,55.3468
231,5855.6,67.3657,1155000,5032.29,231,-5084.11474609375,51.7197
232,5890.49,65.8203,1160000,5251.67,232,-5056.0458984375,50.1018
233,5907.54,69.1561,1165000,5820.52,233,-5330.84326171875,54.1655
234,6260.56,65.665,1170000,5182.58,234,-5140.671875,49.2662
235,5937.41,65.4661,1175000,4792.03,235,-5190.91845703125,48.8281
236,5955.73,69.2609,1180000,4893.6,236,-5514.49072265625,55.5886
237,5502.64,68.8516,1185000,5217.09,237,-5629.9326171875,55.2682
238,5880.84,68.5035,1190000,5035.35,238,-5605.71533203125,55.4878
239,5997.07,70.0631,1195000,5292.59,239,-5580.1494140625,55.545
240,5719.04,69.7915,1200000,4830.13,240,-5671.90087890625,54.5624
241,6135.22,68.6597,1205000,5213.01,241,-5722.671875,54.4205
242,5617.36,65.3956,1210000,5572.94,242,-5566.7353515625,50.5872
243,6288.3,66.6655,1215000,5815.91,243,-5718.98095703125,49.4284
244,5962.24,66.7508,1220000,5178.5,244,-5819.123046875,51.2633
245,6175.64,69.6829,1225000,5597.42,245,-6005.31689453125,55.2531
246,5660.02,69.6788,1230000,5452.97,246,-6045.31396484375,54.9039
247,5935.25,68.5056,1235000,5196.96,247,-6134.845703125,53.0763
248,6103.62,70.3962,1240000,5253.61,248,-6342.951171875,57.84
249,6314.01,67.9898,1245000,5253.46,249,-6334.57763671875,50.5441
250,6379.1,69.1745,1250000,5576.27,250,-6376.10888671875,53.2871
251,5858.52,71.0057,1255000,4727.56,251,-6555.8173828125,57.7892
252,5739.71,68.621,1260000,4825.14,252,-6327.26513671875,53.6654
253,5892.67,71.2824,1265000,4938.6,253,-6591.884765625,56.892
254,5802.27,66.5206,1270000,5030.08,254,-6278.0087890625,50.5606
255,6266.57,69.3107,1275000,5174.17,255,-6717.130859375,54.9525
256,6300.96,67.8616,1280000,4481.53,256,-6478.93896484375,52.6029
257,6334.68,65.6925,1285000,5679.59,257,-6456.35498046875,49.8805
258,6174.84,70.6576,1290000,5648.42,258,-7011.54345703125,54.8374
259,6197.74,69.8042,1295000,5523.06,259,-6995.87255859375,53.7878
260,6025.6,66.2806,1300000,5028.66,260,-6661.669921875,51.4515
261,6111.86,66.3578,1305000,5550.84,261,-6837.23828125,51.7458
262,6091.85,70.0132,1310000,5420.99,262,-7130.84716796875,55.2272
263,6349.94,71.468,1315000,5488.52,263,-7189.7470703125,55.9266
264,5997.73,70.5501,1320000,5637.58,264,-7163.27587890625,55.0476
265,6320.06,70.3854,1325000,5732.1,265,-7166.900390625,53.688
266,6305.53,64.8647,1330000,5947.64,266,-6488.1953125,43.9764
267,6286.26,71.5259,1335000,5333.14,267,-7527.45556640625,57.3621
268,6220.57,69.3754,1340000,5372.27,268,-7367.74462890625,54.0818
269,6217.57,70.7831,1345000,5845.91,269,-7480.86083984375,55.6332
270,6180.03,70.8406,1350000,5662.68,270,-7592.8203125,54.358
271,6326.49,67.7416,1355000,5709.34,271,-7375.736328125,51.7376
272,6350.03,69.8774,1360000,5541.49,272,-7689.2744140625,54.6879
273,6342.77,69.3838,1365000,5626.61,273,-7881.03369140625,55.7338
274,5980.89,71.9383,1370000,5515.95,274,-8060.32275390625,58.7672
275,6294.32,70.1145,1375000,5694.46,275,-7854.0732421875,56.3418
276,6354.85,65.2337,1380000,5406.77,276,-7612.5166015625,48.4327
277,6358.14,69.8514,1385000,4936.52,277,-8063.52783203125,54.936
278,5935.87,70.2622,1390000,5273.98,278,-8046.53173828125,57.1476
279,6030.38,70.1185,1395000,5396.56,279,-8235.1337890625,55.5508
280,6325.79,70.1576,1400000,5896.42,280,-8118.8193359375,55.4925
281,6375.05,69.248,1405000,5599.63,281,-8205.57421875,54.1296
282,6376.24,70.2812,1410000,5860.48,282,-8338.4296875,56.7255
283,6362.36,70.286,1415000,5854.37,283,-8425.9443359375,53.8332
284,6373.09,70.5518,1420000,5710.2,284,-8562.7265625,57.0179
285,6322.98,67.9824,1425000,5757.82,285,-8167.0302734375,52.8681
286,6024.39,70.9362,1430000,5899.45,286,-8614.82421875,54.7838
287,6300.55,71.4005,1435000,5439.8,287,-8690.4755859375,57.1239
288,6329.3,69.7963,1440000,5910.7,288,-8594.158203125,55.2967
289,6369.71,70.0703,1445000,5677.65,289,-8717.3056640625,55.8911
290,6326.12,70.6992,1450000,5393.76,290,-8788.1103515625,56.8045
291,6278.53,69.9437,1455000,5578.64,291,-8601.72265625,54.9729
292,6326.36,69.074,1460000,5320.66,292,-8874.736328125,54.1201
293,6428.43,68.0797,1465000,5717.01,293,-8853.9892578125,52.6338
294,6148.86,71.167,1470000,5373.81,294,-9039.85546875,56.6478
295,6328.5,70.0193,1475000,5788.87,295,-9029.3388671875,54.4013
296,6400.83,69.9589,1480000,5938.52,296,-9094.794921875,54.2507
297,6307.83,71.3819,1485000,5385.48,297,-9257.5439453125,56.4265
298,6038.59,71.4883,1490000,5804.95,298,-9477.5595703125,58.0367
299,6371.9,70.3317,1495000,5851.08,299,-9169.7578125,54.4381
300,6066.04,70.8304,1500000,5811.57,300,-9530.70703125,57.2367
301,5597.01,68.1628,1505000,5535.29,301,-9162.060546875,53.3829
302,5818.01,66.9359,1510000,5772.48,302,-9034.6416015625,52.8779
303,6266.36,68.1803,1515000,5739.33,303,-9323.181640625,55.5399
304,6405.23,69.6465,1520000,5692.12,304,-9566.97265625,55.4713
305,5862.56,67.5088,1525000,5223.56,305,-9190.5888671875,51.8967
306,6349.34,71.2111,1530000,5802.78,306,-9922.056640625,58.2361
307,5690.86,71.3884,1535000,5717.81,307,-9720.97265625,57.5621
308,6139.66,71.734,1540000,5838.22,308,-10101.3720703125,57.5852
309,6358.47,71.4874,1545000,5625.85,309,-9801.189453125,57.5446
310,6039.69,69.2682,1550000,5432.29,310,-9731.6650390625,55.4136
311,6293.97,71.3666,1555000,5825.33,311,-10273.5419921875,58.6019
312,6371.9,71.6103,1560000,5755.34,312,-10236.6513671875,57.7059
313,6094.44,71.1483,1565000,5135.39,313,-10151.1337890625,56.616
314,6336.15,70.5108,1570000,5721.41,314,-10251.31640625,56.6651
