Running Forward KL,Running Env Steps,Running Update Time,Running Reverse KL,Real Det Return,Itration,Reward Loss,Real Sto Return
24.1343,155000,31,34.6353,1559.34,31,-236.78189086914062,1284.36
23.8351,160000,32,24.4417,1959.42,32,-246.42282104492188,1093.83
22.6761,165000,33,49.5072,1818.24,33,-291.90789794921875,1108.23
23.0304,170000,34,25.198,2473.13,34,-219.3958282470703,1792.2
22.6649,175000,35,23.7362,2346.21,35,-229.72064208984375,1648.63
22.58,180000,36,30.3364,2164.36,36,-283.0593566894531,1802.78
24.4787,185000,37,39.0288,1088.59,37,-300.87652587890625,1018.55
22.451,190000,38,23.7856,1844.31,38,-238.36648559570312,1719.36
23.7035,195000,39,32.4196,1607.04,39,-302.9569396972656,1485.38
22.9393,200000,40,16.7359,1608.89,40,-262.5290222167969,1919.06
22.4833,205000,41,20.561,2682.28,41,-250.8283233642578,1863.88
22.019,210000,42,12.686,2652.2,42,-193.39437866210938,1801.83
21.9362,215000,43,17.8964,1962.99,43,-196.38180541992188,1951.29
22.0337,220000,44,16.5961,2643.08,44,-191.997802734375,1858.07
21.9281,225000,45,17.9213,2088.68,45,-240.59059143066406,1872.19
20.8315,230000,46,14.1154,2313.9,46,-153.2191619873047,2212.2
21.8959,235000,47,26.796,2167.98,47,-261.06854248046875,1778.42
21.2861,240000,48,19.4002,2781.24,48,-198.58551025390625,2206.92
20.6643,245000,49,23.6735,2666.82,49,-274.29766845703125,2069.2
20.5302,250000,50,14.2313,2758.97,50,-188.22222900390625,2182.14
21.3546,255000,51,17.4117,2010.78,51,-240.71099853515625,1873.22
21.2297,260000,52,15.4953,1812.49,52,-201.76368713378906,2140.29
20.989,265000,53,15.8027,1773.8,53,-229.24851989746094,2398.35
22.0973,270000,54,14.2963,1774.16,54,-287.8436584472656,2093.13
19.3958,275000,55,12.1553,1890.73,55,-198.5593719482422,1975.04
19.7799,280000,56,10.9809,3155.89,56,-102.14459991455078,2393.23
19.2506,285000,57,11.0072,3190.76,57,-161.83506774902344,2530.66
19.7271,290000,58,12.0059,3130.27,58,-88.6971664428711,3034.39
19.6116,295000,59,11.6673,3132.22,59,-83.51978302001953,3127.06
19.6849,300000,60,11.988,3179.3,60,-92.76899719238281,3082.07
18.656,305000,61,10.9513,3207.62,61,-81.8731460571289,3186.62
18.2614,310000,62,12.7379,3281.19,62,-55.63545227050781,3279.26
19.7045,315000,63,13.5065,3235.53,63,-92.2632827758789,3253.19
19.1363,320000,64,12.007,3213.95,64,-76.73513793945312,3203.79
19.8427,325000,65,12.0127,3191.68,65,-73.48764038085938,3198.22
19.7901,330000,66,12.7095,3132.67,66,-77.55899047851562,3207.99
19.0196,335000,67,13.804,3268.42,67,-60.54145050048828,3297.41
19.8177,340000,68,13.9133,3260.71,68,-65.90855407714844,3273.06
19.2438,345000,69,13.1967,3217.85,69,-62.711177825927734,3251.65
19.2148,350000,70,13.21,3293.92,70,-64.59236145019531,3293.66
19.3629,355000,71,13.1253,3276.64,71,-57.4946403503418,3279.48
19.6342,360000,72,13.7995,3284.2,72,-54.796756744384766,3306.78
19.4663,365000,73,13.5385,3324.91,73,-58.15821838378906,3330.38
18.9386,370000,74,12.8783,3197.8,74,-70.34158325195312,3248.28
19.2075,375000,75,13.8068,3323.88,75,-51.07456588745117,3347.96
19.2583,380000,76,14.0297,3371.81,76,-45.968353271484375,3367.32
18.2612,385000,77,12.8416,3328.27,77,-52.863956451416016,3335.8
19.1318,390000,78,13.1611,3323.75,78,-51.02610778808594,3336.59
18.6821,395000,79,12.8391,3280.24,79,-58.625160217285156,3307.2
19.2544,400000,80,13.7695,3402.5,80,-37.515281677246094,3396.28
18.143,405000,81,12.7416,3400.04,81,-40.54719161987305,3399.79
18.467,410000,82,12.783,3418.19,82,-41.571258544921875,3391.61
18.9751,415000,83,13.3364,3309.27,83,-66.4901123046875,3341.36
18.9177,420000,84,14.208,3423.56,84,-40.09759521484375,3423.74
18.5964,425000,85,13.2144,3390.54,85,-50.65268325805664,3376.54
18.0218,430000,86,11.7992,3353.14,86,-95.41952514648438,2815.32
19.164,435000,87,13.1165,3390.89,87,-54.30269241333008,3278.19
19.4409,440000,88,13.2115,3369.33,88,-52.905799865722656,3370.44
19.295,445000,89,13.7604,3387.94,89,-54.445682525634766,3400.32
19.1457,450000,90,13.5303,3442.62,90,-41.15045166015625,3431.04
18.3772,455000,91,12.8758,3456.62,91,-44.148563385009766,3399.2
18.4255,460000,92,12.8822,3444.99,92,-48.62356185913086,3410.77
18.9643,465000,93,13.6402,3470.28,93,-42.9788818359375,3425.83
18.9677,470000,94,13.524,3462.16,94,-44.80117416381836,3436.47
18.9399,475000,95,13.2757,3496.62,95,-44.15696716308594,3452.99
18.9847,480000,96,14.1016,3458.22,96,-98.06883239746094,3306.54
19.1534,485000,97,13.5147,3456.01,97,-59.413848876953125,3304.71
19.3221,490000,98,13.0552,3470.9,98,-96.24832916259766,2933.11
18.7372,495000,99,12.9382,3472.44,99,-49.37553405761719,3322.02
17.338,500000,100,11.8627,3461.05,100,-47.197105407714844,3303.11
19.4069,505000,101,13.7827,3467.16,101,-58.38703918457031,3319.9
18.6125,510000,102,12.9121,3462.82,102,-65.5864486694336,3405.55
18.8032,515000,103,14.2586,3480.46,103,-173.68600463867188,2613.71
18.8307,520000,104,14.1362,3477.17,104,-107.6099853515625,3288.04
18.3319,525000,105,23.0593,3473.43,105,-114.0020523071289,3441.01
18.8339,530000,106,12.8131,3483.44,106,-93.51235961914062,3333.01
18.765,535000,107,12.4371,3490.84,107,-170.3766632080078,3109.82
18.1457,540000,108,12.5638,3485.17,108,-59.381961822509766,3443.54
18.2741,545000,109,11.8178,3461.18,109,-105.86315155029297,2981.03
17.5747,550000,110,11.4091,3464.08,110,-63.22365951538086,3306.57
17.3919,555000,111,11.9012,3457.9,111,-66.59495544433594,3314.56
18.8357,560000,112,13.1359,3472.71,112,-65.90211486816406,3437.44
17.6498,565000,113,12.002,3461.34,113,-63.902915954589844,3432.59
16.8147,570000,114,11.1014,3446.21,114,-81.03978729248047,3300.18
17.6186,575000,115,12.5194,3472.69,115,-67.09331512451172,3439.68
16.6692,580000,116,11.1126,3434.13,116,-75.43623352050781,3389.44
17.1563,585000,117,12.0016,3468.98,117,-72.17645263671875,3420.49
17.5992,590000,118,12.1679,3445.99,118,-74.36478424072266,3403.71
17.1367,595000,119,11.809,3428.87,119,-75.10745239257812,3386.33
17.0758,600000,120,12.3488,3485.68,120,-63.13764953613281,3454.69
17.97,605000,121,11.9268,3448.55,121,-83.1415023803711,3380.9
17.948,610000,122,12.8252,3462.65,122,-75.17039489746094,3434.05
17.5466,615000,123,12.5668,3483.53,123,-63.17531967163086,3458.71
18.1589,620000,124,12.9302,3491.91,124,-70.54674530029297,3462.96
17.7698,625000,125,12.6019,3487.31,125,-68.18777465820312,3461.47
16.8902,630000,126,11.0943,3466.44,126,-109.12114715576172,3307.9
17.6091,635000,127,12.4179,3453.04,127,-75.9084243774414,3405.57
18.786,640000,128,11.4537,3447.58,128,-129.83441162109375,3049.88
18.1693,645000,129,11.6129,3459.61,129,-68.6466064453125,3330.1
17.8562,650000,130,11.5907,3474.71,130,-75.3342514038086,3426.97
17.8579,655000,131,12.3338,3474.93,131,-78.8100357055664,3436.36
17.7393,660000,132,11.3377,3470.89,132,-84.89918518066406,3300.11
17.7333,665000,133,12.2678,3461.41,133,-86.40557861328125,3424.75
18.7578,670000,134,13.7631,3460.97,134,-143.64974975585938,3126.9
17.3803,675000,135,12.0237,3484.96,135,-81.65740966796875,3447.64
17.6928,680000,136,11.64,3472.57,136,-78.65524291992188,3422.01
17.2072,685000,137,11.6154,3474.29,137,-78.9796142578125,3326.19
18.0603,690000,138,12.6326,3493.38,138,-85.20001220703125,3453.82
17.4056,695000,139,11.9495,3458.85,139,-83.31352233886719,3420.83
17.2586,700000,140,11.9938,3463.92,140,-98.16915130615234,3419.89
17.5248,705000,141,11.8121,3458.29,141,-87.6617431640625,3415.39
16.6648,710000,142,11.5161,3465.24,142,-95.11488342285156,3429.12
17.5592,715000,143,10.9813,3465.16,143,-116.51903533935547,3228.37
17.4883,720000,144,11.9872,3447.6,144,-98.80095672607422,3405.19
17.172,725000,145,11.1716,3456.65,145,-93.6611328125,3432.23
17.4937,730000,146,11.7237,3475.28,146,-84.29938507080078,3443.03
17.7597,735000,147,12.0371,3478.19,147,-97.90682983398438,3441.31
16.5113,740000,148,11.077,3458.6,148,-96.54301452636719,3415.03
16.6242,745000,149,10.7136,3475.76,149,-86.38793182373047,3441.53
16.3527,750000,150,10.4758,3460.5,150,-96.36444091796875,3418.74
18.3736,755000,151,11.8555,3494.67,151,-93.43576049804688,3464.56
17.3276,760000,152,11.5064,3454.27,152,-98.22148132324219,3419.41
17.2578,765000,153,11.2518,3475.91,153,-105.25244140625,3434.0
16.9914,770000,154,11.6058,3469.64,154,-104.36248779296875,3444.92
17.4242,775000,155,11.5442,3476.95,155,-83.2121353149414,3446.44
17.9958,780000,156,12.2136,3495.47,156,-100.76766967773438,3464.71
17.4417,785000,157,11.4551,3488.01,157,-92.39131164550781,3454.39
17.332,790000,158,12.1017,3466.29,158,-115.00012969970703,3427.27
17.321,795000,159,11.6003,3471.97,159,-97.381591796875,3441.37
17.8461,800000,160,11.2656,3491.65,160,-97.30517578125,3461.76
17.4738,805000,161,10.9047,3468.33,161,-93.3847427368164,3427.57
17.6989,810000,162,12.106,3457.91,162,-113.5382080078125,3437.27
18.2201,815000,163,11.9742,3479.73,163,-103.15167999267578,3452.25
18.0286,820000,164,11.7353,3450.87,164,-111.43582916259766,3414.32
17.2453,825000,165,11.1648,3493.62,165,-106.68045043945312,3460.13
18.0545,830000,166,11.5751,3484.17,166,-113.19976806640625,3429.13
17.6343,835000,167,11.7115,3490.98,167,-120.90623474121094,3450.64
16.9113,840000,168,11.4042,3474.74,168,-114.26025390625,3441.95
18.568,845000,169,11.235,3500.85,169,-137.5741424560547,3429.95
17.0598,850000,170,11.1028,3481.87,170,-112.88017272949219,3442.29
17.5301,855000,171,11.6124,3495.69,171,-117.89417266845703,3471.56
17.437,860000,172,11.5414,3472.99,172,-125.81360626220703,3442.03
17.3209,865000,173,11.4052,3497.1,173,-122.99382781982422,3460.11
17.4223,870000,174,11.656,3484.42,174,-118.68059539794922,3451.43
17.15,875000,175,11.7303,3486.42,175,-138.73326110839844,3460.34
17.6308,880000,176,11.5428,3500.8,176,-122.1811752319336,3473.28
17.2487,885000,177,11.5545,3492.4,177,-127.27684020996094,3460.21
17.5867,890000,178,11.2812,3483.17,178,-139.25958251953125,3447.42
17.0897,895000,179,10.732,3481.95,179,-121.97816467285156,3453.43
17.4164,900000,180,10.9416,3471.8,180,-125.22786712646484,3430.1
17.6024,905000,181,11.2037,3478.33,181,-140.3520050048828,3447.33
17.8661,910000,182,12.1161,3486.53,182,-141.39085388183594,3462.93
17.4216,915000,183,11.3113,3505.64,183,-129.91439819335938,3483.03
16.9852,920000,184,11.083,3500.23,184,-124.20952606201172,3389.18
17.4587,925000,185,12.3001,3481.72,185,-173.20022583007812,3464.19
17.0661,930000,186,11.2844,3467.84,186,-134.9459228515625,3438.53
17.0986,935000,187,11.3779,3489.33,187,-150.32696533203125,3465.09
17.8978,940000,188,11.6034,3485.04,188,-140.56312561035156,3460.5
17.7694,945000,189,11.6655,3448.86,189,-146.93075561523438,3420.72
17.9941,950000,190,10.9055,3492.64,190,-207.7425994873047,2950.37
16.0721,955000,191,10.394,3481.32,191,-123.83878326416016,3458.4
18.0914,960000,192,12.105,3496.48,192,-159.99549865722656,3483.57
16.7195,965000,193,10.6497,3492.15,193,-140.8356475830078,3464.74
17.4287,970000,194,11.1049,3491.28,194,-186.02720642089844,3353.84
17.6468,975000,195,11.4639,3495.34,195,-155.3767852783203,3463.12
17.5954,980000,196,11.5246,3500.94,196,-166.29437255859375,3481.2
18.4199,985000,197,13.1264,3467.14,197,-192.12750244140625,3355.87
17.9851,990000,198,10.9857,3495.82,198,-161.93670654296875,3458.66
16.8654,995000,199,11.1982,3485.5,199,-156.84146118164062,3466.93
