Itration,Running Forward KL,Reward Loss,Real Det Return,Real Sto Return,Running Env Steps,Running Update Time,Running Reverse KL
68,21.2186,-391.55889892578125,3393.22,3262.47,340000,68,12.9201
69,19.9032,-385.7672119140625,3376.51,3347.16,345000,69,12.029
70,21.6753,-1089.8804931640625,3447.14,2541.9,350000,70,15.0244
71,20.1467,-323.02178955078125,3432.69,3392.58,355000,71,12.1891
72,19.9253,-253.6260986328125,3442.56,3279.19,360000,72,12.0359
73,20.3443,-519.8692016601562,3437.16,3316.9,365000,73,12.8305
74,20.1371,-375.40130615234375,3431.74,3392.02,370000,74,12.6914
75,20.6176,-443.8675231933594,3408.22,3363.29,375000,75,12.3372
76,20.9568,-337.2716979980469,3435.68,3230.53,380000,76,13.4739
77,20.4247,-374.17596435546875,3424.16,3372.44,385000,77,13.0975
78,19.8371,-335.9001770019531,3442.45,3390.08,390000,78,12.393
79,19.9408,-542.3482666015625,3403.71,3313.53,395000,79,11.5563
80,19.8894,-358.9364929199219,3442.01,2520.25,400000,80,12.1657
81,21.1691,-489.5447998046875,3411.85,3380.74,405000,81,12.5884
82,20.4279,-498.38201904296875,3448.74,2777.43,410000,82,12.0942
83,19.0864,-295.5820007324219,3457.37,3355.49,415000,83,12.304
84,20.5686,-459.7596740722656,3440.87,3401.93,420000,84,13.1226
85,18.8373,-431.9342041015625,3418.46,3396.43,425000,85,12.1449
86,19.9984,-432.8708801269531,3428.33,3153.96,430000,86,12.5573
87,20.2786,-432.01519775390625,3466.16,3429.12,435000,87,12.3143
88,19.3504,-446.6922912597656,3404.08,3361.68,440000,88,11.388
89,19.8791,-1575.929443359375,3275.63,2299.13,445000,89,15.0714
90,20.245,-445.3270568847656,3446.45,3242.13,450000,90,12.6117
91,19.0585,-547.2491455078125,3423.08,2940.28,455000,91,11.2497
92,19.0552,-443.4010314941406,3416.92,3389.0,460000,92,11.4051
93,20.4038,-481.20623779296875,3434.46,3399.97,465000,93,12.915
94,19.7634,-503.83624267578125,3432.88,3389.95,470000,94,11.7286
95,20.0783,-495.22149658203125,3442.18,3405.06,475000,95,13.0495
96,18.8035,-473.02069091796875,3436.12,3402.97,480000,96,11.234
97,19.6617,-548.4990234375,3420.61,3388.42,485000,97,12.7314
98,19.148,-505.1409912109375,3429.9,3272.34,490000,98,12.4443
99,20.1581,-442.9436340332031,3462.56,3222.95,495000,99,12.4104
100,35.8793,-4441.90966796875,-1.66,-1.62,500000,100,24.7354
101,20.168,-1298.309814453125,3444.72,2609.27,505000,101,14.2611
102,21.657,-551.4237670898438,3433.38,3398.91,510000,102,14.0233
103,19.8648,-736.70849609375,3408.28,3373.98,515000,103,12.2625
104,19.031,-522.4829711914062,3408.73,3381.53,520000,104,12.5456
105,20.0664,-500.496337890625,3459.8,3433.19,525000,105,12.8538
106,20.4646,-611.0762939453125,3421.03,3402.02,530000,106,14.193
107,20.0482,-637.1939086914062,3469.65,3022.52,535000,107,13.4128
108,19.4576,-742.9373779296875,3477.99,2907.66,540000,108,11.9942
109,20.5339,-617.035888671875,3458.38,3344.49,545000,109,12.6448
110,18.6434,-581.9767456054688,3467.97,3200.05,550000,110,10.9778
111,19.2618,-683.42333984375,3442.87,3282.92,555000,111,11.135
112,20.1735,-734.3300170898438,3455.5,3409.45,560000,112,11.9919
113,19.3673,-1266.1885986328125,3472.31,2684.21,565000,113,15.2929
114,20.1313,-552.0946044921875,3458.68,3284.07,570000,114,12.892
115,19.5621,-726.8515014648438,3443.24,3135.63,575000,115,11.9007
116,19.3023,-523.5443115234375,3445.1,3413.84,580000,116,11.4212
117,19.4204,-541.9982299804688,3467.7,3346.71,585000,117,12.1857
118,19.3742,-496.4285583496094,3475.79,3189.79,590000,118,11.8969
119,18.4477,-721.0309448242188,3448.18,3117.35,595000,119,11.4601
120,20.8013,-1564.83154296875,3468.32,2815.57,600000,120,15.7586
121,18.6822,-513.18408203125,3461.72,3310.04,605000,121,11.4152
122,19.8152,-1607.0877685546875,3310.42,2395.16,610000,122,14.6043
123,18.1099,-635.5868530273438,3442.05,3402.45,615000,123,10.9734
124,18.7886,-936.2382202148438,3473.25,2977.03,620000,124,12.724
125,19.1089,-1001.3948974609375,3466.45,3213.91,625000,125,12.5958
126,19.1484,-754.49462890625,3474.15,3289.41,630000,126,11.9534
127,19.1555,-593.2543334960938,3459.76,2720.22,635000,127,12.0219
128,20.2492,-1292.2044677734375,3429.32,2838.45,640000,128,14.9173
129,20.2809,-1924.033447265625,3476.28,2316.72,645000,129,17.1166
130,19.2693,-1307.5115966796875,3452.98,2598.32,650000,130,12.8156
131,17.7207,-932.8605346679688,3431.58,3288.97,655000,131,11.6414
132,19.366,-1065.64404296875,3430.64,3302.25,660000,132,14.1913
133,19.2881,-836.3348999023438,2836.85,2589.39,665000,133,12.4836
134,19.6087,-1282.2415771484375,3455.34,2558.75,670000,134,13.4099
135,17.3005,-426.2143859863281,3466.4,3331.12,675000,135,9.9985
136,18.7978,-885.4315185546875,3417.95,3024.87,680000,136,11.6426
137,18.7911,-942.61962890625,3463.47,3435.76,685000,137,11.2882
138,19.3233,-865.6294555664062,3436.87,3311.57,690000,138,11.7955
139,19.3852,-712.1435546875,3436.39,3302.28,695000,139,12.1027
140,18.782,-663.1912231445312,3462.95,3253.77,700000,140,11.4222
141,19.5546,-1873.4449462890625,3438.04,2307.91,705000,141,13.1723
142,18.862,-1023.2197875976562,3425.41,3257.76,710000,142,11.9534
143,19.0538,-1135.843994140625,3434.07,3082.69,715000,143,14.4811
144,18.7851,-948.0272216796875,3455.94,3299.88,720000,144,11.7937
145,19.5077,-1036.5733642578125,3447.95,3149.65,725000,145,12.4609
146,17.6378,-724.0811157226562,3380.14,3262.59,730000,146,10.6761
147,18.9643,-1227.8624267578125,3466.31,2566.6,735000,147,13.2571
148,19.0822,-1014.978515625,3477.52,3326.11,740000,148,12.3335
149,17.5494,-649.9002075195312,3458.06,3429.28,745000,149,10.3454
150,18.7827,-1004.0474243164062,3438.0,3228.44,750000,150,11.386
151,18.2544,-677.66943359375,3448.8,3316.85,755000,151,11.4464
152,19.165,-1482.3502197265625,3439.88,2721.27,760000,152,12.5686
153,17.9865,-847.141357421875,3401.91,3384.02,765000,153,10.8429
154,19.1381,-1063.608154296875,3404.39,3376.2,770000,154,11.9683
155,17.8708,-640.1484985351562,3457.79,3161.74,775000,155,10.9487
156,18.6777,-949.1851196289062,3448.34,3146.85,780000,156,12.9608
157,18.9617,-868.2112426757812,3440.9,3238.24,785000,157,11.5586
158,17.2878,-938.467041015625,3431.99,3333.32,790000,158,10.0462
159,18.3444,-867.746826171875,3390.62,2801.64,795000,159,10.5887
160,17.9687,-976.2879028320312,3406.28,3284.86,800000,160,10.2524
161,19.7407,-1570.468994140625,3454.99,3215.27,805000,161,12.0677
162,19.86,-1447.7198486328125,3470.91,2413.18,810000,162,17.2957
163,18.532,-1226.1412353515625,3422.31,3118.12,815000,163,10.8108
164,18.9529,-1299.1802978515625,3476.36,2803.94,820000,164,10.5724
165,18.6927,-987.3568725585938,3416.22,3211.86,825000,165,10.2191
166,19.4144,-1290.1666259765625,3438.36,2963.9,830000,166,10.6528
167,18.376,-1317.6929931640625,3448.69,2160.14,835000,167,11.0214
168,19.1417,-1106.642578125,3433.76,3223.21,840000,168,10.7238
169,18.3638,-1008.2718505859375,3458.44,3367.33,845000,169,10.9174
170,21.4717,-3071.705078125,3353.8,1654.95,850000,170,15.3811
171,18.3038,-1146.9075927734375,3458.94,2944.81,855000,171,10.8904
172,18.4653,-1110.9202880859375,3434.05,3406.13,860000,172,10.3838
173,18.923,-1008.6287231445312,3438.06,3211.27,865000,173,10.7146
174,17.297,-689.590087890625,3432.71,3390.77,870000,174,10.5579
175,17.9616,-938.8988037109375,3462.22,3081.24,875000,175,10.3961
176,19.7392,-1873.696533203125,3382.52,2482.61,880000,176,11.7018
177,18.3371,-1293.0157470703125,3435.05,3028.26,885000,177,10.4399
178,18.3082,-1122.321533203125,3450.47,3362.92,890000,178,10.9317
179,16.2016,-634.6798706054688,3446.4,3417.16,895000,179,9.9869
180,18.309,-1253.1854248046875,3432.72,2923.31,900000,180,10.5559
181,16.9925,-892.634765625,3417.38,3257.3,905000,181,11.4528
182,18.0427,-1074.8406982421875,3452.18,3248.25,910000,182,10.4301
183,18.8546,-1122.9183349609375,3448.9,3015.3,915000,183,13.4968
184,18.5135,-1136.495361328125,3443.0,3357.79,920000,184,10.854
185,18.0088,-926.5892333984375,3448.24,3354.78,925000,185,10.9389
186,18.0167,-915.4988403320312,3437.75,2995.99,930000,186,11.4931
187,17.8639,-1042.4677734375,3410.95,3131.92,935000,187,10.5898
188,18.3737,-1107.479248046875,3441.26,3152.87,940000,188,10.9754
189,17.9181,-1173.385498046875,3417.53,3345.01,945000,189,10.4931
190,18.0494,-1310.64794921875,3456.51,3423.96,950000,190,11.8309
191,18.7562,-1267.6767578125,3461.66,3155.09,955000,191,11.0693
192,17.3613,-900.2310180664062,3431.96,3160.57,960000,192,10.206
193,17.3574,-928.8316040039062,3414.41,3292.57,965000,193,10.5029
194,18.2677,-1280.0450439453125,3437.7,3414.56,970000,194,11.8391
195,17.8432,-1178.2198486328125,3418.74,3397.86,975000,195,11.1818
196,17.8434,-1071.3509521484375,3425.07,3299.34,980000,196,10.8065
197,19.3248,-1270.7498779296875,3441.53,3294.88,985000,197,11.0004
198,17.8361,-1476.5084228515625,3475.74,3176.73,990000,198,10.675
199,17.0294,-882.6942749023438,3440.68,3146.96,995000,199,10.1079
