Running Forward KL,Reward Loss,Running Reverse KL,Itration,Running Env Steps,Running Update Time,Real Det Return,Real Sto Return
22.6264,-376.52191162109375,12.836,36,180000,36,3375.27,3263.01
22.3873,-539.7156982421875,13.9109,37,185000,37,3414.42,3001.61
22.232,-447.8246765136719,12.9774,38,190000,38,3399.46,3356.02
22.873,-545.4051513671875,14.302,39,195000,39,3408.35,2637.19
21.9871,-386.7648620605469,12.2552,40,200000,40,3326.38,2982.04
22.7107,-395.6771240234375,13.182,41,205000,41,3409.85,3343.72
23.5457,-450.9190368652344,14.2974,42,210000,42,3480.04,3438.79
22.0951,-503.6241149902344,13.7483,43,215000,43,3476.86,3149.65
22.3915,-765.9318237304688,17.8769,44,220000,44,3463.38,2813.14
23.0618,-855.3655395507812,19.7682,45,225000,45,3451.75,2204.08
22.2167,-502.79736328125,13.4494,46,230000,46,3472.24,3178.4
23.9406,-400.4488220214844,14.7652,47,235000,47,3467.45,3243.29
21.5677,-422.504638671875,12.6291,48,240000,48,3507.66,3443.65
22.3923,-434.5945129394531,13.055,49,245000,49,3505.74,3426.34
22.0434,-440.2605285644531,12.8537,50,250000,50,3486.09,3290.01
21.6455,-599.5552368164062,13.0438,51,255000,51,3325.57,2614.05
21.2544,-370.8663635253906,12.6854,52,260000,52,3474.1,3218.51
20.881,-483.6847229003906,12.549,53,265000,53,3460.06,2933.05
21.9024,-545.8477783203125,12.6813,54,270000,54,3439.85,3377.35
22.0952,-515.5911254882812,12.8913,55,275000,55,3443.04,3314.44
22.1058,-468.4879455566406,12.9998,56,280000,56,3516.82,3365.92
22.6947,-505.57354736328125,12.7991,57,285000,57,3475.77,3411.3
23.4499,-721.150146484375,15.974,58,290000,58,3492.61,2685.51
22.1499,-552.0724487304688,12.6506,59,295000,59,3457.2,3279.68
22.4931,-489.0970764160156,13.1686,60,300000,60,3485.81,3421.32
21.5375,-411.5194091796875,12.4635,61,305000,61,3475.96,3424.29
22.4925,-502.8177490234375,13.0186,62,310000,62,3520.74,3462.11
22.1828,-481.9530029296875,13.5849,63,315000,63,3459.21,3390.58
22.0956,-426.00244140625,13.2201,64,320000,64,3429.56,3374.63
21.6701,-509.2281188964844,13.4868,65,325000,65,3496.26,3426.95
21.8138,-451.8329772949219,14.1086,66,330000,66,3482.51,3412.54
22.0613,-642.921875,12.9367,67,335000,67,3486.12,3437.0
22.9188,-594.146728515625,13.7406,68,340000,68,3518.05,3444.42
20.4975,-378.43218994140625,13.8492,69,345000,69,3491.69,3455.3
20.264,-524.9949951171875,12.3506,70,350000,70,3468.75,3399.14
22.1132,-484.9159240722656,13.5709,71,355000,71,3458.03,3415.8
20.885,-564.362548828125,13.1364,72,360000,72,3464.06,3426.51
20.4566,-482.62445068359375,12.6028,73,365000,73,3472.82,3419.45
20.3982,-656.0817260742188,11.5995,74,370000,74,3476.33,3422.67
23.3845,-572.948974609375,14.2779,75,375000,75,3549.54,3358.41
20.8902,-538.2575073242188,12.2654,76,380000,76,3503.35,3448.54
20.4615,-598.2537841796875,11.6017,77,385000,77,3536.22,3416.11
21.5979,-702.8050537109375,12.616,78,390000,78,3489.3,3417.09
20.321,-699.5228881835938,11.0334,79,395000,79,3485.83,3402.51
20.3832,-613.7698974609375,12.2225,80,400000,80,3467.52,3418.12
19.8237,-672.7675170898438,11.811,81,405000,81,3497.71,3325.01
18.982,-549.0420532226562,11.786,82,410000,82,3480.11,3439.67
20.3481,-568.0675659179688,11.9151,83,415000,83,3504.31,3454.98
20.8239,-512.5018920898438,12.9996,84,420000,84,3489.18,3451.98
21.1861,-733.6226196289062,12.5425,85,425000,85,3466.29,3418.74
20.0416,-625.5953979492188,11.4272,86,430000,86,3491.37,3451.71
19.5429,-574.8386840820312,11.8121,87,435000,87,3481.85,3435.93
20.1845,-774.150390625,11.0046,88,440000,88,3475.2,3413.57
19.8569,-593.9400024414062,12.3504,89,445000,89,3468.22,3348.12
19.279,-547.6339721679688,12.246,90,450000,90,3481.27,3441.73
20.1216,-673.6100463867188,11.3035,91,455000,91,3497.58,3448.89
20.6746,-708.799560546875,13.1383,92,460000,92,3458.79,3415.62
20.4063,-576.7373657226562,12.3331,93,465000,93,3511.33,3461.42
19.2873,-623.2103271484375,11.3679,94,470000,94,3513.47,3478.81
19.1333,-550.7061767578125,11.9211,95,475000,95,3497.15,3443.14
20.0445,-630.5360107421875,12.4509,96,480000,96,3476.0,3421.13
21.4582,-772.0616455078125,14.556,97,485000,97,3494.15,3410.18
20.4627,-735.2241821289062,12.3091,98,490000,98,3484.35,3334.51
20.017,-664.3317260742188,12.6727,99,495000,99,3488.09,3438.31
19.7857,-610.0986938476562,11.7732,100,500000,100,3504.88,3441.58
19.8343,-746.4027709960938,11.7909,101,505000,101,3477.81,3413.71
20.4649,-693.5899047851562,12.57,102,510000,102,3526.51,3475.55
19.8522,-719.6337280273438,12.07,103,515000,103,3511.08,3463.08
19.4782,-727.8013916015625,12.3746,104,520000,104,3469.95,3426.78
19.9721,-707.4586791992188,11.6727,105,525000,105,3529.91,3473.93
18.8265,-760.5599975585938,10.6133,106,530000,106,3497.96,3435.0
20.3922,-860.9923706054688,12.1977,107,535000,107,3481.13,3148.21
19.8477,-750.4603881835938,12.5207,108,540000,108,3465.77,3310.43
20.7629,-971.5311889648438,11.5277,109,545000,109,3508.14,3442.37
20.941,-845.9851684570312,11.9792,110,550000,110,3493.05,3436.25
18.6169,-675.0244140625,11.9432,111,555000,111,3470.55,3412.8
19.1322,-754.840576171875,11.1482,112,560000,112,3480.4,3403.07
18.3663,-690.8001708984375,12.6897,113,565000,113,3484.22,3460.86
18.6707,-628.0875854492188,12.0372,114,570000,114,3441.69,3412.68
18.9473,-838.904296875,12.6008,115,575000,115,3479.72,3412.24
18.0255,-761.5490112304688,11.634,116,580000,116,3516.54,3460.47
18.6917,-835.681884765625,11.274,117,585000,117,3456.59,3339.97
18.5141,-819.2578125,11.7601,118,590000,118,3491.49,3322.41
19.0391,-854.2557983398438,12.0273,119,595000,119,3506.44,3458.93
20.2513,-776.1859130859375,13.4454,120,600000,120,3511.5,3309.78
17.8415,-750.81201171875,12.0062,121,605000,121,3480.87,3413.98
19.6129,-888.6761474609375,11.6877,122,610000,122,3514.78,3430.96
19.372,-944.2771606445312,19.0202,123,615000,123,3466.68,3146.23
19.6624,-868.8223266601562,11.8736,124,620000,124,3486.21,3434.46
18.881,-913.3623657226562,11.4198,125,625000,125,3477.73,3405.73
18.2329,-834.7513427734375,11.6638,126,630000,126,3492.34,3331.62
18.9195,-942.9081420898438,11.4949,127,635000,127,3480.57,3429.6
16.7132,-755.0123291015625,10.9698,128,640000,128,3491.75,3433.22
18.2902,-849.1083374023438,12.2171,129,645000,129,3520.11,3439.14
18.5041,-816.9208984375,11.9192,130,650000,130,3477.45,3404.0
18.3135,-912.8466796875,11.3518,131,655000,131,3513.69,3448.62
18.9527,-804.1649169921875,12.2873,132,660000,132,3471.66,3407.14
18.461,-747.8323974609375,11.5314,133,665000,133,3537.87,3213.97
18.8206,-932.6651000976562,11.1557,134,670000,134,3522.8,3454.49
19.1655,-884.251220703125,11.5203,135,675000,135,3532.24,3489.57
18.2506,-898.997802734375,11.24,136,680000,136,3471.51,3424.93
18.5576,-867.18310546875,11.2086,137,685000,137,3461.04,3397.02
20.1916,-1017.6090698242188,12.6298,138,690000,138,3418.03,3200.47
19.9809,-1041.754150390625,12.4722,139,695000,139,3498.1,3421.1
19.2804,-1123.718994140625,11.4673,140,700000,140,3510.69,3440.5
19.7989,-958.9786376953125,12.3309,141,705000,141,3521.3,3473.37
19.963,-1066.553955078125,11.7013,142,710000,142,3489.12,3192.45
19.3131,-987.042724609375,11.8856,143,715000,143,3503.21,3376.94
18.6039,-983.6094360351562,10.7753,144,720000,144,3490.46,3444.68
18.3448,-965.0744018554688,11.8074,145,725000,145,3521.84,3290.85
18.4754,-951.2340087890625,11.4401,146,730000,146,3492.2,3431.89
19.2744,-973.0255126953125,12.5371,147,735000,147,3519.91,3454.65
19.0531,-985.4151000976562,11.8283,148,740000,148,3465.06,3301.94
19.6096,-1001.61376953125,12.3857,149,745000,149,3505.69,3406.59
19.0495,-1026.799072265625,12.1649,150,750000,150,3511.44,3464.19
17.822,-938.1461791992188,11.8602,151,755000,151,3476.59,3280.02
16.2312,-737.0554809570312,8.9788,152,760000,152,3495.29,3256.05
18.8292,-994.1260986328125,11.9479,153,765000,153,3511.37,3450.29
18.1829,-914.7957763671875,11.1213,154,770000,154,3510.23,3447.7
18.7763,-1075.407958984375,11.7901,155,775000,155,3461.11,3397.76
18.2787,-1054.5306396484375,10.9728,156,780000,156,3466.79,3384.14
19.3476,-1246.5460205078125,11.9817,157,785000,157,3477.66,3429.29
17.9563,-1062.01611328125,10.8046,158,790000,158,3509.54,3440.71
18.9597,-1103.7542724609375,11.6725,159,795000,159,3508.08,3442.73
17.7128,-1084.231689453125,11.1996,160,800000,160,3488.46,3420.45
17.7358,-1061.657958984375,10.8349,161,805000,161,3516.02,3462.82
18.4568,-1097.6551513671875,11.3846,162,810000,162,3517.14,3463.21
17.4578,-1057.1671142578125,10.9669,163,815000,163,3538.78,3483.85
18.4014,-1153.6148681640625,11.6122,164,820000,164,3505.39,3444.31
18.4244,-1159.4190673828125,11.3246,165,825000,165,3513.47,3450.12
18.4546,-1223.666015625,11.4614,166,830000,166,3462.28,3421.71
18.6928,-1237.6988525390625,11.3323,167,835000,167,3498.03,3450.2
19.0373,-1323.0374755859375,11.6619,168,840000,168,3525.16,3461.7
18.1416,-1119.1041259765625,11.5952,169,845000,169,3536.24,3496.64
18.5001,-1103.8546142578125,11.7746,170,850000,170,3491.18,3416.45
19.4348,-1309.713134765625,13.3571,171,855000,171,3494.79,3431.61
18.0693,-1200.45068359375,11.3059,172,860000,172,3504.35,3438.6
17.5125,-1146.89404296875,11.0077,173,865000,173,3525.15,3416.24
17.3686,-1197.3511962890625,10.8336,174,870000,174,3516.45,3456.89
18.1196,-1180.6812744140625,11.9023,175,875000,175,3497.74,3436.71
19.1579,-1193.550048828125,12.02,176,880000,176,3503.25,3410.78
17.4469,-1254.595458984375,11.4213,177,885000,177,3492.58,3430.09
17.7135,-1234.2989501953125,11.4483,178,890000,178,3462.61,3397.23
17.2506,-1164.7806396484375,10.7522,179,895000,179,3504.81,3436.41
18.6543,-1160.5899658203125,11.9078,180,900000,180,3515.27,3459.47
17.5027,-1093.6204833984375,10.8564,181,905000,181,3523.29,3464.56
19.5012,-1500.649169921875,12.7379,182,910000,182,3511.2,3456.63
17.9542,-1104.6314697265625,10.891,183,915000,183,3507.37,3430.0
18.1853,-1362.1187744140625,11.7906,184,920000,184,3518.3,3467.72
17.9033,-1310.8089599609375,11.3552,185,925000,185,3455.58,3405.53
19.4081,-1527.3956298828125,12.3414,186,930000,186,3459.15,3397.05
17.742,-1324.1156005859375,11.1641,187,935000,187,3461.09,3395.54
17.6623,-1389.71240234375,10.8125,188,940000,188,3530.42,3481.97
17.7295,-1390.3511962890625,11.1037,189,945000,189,3538.01,3482.68
19.8412,-1682.0538330078125,12.2847,190,950000,190,3464.0,3403.31
18.2287,-1425.2579345703125,11.784,191,955000,191,3514.84,3463.52
19.2857,-1507.833740234375,12.7938,192,960000,192,3523.95,3472.21
19.9951,-1514.1837158203125,12.3162,193,965000,193,3512.16,3462.36
18.3567,-1392.119140625,11.6318,194,970000,194,3458.26,3377.34
17.9954,-1371.343505859375,11.7209,195,975000,195,3459.99,3394.21
19.3837,-1480.3900146484375,12.3837,196,980000,196,3505.22,3442.08
19.2131,-1471.0689697265625,12.8238,197,985000,197,3503.9,3423.34
17.982,-1431.6805419921875,11.6594,198,990000,198,3520.1,3448.01
19.0576,-1639.8284912109375,12.3058,199,995000,199,3525.26,3472.71
