Itration,Real Sto Return,Reward Loss,Running Update Time,Real Det Return,Running Env Steps,Running Reverse KL,Running Forward KL
153,224.42,-2156.80810546875,153,345.69,765000,37.1537,51.9473
154,419.68,-1919.102783203125,154,553.8,770000,19.3883,50.4751
155,372.87,-2016.9105224609375,155,403.76,775000,21.2142,50.4095
156,398.54,-2023.150634765625,156,365.9,780000,20.684,50.2682
157,425.43,-1995.6878662109375,157,442.24,785000,18.9241,49.1973
158,413.55,-2016.9722900390625,158,475.85,790000,21.5632,50.1027
159,340.55,-2032.3331298828125,159,965.96,795000,17.5659,50.6127
160,370.52,-1932.935791015625,160,339.46,800000,16.8397,50.0114
161,443.76,-2139.1015625,161,608.3,805000,26.8492,50.0159
162,347.29,-1799.4306640625,162,392.94,810000,14.8316,48.4673
163,406.4,-2078.73974609375,163,457.09,815000,32.937,49.7532
164,344.64,-2231.338623046875,164,356.74,820000,17.1718,51.0574
165,388.36,-2296.103759765625,165,510.02,825000,20.651,50.2045
166,432.69,-2063.201416015625,166,573.97,830000,17.2929,49.6726
167,517.72,-2141.8583984375,167,437.68,835000,17.3362,48.9816
168,503.15,-2286.77880859375,168,723.29,840000,16.5867,49.1342
169,423.68,-2279.084228515625,169,478.94,845000,20.9882,49.9036
170,501.48,-2075.25537109375,170,660.47,850000,17.8577,48.7301
171,460.44,-2117.469482421875,171,535.21,855000,17.0933,50.2175
172,338.48,-2350.469482421875,172,304.24,860000,20.593,50.8647
173,377.8,-2200.019775390625,173,410.32,865000,21.83,49.5508
174,397.32,-2290.44091796875,174,402.77,870000,24.8555,49.8169
175,742.31,-2091.965087890625,175,1236.13,875000,15.0961,49.3066
176,512.17,-2171.864990234375,176,619.95,880000,16.5194,49.8337
177,512.54,-2184.622802734375,177,819.16,885000,15.557,49.6748
178,903.97,-2271.9052734375,178,1210.48,890000,15.6839,48.3344
179,588.19,-2438.279541015625,179,493.8,895000,30.7378,49.1509
180,697.38,-2259.790283203125,180,1155.51,900000,16.6013,48.8288
181,602.94,-2273.6083984375,181,535.55,905000,15.3035,49.348
182,665.5,-2346.91943359375,182,905.64,910000,16.8977,48.9845
183,679.93,-2697.968017578125,183,949.53,915000,36.9905,48.7473
184,1308.59,-2302.883056640625,184,1813.99,920000,17.4842,47.4026
185,1149.42,-2229.46875,185,2014.84,925000,21.0937,48.4664
186,678.03,-2138.223388671875,186,910.96,930000,15.0798,47.948
187,681.55,-2586.940185546875,187,932.55,935000,35.3892,53.4986
188,1023.78,-2566.1494140625,188,1022.65,940000,51.1663,56.0367
189,457.23,-2831.73583984375,189,443.97,945000,52.8611,51.1285
190,293.82,-2971.319580078125,190,307.87,950000,38.3392,49.9405
191,320.3,-2875.018310546875,191,303.7,955000,20.7267,51.3825
192,291.93,-2762.7060546875,192,326.03,960000,15.7471,49.4195
193,383.48,-2765.690673828125,193,483.83,965000,17.0956,50.6384
194,340.1,-2867.19970703125,194,584.68,970000,17.1538,50.5123
195,456.12,-2945.431640625,195,435.85,975000,23.1456,49.7448
196,488.26,-2928.802490234375,196,583.54,980000,18.234,50.2894
197,636.68,-2649.57421875,197,645.56,985000,16.5214,49.7416
198,400.96,-2872.54150390625,198,777.13,990000,15.029,49.9363
199,632.33,-2790.810302734375,199,834.44,995000,16.3172,49.4136
200,432.83,-2891.352294921875,200,421.02,1000000,17.7264,49.6442
201,603.99,-3084.758544921875,201,613.82,1005000,22.1536,50.3278
202,321.23,-3165.3798828125,202,308.77,1010000,24.7908,51.7225
203,362.19,-2962.538818359375,203,381.57,1015000,19.965,50.0348
204,381.4,-3069.86181640625,204,408.04,1020000,33.1558,50.1097
205,904.22,-2741.951171875,205,1018.57,1025000,31.6968,51.3396
206,-10.45,-3526.707763671875,206,-10.5,1030000,138.8569,55.024
207,-18.33,-3502.068359375,207,-17.23,1035000,78.1944,55.0568
208,-5.1,-3590.907958984375,208,-3.88,1040000,93.3359,55.1214
209,10.6,-3423.046875,209,10.79,1045000,75.6537,57.1281
210,1046.22,-2919.822021484375,210,1044.33,1050000,66.1219,56.4522
211,771.43,-2773.8076171875,211,795.6,1055000,46.1529,52.4509
212,666.94,-2998.935791015625,212,680.68,1060000,70.1908,55.29
213,1006.25,-2983.37353515625,213,1007.89,1065000,48.1844,56.5604
214,196.7,-3416.14501953125,214,88.55,1070000,32.1962,51.3232
215,1039.41,-2972.106689453125,215,1039.01,1075000,52.2627,56.0525
216,1002.21,-3063.794677734375,216,1004.39,1080000,43.6318,55.8104
217,1002.46,-3067.235107421875,217,999.6,1085000,40.9712,55.6305
218,996.27,-3060.986328125,218,998.7,1090000,47.2757,56.5728
219,1007.45,-3071.62548828125,219,1010.73,1095000,45.027,55.7486
220,1016.73,-3134.334716796875,220,1017.7,1100000,50.577,55.6957
221,1004.05,-3085.94873046875,221,1006.23,1105000,24.5076,53.7057
222,993.4,-3140.423828125,222,996.69,1110000,44.8297,56.1407
223,804.52,-3093.117919921875,223,1001.18,1115000,40.7794,55.1216
224,924.61,-3228.25537109375,224,999.42,1120000,36.8681,53.7091
225,1028.85,-2988.576904296875,225,1033.13,1125000,43.7483,56.4887
226,463.12,-3559.980712890625,226,310.66,1130000,55.8478,54.2333
227,63.21,-3455.69970703125,227,64.0,1135000,18.9973,52.1973
228,1032.74,-3274.38330078125,228,1031.93,1140000,36.2398,54.9275
229,1028.06,-3297.190673828125,229,1032.51,1145000,26.2033,53.6695
230,800.48,-3210.972412109375,230,1025.17,1150000,23.929,52.1355
231,426.69,-3284.9423828125,231,466.8,1155000,24.5502,50.7312
232,519.51,-3732.535888671875,232,570.26,1160000,80.3583,51.4131
233,599.45,-3747.459716796875,233,800.89,1165000,79.0462,50.4195
234,526.46,-3767.8466796875,234,676.43,1170000,74.4765,50.0021
235,417.42,-3862.500244140625,235,410.71,1175000,73.6092,51.447
236,554.45,-3731.685302734375,236,503.19,1180000,67.3537,50.3749
237,715.78,-3670.502197265625,237,1016.1,1185000,31.6249,50.0099
238,546.39,-3829.77880859375,238,653.24,1190000,69.9455,50.0099
239,517.62,-3858.188232421875,239,794.24,1195000,59.2877,50.0458
240,444.3,-3888.687255859375,240,637.81,1200000,33.9206,50.1484
241,484.54,-3890.971435546875,241,407.91,1205000,50.1057,49.745
242,494.38,-3592.1884765625,242,490.6,1210000,42.7275,51.0108
243,439.39,-3908.594482421875,243,418.82,1215000,38.3794,50.5648
244,1095.44,-3811.4296875,244,976.4,1220000,38.4635,49.549
245,510.42,-3695.708984375,245,303.05,1225000,23.8278,50.0053
246,721.3,-3976.906982421875,246,989.18,1230000,25.7053,50.0836
247,995.95,-3898.804931640625,247,1248.91,1235000,34.4456,49.9818
248,1085.88,-3691.68408203125,248,1201.59,1240000,21.7253,49.0082
249,1024.23,-3625.76123046875,249,1308.11,1245000,16.8487,48.7252
250,1163.48,-3475.65380859375,250,1266.45,1250000,16.8506,47.7231
251,1191.66,-3548.745849609375,251,1509.3,1255000,15.7936,48.2158
252,1353.05,-3816.9013671875,252,1301.21,1260000,16.925,48.8457
253,1064.4,-3580.76513671875,253,829.12,1265000,17.2489,48.0397
254,1081.84,-3996.5537109375,254,1074.42,1270000,21.3908,50.2118
255,978.87,-4105.56787109375,255,1347.99,1275000,21.6262,49.421
256,915.02,-4097.54736328125,256,1107.23,1280000,15.9412,49.8494
257,1069.06,-3593.255615234375,257,1204.54,1285000,16.1568,48.6784
258,1032.25,-3835.87939453125,258,1598.1,1290000,16.8101,47.7606
259,773.04,-4087.369384765625,259,1079.24,1295000,12.6572,49.0541
260,1108.73,-4321.2392578125,260,1326.13,1300000,40.835,50.8632
261,928.48,-3630.215087890625,261,759.72,1305000,14.8224,49.9436
262,897.75,-3889.0634765625,262,561.84,1310000,13.454,48.8268
263,940.98,-4012.320556640625,263,169.51,1315000,19.6249,49.3642
264,1154.79,-4483.65380859375,264,1193.9,1320000,35.1173,50.122
265,1441.33,-4172.12890625,265,290.84,1325000,36.8704,49.3807
266,1308.83,-4109.8671875,266,733.6,1330000,45.579,48.9889
267,1927.42,-3871.3955078125,267,1955.83,1335000,17.7426,48.8775
268,1956.86,-3871.4853515625,268,1805.0,1340000,17.3702,48.4422
269,2051.18,-3629.906005859375,269,1822.38,1345000,16.5232,47.017
270,1475.85,-4281.47607421875,270,1770.96,1350000,56.6738,47.7217
271,2298.13,-3866.225341796875,271,2169.91,1355000,16.5343,47.5608
272,2613.97,-3378.7265625,272,2456.75,1360000,17.2365,46.5043
273,1945.4,-3683.05712890625,273,1967.02,1365000,19.0621,46.9798
274,2397.38,-3722.197509765625,274,2298.32,1370000,17.1465,48.0601
275,1816.42,-3868.92236328125,275,2059.07,1375000,18.6741,48.5393
276,1178.14,-4254.5966796875,276,1477.53,1380000,25.4463,48.7579
277,1050.74,-4406.60986328125,277,758.4,1385000,23.9909,48.3609
278,1375.52,-4319.8544921875,278,1395.13,1390000,14.2205,48.5324
279,1824.47,-4141.77783203125,279,2041.72,1395000,14.9389,48.1725
280,1655.2,-3773.6728515625,280,2263.59,1400000,16.107,46.9165
281,1950.03,-4085.796875,281,2151.22,1405000,18.1187,48.7598
282,1125.06,-4150.203125,282,1521.38,1410000,16.3007,48.4135
283,2006.62,-4475.8828125,283,2078.97,1415000,16.4326,47.9659
284,1405.01,-4431.77294921875,284,1031.73,1420000,17.0539,48.9433
285,1655.59,-4158.884765625,285,2302.72,1425000,17.4244,47.1985
286,1504.41,-4715.74755859375,286,2189.89,1430000,29.5947,47.7788
287,1497.67,-4679.10546875,287,1059.36,1435000,15.4409,48.4701
288,1787.54,-4333.26220703125,288,2414.49,1440000,15.7808,48.5663
289,1638.17,-4452.087890625,289,1264.04,1445000,17.4391,48.2003
290,1169.32,-5123.4716796875,290,1652.98,1450000,37.8647,47.677
291,1432.54,-4804.41162109375,291,1071.17,1455000,24.151,48.6845
292,1120.74,-4327.4267578125,292,1687.73,1460000,15.4249,48.0732
293,1127.91,-4526.1689453125,293,1684.31,1465000,15.3454,48.7188
294,1347.06,-4534.83251953125,294,1116.7,1470000,14.8144,48.1973
295,1050.28,-4667.96240234375,295,1186.16,1475000,15.8266,48.6708
296,672.61,-5069.6142578125,296,670.06,1480000,20.5911,48.8361
297,545.45,-4823.4501953125,297,540.38,1485000,16.4744,48.7392
298,325.05,-5236.36767578125,298,261.64,1490000,24.774,49.5327
299,268.88,-5142.41845703125,299,257.15,1495000,32.7062,48.9971
300,392.49,-4854.5810546875,300,406.08,1500000,20.6429,48.9451
301,916.89,-4540.07177734375,301,1038.04,1505000,21.2476,47.4099
302,999.65,-4533.62744140625,302,908.8,1510000,17.3581,47.7897
303,2948.39,-4031.851806640625,303,3434.36,1515000,19.3202,47.5948
304,2014.63,-4833.3662109375,304,1784.27,1520000,23.3028,46.8818
305,1678.95,-4917.8984375,305,854.79,1525000,22.664,47.829
306,1725.08,-4743.00390625,306,2105.07,1530000,19.295,47.7853
307,1790.27,-4896.73095703125,307,1927.66,1535000,18.4095,46.7467
308,1502.97,-5153.32763671875,308,2087.09,1540000,20.6135,46.82
309,1098.57,-5484.3623046875,309,1419.21,1545000,24.1911,48.475
310,954.77,-5387.7373046875,310,1103.93,1550000,21.9191,47.3928
311,883.82,-5519.107421875,311,1224.63,1555000,30.4013,47.6514
312,1436.24,-4797.8212890625,312,1408.17,1560000,15.4104,45.8803
313,1546.24,-4976.63671875,313,1706.56,1565000,26.3802,47.5172
314,1483.51,-5043.24267578125,314,1540.66,1570000,20.6753,47.3611
315,512.2,-5501.00244140625,315,401.57,1575000,18.4953,49.7578
316,615.89,-5334.3095703125,316,533.98,1580000,20.1829,48.7798
317,1490.67,-4863.2216796875,317,1609.11,1585000,19.6376,49.1793
318,1953.97,-4523.880859375,318,2413.83,1590000,17.9558,48.4044
319,2242.37,-4444.0849609375,319,2854.41,1595000,21.6937,48.5888
320,915.38,-4962.41650390625,320,705.28,1600000,17.9472,48.5215
321,682.41,-5406.892578125,321,589.58,1605000,18.7357,48.6787
322,790.43,-5414.43798828125,322,1215.23,1610000,18.7818,47.8186
323,897.14,-5092.39892578125,323,699.79,1615000,16.7745,47.041
324,495.78,-5645.86474609375,324,788.27,1620000,15.2305,49.3979
325,853.74,-5736.6484375,325,1450.66,1625000,15.1616,48.4978
326,1288.01,-5595.78515625,326,2425.02,1630000,19.5495,47.3456
327,425.71,-5803.34326171875,327,426.03,1635000,12.9241,47.1145
328,623.42,-5558.2919921875,328,384.4,1640000,17.3154,47.4686
329,486.71,-5907.025390625,329,430.59,1645000,21.708,49.6074
330,2081.55,-5132.09375,330,1460.71,1650000,15.8703,47.8137
331,160.26,-6277.46923828125,331,143.03,1655000,18.1271,48.9815
332,206.35,-6275.24853515625,332,196.54,1660000,22.4345,49.492
333,346.07,-6510.37548828125,333,339.95,1665000,18.4151,48.7345
334,630.49,-5616.09423828125,334,408.09,1670000,19.6864,47.8375
335,540.43,-5754.18505859375,335,979.5,1675000,16.608,49.0394
336,674.39,-6199.4609375,336,715.5,1680000,63.7897,51.2714
337,79.04,-7012.42919921875,337,107.01,1685000,83.8415,54.8652
338,720.12,-6579.60595703125,338,907.18,1690000,89.0367,57.5149
339,859.88,-6388.875,339,1047.18,1695000,61.7518,53.0947
340,1022.03,-5900.88037109375,340,1021.93,1700000,69.327,57.99
341,60.56,-6516.16796875,341,50.74,1705000,40.0751,54.571
342,1245.61,-6536.6357421875,342,1360.9,1710000,32.6956,50.2948
343,1027.67,-5975.6826171875,343,1026.89,1715000,64.0694,56.6555
344,346.36,-7183.1005859375,344,341.88,1720000,37.5105,51.9328
345,888.87,-6693.1064453125,345,976.98,1725000,37.9952,51.6286
346,93.51,-8451.1318359375,346,86.37,1730000,27.3614,55.7065
347,147.13,-8126.69921875,347,92.51,1735000,29.3009,54.6251
348,291.56,-8293.822265625,348,307.88,1740000,29.5918,51.5602
349,1031.1,-6083.3896484375,349,1030.88,1745000,42.1726,56.1081
350,145.11,-8638.90234375,350,159.37,1750000,47.7775,55.0548
351,1014.66,-6176.90576171875,351,1017.15,1755000,52.1072,57.4617
352,1010.36,-6225.67822265625,352,1011.74,1760000,46.3832,56.9458
353,1022.27,-6220.345703125,353,1023.13,1765000,43.6868,56.1124
354,1028.62,-6347.35009765625,354,1028.53,1770000,47.6538,56.3208
355,858.88,-7345.10302734375,355,681.47,1775000,61.6227,55.6595
356,263.86,-7424.97314453125,356,302.46,1780000,59.5582,56.259
357,803.95,-6492.46484375,357,625.2,1785000,38.2316,53.8214
358,496.39,-7265.47412109375,358,204.16,1790000,44.4488,52.388
359,1034.45,-6553.9404296875,359,1035.0,1795000,45.3698,55.7096
360,1016.82,-6620.92529296875,360,1018.73,1800000,41.4393,55.7112
361,1021.08,-6578.24169921875,361,1010.04,1805000,42.5603,55.8502
362,906.66,-6682.93115234375,362,1002.11,1810000,47.0957,56.3327
363,546.61,-6762.2783203125,363,1001.73,1815000,40.0279,50.351
364,808.51,-6671.86962890625,364,1007.63,1820000,42.896,52.653
365,65.4,-8501.75390625,365,59.36,1825000,52.8782,55.7733
366,1035.59,-6796.5458984375,366,1034.77,1830000,56.0593,55.7936
367,1038.0,-6870.38818359375,367,1038.11,1835000,65.0314,57.1732
368,643.11,-7363.39404296875,368,1292.93,1840000,21.0496,48.6213
369,777.22,-6893.6669921875,369,135.68,1845000,41.7598,47.7661
370,475.81,-6784.55322265625,370,252.88,1850000,44.3635,49.3118
371,1067.06,-6904.4306640625,371,767.58,1855000,24.1274,48.8399
372,636.12,-6910.87890625,372,1117.95,1860000,30.1901,49.6696
373,565.71,-7021.70556640625,373,372.45,1865000,18.9886,47.4266
374,576.4,-7303.8134765625,374,737.59,1870000,18.459,47.9812
375,1216.9,-7313.97021484375,375,1287.64,1875000,16.5201,48.8057
376,483.14,-7076.75927734375,376,782.35,1880000,45.9739,49.184
377,22.19,-9494.666015625,377,23.03,1885000,68.2054,55.9375
378,323.51,-8892.083984375,378,320.57,1890000,40.1244,51.3138
379,433.22,-6828.380859375,379,343.26,1895000,28.3318,48.2846
380,420.11,-5593.31689453125,380,537.43,1900000,22.1774,48.3052
381,210.5,-6307.45458984375,381,222.1,1905000,18.7421,48.3253
382,425.56,-6908.20361328125,382,411.43,1910000,19.4948,47.7212
383,1012.95,-7312.232421875,383,1012.92,1915000,53.1443,56.6394
384,1018.04,-7227.49755859375,384,1014.09,1920000,43.5382,55.9607
385,1005.84,-7303.48876953125,385,991.35,1925000,43.9079,55.1182
386,1029.06,-7215.88671875,386,1026.59,1930000,46.4976,55.9932
387,1009.5,-7230.46826171875,387,1012.84,1935000,44.8294,56.0849
388,1044.59,-7134.06494140625,388,1019.29,1940000,33.8616,54.9652
389,1032.19,-7284.15087890625,389,1033.31,1945000,36.7583,54.8549
390,958.36,-7590.4072265625,390,998.12,1950000,53.4944,56.188
391,1007.09,-7507.06005859375,391,1007.24,1955000,49.933,56.5934
392,806.02,-7931.4873046875,392,895.68,1960000,34.6078,53.2035
393,235.98,-10108.2060546875,393,232.0,1965000,68.0342,54.4761
394,162.44,-9188.6494140625,394,162.1,1970000,81.9663,55.3641
395,290.45,-9502.2919921875,395,283.59,1975000,53.0616,52.9988
396,1835.34,-7246.89697265625,396,1982.57,1980000,19.8599,49.3648
