Running Forward KL,Itration,Running Reverse KL,Running Update Time,Real Det Return,Real Sto Return,Reward Loss,Running Env Steps
33.908,123,33.56,123,606.13,516.43,-4081.060302734375,615000
35.4775,124,24.6069,124,868.22,869.83,-5300.72802734375,620000
36.1437,125,32.3822,125,840.63,840.22,-5440.31982421875,625000
35.0626,126,27.2137,126,5.41,5.29,-5156.9677734375,630000
35.8457,127,31.4551,127,1016.11,1016.51,-6300.2978515625,635000
34.4378,128,19.4833,128,818.17,818.76,-5079.65771484375,640000
33.9825,129,19.6479,129,1069.08,1068.63,-5335.4853515625,645000
33.4361,130,19.2929,130,1079.15,1072.8,-4819.29736328125,650000
34.3055,131,21.8212,131,1113.71,1116.79,-5535.06298828125,655000
34.5238,132,27.2395,132,1053.65,1061.06,-6287.29833984375,660000
34.3696,133,19.3262,133,1069.9,1068.44,-6159.04150390625,665000
34.1353,134,20.5379,134,1115.81,1117.92,-5609.8857421875,670000
34.4896,135,19.029,135,1059.95,1057.4,-6102.83349609375,675000
33.6897,136,20.2673,136,943.48,930.43,-5126.02685546875,680000
37.148,137,34.1837,137,1023.9,1024.22,-6887.32568359375,685000
37.6607,138,77.9108,138,8.79,8.77,-4209.91064453125,690000
37.7229,139,26.7271,139,135.79,133.34,-6978.6279296875,695000
33.187,140,56.1108,140,191.17,189.25,-6663.40234375,700000
32.5118,141,34.7939,141,194.54,194.95,-6679.58203125,705000
33.2003,142,34.4651,142,117.24,119.02,-6661.615234375,710000
33.4369,143,220.3594,143,212.78,210.95,-7253.55419921875,715000
33.6046,144,208.6778,144,220.99,224.61,-7263.7021484375,720000
33.616,145,202.7441,145,143.24,142.52,-7242.8759765625,725000
34.1609,146,111.705,146,174.95,195.44,-6902.54541015625,730000
34.288,147,22.7311,147,936.35,934.02,-6723.0869140625,735000
33.4941,148,185.7372,148,133.64,151.11,-5602.2841796875,740000
35.0808,149,23.5992,149,954.22,955.72,-7069.4912109375,745000
35.1914,150,23.2192,150,968.42,969.6,-7153.68408203125,750000
35.5268,151,23.7407,151,1004.37,1006.25,-7379.7763671875,755000
35.5609,152,23.1175,152,1027.41,1027.15,-7312.83447265625,760000
34.7535,153,23.0187,153,1044.71,1043.69,-7371.64892578125,765000
34.6322,154,21.0503,154,1063.02,1060.43,-7288.60107421875,770000
34.8538,155,21.5696,155,1054.54,1051.96,-7483.1201171875,775000
33.4513,156,19.3307,156,1049.23,1044.54,-7117.4443359375,780000
33.779,157,18.9185,157,1064.59,1064.44,-6766.416015625,785000
33.9234,158,19.1634,158,1066.7,1065.97,-6877.2431640625,790000
32.787,159,18.655,159,1064.26,1067.45,-6720.62353515625,795000
33.3444,160,19.0644,160,1078.84,1075.3,-7010.54931640625,800000
33.1491,161,20.8886,161,1066.83,1070.44,-6810.4482421875,805000
33.0879,162,22.9562,162,1013.75,1007.64,-6850.5654296875,810000
32.9218,163,18.9731,163,1050.39,1054.06,-6844.02685546875,815000
32.6753,164,83.7281,164,252.13,267.42,-5933.99853515625,820000
33.2144,165,39.5315,165,650.78,596.21,-6098.73486328125,825000
32.933,166,20.3411,166,885.9,889.9,-6609.59521484375,830000
33.7887,167,27.8499,167,1110.5,1109.63,-8032.0947265625,835000
31.2541,168,21.2087,168,654.49,654.02,-7083.849609375,840000
34.331,169,153.7025,169,121.8,108.85,-6339.67626953125,845000
33.0845,170,18.0469,170,739.4,514.13,-6992.1650390625,850000
34.5003,171,163.3331,171,147.26,168.94,-5130.2119140625,855000
32.2193,172,35.6991,172,268.61,250.33,-6966.68701171875,860000
32.601,173,164.2379,173,498.5,351.13,-6157.77001953125,865000
33.9881,174,25.8652,174,1092.8,1094.29,-7541.0625,870000
33.9409,175,20.242,175,1040.94,1040.41,-7645.36328125,875000
33.7629,176,20.6587,176,1001.19,1048.12,-7480.7265625,880000
34.0726,177,21.4075,177,1013.48,1013.45,-7738.390625,885000
34.1954,178,27.6313,178,1018.06,1020.7,-9064.8095703125,890000
33.6166,179,93.0301,179,1038.57,1038.93,-9524.8984375,895000
33.1622,180,76.0593,180,650.17,547.71,-8003.30419921875,900000
31.9702,181,43.2896,181,348.52,477.91,-8144.31689453125,905000
32.8709,182,21.3015,182,853.86,802.82,-8284.5458984375,910000
34.3891,183,86.7177,183,1024.82,1024.89,-9944.0224609375,915000
38.2148,184,34.1832,184,1027.74,1027.95,-9807.4755859375,920000
34.6885,185,116.8498,185,1033.47,1033.75,-10159.9189453125,925000
30.9029,186,34.9781,186,641.9,580.77,-8404.3017578125,930000
31.0102,187,29.0436,187,338.88,398.01,-7667.13232421875,935000
33.7229,188,17.98,188,1071.82,1071.16,-7770.45361328125,940000
33.672,189,18.1916,189,966.0,827.28,-7903.3740234375,945000
34.1506,190,18.965,190,1048.31,1047.67,-8327.498046875,950000
33.6777,191,18.3959,191,1042.44,1039.82,-8284.564453125,955000
34.441,192,19.9276,192,1050.74,1049.3,-8985.150390625,960000
33.8585,193,18.3181,193,976.15,977.71,-8403.4677734375,965000
34.2027,194,23.2602,194,1094.4,1094.96,-8818.9990234375,970000
34.2376,195,21.4875,195,1038.38,1048.76,-8955.490234375,975000
33.1919,196,24.2088,196,1014.9,1059.2,-9774.4833984375,980000
33.2775,197,29.6171,197,973.88,995.13,-10256.4560546875,985000
31.7732,198,25.6912,198,852.06,806.99,-9074.1767578125,990000
34.7159,199,24.2158,199,1141.75,1040.94,-9626.88671875,995000
