Running Reverse KL,Running Env Steps,Running Update Time,Real Det Return,Real Sto Return,Itration,Running Forward KL,Reward Loss
17.9562,760000,152,3177.92,3132.44,152,21.4474,-1896.2022705078125
13.914,765000,153,3236.76,2580.94,153,20.6799,-1876.1446533203125
15.4008,770000,154,3226.31,3214.98,154,22.2778,-1798.6016845703125
13.9149,775000,155,3186.43,3151.15,155,21.8687,-1626.0809326171875
61.7081,780000,156,2892.7,2079.46,156,23.7276,-3332.2822265625
14.6192,785000,157,3241.42,3111.12,157,22.1842,-1666.910400390625
14.9339,790000,158,3202.95,3142.56,158,22.9611,-1742.103271484375
13.5845,795000,159,3150.75,3136.44,159,21.4087,-1714.662353515625
16.2375,800000,160,3219.41,3009.74,160,21.1048,-1895.3983154296875
14.7272,805000,161,3233.36,3142.74,161,21.6879,-1890.520751953125
20.2955,810000,162,3199.72,2933.65,162,20.8406,-1900.906982421875
16.1307,815000,163,3212.36,3189.0,163,21.5155,-1811.60986328125
18.0024,820000,164,3248.77,2843.35,164,20.9075,-1894.0263671875
14.6306,825000,165,3204.9,3217.59,165,22.3141,-1884.534423828125
14.2568,830000,166,3184.9,3153.2,166,21.6952,-2035.136474609375
15.4087,835000,167,3186.64,3164.86,167,23.1991,-2066.8349609375
13.3285,840000,168,3199.91,3206.09,168,20.9863,-1930.4793701171875
15.219,845000,169,3172.93,3174.17,169,23.2591,-2075.879150390625
14.7546,850000,170,3177.98,3122.5,170,22.4816,-2015.1046142578125
14.5591,855000,171,3196.3,3213.25,171,21.9122,-2002.206787109375
14.6628,860000,172,3236.31,3147.3,172,22.3856,-2087.69140625
14.8272,865000,173,3201.02,3199.91,173,22.4716,-2138.63232421875
15.6605,870000,174,3186.92,2977.23,174,21.2538,-2240.85693359375
14.8423,875000,175,3143.78,3029.98,175,22.7147,-2206.6943359375
21.6609,880000,176,3257.26,2658.59,176,21.0224,-2408.347412109375
14.0213,885000,177,3215.21,2174.3,177,21.0648,-2175.2158203125
15.9008,890000,178,3183.89,3167.43,178,23.3737,-2274.943603515625
14.6705,895000,179,3228.77,3219.72,179,21.2596,-2184.533935546875
15.1366,900000,180,3215.23,3213.17,180,22.9479,-2234.9892578125
14.3299,905000,181,3245.3,3233.76,181,22.1287,-2114.863037109375
16.2266,910000,182,3192.78,3197.23,182,23.6637,-2419.476318359375
13.4578,915000,183,3264.84,2605.98,183,20.6936,-1849.544189453125
14.6053,920000,184,3166.21,3039.71,184,22.4622,-2247.1416015625
16.8798,925000,185,3203.28,2856.5,185,21.7719,-2555.761962890625
18.3942,930000,186,3231.75,3002.81,186,20.5344,-2111.897705078125
14.6557,935000,187,3201.53,3172.03,187,22.5747,-2296.48095703125
14.9664,940000,188,3143.49,2999.53,188,23.1451,-2380.996826171875
13.2188,945000,189,3238.64,1813.41,189,20.4019,-2117.787841796875
13.8201,950000,190,3194.38,3195.93,190,21.3774,-2189.942138671875
15.4229,955000,191,3215.57,3086.68,191,21.004,-2367.346923828125
14.0447,960000,192,3217.58,3198.29,192,21.2475,-2381.862548828125
15.2172,965000,193,3194.14,3193.07,193,23.047,-2604.788818359375
23.8648,970000,194,3218.19,2869.95,194,19.9891,-2319.142578125
14.6885,975000,195,3204.37,3146.09,195,20.2734,-2433.243896484375
18.6565,980000,196,3249.14,2925.72,196,20.5553,-2508.26318359375
17.8948,985000,197,3198.49,3016.79,197,20.2735,-2339.56494140625
13.6479,990000,198,3221.52,3004.14,198,21.0221,-2356.169677734375
19.1903,995000,199,3196.19,3092.27,199,21.5762,-2469.22900390625
