Running Env Steps,Itration,Running Reverse KL,Real Sto Return,Reward Loss,Real Det Return,Running Update Time,Running Forward KL
480000,96,63.1804,1037.54,-7224.150390625,1037.6,96,35.6744
485000,97,82.5337,1044.57,-6972.3681640625,1044.5,97,33.6534
490000,98,88.4614,1045.55,-7022.08642578125,1047.37,98,34.416
495000,99,26.4585,1066.46,-6415.87548828125,1073.04,99,33.2145
500000,100,26.8356,720.48,-6583.1103515625,858.62,100,33.3639
505000,101,33.5692,644.16,-6710.978515625,622.82,101,31.7697
510000,102,28.2986,314.27,-6278.15478515625,268.36,102,30.8683
515000,103,91.5461,1035.99,-7337.09521484375,1035.51,103,33.6172
520000,104,85.4371,1046.97,-7472.1943359375,1046.65,104,34.7494
525000,105,93.8328,1066.57,-7188.8671875,1059.05,105,34.6107
530000,106,119.7769,986.75,-7750.296875,986.64,106,35.1249
535000,107,19.9939,1279.0,-5024.58154296875,1297.5,107,33.0025
540000,108,121.5644,1047.11,-7647.4833984375,1046.91,108,33.8634
545000,109,139.905,1032.21,-8129.16845703125,1032.58,109,34.3404
550000,110,26.5755,1119.32,-6383.2568359375,1119.89,110,34.1389
555000,111,25.6106,1116.65,-6746.5693359375,1116.69,111,33.7706
560000,112,34.0063,391.4,-6532.4423828125,388.23,112,29.4056
565000,113,118.313,1044.93,-8286.1044921875,1044.64,113,35.83
570000,114,47.9508,1040.48,-7989.0244140625,1041.7,114,35.6194
575000,115,44.9974,1008.23,-7834.51513671875,1013.54,115,34.5886
580000,116,26.7263,1156.62,-6299.90673828125,1152.26,116,33.2715
585000,117,31.3391,629.64,-5287.40380859375,748.04,117,29.3176
590000,118,28.5242,1006.04,-7174.359375,1002.69,118,32.764
595000,119,121.9868,552.57,-8768.458984375,681.3,119,34.6326
600000,120,126.7906,1032.45,-8868.1337890625,1032.37,120,34.6363
605000,121,84.6008,48.5,-8012.71240234375,48.44,121,32.6977
610000,122,130.619,222.66,-7869.1357421875,279.54,122,31.4937
615000,123,161.3716,151.13,-8812.3115234375,149.36,123,32.9592
620000,124,26.1443,1400.38,-5764.34765625,1399.72,124,33.2812
625000,125,40.1113,1015.88,-8872.03515625,1015.15,125,34.5479
630000,126,37.4505,483.86,-6605.80615234375,465.12,126,29.6589
635000,127,132.8411,1041.24,-9307.71875,1041.21,127,35.2272
640000,128,107.1219,1044.09,-9292.318359375,1044.17,128,35.8514
645000,129,157.911,1026.79,-9220.7529296875,1027.19,129,36.7543
650000,130,134.9477,1020.4,-8880.041015625,1020.59,130,36.5418
655000,131,117.1375,1014.17,-8975.98046875,1014.22,131,36.3606
660000,132,65.7685,1030.31,-8773.0234375,1031.85,132,33.5028
665000,133,86.9105,954.23,-9166.34375,1035.92,133,33.992
670000,134,69.6964,928.15,-9255.3466796875,1009.43,134,32.7694
675000,135,137.4865,1043.65,-9972.400390625,1043.78,135,34.2752
680000,136,86.5522,1045.19,-10011.96484375,1045.31,136,34.728
685000,137,49.8172,1044.69,-10089.8193359375,1044.7,137,35.5099
690000,138,157.3235,1046.84,-10310.765625,1049.97,138,35.5996
695000,139,26.9386,480.49,-7218.55126953125,423.4,139,32.9633
700000,140,33.8408,1425.71,-6529.5859375,1426.39,140,33.4405
705000,141,31.7751,1367.12,-6791.7138671875,1368.11,141,33.1572
710000,142,25.2729,1351.22,-7082.42431640625,1351.15,142,33.0669
715000,143,23.7544,1404.24,-6619.2314453125,1398.63,143,32.7053
720000,144,28.6578,1029.2,-9694.498046875,1035.05,144,34.0991
725000,145,45.8422,966.58,-10135.99609375,861.97,145,32.8369
730000,146,137.9703,1045.19,-10849.3271484375,1045.29,146,36.0756
735000,147,64.9777,1039.2,-10950.9462890625,1038.81,147,34.7919
740000,148,29.3872,1344.75,-7532.24560546875,1344.83,148,32.6792
745000,149,30.9576,1045.76,-9359.908203125,1047.01,149,35.0817
750000,150,26.7755,1019.3,-9805.1328125,1020.41,150,33.9723
755000,151,20.2993,1049.93,-9612.3037109375,1046.09,151,33.389
760000,152,32.6397,1053.96,-10393.1572265625,1057.85,152,34.8522
765000,153,55.5302,1040.04,-11218.4091796875,1039.74,153,34.8957
770000,154,138.5722,1052.77,-11368.609375,1052.93,154,35.1965
775000,155,119.1975,1052.33,-11474.5712890625,1052.44,155,35.7481
780000,156,33.7606,1342.33,-8243.416015625,1347.21,156,33.8089
785000,157,29.6786,898.54,-7932.0908203125,886.45,157,32.4048
790000,158,23.8359,1109.95,-8392.427734375,1054.61,158,32.8537
795000,159,24.0697,1319.27,-7233.3837890625,1326.46,159,32.9275
800000,160,32.2527,330.23,-11089.7724609375,353.57,160,34.1704
805000,161,29.9424,1471.3,-6863.04736328125,1470.62,161,32.6551
810000,162,29.7876,1449.91,-7122.92578125,1447.98,162,33.2793
815000,163,38.2967,867.33,-9588.546875,821.7,163,30.4683
820000,164,133.9438,1055.66,-12058.22265625,1055.55,164,35.0382
825000,165,131.6373,355.89,-12288.1572265625,325.37,165,34.0823
830000,166,165.4591,163.53,-12386.9833984375,175.11,166,34.0318
835000,167,26.398,1403.56,-7268.447265625,1402.21,167,31.7084
840000,168,21.9351,1497.49,-7283.357421875,1503.52,168,31.9066
845000,169,24.19,1597.35,-7070.81201171875,1597.29,169,31.3496
850000,170,33.7324,1580.89,-7946.03271484375,1581.42,170,32.6059
855000,171,24.5201,750.57,-10689.5478515625,770.36,171,31.4935
860000,172,27.2143,1014.2,-12096.7744140625,1055.6,172,32.7455
865000,173,96.2137,1046.22,-12839.15234375,1047.56,173,33.8528
870000,174,28.564,634.7,-7885.47607421875,605.35,174,29.005
875000,175,52.0536,1005.39,-12678.4130859375,1083.96,175,33.0734
880000,176,99.2361,1028.41,-13398.4716796875,1028.49,176,34.1447
885000,177,130.006,1038.13,-13171.1826171875,1038.15,177,33.8728
890000,178,128.7344,1039.24,-13314.630859375,1039.52,178,34.2136
895000,179,67.9718,858.4,-10482.2490234375,748.29,179,31.8864
900000,180,120.6086,361.38,-12998.3369140625,330.35,180,30.6507
905000,181,24.1797,543.78,-9470.8837890625,640.82,181,29.4437
910000,182,47.2315,1039.77,-13489.046875,1004.82,182,34.1943
915000,183,45.2631,1044.05,-13837.517578125,1047.3,183,34.6676
920000,184,96.1522,1098.62,-12538.1962890625,1189.27,184,32.6591
925000,185,99.286,1101.92,-13328.8505859375,1006.34,185,30.982
930000,186,45.5833,1018.34,-13552.0224609375,1018.25,186,35.4058
