Running Forward KL,Running Env Steps,Itration,Real Det Return,Running Reverse KL,Running Update Time,Reward Loss,Real Sto Return
19.3029,515000,103,3496.03,13.5619,103,-755.2781982421875,3475.6
19.6903,520000,104,3490.1,12.1456,104,-794.1318359375,3425.65
19.0522,525000,105,3512.0,11.0991,105,-745.260009765625,3247.77
19.88,530000,106,3569.35,15.5779,106,-918.8727416992188,2569.6
20.6456,535000,107,3511.7,14.2837,107,-947.5006103515625,3026.1
20.4708,540000,108,3517.82,25.569,108,-1054.792724609375,2610.2
19.6441,545000,109,3510.34,14.246,109,-854.6422729492188,3195.81
20.1886,550000,110,3556.26,13.0814,110,-945.806640625,3280.77
19.5329,555000,111,3528.11,13.0685,111,-828.2754516601562,3217.94
21.022,560000,112,3572.26,16.9402,112,-1071.0816650390625,2858.71
21.2113,565000,113,3508.83,17.4726,113,-1121.0028076171875,2763.07
19.0961,570000,114,3489.97,16.3319,114,-1074.5133056640625,3217.52
20.6059,575000,115,3589.4,19.7261,115,-1116.97607421875,3112.19
19.1167,580000,116,3464.46,12.6152,116,-837.5877685546875,3303.79
19.7947,585000,117,3531.41,11.8741,117,-890.4691162109375,3450.74
20.5691,590000,118,3541.89,13.4159,118,-1103.3988037109375,3385.97
19.2664,595000,119,3561.91,12.344,119,-883.4569702148438,3536.92
20.3415,600000,120,3545.05,14.3471,120,-1077.7666015625,3356.9
20.2745,605000,121,3555.03,11.7723,121,-928.41943359375,3437.37
19.52,610000,122,3587.04,11.793,122,-1015.286865234375,3200.29
18.1987,615000,123,3539.62,10.496,123,-914.064697265625,3415.75
19.1623,620000,124,3536.81,11.2885,124,-974.6616821289062,3408.83
18.9756,625000,125,3549.27,11.8776,125,-1003.1200561523438,3134.12
21.1496,630000,126,3609.35,23.224,126,-1427.8013916015625,2718.45
18.8976,635000,127,3549.28,11.7026,127,-983.5067749023438,3522.33
19.9641,640000,128,3505.61,12.7264,128,-1218.169921875,3252.73
20.4728,645000,129,3555.25,16.3353,129,-1364.158447265625,3099.85
19.8393,650000,130,3553.84,15.2835,130,-1294.585693359375,2853.91
19.9618,655000,131,3548.42,12.3412,131,-1150.134521484375,3212.78
19.8644,660000,132,3543.7,12.0235,132,-1133.105224609375,3293.76
19.4697,665000,133,3527.42,11.6991,133,-1073.36767578125,3403.82
20.4434,670000,134,3461.45,11.7799,134,-1240.6163330078125,2845.33
19.381,675000,135,3542.31,11.8883,135,-1117.9080810546875,3452.0
20.5102,680000,136,3543.72,12.3242,136,-1261.3582763671875,3505.59
19.9299,685000,137,3561.9,13.9332,137,-1308.580322265625,3279.09
19.753,690000,138,3564.46,11.5416,138,-1186.8956298828125,3175.37
19.8651,695000,139,3522.13,11.6664,139,-1260.9942626953125,3454.93
19.8991,700000,140,3556.03,12.172,140,-1253.0799560546875,3406.42
20.9898,705000,141,3546.05,16.8704,141,-1469.6812744140625,3225.02
21.1733,710000,142,3569.76,15.4254,142,-1520.91845703125,3283.78
21.1749,715000,143,3563.23,18.5454,143,-1446.731201171875,3257.39
19.8643,720000,144,3528.28,12.2397,144,-1347.7923583984375,3351.83
19.9182,725000,145,3571.03,12.3754,145,-1327.0035400390625,2942.34
19.5467,730000,146,3546.64,11.7165,146,-1354.3587646484375,3418.48
19.7403,735000,147,3534.81,11.8394,147,-1436.6075439453125,3464.9
18.7759,740000,148,3514.27,11.2619,148,-1283.406982421875,3410.08
19.5265,745000,149,3569.21,13.1746,149,-1417.447021484375,3448.73
19.9984,750000,150,3569.1,12.7978,150,-1467.953125,3267.17
20.3276,755000,151,3564.23,14.4047,151,-1655.6549072265625,3270.49
19.3416,760000,152,3524.54,14.1514,152,-1468.5965576171875,3430.97
19.3989,765000,153,3556.83,11.5809,153,-1409.623046875,3467.9
20.1556,770000,154,3565.73,15.1581,154,-1625.3895263671875,3248.75
19.4567,775000,155,3547.39,12.45,155,-1526.1817626953125,3004.04
20.7273,780000,156,3540.51,13.0187,156,-1628.4334716796875,2757.53
20.0048,785000,157,3557.64,13.0904,157,-1560.2332763671875,3411.31
20.1699,790000,158,3583.23,17.1294,158,-1641.895263671875,2887.39
20.7349,795000,159,3568.63,15.4896,159,-1665.1190185546875,2872.97
19.5246,800000,160,3565.27,13.5823,160,-1587.5374755859375,3461.0
19.6863,805000,161,3533.87,11.9058,161,-1597.954833984375,3464.21
21.0675,810000,162,3522.16,15.37,162,-1724.3519287109375,3394.32
19.4733,815000,163,3579.59,12.5327,163,-1534.3466796875,3067.45
20.576,820000,164,3563.83,12.6573,164,-1735.7923583984375,3538.15
20.215,825000,165,3580.43,13.4316,165,-1751.023681640625,3348.01
19.3861,830000,166,3534.67,13.4894,166,-1666.0487060546875,3505.32
20.5999,835000,167,3555.38,33.0165,167,-1972.0174560546875,2950.51
20.3719,840000,168,3573.08,12.2484,168,-1843.0584716796875,3523.63
19.3667,845000,169,3556.23,12.0039,169,-1707.710205078125,3522.28
20.6055,850000,170,3590.49,22.8794,170,-1891.471435546875,3082.35
19.7578,855000,171,3588.82,12.0728,171,-1809.80029296875,2912.01
19.5551,860000,172,3568.27,11.7869,172,-1674.4141845703125,3292.58
19.4014,865000,173,3551.92,14.4043,173,-1797.348876953125,2948.7
20.0009,870000,174,3576.68,12.754,174,-1782.0118408203125,3524.41
18.712,875000,175,3551.06,11.4023,175,-1704.668701171875,3491.61
19.1391,880000,176,3548.33,11.2995,176,-1741.46533203125,3433.23
19.9248,885000,177,3560.56,12.1018,177,-1754.4468994140625,3482.54
19.1484,890000,178,3516.16,11.2696,178,-1820.2515869140625,3306.12
19.3064,895000,179,3555.17,12.8311,179,-1827.1533203125,3401.79
19.5254,900000,180,3536.9,11.241,180,-1821.984619140625,3427.22
19.6369,905000,181,3562.08,12.2803,181,-1946.177490234375,3524.64
19.902,910000,182,3557.93,14.1607,182,-2087.6357421875,3273.09
19.4245,915000,183,3490.02,14.2758,183,-1892.88134765625,3228.54
20.0914,920000,184,3590.42,13.7931,184,-2032.2679443359375,3429.98
19.3201,925000,185,3521.68,11.4013,185,-1901.2882080078125,3498.64
19.4816,930000,186,3573.9,12.3591,186,-1952.4495849609375,3358.5
21.0966,935000,187,3543.4,16.1686,187,-2142.169921875,3378.87
20.3448,940000,188,3561.2,12.1192,188,-2140.2236328125,3006.29
19.4997,945000,189,3546.31,12.0639,189,-2190.80615234375,3451.87
20.0175,950000,190,3593.11,12.9353,190,-2172.007568359375,3444.68
19.8707,955000,191,3569.54,13.673,191,-2149.391357421875,3266.06
19.7087,960000,192,3553.31,12.2147,192,-2253.34423828125,3363.92
19.6872,965000,193,3558.9,18.7874,193,-2219.822998046875,2656.19
19.1672,970000,194,3554.63,18.8927,194,-2226.396728515625,3428.66
19.9777,975000,195,3578.18,11.9756,195,-2158.550537109375,3358.06
19.4559,980000,196,3540.43,11.3542,196,-2173.785400390625,3309.38
20.4916,985000,197,3586.7,12.573,197,-2409.667236328125,3296.1
20.5994,990000,198,3547.32,13.7441,198,-2423.172607421875,3222.86
20.2662,995000,199,3588.65,16.9137,199,-2360.212646484375,3361.58
