Real Det Return,Running Forward KL,Reward Loss,Running Reverse KL,Itration,Running Update Time,Running Env Steps,Real Sto Return
1051.58,33.6112,-3132.280517578125,28.7877,88,88,440000,1050.59
404.57,30.1661,-2908.318115234375,23.0724,89,89,445000,401.18
493.39,28.8336,-2986.468994140625,29.112,90,90,450000,486.98
393.5,29.7001,-3108.90185546875,46.9696,91,91,455000,403.97
991.63,30.239,-3060.187744140625,21.7086,92,92,460000,1095.22
1097.3,31.8488,-3726.524658203125,32.9533,93,93,465000,1100.33
990.87,38.6179,-4163.56494140625,60.8627,94,94,470000,990.56
982.55,38.0961,-4154.19482421875,43.0812,95,95,475000,982.62
985.76,39.6077,-4238.2734375,43.747,96,96,480000,985.62
994.44,38.0789,-4265.49755859375,37.7693,97,97,485000,994.99
984.92,38.1836,-3997.14501953125,31.4932,98,98,490000,985.36
985.86,37.7182,-4029.27001953125,25.1901,99,99,495000,987.06
991.02,37.9024,-4550.36376953125,64.677,100,100,500000,991.12
979.24,38.9643,-4604.29296875,67.8417,101,101,505000,979.14
989.7,39.1836,-4616.318359375,56.8623,102,102,510000,989.83
989.13,35.4147,-4655.33740234375,53.2538,103,103,515000,989.53
1037.86,36.0468,-4869.85107421875,48.2186,104,104,520000,1038.2
1033.76,35.493,-4968.12744140625,70.4527,105,105,525000,1033.68
358.15,32.0849,-4868.75830078125,55.5114,106,106,530000,359.77
905.84,28.2234,-3619.83837890625,52.275,107,107,535000,824.78
485.96,28.7274,-4695.87890625,52.6156,108,108,540000,459.32
443.05,33.8344,-5269.15087890625,84.627,109,109,545000,436.14
1026.28,35.2325,-5286.89306640625,60.4084,110,110,550000,1025.39
1027.31,34.2902,-5226.26123046875,54.0696,111,111,555000,1027.44
1004.47,35.1083,-5223.720703125,54.5931,112,112,560000,1004.65
1016.82,33.9718,-5278.052734375,60.5939,113,113,565000,1016.76
1028.21,34.3223,-5347.33642578125,42.7972,114,114,570000,1071.13
1022.14,34.7229,-5601.76953125,50.1558,115,115,575000,1022.37
601.41,33.828,-5420.7353515625,42.6556,116,116,580000,608.02
51.46,34.7407,-5796.61572265625,205.3828,117,117,585000,103.38
148.9,32.3827,-5979.5810546875,194.4247,118,118,590000,115.28
10.58,38.9315,-6085.48095703125,198.831,119,119,595000,10.51
299.98,31.156,-5804.8701171875,149.3721,120,120,600000,275.67
335.03,30.6712,-5677.8515625,44.3428,121,121,605000,333.19
340.43,31.9367,-6005.82177734375,140.7252,122,122,610000,343.87
303.38,32.9274,-5996.38134765625,41.8248,123,123,615000,305.64
431.51,33.208,-5592.57373046875,27.2987,124,124,620000,455.8
354.18,31.0693,-4157.8857421875,24.9652,125,125,625000,357.5
1047.36,33.815,-6226.05322265625,48.01,126,126,630000,1047.5
1046.65,34.0158,-6260.6552734375,49.6171,127,127,635000,1046.82
1057.61,29.5547,-3918.61767578125,25.6313,128,128,640000,1098.59
1191.59,29.9289,-4085.299072265625,25.6137,129,129,645000,1195.61
351.0,31.2079,-6100.537109375,50.9395,130,130,650000,348.66
423.34,30.8145,-5899.19287109375,83.5866,131,131,655000,395.27
1004.5,30.8073,-4772.052734375,43.0583,132,132,660000,986.2
572.9,32.9613,-6892.28662109375,53.5175,133,133,665000,473.37
70.5,32.3384,-7110.9228515625,91.6204,134,134,670000,71.57
7.0,40.5086,-8147.955078125,203.2584,135,135,675000,6.93
38.25,31.7068,-5478.60205078125,103.0129,136,136,680000,38.09
136.7,32.1308,-4480.54736328125,35.3666,137,137,685000,138.72
249.39,32.531,-4640.853515625,39.7588,138,138,690000,245.52
345.72,28.6651,-3473.56787109375,113.1195,139,139,695000,367.17
324.51,31.6467,-2476.686279296875,21.1437,140,140,700000,327.23
305.99,30.0374,-2035.5689697265625,19.4693,141,141,705000,309.08
275.8,31.2748,-2855.7666015625,18.6736,142,142,710000,274.85
354.07,31.6698,-3063.65087890625,19.8253,143,143,715000,278.2
890.7,33.6854,-6277.04150390625,29.7972,144,144,720000,934.46
986.87,37.1604,-6738.908203125,29.053,145,145,725000,986.46
986.39,35.7402,-5937.4384765625,28.9541,146,146,730000,986.55
991.12,36.4141,-6318.13623046875,36.3937,147,147,735000,991.05
410.09,29.5958,-6443.28564453125,42.7142,148,148,740000,392.61
485.68,30.7286,-6645.13671875,109.3932,149,149,745000,484.14
1047.77,33.6913,-7363.56591796875,56.4174,150,150,750000,1045.32
1025.59,35.2968,-7618.86962890625,76.8515,151,151,755000,1025.74
1000.93,36.567,-7529.35009765625,47.5584,152,152,760000,1000.95
1010.54,38.3567,-7746.23046875,89.1645,153,153,765000,1010.47
4.33,35.9801,-8509.01171875,89.1574,154,154,770000,4.52
57.63,34.676,-7707.93212890625,31.8358,155,155,775000,56.69
241.57,33.3278,-8232.9306640625,132.8145,156,156,780000,244.82
279.64,33.991,-8169.0322265625,43.7485,157,157,785000,278.03
381.74,27.393,-4787.5634765625,45.9957,158,158,790000,359.74
969.58,32.9141,-6090.50537109375,24.2988,159,159,795000,908.86
438.3,29.8649,-6655.06396484375,90.7402,160,160,800000,443.4
307.36,29.7649,-3158.398681640625,17.6431,161,161,805000,307.22
357.2,30.1803,-6165.87646484375,26.5107,162,162,810000,354.39
235.35,32.8049,-7030.16650390625,39.4279,163,163,815000,233.47
256.04,31.9684,-7158.826171875,135.7335,164,164,820000,256.09
213.69,31.4686,-5677.2744140625,37.4634,165,165,825000,216.02
974.49,33.4551,-6445.77392578125,26.7956,166,166,830000,976.57
962.23,33.2421,-6896.96630859375,30.5949,167,167,835000,963.36
938.43,32.1155,-7072.97021484375,22.0292,168,168,840000,894.93
503.37,31.871,-7953.2236328125,146.4815,169,169,845000,493.39
