Real Det Return,Running Update Time,Real Sto Return,Running Reverse KL,Running Forward KL,Running Env Steps,Reward Loss,Itration
3354.75,111,2799.9,23.3016,19.2584,555000,-1585.33544921875,111
3408.64,112,3321.61,12.103,18.3929,560000,-372.58538818359375,112
3385.55,113,3173.22,13.7814,18.956,565000,-948.904541015625,113
3413.83,114,2778.84,22.2143,19.2019,570000,-2056.613525390625,114
3399.71,115,2952.48,23.405,19.0857,575000,-1128.7469482421875,115
3429.06,116,2158.99,39.6335,19.4614,580000,-2030.660888671875,116
3075.66,117,2063.98,61.493,20.7114,585000,-3730.9365234375,117
3466.49,118,2846.38,31.4488,19.0121,590000,-1912.6605224609375,118
3394.5,119,2947.69,23.8325,19.5942,595000,-1889.67919921875,119
3454.85,120,2888.23,37.3693,19.6867,600000,-2290.698486328125,120
3430.64,121,2527.48,49.1538,19.8482,605000,-3179.427978515625,121
2901.9,122,1830.32,45.7813,20.6508,610000,-3283.940185546875,122
3421.6,123,2500.83,28.7332,19.792,615000,-2682.47705078125,123
3383.54,124,2910.53,14.6482,18.9026,620000,-1037.00341796875,124
2972.63,125,2294.63,35.3766,20.8688,625000,-2700.29541015625,125
3281.17,126,2680.73,48.0271,19.8961,630000,-2819.413330078125,126
3389.08,127,2353.18,35.3518,20.4162,635000,-3053.722412109375,127
3350.35,128,2719.62,18.8237,20.2116,640000,-1720.4739990234375,128
3403.19,129,2075.64,30.8431,20.5009,645000,-2795.5146484375,129
3334.0,130,2273.74,34.2651,19.4088,650000,-2717.521240234375,130
2746.16,131,1281.0,89.5997,22.435,655000,-5024.75439453125,131
3460.99,132,2642.53,15.0009,19.499,660000,-1201.654052734375,132
3489.89,133,2378.51,24.7277,19.902,665000,-1987.7305908203125,133
3420.28,134,2612.2,19.6026,19.1948,670000,-1926.1673583984375,134
3411.57,135,3068.0,27.7791,20.0011,675000,-2399.113525390625,135
3478.63,136,2925.74,26.8185,19.1128,680000,-1603.7667236328125,136
3530.04,137,2217.43,47.3815,20.2106,685000,-3628.5302734375,137
3473.54,138,2886.01,14.7671,18.9565,690000,-922.1715087890625,138
3412.97,139,2997.8,17.4201,19.5251,695000,-1257.7874755859375,139
3470.38,140,2643.81,25.4225,19.7061,700000,-2071.468505859375,140
3501.3,141,2166.77,38.2262,20.8269,705000,-2691.55029296875,141
3390.42,142,2608.0,14.3433,19.0506,710000,-899.1199340820312,142
3403.95,143,3062.62,30.0979,19.6331,715000,-2923.924560546875,143
3416.38,144,3138.47,27.1541,19.2838,720000,-1676.4229736328125,144
2899.13,145,1819.21,54.9934,21.6568,725000,-4507.3740234375,145
3436.46,146,2513.58,24.994,19.8379,730000,-2907.423583984375,146
3486.86,147,2240.11,45.3433,20.4118,735000,-3643.483154296875,147
3497.19,148,2857.41,27.4427,19.0878,740000,-2061.588134765625,148
3366.3,149,1911.68,16.6809,19.6789,745000,-2327.296630859375,149
137.82,150,780.43,93.9203,21.8244,750000,-6403.97509765625,150
3406.97,151,2518.99,22.9735,20.1981,755000,-2390.447509765625,151
3444.12,152,1999.91,65.0871,21.2198,760000,-5006.3828125,152
3319.18,153,2533.64,16.2774,19.0866,765000,-1908.6846923828125,153
2865.92,154,2008.74,71.9223,21.7724,770000,-5668.96484375,154
3395.97,155,2199.57,33.326,20.0778,775000,-3436.92041015625,155
3015.87,156,2015.89,36.1504,20.1868,780000,-4066.590087890625,156
3476.34,157,2129.46,28.0026,19.768,785000,-2654.22216796875,157
3430.62,158,3387.58,12.84,18.3673,790000,-855.3088989257812,158
3393.72,159,2407.75,54.8703,20.658,795000,-4717.7470703125,159
3407.36,160,3047.37,22.8534,18.4732,800000,-2697.69091796875,160
3393.46,161,2695.96,37.5858,19.4668,805000,-3822.75146484375,161
3263.55,162,3062.59,19.7322,19.1654,810000,-1327.0311279296875,162
3504.28,163,2770.03,33.6728,19.9901,815000,-3629.1767578125,163
3448.68,164,2571.11,30.4361,19.7095,820000,-2842.537353515625,164
3424.15,165,2943.07,14.3627,18.7399,825000,-1564.734130859375,165
2234.97,166,2304.42,66.5869,20.6224,830000,-5646.86279296875,166
3140.92,167,2279.45,43.4175,21.3607,835000,-5007.3203125,167
3422.33,168,2828.45,20.6422,18.8405,840000,-2271.96875,168
3409.67,169,3104.11,18.078,19.0892,845000,-1532.7467041015625,169
3115.76,170,2599.43,23.5413,19.4828,850000,-3015.279296875,170
3422.93,171,3037.96,19.3391,18.6853,855000,-2262.864501953125,171
3374.07,172,2560.01,65.2214,20.6586,860000,-4668.02685546875,172
3407.44,173,2959.05,15.8308,18.8439,865000,-1677.824462890625,173
3445.49,174,2595.2,24.6533,19.0356,870000,-3451.6123046875,174
3463.63,175,2838.3,35.6055,19.8516,875000,-3290.3251953125,175
3429.49,176,2944.39,34.6451,19.4306,880000,-3109.798583984375,176
3003.45,177,2367.64,46.7779,20.6496,885000,-4422.54638671875,177
3411.46,178,3110.43,18.4186,19.013,890000,-1890.549560546875,178
2939.12,179,2025.97,50.6591,20.6656,895000,-5197.56298828125,179
3428.43,180,3335.27,22.7428,18.6514,900000,-2436.18017578125,180
3392.07,181,2358.42,50.7531,20.6018,905000,-5287.2138671875,181
3450.41,182,2606.95,26.9333,20.3191,910000,-3784.582763671875,182
2339.84,183,1867.48,46.7412,20.0995,915000,-5434.00244140625,183
3429.27,184,3228.07,20.0294,18.6794,920000,-1681.773193359375,184
3451.46,185,3276.43,12.274,18.7383,925000,-748.6402587890625,185
3451.31,186,2908.14,16.4524,18.7812,930000,-2323.917724609375,186
2867.06,187,2192.41,36.628,19.8305,935000,-4148.9326171875,187
2584.33,188,2114.52,61.5102,20.7596,940000,-6338.55517578125,188
3484.5,189,2647.11,17.4123,19.4849,945000,-1590.1566162109375,189
3515.53,190,2641.58,34.3954,20.217,950000,-3889.660888671875,190
3446.28,191,2591.55,29.1916,19.6206,955000,-3997.12158203125,191
3427.52,192,2756.31,28.6567,20.2146,960000,-3112.25439453125,192
3418.51,193,2878.28,20.4585,19.5905,965000,-2799.57958984375,193
3460.8,194,2727.05,27.1602,19.8832,970000,-3040.131591796875,194
3469.82,195,3040.09,41.342,20.1843,975000,-4633.330078125,195
3432.41,196,2135.68,28.972,19.7264,980000,-3537.95751953125,196
3428.03,197,3009.81,19.9006,18.3472,985000,-2540.78759765625,197
3435.75,198,3050.28,32.0176,19.7881,990000,-3372.71630859375,198
3422.75,199,3086.6,24.9159,18.9132,995000,-4112.22509765625,199
