Running Env Steps,Itration,Running Forward KL,Reward Loss,Running Update Time,Real Det Return,Real Sto Return,Running Reverse KL
255000,51,37.6376,-2651.80615234375,51,984.91,980.09,46.9039
260000,52,37.3864,-2768.57861328125,52,1009.71,1009.85,43.8033
265000,53,36.9016,-2755.160400390625,53,1016.41,1017.79,30.3923
270000,54,33.7609,-2605.0517578125,54,366.91,365.99,31.1155
275000,55,33.1724,-2705.34765625,55,350.66,352.09,42.8368
280000,56,32.2684,-1878.4693603515625,56,253.96,268.07,18.5372
285000,57,33.872,-2972.545166015625,57,88.75,98.76,45.4565
290000,58,39.4932,-3018.844482421875,58,1033.83,1034.61,40.6434
295000,59,37.898,-2939.080078125,59,1005.36,1003.15,33.0775
300000,60,38.6901,-3024.372314453125,60,1036.53,1036.92,37.0188
305000,61,37.6865,-3088.990234375,61,1026.38,1028.58,28.151
310000,62,31.6946,-2072.53759765625,62,124.91,127.49,24.0463
315000,63,39.916,-3308.287353515625,63,1006.59,1006.08,39.5797
320000,64,39.0706,-3391.448486328125,64,999.28,998.89,46.9759
325000,65,32.4986,-2693.3427734375,65,96.39,98.51,30.5163
330000,66,36.9783,-3159.388916015625,66,1038.0,1043.09,24.9989
335000,67,32.7377,-3077.898681640625,67,1091.46,916.53,21.9801
340000,68,33.1798,-3282.569580078125,68,973.95,929.42,47.7041
345000,69,36.3565,-3712.016845703125,69,1019.74,1019.66,58.0468
350000,70,39.2739,-3590.8818359375,70,1002.22,1001.26,31.0081
355000,71,38.0528,-3797.83251953125,71,1005.68,1005.16,54.9193
360000,72,39.8033,-3789.010986328125,72,994.82,994.95,48.3114
365000,73,36.9983,-3822.0693359375,73,1037.88,1037.41,36.6783
370000,74,38.3334,-3838.189697265625,74,1006.38,1006.04,38.5083
375000,75,37.053,-3893.567138671875,75,1002.99,1002.97,43.1543
380000,76,37.2935,-3978.259521484375,76,986.24,984.73,38.2477
385000,77,38.8796,-4112.80224609375,77,998.8,998.81,55.4149
390000,78,37.5449,-4083.811767578125,78,1002.99,1002.9,40.3737
395000,79,38.9554,-4171.552734375,79,1002.45,1002.36,40.9064
400000,80,38.9453,-4177.8935546875,80,988.45,990.94,35.7001
405000,81,39.9937,-4322.19580078125,81,997.19,996.82,43.8907
410000,82,34.4656,-3944.668701171875,82,146.97,139.22,24.0472
415000,83,31.4968,-4183.50732421875,83,186.03,184.51,61.307
420000,84,36.6615,-4355.4794921875,84,1052.29,1052.04,27.7645
425000,85,38.8183,-4429.83984375,85,985.05,982.18,35.2065
430000,86,35.3325,-4516.2099609375,86,1030.49,1033.95,26.679
435000,87,38.0881,-4642.16748046875,87,905.87,893.43,36.425
440000,88,35.8697,-4030.042724609375,88,978.8,870.95,32.656
445000,89,39.8797,-4705.39892578125,89,991.2,991.05,31.0716
450000,90,31.9522,-3945.6416015625,90,86.25,86.05,29.1697
455000,91,27.4783,-3607.8935546875,91,505.12,511.8,27.9957
460000,92,32.7332,-4035.55517578125,92,256.74,254.64,49.1656
465000,93,37.2623,-4739.54443359375,93,987.3,992.47,25.2756
470000,94,38.1082,-4925.95263671875,94,996.19,995.8,27.5487
475000,95,33.8748,-4463.3671875,95,938.67,755.73,29.6364
480000,96,35.1661,-4814.60986328125,96,304.7,301.62,60.801
485000,97,35.7421,-5208.7158203125,97,259.28,345.63,70.2563
490000,98,34.9456,-5491.25,98,274.42,273.2,63.7219
495000,99,31.3659,-3968.092041015625,99,271.55,272.49,18.689
500000,100,27.9461,-4407.87353515625,100,374.26,367.12,25.9393
505000,101,37.7284,-5292.32958984375,101,1004.87,1005.31,25.706
510000,102,37.322,-5350.595703125,102,1029.15,1029.79,24.8822
515000,103,36.8598,-5505.919921875,103,1023.15,1034.7,26.2788
520000,104,33.9941,-5227.33349609375,104,672.76,634.98,83.7139
525000,105,39.1993,-5608.6875,105,979.56,979.55,29.7902
530000,106,34.2214,-5519.359375,106,1059.03,1047.64,31.5738
535000,107,32.7326,-4563.12451171875,107,618.56,672.42,21.7576
540000,108,38.5032,-5899.4970703125,108,1008.48,1009.21,43.0822
545000,109,32.214,-4483.9775390625,109,95.69,94.24,39.9918
550000,110,39.9928,-6085.09716796875,110,1019.91,1020.11,41.1138
555000,111,38.7588,-6075.42822265625,111,999.22,1003.85,42.9814
560000,112,36.2469,-6151.5224609375,112,1035.2,1034.5,32.4738
565000,113,39.9105,-6282.197265625,113,1022.67,1022.61,44.9284
570000,114,38.9701,-6146.53759765625,114,1020.73,1021.07,39.3608
575000,115,37.052,-6254.0927734375,115,1033.38,1034.65,35.6114
580000,116,38.8068,-3972.382568359375,116,23.8,22.96,177.4894
585000,117,39.5701,-6391.322265625,117,985.9,986.07,53.6568
590000,118,37.4163,-6589.65283203125,118,982.91,982.86,58.274
595000,119,34.7875,-6456.625,119,1010.46,1011.45,31.1866
600000,120,38.1611,-6566.47119140625,120,1032.32,1032.06,48.1649
605000,121,36.6457,-6646.716796875,121,1047.51,1047.76,35.5348
610000,122,35.4591,-6679.38818359375,122,1043.51,985.17,44.1628
615000,123,38.1524,-6523.1484375,123,1004.88,1002.99,26.1925
620000,124,37.1675,-6945.2001953125,124,989.3,988.02,38.9404
625000,125,38.4062,-6942.6669921875,125,980.99,980.5,48.414
630000,126,36.8679,-7007.6259765625,126,982.32,981.71,37.404
635000,127,34.8234,-6696.19140625,127,1014.99,1015.79,34.1011
640000,128,37.4111,-7189.78173828125,128,996.94,996.67,36.8692
645000,129,37.247,-7097.05859375,129,1036.11,1043.08,26.1357
650000,130,37.7165,-7036.70361328125,130,994.43,993.58,30.5424
655000,131,37.7648,-6940.7626953125,131,1003.66,1003.37,27.1606
660000,132,36.817,-7220.787109375,132,988.66,858.8,31.2894
665000,133,39.4203,-7524.658203125,133,999.13,998.76,45.2333
670000,134,37.3971,-7630.14501953125,134,997.55,997.91,42.0181
675000,135,35.5277,-7395.53759765625,135,1012.98,1002.83,24.2646
680000,136,35.2555,-7519.9619140625,136,1052.46,1051.51,30.0522
685000,137,34.7531,-7476.69384765625,137,1055.21,1055.84,38.7657
690000,138,33.1581,-7364.24658203125,138,1058.65,1055.06,30.3795
695000,139,37.1347,-7928.7900390625,139,1039.34,1038.84,37.7074
700000,140,38.8358,-7966.81201171875,140,979.73,980.14,42.6082
705000,141,32.0812,-3365.43896484375,141,258.89,116.35,19.4903
710000,142,38.6483,-8037.56982421875,142,1035.19,1034.93,41.6959
715000,143,34.2945,-4438.830078125,143,12.3,12.52,64.1155
720000,144,40.0315,-8196.2490234375,144,990.12,991.72,45.5593
725000,145,40.9739,-8428.1767578125,145,1017.87,1008.63,39.2419
730000,146,40.0391,-8418.3369140625,146,1018.63,1017.54,32.3141
735000,147,39.1711,-8497.1357421875,147,985.95,985.07,38.4679
740000,148,38.7404,-8572.45703125,148,982.9,983.09,41.9765
745000,149,37.4638,-8681.755859375,149,982.93,982.51,43.9119
750000,150,38.1545,-8718.0849609375,150,981.06,980.04,46.9547
755000,151,32.2951,-8201.7177734375,151,105.07,109.46,133.9589
760000,152,37.542,-8625.1787109375,152,113.63,105.54,44.827
765000,153,38.3066,-8691.3310546875,153,994.12,994.82,49.0134
770000,154,33.7787,-7803.291015625,154,808.25,725.01,37.619
775000,155,38.1462,-8694.357421875,155,30.63,30.59,40.2114
780000,156,34.0554,-8104.19873046875,156,183.25,175.65,26.758
785000,157,40.0477,-9422.361328125,157,1007.17,1007.13,43.0218
790000,158,38.0904,-9332.0048828125,158,131.09,138.97,41.4161
795000,159,37.8362,-9400.416015625,159,1010.21,1009.11,32.5166
800000,160,38.2293,-9390.73828125,160,1009.16,1009.17,40.7604
805000,161,33.0763,-8048.416015625,161,129.18,130.57,32.6253
810000,162,38.506,-7357.5146484375,162,367.79,369.66,49.1625
815000,163,29.601,-8314.130859375,163,196.49,196.53,53.2822
820000,164,38.3076,-7982.2548828125,164,334.86,325.94,48.6493
825000,165,39.2596,-9978.8046875,165,977.43,975.72,44.2653
830000,166,38.8949,-9801.8671875,166,983.9,984.5,37.368
835000,167,39.3484,-9850.8095703125,167,991.51,990.5,27.4916
840000,168,32.6673,-6629.0166015625,168,198.79,219.3,45.8672
845000,169,38.4884,-10166.1484375,169,970.62,970.58,51.43
850000,170,33.6276,-8630.4541015625,170,580.82,578.63,28.4185
855000,171,37.0989,-10293.599609375,171,1044.26,1044.3,37.3099
860000,172,32.68,-7931.63330078125,172,704.35,630.86,27.0106
865000,173,38.7191,-10585.3603515625,173,985.73,984.66,44.3269
870000,174,40.5101,-10589.91796875,174,978.18,977.43,45.8549
875000,175,39.7238,-10599.796875,175,975.06,974.39,52.552
880000,176,39.4607,-10679.5849609375,176,973.73,973.43,55.7893
885000,177,36.2169,-10510.0498046875,177,1023.03,1023.29,45.2882
890000,178,35.87,-10596.37890625,178,1036.79,992.82,32.0149
895000,179,34.832,-9590.8466796875,179,1050.76,1051.02,27.8397
900000,180,38.5686,-10829.2109375,180,1043.65,916.25,32.5859
905000,181,35.006,-10947.87890625,181,1056.21,1056.14,35.3504
910000,182,36.2436,-11097.2763671875,182,1047.18,1046.91,38.0997
915000,183,37.7437,-11125.40234375,183,1018.93,1019.45,30.2087
920000,184,38.0302,-11271.287109375,184,1013.4,1013.41,28.6603
925000,185,36.9078,-11308.7392578125,185,91.87,87.41,31.4285
930000,186,34.3947,-11307.1083984375,186,241.71,380.35,37.8673
935000,187,33.5702,-10113.701171875,187,741.34,452.87,41.9153
940000,188,32.9723,-11176.7900390625,188,1002.02,983.55,41.7682
945000,189,35.1961,-11659.96484375,189,995.98,995.95,45.0437
950000,190,36.1436,-12045.2041015625,190,1006.55,1005.91,58.8102
955000,191,35.6699,-11731.9921875,191,1055.43,1055.46,36.2672
960000,192,33.0291,-8746.3623046875,192,377.98,383.07,31.4166
965000,193,33.7477,-9018.888671875,193,425.77,407.3,54.447
970000,194,36.3923,-11914.43359375,194,1063.31,1063.12,34.8624
975000,195,38.369,-12305.0458984375,195,997.41,997.95,53.4829
980000,196,37.8872,-12468.568359375,196,997.38,997.6,48.0583
985000,197,38.2457,-12628.9541015625,197,994.49,993.48,48.3563
990000,198,35.737,-12278.3466796875,198,1044.37,1034.11,29.2199
995000,199,33.8164,-12155.5390625,199,1061.18,1061.27,34.7993
