Running Update Time,Itration,Running Forward KL,Real Sto Return,Running Env Steps,Reward Loss,Real Det Return,Running Reverse KL
75,75,33.9434,1074.39,375000,-4881.4833984375,1075.75,29.733
76,76,34.1554,1061.84,380000,-5743.53173828125,1061.93,79.1406
77,77,33.986,1051.61,385000,-5525.75244140625,1051.85,34.4095
78,78,33.9113,1063.24,390000,-5214.33447265625,1063.53,32.263
79,79,33.4843,52.55,395000,-5754.1806640625,51.98,59.6144
80,80,34.3889,1045.26,400000,-6084.4892578125,1045.35,73.1688
81,81,34.761,1048.07,405000,-6164.44873046875,1048.33,88.7302
82,82,33.9712,1041.11,410000,-6227.7626953125,1041.16,51.9215
83,83,33.8782,1048.41,415000,-6054.4248046875,1048.34,40.6093
84,84,33.7358,1050.2,420000,-5670.5810546875,1049.82,35.456
85,85,33.7372,947.73,425000,-5693.3935546875,951.26,47.5787
86,86,34.424,1008.16,430000,-5160.7451171875,1006.55,23.9537
87,87,32.544,738.21,435000,-6060.1220703125,652.68,32.253
88,88,33.9922,1039.19,440000,-5412.9892578125,1036.44,25.325
89,89,33.7597,1017.77,445000,-5914.845703125,1018.93,41.3638
90,90,34.4925,1035.93,450000,-5688.26904296875,1033.82,24.5159
91,91,34.5028,1066.95,455000,-5665.90283203125,1066.28,28.9897
92,92,33.7124,1047.86,460000,-5747.7490234375,1079.6,28.0666
93,93,33.248,1075.59,465000,-5979.99853515625,1075.59,28.8493
94,94,34.0997,1070.45,470000,-5783.35009765625,1069.97,30.4997
95,95,33.5489,1071.25,475000,-5786.5107421875,1071.27,30.4344
96,96,33.7916,1044.86,480000,-7130.00830078125,1044.39,111.5865
97,97,33.6568,1041.87,485000,-7020.53759765625,1042.1,45.0338
98,98,33.9856,1042.06,490000,-6900.8125,1041.75,32.1947
99,99,33.4021,1042.11,495000,-7116.80029296875,1042.07,38.0178
100,100,31.1788,83.16,500000,-6504.04443359375,82.34,35.3504
101,101,34.202,905.42,505000,-5884.60791015625,905.41,26.4244
102,102,33.4885,1048.98,510000,-6996.7119140625,1051.79,40.7289
103,103,35.0799,1030.7,515000,-7745.634765625,1030.45,139.5862
104,104,33.3153,1057.29,520000,-7397.2373046875,1055.9,71.1944
105,105,33.5855,1052.02,525000,-7339.26806640625,1052.15,35.7344
106,106,34.0606,1059.68,530000,-7296.38818359375,1059.5,28.4332
107,107,30.812,596.78,535000,-5741.24267578125,666.11,33.8607
108,108,33.329,901.02,540000,-6807.27685546875,899.7,27.7423
109,109,38.7998,976.53,545000,-7765.79345703125,976.35,59.8924
110,110,33.6228,1043.8,550000,-8052.64306640625,1044.9,107.8856
111,111,33.8021,875.04,555000,-6316.13037109375,869.69,31.3086
112,112,35.5599,1057.1,560000,-8246.732421875,1056.87,126.5332
113,113,33.3963,104.78,565000,-7144.53076171875,105.46,26.937
114,114,33.5557,1049.88,570000,-8282.7685546875,1049.92,122.4703
115,115,33.7628,1049.14,575000,-8411.0537109375,1048.57,98.9182
116,116,33.5762,1049.89,580000,-8426.4228515625,1050.06,122.4801
117,117,33.8909,532.39,585000,-8457.6640625,533.06,112.3743
118,118,34.1025,1053.09,590000,-8783.0537109375,1053.36,125.5725
119,119,34.8367,1045.91,595000,-8872.7109375,1045.88,122.9221
120,120,34.0173,1044.58,600000,-8883.73046875,1043.82,120.1519
121,121,31.3639,1022.25,605000,-8487.4951171875,931.1,92.8811
122,122,33.464,1048.35,610000,-8724.2783203125,1048.29,42.5073
123,123,29.5484,465.9,615000,-6470.41064453125,432.08,39.3343
124,124,34.2329,1008.86,620000,-8099.54052734375,1007.4,27.966
125,125,34.6254,966.78,625000,-8849.5771484375,967.18,135.2228
126,126,34.9632,1047.61,630000,-9334.25390625,1046.23,42.4889
127,127,34.4892,1038.9,635000,-8850.4501953125,1036.33,27.2022
128,128,30.0237,246.45,640000,-5297.4384765625,247.6,23.0801
129,129,33.0686,1044.89,645000,-9570.98046875,1044.89,52.875
130,130,33.7773,922.63,650000,-8995.13671875,929.6,101.9249
131,131,33.4614,973.94,655000,-8931.61328125,1037.21,27.0574
132,132,31.6296,630.6,660000,-7262.22607421875,615.08,24.8044
133,133,35.5219,1059.05,665000,-10040.8720703125,1059.07,117.7211
134,134,34.6452,1055.58,670000,-10071.8720703125,1055.59,120.4249
135,135,34.6386,1058.26,675000,-10147.1123046875,1058.15,126.0792
136,136,34.2229,1053.25,680000,-10145.3818359375,1053.28,124.3735
137,137,33.8055,1056.46,685000,-10104.0703125,1056.37,113.1196
138,138,33.2199,1042.7,690000,-10115.8349609375,1042.3,51.5922
139,139,36.0041,1063.6,695000,-10331.98828125,1063.57,104.6571
140,140,35.2604,1056.89,700000,-10550.7548828125,1057.39,128.502
141,141,33.7952,1045.54,705000,-10530.0654296875,1045.54,133.3265
142,142,34.3742,1046.37,710000,-10633.73046875,1046.33,133.9299
143,143,35.6913,1045.33,715000,-10757.9248046875,1045.25,140.2641
144,144,37.3706,1045.87,720000,-10947.859375,1045.92,138.0995
145,145,34.8489,1048.68,725000,-10975.4111328125,1048.55,123.9566
146,146,37.3009,1042.88,730000,-11133.2470703125,1043.05,130.5567
147,147,33.9404,1046.31,735000,-11060.45703125,1045.74,72.2305
148,148,34.587,1034.71,740000,-11157.2861328125,1041.8,80.9443
149,149,34.2594,802.94,745000,-9105.212890625,800.37,30.0407
150,150,33.8133,1049.99,750000,-11218.7587890625,1050.01,51.5624
151,151,34.1843,1052.8,755000,-11401.79296875,1052.78,54.3638
152,152,35.1316,633.23,760000,-8285.9921875,636.53,30.0428
153,153,34.3155,1038.86,765000,-11631.4462890625,1039.22,126.8554
154,154,33.8942,1029.29,770000,-11668.7783203125,1029.55,136.2712
155,155,35.2816,1036.16,775000,-11921.880859375,1035.95,140.0478
156,156,34.0166,1040.14,780000,-12002.2431640625,1040.63,131.5593
157,157,34.4044,1038.8,785000,-12115.919921875,1038.55,128.8996
158,158,33.4225,1040.29,790000,-12146.568359375,1040.33,137.7437
159,159,33.2218,1009.2,795000,-10644.029296875,1012.08,31.8926
160,160,34.7227,1040.67,800000,-12436.29296875,1040.64,140.5432
161,161,33.4573,1038.34,805000,-12248.4580078125,1039.81,56.4913
162,162,33.4124,1073.27,810000,-10931.08984375,1069.85,24.6507
163,163,33.6624,1049.9,815000,-12279.4560546875,1047.89,39.1755
164,164,33.4222,1043.24,820000,-12330.09375,1047.15,47.207
165,165,34.9339,1026.16,825000,-12619.2548828125,1027.0,60.7615
166,166,34.0543,1016.46,830000,-11343.814453125,1015.3,27.3047
167,167,34.0346,823.35,835000,-11612.703125,850.63,24.3655
168,168,33.739,1048.2,840000,-11635.7841796875,1047.9,30.746
169,169,33.2595,958.62,845000,-11397.7734375,960.97,30.4731
170,170,33.0678,709.57,850000,-10731.9873046875,698.15,37.9038
171,171,33.4011,1041.02,855000,-12919.6865234375,915.96,40.6003
172,172,33.4296,992.47,860000,-12945.7177734375,1043.3,49.7818
173,173,33.6981,1049.08,865000,-13427.4970703125,1048.44,113.2979
174,174,35.2173,1030.59,870000,-13631.556640625,1030.33,133.6341
175,175,35.2413,1033.9,875000,-13904.3056640625,1033.8,142.013
176,176,31.9765,260.32,880000,-10557.1533203125,297.84,184.1657
177,177,31.9882,295.04,885000,-10751.7880859375,292.34,157.0392
178,178,33.2668,194.34,890000,-14368.8701171875,193.67,199.5582
179,179,33.8173,1047.29,895000,-13802.234375,1047.15,123.279
180,180,37.1038,34.38,900000,-13341.708984375,33.76,204.5096
181,181,34.1604,1053.12,905000,-14107.7353515625,1053.32,132.1683
182,182,34.2542,1046.52,910000,-14316.7333984375,1046.38,123.761
183,183,35.6961,1046.72,915000,-14546.8505859375,1046.57,107.0588
184,184,34.7693,280.13,920000,-14148.869140625,280.13,85.3614
185,185,33.9674,201.36,925000,-13913.2685546875,201.57,84.3474
186,186,34.9015,181.64,930000,-14208.0146484375,181.65,75.9159
187,187,34.711,125.37,935000,-13483.91015625,125.59,103.0342
188,188,34.9845,240.38,940000,-13503.6279296875,240.5,133.8904
189,189,35.4654,265.26,945000,-13994.9755859375,265.28,138.0521
190,190,36.7851,1049.23,950000,-15249.1689453125,1049.27,88.6242
191,191,33.8509,100.51,955000,-14158.1904296875,96.55,207.1955
192,192,33.3295,76.55,960000,-14072.708984375,76.13,209.2799
193,193,33.1538,126.31,965000,-14589.00390625,129.49,228.6617
194,194,33.1936,484.75,970000,-14370.876953125,668.78,191.2191
195,195,35.8096,1029.1,975000,-15673.416015625,1029.26,108.263
196,196,35.9072,1029.55,980000,-15525.6181640625,1029.26,102.7506
197,197,35.3015,1039.9,985000,-15534.009765625,1040.04,98.6492
198,198,36.8599,1021.7,990000,-15959.9677734375,1021.63,107.9248
199,199,38.3983,1033.35,995000,-16365.6689453125,1033.41,100.1447
