Itration,Real Sto Return,Real Det Return,Running Reverse KL,Reward Loss,Running Forward KL,Running Update Time,Running Env Steps
155,2987.38,2906.48,13.6177,-865.5502319335938,21.958,155,775000
156,2943.78,2888.31,13.2434,-891.3597412109375,22.0144,156,780000
157,3069.18,3032.47,13.9503,-804.4075927734375,22.0263,157,785000
158,3110.79,3064.6,13.0333,-881.50927734375,21.7014,158,790000
159,3145.86,3106.78,14.4302,-1160.108642578125,23.7825,159,795000
160,3098.39,3065.92,12.9904,-970.0651245117188,21.8775,160,800000
161,2925.72,2905.9,13.6939,-878.1802368164062,22.0914,161,805000
162,2987.02,2932.12,15.102,-991.8380126953125,22.9595,162,810000
163,3280.41,3275.93,13.627,-645.983642578125,21.8145,163,815000
164,3157.7,3153.37,15.4688,-1021.3306274414062,23.8808,164,820000
165,3258.97,3270.2,12.9042,-879.7423095703125,21.2004,165,825000
166,3057.97,2965.02,14.1421,-986.9619750976562,21.8706,166,830000
167,2499.4,3055.18,15.8239,-1059.123779296875,22.9079,167,835000
168,3234.14,3250.52,15.2893,-921.0848999023438,23.1401,168,840000
169,3126.08,3073.95,14.3908,-1089.9227294921875,21.6978,169,845000
170,3157.73,2989.63,33.8171,-1935.5958251953125,22.567,170,850000
171,2672.32,3159.23,13.7608,-970.3489990234375,21.4745,171,855000
172,3004.19,3236.65,14.6432,-896.6094970703125,22.1593,172,860000
173,3089.99,3087.72,14.5354,-991.390625,21.8693,173,865000
174,3259.82,3306.48,12.9033,-667.6202392578125,20.9748,174,870000
175,2993.53,2976.08,14.7035,-1061.7259521484375,22.5301,175,875000
176,3058.26,3018.12,13.8955,-940.4852294921875,21.4305,176,880000
177,3153.69,3152.09,15.5011,-1020.0291137695312,23.0755,177,885000
178,3046.01,3023.1,17.3672,-1106.1134033203125,22.5316,178,890000
179,2963.02,2923.27,14.3387,-1038.5838623046875,21.8851,179,895000
180,3034.25,3015.31,14.0674,-1140.9500732421875,21.8085,180,900000
181,2967.66,3149.9,14.2012,-1034.9970703125,21.7429,181,905000
182,3244.48,3248.31,14.258,-910.306884765625,21.7975,182,910000
183,3259.36,3223.96,14.3696,-1035.377685546875,21.6339,183,915000
184,3220.28,3207.45,15.3806,-927.7890014648438,21.6185,184,920000
185,3214.75,3182.97,14.4129,-1241.6929931640625,22.187,185,925000
186,3253.52,3231.86,13.9781,-967.0560302734375,21.1968,186,930000
187,3176.75,3196.57,13.6359,-879.8013916015625,20.7055,187,935000
188,2992.42,2967.6,13.6758,-1149.7054443359375,21.9708,188,940000
189,3190.32,3171.28,13.4011,-1048.2930908203125,21.3615,189,945000
190,3274.52,3317.63,12.1538,-941.035888671875,19.1782,190,950000
191,3213.84,3178.64,12.972,-910.9219360351562,20.8215,191,955000
192,3204.98,3211.03,12.3453,-1103.2489013671875,20.8228,192,960000
193,3258.8,3295.19,12.8012,-1039.004638671875,21.1522,193,965000
194,2557.53,3299.71,11.7178,-1089.40380859375,20.1279,194,970000
195,3295.81,3311.84,13.6213,-1107.488525390625,20.9111,195,975000
196,3148.4,3109.28,13.5668,-1136.7491455078125,21.5615,196,980000
197,2933.5,3049.39,13.5576,-1110.4447021484375,21.0088,197,985000
198,3159.29,3144.63,13.5174,-1091.6182861328125,21.295,198,990000
199,2974.3,3268.95,12.8852,-1051.036865234375,20.6273,199,995000
