Running Env Steps,Real Det Return,Reward Loss,Real Sto Return,Running Reverse KL,Running Forward KL,Itration,Running Update Time
420000,2143.76,-3338.444091796875,1793.27,15.5871,156.8889,84,84
425000,2173.63,-3385.852783203125,1791.35,15.9815,156.948,85,85
430000,2135.44,-3425.94921875,1807.91,15.8021,156.7721,86,86
435000,2109.31,-3465.520263671875,1780.22,15.8836,156.9671,87,87
440000,2205.72,-3512.51025390625,1806.39,15.9573,156.8227,88,88
445000,2129.87,-3534.093994140625,1773.44,15.6383,156.8219,89,89
450000,2189.95,-3570.0029296875,1810.97,15.6448,156.7517,90,90
455000,2204.25,-3660.481689453125,1831.98,15.9142,156.8294,91,91
460000,2190.63,-3713.72705078125,1814.11,15.8684,156.976,92,92
465000,2148.08,-3724.283203125,1806.43,15.9265,156.7721,93,93
470000,2148.09,-3768.378662109375,1796.67,15.8133,156.8663,94,94
475000,2195.91,-3847.376953125,1797.16,16.0044,156.983,95,95
480000,2147.97,-3864.0322265625,1798.84,15.7403,156.7997,96,96
485000,2178.65,-3935.5009765625,1805.37,15.7606,156.8088,97,97
490000,2156.98,-3963.70458984375,1818.15,15.6194,156.7237,98,98
495000,2190.48,-3983.1806640625,1811.42,15.6973,156.8013,99,99
500000,2162.38,-4039.014892578125,1769.37,15.5113,156.7857,100,100
505000,2214.88,-4084.02685546875,1824.78,15.5321,156.6793,101,101
510000,2185.17,-4139.67041015625,1822.2,15.6146,156.7474,102,102
515000,2228.69,-4208.95947265625,1852.39,15.8528,156.8057,103,103
520000,2197.5,-4239.72216796875,1796.57,15.3845,156.6944,104,104
525000,2096.03,-4261.85400390625,1753.37,15.1137,156.7863,105,105
530000,2211.25,-4335.1396484375,1795.45,15.5154,156.9121,106,106
535000,2183.29,-4346.2900390625,1826.07,15.3392,156.7478,107,107
540000,2209.61,-4423.85400390625,1852.05,15.7524,156.8548,108,108
545000,2195.48,-4456.3125,1836.88,15.3957,156.8369,109,109
550000,2194.3,-4542.36279296875,1817.07,15.6866,156.8519,110,110
555000,2223.08,-4542.587890625,1840.06,15.2664,156.6452,111,111
560000,2169.62,-4595.7841796875,1798.04,15.2506,156.7004,112,112
565000,2167.39,-4669.095703125,1799.91,15.5241,156.7005,113,113
570000,2215.49,-4716.3583984375,1825.56,15.4468,156.5706,114,114
575000,2239.9,-4767.04345703125,1844.26,15.4455,156.644,115,115
580000,2173.36,-4836.03662109375,1804.46,15.6475,157.0152,116,116
585000,2219.8,-4913.833984375,1826.59,15.9756,156.9636,117,117
590000,2249.72,-4922.943359375,1866.86,15.6008,156.6459,118,118
595000,2214.46,-4984.3837890625,1825.53,15.8077,156.8442,119,119
600000,2146.04,-4987.48974609375,1791.19,15.1721,156.745,120,120
605000,2188.91,-5075.728515625,1847.46,15.6345,156.7359,121,121
610000,2257.12,-5114.70556640625,1842.87,15.4167,156.7869,122,122
615000,2227.14,-5167.20458984375,1833.87,15.7481,156.6195,123,123
620000,2255.85,-5224.013671875,1852.7,15.462,156.7371,124,124
625000,2229.91,-5253.2646484375,1843.84,15.5609,156.6636,125,125
630000,2264.43,-5310.62939453125,1854.28,15.1315,156.6342,126,126
635000,2194.44,-5372.06103515625,1823.04,15.4512,156.7728,127,127
640000,2258.37,-5432.2890625,1852.21,15.4241,156.7303,128,128
645000,2240.28,-5436.90380859375,1828.53,15.0974,156.7178,129,129
650000,2238.01,-5530.47216796875,1842.53,15.4067,156.7676,130,130
655000,2198.23,-5568.98583984375,1831.21,15.1808,156.6429,131,131
660000,2203.9,-5631.658203125,1825.75,15.2937,156.8717,132,132
665000,2247.33,-5665.67138671875,1871.18,15.605,156.78,133,133
670000,2210.45,-5709.2333984375,1832.48,15.2956,156.6858,134,134
675000,2301.97,-5819.38671875,1881.39,15.4847,156.69,135,135
680000,2246.93,-5817.96142578125,1871.01,15.2731,156.5966,136,136
685000,2239.35,-5917.09521484375,1858.27,15.4529,156.6589,137,137
690000,2224.81,-5992.94873046875,1870.61,15.6587,156.7801,138,138
695000,2241.07,-6014.31396484375,1887.32,15.7962,156.728,139,139
700000,2263.85,-6052.9970703125,1870.35,15.3661,156.668,140,140
705000,2239.18,-6071.27783203125,1870.83,15.3725,156.5386,141,141
710000,2207.26,-6189.25048828125,1828.7,15.3562,156.8983,142,142
715000,2205.27,-6236.7177734375,1842.35,15.3372,156.6534,143,143
720000,2264.77,-6296.13037109375,1862.49,15.2181,156.6337,144,144
725000,2224.24,-6377.6142578125,1867.58,15.4311,156.7517,145,145
730000,2241.29,-6385.34423828125,1862.66,15.4868,156.6122,146,146
735000,2192.43,-6453.1953125,1841.97,15.2059,156.7145,147,147
740000,2278.59,-6581.49755859375,1869.86,15.5749,156.729,148,148
745000,2248.9,-6541.82275390625,1836.89,15.2921,156.6755,149,149
750000,2239.1,-6645.88525390625,1851.73,15.2839,156.8285,150,150
755000,2215.56,-6656.1708984375,1868.55,15.1451,156.5576,151,151
760000,2242.63,-6721.8564453125,1843.17,15.3492,156.8212,152,152
765000,2280.67,-6765.41552734375,1879.44,15.2005,156.7125,153,153
770000,2294.91,-6854.35791015625,1903.31,15.6733,156.5661,154,154
775000,2255.3,-6885.3828125,1822.15,15.1489,156.7255,155,155
780000,2261.87,-6948.27099609375,1848.17,15.2751,156.7269,156,156
785000,2275.93,-7026.6611328125,1898.05,15.4366,156.6864,157,157
790000,2295.3,-7110.82568359375,1897.34,15.5361,156.5873,158,158
795000,2255.39,-7124.90087890625,1869.74,15.1733,156.7683,159,159
800000,2276.32,-7182.5126953125,1884.89,15.3891,156.4181,160,160
805000,2288.87,-7316.173828125,1914.71,15.7941,156.7223,161,161
810000,2203.53,-7316.6416015625,1846.48,15.0802,156.5358,162,162
815000,2246.4,-7400.54541015625,1861.41,15.2384,156.7082,163,163
820000,2278.84,-7442.56396484375,1885.88,15.3319,156.7126,164,164
825000,2220.25,-7533.2451171875,1903.17,15.2854,156.6742,165,165
830000,2268.27,-7550.0439453125,1870.37,15.253,156.6191,166,166
835000,2251.47,-7633.08984375,1872.63,15.2992,156.8388,167,167
840000,2265.73,-7670.7822265625,1872.37,15.2183,156.8116,168,168
845000,2277.8,-7703.408203125,1898.08,15.2506,156.6157,169,169
850000,2255.92,-7770.76708984375,1896.76,15.0625,156.6187,170,170
855000,2283.0,-7799.29052734375,1899.15,15.2822,156.5795,171,171
860000,2272.66,-7820.27392578125,1872.4,15.1629,156.5721,172,172
865000,2238.21,-7923.73291015625,1866.04,15.0524,156.6096,173,173
870000,2231.16,-7907.15869140625,1850.73,15.0711,156.6018,174,174
875000,2286.42,-7996.01708984375,1919.09,15.6681,156.6224,175,175
880000,2251.07,-8020.32373046875,1888.03,15.3084,156.5906,176,176
885000,2248.29,-8126.017578125,1854.15,15.5029,156.7836,177,177
890000,2304.28,-8085.9423828125,1896.29,15.2265,156.6003,178,178
895000,2286.45,-8123.75537109375,1910.07,15.3841,156.4678,179,179
900000,2217.52,-8195.4482421875,1872.56,15.3752,156.5542,180,180
905000,2296.32,-8211.802734375,1910.13,15.2294,156.4957,181,181
910000,2223.67,-8274.431640625,1853.06,15.1758,156.6046,182,182
915000,2291.75,-8353.5087890625,1911.38,15.2976,156.4628,183,183
920000,2314.26,-8361.58203125,1938.88,15.4747,156.5897,184,184
925000,2258.7,-8404.7470703125,1882.89,15.2759,156.5584,185,185
930000,2200.9,-8436.529296875,1866.26,15.1274,156.7138,186,186
935000,2283.41,-8493.0556640625,1916.48,15.3404,156.6028,187,187
940000,2283.69,-8519.0712890625,1934.2,15.3184,156.6113,188,188
945000,2254.54,-8585.056640625,1889.49,15.4259,156.6002,189,189
950000,2264.31,-8652.60546875,1899.95,15.3381,156.6117,190,190
955000,2270.12,-8595.4541015625,1915.28,15.314,156.5711,191,191
960000,2267.69,-8701.2890625,1927.86,15.2863,156.6301,192,192
965000,2281.35,-8743.7177734375,1890.06,15.0965,156.7338,193,193
970000,2268.35,-8755.9228515625,1895.16,15.0939,156.4546,194,194
975000,2249.92,-8823.83203125,1897.71,15.2647,156.5056,195,195
980000,2274.56,-8918.2783203125,1917.23,15.1741,156.7052,196,196
985000,2292.79,-8918.9248046875,1900.14,15.1417,156.5766,197,197
990000,2298.16,-8884.939453125,1897.1,15.2098,156.471,198,198
995000,2244.1,-8944.69140625,1875.93,14.9967,156.5507,199,199
1000000,2266.27,-9042.2294921875,1903.94,15.2477,156.5449,200,200
1005000,2269.29,-9096.349609375,1872.13,15.2789,156.6694,201,201
1010000,2267.94,-9145.4287109375,1880.76,15.2766,156.5914,202,202
1015000,2282.49,-9184.603515625,1892.09,15.1493,156.6866,203,203
1020000,2292.55,-9222.251953125,1907.7,15.0739,156.6566,204,204
1025000,2275.56,-9259.623046875,1893.55,15.3181,156.5382,205,205
1030000,2260.82,-9335.7587890625,1892.23,15.1782,156.6902,206,206
1035000,2236.65,-9388.6552734375,1892.81,15.3067,156.6464,207,207
1040000,2284.35,-9399.1572265625,1899.53,15.3166,156.4999,208,208
1045000,2286.66,-9499.4619140625,1918.29,15.5518,156.8216,209,209
1050000,2280.49,-9508.521484375,1911.68,15.369,156.5777,210,210
1055000,2255.29,-9561.841796875,1893.53,15.2383,156.5574,211,211
1060000,2291.44,-9595.1015625,1905.04,15.3405,156.5797,212,212
1065000,2269.14,-9640.2470703125,1849.05,15.1641,156.5766,213,213
1070000,1269.02,-9664.888671875,1018.96,14.4619,156.813,214,214
1075000,-281.73,-9254.3212890625,-299.29,24.1012,160.256,215,215
1080000,809.61,-9745.0029296875,1335.77,14.4743,156.6869,216,216
1085000,-261.91,-9375.1142578125,-250.89,32.0548,160.1282,217,217
1090000,-320.34,-9610.9873046875,265.66,14.6655,156.9245,218,218
1095000,1182.59,-9908.94140625,1148.76,14.7615,156.8529,219,219
1100000,116.29,-9657.1826171875,86.49,15.0696,156.9854,220,220
1105000,36.62,-10196.3603515625,3.63,16.4889,157.7996,221,221
1110000,155.57,-10222.2578125,111.45,21.0869,158.7088,222,222
1115000,-460.27,-9427.3994140625,-410.47,37.5185,160.9965,223,223
1120000,-193.43,-9969.0859375,-202.42,20.2585,159.1918,224,224
1125000,-299.51,-10260.5107421875,-314.05,22.9134,159.0561,225,225
1130000,-60.21,-9736.265625,-70.19,19.9187,158.5972,226,226
1135000,-26.88,-10282.7998046875,-74.99,20.1804,158.4812,227,227
1140000,-573.47,-10212.083984375,-362.04,17.3356,158.4328,228,228
1145000,-272.3,-9833.076171875,-383.44,20.352,159.5244,229,229
1150000,-575.34,-9135.6962890625,-568.47,85.086,161.2147,230,230
1155000,-489.73,-9332.4501953125,-478.24,43.8536,161.7653,231,231
1160000,71.96,-10316.330078125,18.34,13.2085,157.8242,232,232
1165000,228.94,-10494.447265625,135.21,13.7535,158.1115,233,233
1170000,543.3,-10751.8525390625,455.62,12.8736,157.2721,234,234
1175000,492.61,-10732.0087890625,467.66,13.4563,157.3093,235,235
1180000,724.87,-10816.3037109375,495.65,13.6412,157.2145,236,236
1185000,919.75,-10642.548828125,522.47,14.2549,157.1839,237,237
1190000,343.68,-10662.7197265625,338.93,16.9116,157.4129,238,238
1195000,-73.42,-11109.7958984375,68.71,15.657,158.261,239,239
1200000,-213.17,-11047.220703125,-187.24,14.3813,158.7953,240,240
1205000,899.95,-10435.6015625,638.69,13.6587,156.7923,241,241
1210000,926.18,-10627.521484375,551.17,20.0181,156.9903,242,242
1215000,-177.12,-11021.3681640625,-229.68,16.771,157.5556,243,243
1220000,-164.43,-11430.40625,-167.42,17.7347,157.8178,244,244
1225000,-338.82,-11507.939453125,-344.7,17.8383,157.9199,245,245
1230000,-160.65,-12989.82421875,-175.25,25.8854,157.8936,246,246
1235000,216.82,-10938.046875,247.67,12.4586,157.2196,247,247
1240000,-165.38,-10895.7353515625,-7.12,14.0933,156.9383,248,248
1245000,1475.52,-10913.6181640625,905.49,14.5725,156.959,249,249
1250000,1049.2,-11063.0,487.78,14.5664,157.0828,250,250
1255000,6.17,-11131.8046875,99.37,15.7554,157.1695,251,251
1260000,-180.75,-11586.08203125,-75.5,18.6005,157.2351,252,252
1265000,623.53,-11163.3759765625,244.43,14.8676,156.8503,253,253
1270000,130.22,-11348.73046875,42.91,19.0092,157.3582,254,254
1275000,-372.06,-10438.59765625,-204.15,13.3867,157.5464,255,255
1280000,-159.55,-10646.517578125,56.88,12.3026,157.2367,256,256
1285000,1596.86,-11000.6640625,1209.91,13.7916,156.6751,257,257
1290000,-213.94,-10173.251953125,-190.69,20.4329,159.4991,258,258
1295000,361.09,-11005.1279296875,337.49,12.7625,156.9378,259,259
1300000,-374.88,-11022.4033203125,-17.8,12.9688,157.0762,260,260
1305000,-229.14,-11316.734375,-272.53,12.4709,157.8301,261,261
1310000,-304.1,-11199.6689453125,82.63,13.6946,157.2485,262,262
1315000,1412.06,-11020.5302734375,1167.02,13.661,156.749,263,263
1320000,1007.57,-10407.9599609375,284.72,12.6495,156.8944,264,264
1325000,1465.12,-11351.9970703125,1334.5,16.0407,156.6849,265,265
1330000,1889.17,-11131.0419921875,1545.11,15.4072,156.6683,266,266
1335000,1723.62,-11238.9697265625,1472.94,15.6507,156.7118,267,267
1340000,1883.09,-11358.703125,1449.13,15.2802,156.6331,268,268
1345000,1409.91,-11251.833984375,1507.9,14.9722,156.6662,269,269
