Reward Loss,Real Sto Return,Running Reverse KL,Real Det Return,Itration,Running Update Time,Running Env Steps,Running Forward KL
-6411.64404296875,1019.94,40.0615,1018.93,134,134,670000,38.1067
-5937.25439453125,1021.02,22.6175,1013.8,135,135,675000,36.0607
-6755.96728515625,994.43,41.0515,994.47,136,136,680000,39.6316
-5704.63134765625,222.55,46.5413,240.71,137,137,685000,32.7708
-6784.98779296875,1011.65,46.605,1011.61,138,138,690000,38.7713
-6050.60595703125,491.87,61.9237,461.17,139,139,695000,34.4791
-5081.40380859375,149.96,41.3484,150.02,140,140,700000,33.9462
-7073.302734375,999.07,43.037,999.26,141,141,705000,38.661
-6953.7177734375,1019.48,34.661,1020.03,142,142,710000,36.1995
-6869.134765625,797.41,34.944,755.33,143,143,715000,36.7997
-6993.6142578125,999.89,43.5294,998.65,144,144,720000,38.3243
-4635.22998046875,255.14,24.4392,254.83,145,145,725000,31.8062
-7299.94580078125,994.89,52.6607,1000.49,146,146,730000,39.6116
-7241.3212890625,983.75,38.4213,977.13,147,147,735000,36.9867
-7421.4755859375,972.65,43.5564,972.81,148,148,740000,39.2187
-7478.119140625,993.48,40.4478,994.76,149,149,745000,38.2128
-7380.12841796875,978.25,33.3574,977.87,150,150,750000,38.821
-7669.630859375,957.33,44.2985,1005.32,151,151,755000,38.928
-7783.06494140625,1000.37,41.1122,1000.33,152,152,760000,39.7556
-7698.6796875,991.07,47.3018,991.27,153,153,765000,39.2004
-7744.2841796875,985.49,52.9474,985.21,154,154,770000,39.2561
-7854.017578125,985.97,55.6381,985.79,155,155,775000,39.0775
-7926.28466796875,985.15,42.7586,984.82,156,156,780000,38.9653
-8047.455078125,985.48,39.176,985.05,157,157,785000,37.7486
-8036.8642578125,982.16,46.4448,982.36,158,158,790000,36.7857
-8140.39794921875,987.0,53.1466,986.93,159,159,795000,39.1544
-8186.44970703125,977.96,54.6338,977.92,160,160,800000,37.96
-8188.0927734375,12.14,54.0681,12.08,161,161,805000,35.6068
-8379.474609375,977.88,56.5839,977.85,162,162,810000,38.278
-7618.99560546875,279.85,31.7117,284.37,163,163,815000,32.8615
-8610.869140625,980.33,57.9082,980.44,164,164,820000,37.7384
-8566.8701171875,981.21,46.8467,981.4,165,165,825000,36.6441
-6861.74365234375,259.71,59.6581,250.94,166,166,830000,38.3587
-8686.5361328125,983.89,46.1365,984.3,167,167,835000,37.7436
-7445.990234375,638.24,39.7294,649.2,168,168,840000,35.8841
-7808.1669921875,730.47,44.5503,736.74,169,169,845000,35.9185
-7582.806640625,582.86,43.4425,590.31,170,170,850000,34.4989
-7649.29248046875,503.57,44.0242,508.91,171,171,855000,34.582
-7394.28515625,160.62,51.5376,164.42,172,172,860000,33.2247
-8991.255859375,991.02,24.8865,991.02,173,173,865000,38.6214
-7278.9560546875,322.89,21.1613,330.51,174,174,870000,34.8521
-8287.208984375,264.31,37.024,223.86,175,175,875000,33.7385
-6496.3857421875,328.28,23.4907,333.94,176,176,880000,31.4366
-9476.919921875,991.1,53.6957,991.39,177,177,885000,40.7766
-9473.912109375,989.77,41.3638,989.49,178,178,890000,39.1715
-9705.564453125,1012.6,35.3915,1013.26,179,179,895000,39.3949
-9622.8427734375,992.89,42.9174,990.31,180,180,900000,38.197
-9743.8193359375,86.94,43.5368,86.97,181,181,905000,39.2956
-9624.423828125,987.44,43.0451,987.92,182,182,910000,38.5858
-9676.6728515625,96.44,33.0993,97.61,183,183,915000,38.4838
-9860.35546875,115.16,37.3544,126.87,184,184,920000,38.213
-8867.48828125,147.43,32.8977,147.9,185,185,925000,35.8716
-9738.416015625,835.03,38.6672,770.24,186,186,930000,38.2919
-9997.642578125,1008.97,40.3787,1008.67,187,187,935000,37.3288
-10085.671875,1032.11,40.2282,1032.28,188,188,940000,37.517
-10266.818359375,1001.04,30.3711,1001.28,189,189,945000,39.4388
-10328.5302734375,994.32,50.0147,994.92,190,190,950000,39.7205
-10380.345703125,992.75,51.9872,993.27,191,191,955000,39.1737
-10486.6708984375,995.66,47.8869,996.23,192,192,960000,38.7567
-10629.9228515625,995.96,47.6593,995.72,193,193,965000,36.9649
-8989.75,361.67,57.7589,400.59,194,194,970000,34.071
-10776.51953125,975.07,43.1346,974.58,195,195,975000,38.0594
-10795.392578125,1000.22,48.9183,1000.92,196,196,980000,40.2519
-11029.44921875,1009.79,33.402,1009.2,197,197,985000,37.2287
-10805.0341796875,1027.04,33.2126,1027.5,198,198,990000,38.5266
-11165.8486328125,1001.08,40.312,1000.87,199,199,995000,39.4272
