Reward Loss,Running Reverse KL,Running Env Steps,Running Update Time,Itration,Running Forward KL,Real Sto Return,Real Det Return
-1069.34619140625,26.1777,165000,33,33,25.5216,1020.73,1051.06
-820.487548828125,20.5988,170000,34,34,24.7743,692.9,667.91
-529.2369384765625,16.0279,175000,35,35,23.9631,2068.27,2656.82
-1163.106201171875,21.0823,180000,36,36,26.3768,932.22,1030.35
-1205.853759765625,22.4765,185000,37,37,26.7718,855.71,714.8
-416.6764831542969,15.7772,190000,38,38,24.4951,2336.23,2997.44
-969.4315795898438,16.0041,195000,39,39,24.9645,1239.99,1463.11
-1006.2525634765625,15.9452,200000,40,40,25.6228,936.4,976.68
-136.09890747070312,15.0176,205000,41,41,23.3038,2864.23,3041.78
-510.5036315917969,13.7382,210000,42,42,24.3273,1390.72,1927.99
-234.05929565429688,13.7938,215000,43,43,23.5151,2695.87,2815.15
-338.0246276855469,13.0044,220000,44,44,24.6026,2585.33,3204.95
-177.5004425048828,14.0788,225000,45,45,22.3347,2988.28,3109.68
-111.01878356933594,12.8923,230000,46,46,21.7448,3097.82,3176.03
-111.3193130493164,14.1689,235000,47,47,22.2284,3142.41,3173.53
-185.35104370117188,13.3784,240000,48,48,21.2784,3046.19,3187.91
-169.9774627685547,15.0775,245000,49,49,22.5804,3199.16,3211.34
-168.1365509033203,12.9535,250000,50,50,22.4686,3076.13,3159.34
-171.99502563476562,11.9753,255000,51,51,22.8904,2545.22,3162.54
-179.53285217285156,11.9989,260000,52,52,22.1306,3165.4,3239.91
-173.97903442382812,12.7378,265000,53,53,22.7368,3039.79,3198.5
-450.5115661621094,11.0681,270000,54,54,22.2124,2263.04,3127.22
-223.36941528320312,12.9733,275000,55,55,20.8662,3261.11,3268.52
-124.9737548828125,13.7121,280000,56,56,21.3491,3164.57,3304.91
-230.26046752929688,14.5492,285000,57,57,21.2019,3312.35,3333.56
-164.70030212402344,12.3625,290000,58,58,20.3794,3159.46,3263.34
-270.05438232421875,12.9107,295000,59,59,21.4791,3181.69,3216.72
-165.88299560546875,12.3975,300000,60,60,20.9772,3163.52,3285.96
-184.44473266601562,12.7673,305000,61,61,18.7251,3310.76,3343.33
-191.69618225097656,13.8925,310000,62,62,21.598,3205.68,3284.12
-141.03065490722656,14.1296,315000,63,63,19.9713,3015.92,3337.54
-241.65504455566406,17.9281,320000,64,64,20.807,3327.55,3355.24
-241.24961853027344,11.4636,325000,65,65,18.9329,3253.21,3293.23
-318.4400329589844,12.8507,330000,66,66,21.1506,3300.31,3288.39
-362.12030029296875,16.2797,335000,67,67,20.9748,3012.47,3369.52
-248.41567993164062,12.5637,340000,68,68,19.6252,3319.87,3348.03
-236.24871826171875,13.3658,345000,69,69,20.5043,3283.98,3308.51
-207.5386199951172,12.4535,350000,70,70,20.0124,2818.28,3333.58
-168.98768615722656,11.354,355000,71,71,19.2568,2855.03,3330.04
-236.06114196777344,12.3236,360000,72,72,19.2822,3315.23,3329.86
-248.30099487304688,12.7281,365000,73,73,19.9286,3290.57,3328.55
-290.8396301269531,13.4939,370000,74,74,19.7726,3321.71,3328.98
-231.07786560058594,12.6343,375000,75,75,19.2482,3246.68,3302.05
-290.21160888671875,12.0888,380000,76,76,19.664,3254.73,3299.52
-222.8690948486328,11.6986,385000,77,77,17.3003,3285.64,3306.18
-382.99383544921875,11.1032,390000,78,78,20.4027,2469.03,3336.4
-221.68453979492188,11.0573,395000,79,79,16.9358,3363.54,3395.56
-281.4241027832031,12.2903,400000,80,80,19.2337,3299.98,3307.42
-264.1923828125,11.5874,405000,81,81,20.4256,3252.38,3328.43
-230.6765594482422,12.0179,410000,82,82,19.9678,3073.85,3279.47
-321.79620361328125,11.4603,415000,83,83,18.9864,3322.64,3343.05
-257.1047058105469,12.8129,420000,84,84,20.1174,3319.71,3401.27
-335.4360656738281,11.6494,425000,85,85,19.2438,3065.66,3352.54
-248.031494140625,12.1602,430000,86,86,19.3353,3256.25,3317.66
-238.96725463867188,12.185,435000,87,87,18.6798,3269.01,3279.67
-282.2032470703125,11.5229,440000,88,88,18.1068,3335.01,3342.98
-440.16705322265625,11.3036,445000,89,89,19.0289,2883.94,3430.31
-306.854248046875,11.8954,450000,90,90,18.6524,3370.11,3417.0
-268.9449768066406,12.438,455000,91,91,18.3349,3335.6,3373.92
-454.5279235839844,10.3884,460000,92,92,17.6619,3282.56,3337.72
-223.5651397705078,13.1987,465000,93,93,20.3362,3251.28,3484.41
-292.0120544433594,12.2734,470000,94,94,18.1906,3364.91,3376.64
-272.64532470703125,11.3564,475000,95,95,18.1201,3390.59,3397.74
-336.7177734375,11.8514,480000,96,96,19.547,3344.63,3438.87
-276.6042785644531,11.4627,485000,97,97,17.5882,3330.71,3332.18
-388.6558837890625,12.4199,490000,98,98,19.0754,3148.82,3424.98
-282.8868103027344,12.2549,495000,99,99,19.291,3306.6,3403.5
-557.500244140625,12.8073,500000,100,100,19.1993,3346.59,3393.92
-378.64288330078125,11.6729,505000,101,101,18.3006,3290.73,3395.57
-315.4920654296875,12.9081,510000,102,102,18.0814,3400.7,3413.53
-287.37042236328125,12.1845,515000,103,103,17.4967,3393.67,3404.14
-442.59173583984375,11.1394,520000,104,104,18.6322,3338.5,3373.19
-752.0609741210938,11.5196,525000,105,105,18.6616,2302.89,3368.07
-397.92913818359375,12.2844,530000,106,106,18.3125,3354.59,3409.13
-328.8413391113281,11.9443,535000,107,107,18.0667,3149.26,3409.44
-366.4117736816406,12.643,540000,108,108,18.3625,3359.84,3355.37
-273.900146484375,11.9233,545000,109,109,18.3107,3241.79,3442.88
-1205.1507568359375,13.6911,550000,110,110,20.6819,2001.08,3201.53
-385.12774658203125,12.6059,555000,111,111,19.6508,3028.19,3403.56
-345.08526611328125,12.3717,560000,112,112,18.3659,3271.65,3378.13
-468.9317626953125,12.0205,565000,113,113,18.6722,3323.61,3342.69
-315.9141540527344,11.4182,570000,114,114,17.453,3394.76,3417.65
-409.3658142089844,11.7324,575000,115,115,17.5772,3349.67,3365.13
-363.1719970703125,9.6773,580000,116,116,16.6455,3239.2,3394.99
-378.51129150390625,11.816,585000,117,117,17.7957,3032.95,3424.22
-422.60968017578125,11.4622,590000,118,118,16.8943,3395.08,3412.66
-312.3511047363281,11.8313,595000,119,119,18.3026,3358.72,3431.28
-625.6581420898438,10.6375,600000,120,120,19.478,2109.18,3430.64
-481.2964172363281,11.0392,605000,121,121,18.374,3147.41,3423.34
-1140.171142578125,12.2822,610000,122,122,20.3353,1739.44,3428.85
-283.4771728515625,10.3642,615000,123,123,15.9738,3397.95,3421.48
-467.2753601074219,9.9351,620000,124,124,17.5704,3287.89,3420.69
-407.91729736328125,11.7277,625000,125,125,17.9845,3392.01,3412.89
-374.5721130371094,12.0413,630000,126,126,17.6846,3399.83,3423.24
-562.8467407226562,10.5482,635000,127,127,16.9706,3315.56,3453.33
-439.6948547363281,10.726,640000,128,128,16.7119,3396.83,3409.8
-1113.792724609375,15.5875,645000,129,129,18.5451,2737.36,3417.17
-1655.5928955078125,16.343,650000,130,130,23.219,1968.55,2670.19
-379.0456237792969,13.3595,655000,131,131,19.0638,3438.16,3473.68
-312.92999267578125,10.381,660000,132,132,16.3754,3431.77,3449.66
-437.0873107910156,11.5079,665000,133,133,17.8351,3182.36,3400.33
-482.04364013671875,11.8468,670000,134,134,17.4094,3371.23,3392.57
-422.1506652832031,10.873,675000,135,135,17.0888,3307.98,3309.31
-592.227783203125,11.114,680000,136,136,18.8116,3106.07,3415.25
-936.9099731445312,10.4541,685000,137,137,19.24,1953.05,3367.71
-433.4761962890625,11.0901,690000,138,138,17.2627,3395.6,3410.94
-446.72711181640625,11.0569,695000,139,139,17.0696,3339.81,3341.46
-468.6632995605469,11.7886,700000,140,140,17.9602,3346.91,3370.81
-943.2213745117188,11.4111,705000,141,141,18.1477,2410.42,3346.0
-583.21337890625,10.2968,710000,142,142,16.8954,3226.24,3372.84
-519.1722412109375,11.6048,715000,143,143,17.7348,3387.12,3405.76
-537.71337890625,12.8224,720000,144,144,17.879,3399.36,3434.63
-777.7232666015625,11.016,725000,145,145,18.1647,2829.83,3421.95
-693.2583618164062,11.4224,730000,146,146,18.004,3405.72,3418.97
-690.4456176757812,12.4002,735000,147,147,18.9967,3305.88,3417.83
-487.7610168457031,12.3115,740000,148,148,18.2878,3381.73,3389.45
-621.8585205078125,11.2538,745000,149,149,17.6842,3308.91,3439.21
-611.5892333984375,12.1846,750000,150,150,18.6133,3276.5,3327.09
-875.7161254882812,12.2215,755000,151,151,19.6782,2507.46,3415.96
-565.4461059570312,11.3672,760000,152,152,17.601,3355.83,3357.13
-359.1975402832031,11.6859,765000,153,153,17.3088,3377.02,3387.99
-491.3911437988281,12.2191,770000,154,154,17.9722,3140.54,3463.01
-505.25762939453125,11.2635,775000,155,155,17.12,3388.59,3391.88
-485.817138671875,10.6734,780000,156,156,16.6939,3387.8,3424.18
-521.2117309570312,12.2517,785000,157,157,18.1541,3411.75,3435.84
-501.7408142089844,10.7056,790000,158,158,17.3512,3292.2,3449.54
-516.1742553710938,10.6687,795000,159,159,16.9313,3407.87,3430.63
-609.2769775390625,11.7451,800000,160,160,18.0416,3190.28,3436.38
-786.052490234375,10.9953,805000,161,161,18.3793,2902.91,3468.2
-635.3253784179688,10.5091,810000,162,162,17.2143,3134.69,3369.92
-618.3912963867188,11.7346,815000,163,163,17.9565,3273.08,3394.37
-542.8316040039062,10.974,820000,164,164,16.6163,3423.7,3452.63
-578.7888793945312,11.5154,825000,165,165,17.0748,3392.98,3414.76
-815.0700073242188,10.2231,830000,166,166,17.4733,2943.6,3475.28
-583.2659912109375,10.3486,835000,167,167,17.2206,3188.18,3445.65
-635.9664306640625,10.3258,840000,168,168,16.7384,3345.36,3417.46
-973.5243530273438,10.7439,845000,169,169,17.5941,2435.7,3430.92
-1227.989501953125,11.4244,850000,170,170,18.4765,2869.82,3432.29
-490.46282958984375,12.1607,855000,171,171,18.0528,3159.14,3436.61
-919.3602294921875,10.5234,860000,172,172,18.516,2641.42,3430.05
-612.291015625,11.9427,865000,173,173,17.6729,3414.69,3455.59
-652.8132934570312,12.0397,870000,174,174,18.1856,3401.41,3432.66
-568.628173828125,11.1684,875000,175,175,17.0593,3280.91,3457.92
-591.8934936523438,10.9484,880000,176,176,17.6065,3013.76,3491.74
-714.5816650390625,9.9825,885000,177,177,17.0069,3025.41,3412.58
-568.0856323242188,10.254,890000,178,178,15.9624,3278.9,3429.89
-699.732421875,10.6739,895000,179,179,17.2029,3311.75,3380.34
-509.63323974609375,10.4455,900000,180,180,16.8912,3377.02,3386.52
-613.6110229492188,11.193,905000,181,181,17.5147,3437.68,3436.88
-1316.68212890625,11.9788,910000,182,182,19.0426,2508.03,3411.55
-1151.1444091796875,10.7536,915000,183,183,17.8401,2789.24,3464.93
-569.0543823242188,10.3141,920000,184,184,16.9471,3357.32,3423.22
-611.6528930664062,10.0984,925000,185,185,16.7862,3117.97,3457.26
-688.546142578125,9.8119,930000,186,186,15.899,3361.98,3408.5
-599.2655029296875,10.6131,935000,187,187,16.8316,3351.43,3449.18
-820.5689697265625,10.5858,940000,188,188,17.8637,3197.1,3457.61
-756.1492309570312,11.0943,945000,189,189,17.1357,3398.12,3424.4
-716.3466796875,10.723,950000,190,190,16.6859,3411.26,3444.77
-689.4588012695312,11.2284,955000,191,191,17.2669,3368.9,3385.75
-646.0218505859375,10.5875,960000,192,192,17.3624,3357.52,3468.16
-668.814208984375,11.307,965000,193,193,16.9922,3413.51,3442.39
-612.83447265625,10.7105,970000,194,194,16.0934,3408.67,3428.61
-686.5717163085938,10.3102,975000,195,195,16.4495,3228.13,3428.04
-1854.7969970703125,13.429,980000,196,196,19.152,1803.16,3440.61
-793.432861328125,11.2214,985000,197,197,17.9147,3375.98,3448.26
-863.2577514648438,10.2189,990000,198,198,17.8487,2945.9,3403.19
-702.9966430664062,10.7877,995000,199,199,17.0266,3351.79,3393.58
