Real Sto Return,Itration,Running Reverse KL,Real Det Return,Running Forward KL
5076.74,210,191.1161,4364.83,315.954
4345.09,211,97.1757,3947.44,298.3431
4529.12,212,96.5432,5135.39,301.6039
4716.61,213,157.509,4479.4,316.0782
4601.95,214,121.7546,4658.68,309.5782
5083.74,215,98.6508,4868.93,307.624
3712.8,216,162.3723,4381.11,312.1583
4808.29,217,131.5482,3255.17,310.2991
4367.63,218,96.2193,2925.95,303.8914
5275.36,219,102.1471,3577.22,307.172
5062.5,220,101.5929,5079.63,306.5489
