Real Det Return,Running Update Time,Running Forward KL,Running Reverse KL,Real Sto Return,Running Env Steps,Reward Loss,Itration
320.06,39,38.3241,51.3376,315.92,195000,-650.6513061523438,39
168.27,40,38.8762,121.0397,168.69,200000,-819.433837890625,40
356.81,41,38.3958,90.4722,348.78,205000,-692.3331298828125,41
248.52,42,37.3808,106.5913,260.35,210000,-580.269287109375,42
345.08,43,39.0638,58.6363,351.75,215000,-661.8016967773438,43
202.88,44,38.7731,41.666,211.04,220000,-727.6373291015625,44
315.98,45,39.7752,34.2613,313.16,225000,-765.35693359375,45
324.82,46,38.8589,88.119,337.05,230000,-679.3077392578125,46
1023.28,47,41.1552,24.0672,1024.42,235000,-705.53271484375,47
480.73,48,38.1637,29.5656,489.58,240000,-730.5869140625,48
1059.43,49,40.8034,32.0564,1059.41,245000,-843.0327758789062,49
1035.69,50,40.7407,35.2926,1035.73,250000,-834.3961181640625,50
1030.23,51,40.8041,45.4419,1030.35,255000,-859.2359619140625,51
684.55,52,36.0209,27.8781,820.2,260000,-740.9783935546875,52
1036.78,53,40.726,37.1839,1036.77,265000,-857.552490234375,53
1026.65,54,41.2575,78.9144,1024.43,270000,-914.5374755859375,54
1032.67,55,40.4333,105.7671,1032.67,275000,-913.9638671875,55
1029.73,56,40.486,30.266,1029.57,280000,-817.63232421875,56
1002.2,57,40.1846,54.6866,1048.13,285000,-850.242919921875,57
1053.67,58,40.1996,21.8679,1053.44,290000,-701.5602416992188,58
260.56,59,38.9495,19.7031,332.58,295000,-623.9098510742188,59
1087.15,60,39.6578,68.045,1081.24,300000,-909.6316528320312,60
1039.59,61,39.3519,61.6696,1040.73,305000,-970.6614990234375,61
1076.19,62,39.2153,88.087,1079.24,310000,-941.6771240234375,62
1257.96,63,38.4801,24.1468,1260.23,315000,-743.7067260742188,63
1207.8,64,38.4455,24.1442,1201.2,320000,-739.5099487304688,64
1394.24,65,38.5609,25.0533,1390.85,325000,-631.1459350585938,65
980.18,66,44.5973,72.621,980.05,330000,-1035.9830322265625,66
982.09,67,42.8624,26.9976,981.48,335000,-989.4141845703125,67
968.95,68,43.5858,59.0514,969.02,340000,-1059.49169921875,68
993.32,69,43.2135,51.0941,993.32,345000,-1083.34130859375,69
197.46,70,40.6576,205.0316,193.45,350000,-1114.4635009765625,70
74.02,71,39.9295,230.849,74.02,355000,-1134.099365234375,71
1055.45,72,41.2028,34.9755,1055.49,360000,-1121.906494140625,72
1025.83,73,42.5275,26.3286,1025.53,365000,-1066.149169921875,73
1013.4,74,43.6146,24.5734,1012.26,370000,-1093.7442626953125,74
1011.3,75,43.6995,26.7879,1011.4,375000,-1117.27001953125,75
765.21,76,37.9712,57.2645,824.34,380000,-1140.4154052734375,76
142.37,77,39.3661,200.9747,140.92,385000,-1219.90234375,77
204.31,78,38.7701,56.5327,203.81,390000,-1216.591064453125,78
245.84,79,38.24,54.2632,246.37,395000,-1163.8203125,79
996.03,80,39.5656,38.5154,999.19,400000,-1043.7132568359375,80
915.54,81,39.5262,22.2623,934.62,405000,-825.9420776367188,81
945.21,82,37.9887,21.6265,792.66,410000,-963.9102172851562,82
976.32,83,44.8139,48.6458,976.33,415000,-1232.751220703125,83
223.48,84,38.4422,93.2013,223.5,420000,-1321.088134765625,84
230.79,85,39.2593,51.1947,230.69,425000,-1410.22509765625,85
982.44,86,44.0953,119.6211,982.44,430000,-1281.549072265625,86
146.65,87,44.3563,57.6501,146.65,435000,-1303.7010498046875,87
522.5,88,45.1843,116.5953,522.5,440000,-1323.490234375,88
105.08,89,42.0542,75.5727,105.08,445000,-1536.982177734375,89
143.53,90,45.4637,65.1945,143.53,450000,-1348.0946044921875,90
235.03,91,44.9316,64.2126,235.03,455000,-1350.375,91
352.49,92,45.4267,61.928,352.49,460000,-1368.4490966796875,92
992.1,93,44.7819,132.1727,992.1,465000,-1370.907958984375,93
1013.27,94,42.6028,80.1325,1013.35,470000,-1276.69775390625,94
786.78,95,39.2797,25.402,751.33,475000,-1166.5841064453125,95
897.45,96,38.599,23.9641,895.31,480000,-1194.90234375,96
874.56,97,39.7564,59.7954,874.69,485000,-1328.6129150390625,97
926.75,98,39.6367,63.9276,926.58,490000,-1363.6751708984375,98
980.03,99,37.7573,21.0018,972.37,495000,-1203.05517578125,99
1017.31,100,38.6151,36.125,1008.23,500000,-1348.811767578125,100
989.15,101,37.895,19.8782,1004.37,505000,-1109.7430419921875,101
1244.7,102,38.6946,22.0011,1242.27,510000,-1176.19140625,102
1316.42,103,39.1733,21.3514,1317.62,515000,-1043.0179443359375,103
1094.85,104,38.4146,24.4506,1040.98,520000,-1277.6275634765625,104
971.23,105,44.6561,122.5957,971.23,525000,-1558.227294921875,105
972.35,106,44.7737,109.0759,972.35,530000,-1571.3060302734375,106
-0.86,107,47.7276,238.9457,-0.7,535000,-2198.852783203125,107
-2.34,108,45.6797,240.0604,-2.34,540000,-1671.13720703125,108
69.3,109,39.1128,122.7012,67.43,545000,-1445.7923583984375,109
487.84,110,41.4577,92.7082,446.47,550000,-1555.965087890625,110
87.5,111,40.8391,126.7205,112.99,555000,-1589.2161865234375,111
296.93,112,39.6239,98.7433,330.56,560000,-1493.1563720703125,112
208.36,113,39.3014,57.6708,224.74,565000,-1479.268798828125,113
87.11,114,37.924,23.008,115.15,570000,-1407.11572265625,114
57.75,115,40.5315,59.8901,63.79,575000,-1689.09716796875,115
72.66,116,40.5434,49.6997,71.93,580000,-1770.009521484375,116
303.75,117,39.0505,174.0023,303.74,585000,-1613.485107421875,117
318.15,118,38.2875,135.0979,318.26,590000,-1604.82421875,118
279.32,119,39.4048,94.7234,279.68,595000,-1623.751708984375,119
454.51,120,39.763,139.9319,457.07,600000,-1671.2391357421875,120
260.83,121,40.1509,172.6909,260.69,605000,-1765.2371826171875,121
241.81,122,39.2379,46.7754,242.31,610000,-1834.3116455078125,122
239.57,123,39.4898,120.3467,238.45,615000,-1815.37451171875,123
242.3,124,39.2976,179.9472,236.52,620000,-1802.5028076171875,124
285.45,125,39.8397,153.7574,285.27,625000,-1779.96142578125,125
898.66,126,40.7776,27.8464,900.01,630000,-1328.2076416015625,126
832.33,127,41.0478,27.6972,826.46,635000,-1267.9166259765625,127
955.78,128,40.4146,115.5493,961.47,640000,-1721.166748046875,128
970.02,129,40.1017,68.7103,959.23,645000,-1576.667724609375,129
961.29,130,40.3566,123.1876,961.5,650000,-1811.505615234375,130
923.37,131,39.9311,29.7178,923.64,655000,-1479.48193359375,131
946.48,132,39.4775,24.4913,939.55,660000,-1464.7890625,132
1112.13,133,39.2299,26.9033,1107.88,665000,-1685.4925537109375,133
1121.54,134,40.6964,24.2404,1118.25,670000,-1598.7823486328125,134
1089.43,135,39.895,25.2726,1091.93,675000,-1676.7764892578125,135
947.26,136,39.8927,26.7577,947.22,680000,-1810.19287109375,136
1048.63,137,43.0217,57.9202,1048.65,685000,-1947.6802978515625,137
1041.86,138,43.2985,33.7623,1042.3,690000,-1914.810546875,138
233.38,139,40.4897,178.4868,221.7,695000,-2118.148193359375,139
245.42,140,39.2942,96.4469,276.97,700000,-1958.524169921875,140
207.25,141,40.3789,170.29,218.49,705000,-2171.674560546875,141
404.5,142,40.7364,119.5529,378.52,710000,-2105.392333984375,142
409.47,143,40.6978,135.3281,338.34,715000,-2148.259765625,143
1004.6,144,44.571,51.9925,1004.61,720000,-2076.486328125,144
1054.59,145,42.6731,22.8122,1056.49,725000,-1911.603271484375,145
1016.83,146,43.5101,26.3863,1016.85,730000,-1996.075439453125,146
1039.65,147,43.6051,29.1404,1040.25,735000,-2006.7926025390625,147
988.42,148,44.933,127.7702,988.42,740000,-2168.325927734375,148
992.48,149,42.8473,37.4726,991.2,745000,-1944.1158447265625,149
982.44,150,41.156,43.2288,982.37,750000,-2001.9561767578125,150
862.93,151,39.9192,38.8386,870.43,755000,-1380.3028564453125,151
6.64,152,44.0697,210.0221,6.64,760000,-2523.63623046875,152
-2.34,153,44.2119,228.5206,-2.34,765000,-2529.0,153
37.84,154,41.2261,59.6447,37.84,770000,-1767.4110107421875,154
993.82,155,44.1878,44.0788,992.7,775000,-2173.26806640625,155
972.95,156,43.1355,41.9776,972.51,780000,-2204.89306640625,156
969.02,157,41.956,36.1277,959.52,785000,-2153.418212890625,157
52.53,158,41.4897,22.9844,55.84,790000,-2155.485595703125,158
108.07,159,40.68,35.5956,91.51,795000,-2255.842041015625,159
80.32,160,40.291,29.5181,129.54,800000,-2133.00048828125,160
197.55,161,38.6284,23.0316,323.06,805000,-1883.5374755859375,161
178.75,162,37.5759,21.0167,141.23,810000,-1609.0859375,162
255.38,163,39.122,47.4418,240.87,815000,-2228.149169921875,163
240.4,164,37.7126,45.2876,248.4,820000,-1652.0101318359375,164
242.86,165,39.4234,46.2467,244.22,825000,-2289.29443359375,165
199.58,166,35.7423,34.0606,215.38,830000,-1683.8148193359375,166
115.23,167,39.0534,38.6545,106.07,835000,-2267.8623046875,167
177.67,168,38.9712,27.0238,176.84,840000,-2292.60205078125,168
167.97,169,39.3251,21.4075,158.43,845000,-1528.001953125,169
641.24,170,41.6051,28.1045,621.79,850000,-1527.43310546875,170
635.79,171,41.7926,29.187,629.14,855000,-1692.6326904296875,171
69.1,172,41.7798,31.8782,89.22,860000,-2016.7291259765625,172
98.4,173,41.838,33.4551,122.06,865000,-2075.76513671875,173
38.02,174,42.2102,33.451,40.41,870000,-2168.84326171875,174
45.06,175,42.1801,32.9829,45.18,875000,-2227.206298828125,175
44.48,176,42.1539,26.9925,44.44,880000,-2208.510009765625,176
835.92,177,41.1143,31.1768,843.83,885000,-1961.9505615234375,177
681.74,178,41.1079,28.4636,820.22,890000,-2057.6640625,178
929.92,179,40.9737,31.3818,930.66,895000,-2156.25634765625,179
978.33,180,41.8825,37.2105,978.66,900000,-2359.543701171875,180
252.57,181,40.2166,26.0499,257.59,905000,-1969.3658447265625,181
981.06,182,41.8087,35.9658,982.02,910000,-2288.625244140625,182
992.26,183,41.6582,35.4899,992.36,915000,-2297.06591796875,183
816.6,184,37.4515,33.6416,901.24,920000,-2349.069091796875,184
1010.53,185,41.2951,36.1909,1013.42,925000,-2406.283935546875,185
956.7,186,40.6257,32.0768,979.49,930000,-2172.2138671875,186
890.16,187,40.2336,27.8938,874.14,935000,-2058.928466796875,187
399.99,188,38.6315,24.2569,436.35,940000,-2005.831298828125,188
230.06,189,37.8157,64.1633,222.36,945000,-2036.724365234375,189
217.74,190,38.504,29.3169,221.59,950000,-1932.8079833984375,190
203.11,191,38.5039,21.7977,214.34,955000,-1956.1788330078125,191
112.08,192,39.0974,94.7934,116.09,960000,-2542.8671875,192
120.42,193,40.1073,103.2502,105.7,965000,-2621.871337890625,193
4.32,194,41.0674,177.3918,4.28,970000,-3450.7490234375,194
51.04,195,41.5148,222.2248,47.24,975000,-3645.677001953125,195
45.74,196,37.9039,44.6836,45.45,980000,-2214.84228515625,196
46.0,197,39.8257,167.5896,47.1,985000,-3252.13916015625,197
564.0,198,40.17,63.7006,575.18,990000,-2460.1572265625,198
122.11,199,41.1627,188.5116,104.91,995000,-3631.471435546875,199
