Real Det Return,Itration,Running Reverse KL,Reward Loss,Real Sto Return,Running Forward KL,Running Env Steps,Running Update Time
3271.04,86,13.6511,-671.9959716796875,3283.46,20.9942,430000,86
3334.96,87,13.2912,-608.4195556640625,3330.92,20.6478,435000,87
3309.08,88,12.9105,-636.8392333984375,3294.66,20.4314,440000,88
3361.02,89,13.071,-620.2720336914062,3202.07,20.3837,445000,89
3336.3,90,12.5526,-602.7806396484375,3190.44,20.3264,450000,90
3328.95,91,12.8371,-634.77392578125,3321.55,20.2716,455000,91
3354.31,92,13.2445,-656.5146484375,3171.71,20.7798,460000,92
3320.16,93,12.6909,-586.7098999023438,3315.61,19.7665,465000,93
3366.46,94,12.8385,-572.5018310546875,3348.55,19.722,470000,94
3354.83,95,14.6003,-788.442138671875,2852.29,21.5731,475000,95
3363.76,96,12.3346,-856.5706176757812,2355.29,21.5926,480000,96
3395.28,97,15.7101,-704.8865356445312,2246.92,21.1518,485000,97
3366.92,98,12.9306,-618.0556030273438,3331.91,20.4241,490000,98
3360.66,99,11.91,-859.081298828125,2802.02,21.162,495000,99
3350.54,100,13.1102,-747.1318969726562,3290.4,21.3007,500000,100
3362.23,101,13.972,-804.6536254882812,3091.55,21.7854,505000,101
3363.69,102,12.2703,-533.5618896484375,3345.38,19.4481,510000,102
3382.95,103,13.0125,-729.0950927734375,3268.75,20.5305,515000,103
3336.31,104,13.5142,-767.108642578125,3291.48,21.1208,520000,104
3390.71,105,13.1644,-667.0313720703125,3170.01,20.9328,525000,105
3395.96,106,13.194,-769.4740600585938,2832.95,20.1985,530000,106
3379.39,107,12.098,-609.2978515625,3360.98,19.2765,535000,107
3393.34,108,12.6878,-651.2659301757812,3380.85,20.1377,540000,108
3357.83,109,13.7723,-781.9691772460938,3344.46,20.476,545000,109
3414.57,110,13.3821,-668.7779541015625,3365.33,19.9796,550000,110
3370.89,111,12.2699,-700.916015625,3341.91,19.4945,555000,111
3440.33,112,13.8322,-556.5757446289062,3374.62,19.6392,560000,112
3362.61,113,13.319,-928.84814453125,2886.96,21.2414,565000,113
3413.77,114,14.5305,-618.0867919921875,3089.29,19.348,570000,114
3379.7,115,14.3892,-817.8674926757812,2949.47,20.5898,575000,115
3376.02,116,12.1947,-634.2991943359375,3363.97,19.5365,580000,116
3412.35,117,13.2458,-669.5732421875,3240.24,20.0459,585000,117
3408.44,118,15.5797,-719.6654663085938,3003.97,19.7612,590000,118
3396.16,119,13.4908,-657.6586303710938,3379.24,19.9991,595000,119
3372.5,120,12.0396,-940.2525634765625,3064.84,20.1839,600000,120
3357.81,121,13.6305,-711.917724609375,3368.72,19.7251,605000,121
3367.06,122,12.9634,-980.1231079101562,3178.33,20.3034,610000,122
3358.09,123,14.7838,-1214.7977294921875,2212.22,21.8385,615000,123
3360.7,124,11.8544,-1018.45654296875,3263.21,20.3721,620000,124
3390.62,125,33.9844,-1070.7130126953125,2600.45,20.6556,625000,125
3396.25,126,16.6997,-1034.0252685546875,2266.25,21.4981,630000,126
3373.15,127,12.5291,-907.2030029296875,2670.02,20.1796,635000,127
3366.1,128,12.1162,-791.9656372070312,3341.92,19.4364,640000,128
3344.01,129,13.4074,-923.6699829101562,3321.92,20.787,645000,129
3401.29,130,30.1584,-966.594482421875,3061.5,19.9941,650000,130
3402.92,131,13.2232,-800.465576171875,2972.49,19.6573,655000,131
3342.5,132,13.153,-897.2745361328125,3309.85,20.2998,660000,132
3386.91,133,13.9207,-834.9597778320312,3237.14,20.1531,665000,133
3381.98,134,14.286,-974.6757202148438,2368.4,20.1567,670000,134
3397.71,135,12.6555,-847.2267456054688,3333.63,19.6552,675000,135
3375.14,136,12.0051,-891.0529174804688,3173.53,20.152,680000,136
3406.07,137,15.1873,-895.7549438476562,3248.58,19.6014,685000,137
3409.08,138,12.8301,-796.6488647460938,2625.38,19.8013,690000,138
3454.26,139,14.2931,-806.8885498046875,3239.4,19.9698,695000,139
3408.69,140,12.089,-926.3478393554688,3230.84,19.4636,700000,140
3418.69,141,11.5824,-980.9814453125,3389.49,19.6675,705000,141
3380.21,142,11.2903,-784.5614624023438,3247.39,18.8003,710000,142
3390.01,143,11.2966,-843.4382934570312,3159.75,19.2222,715000,143
3359.05,144,12.3428,-846.5889892578125,3345.38,19.3746,720000,144
3378.08,145,12.2616,-864.52001953125,3267.11,19.6323,725000,145
3397.96,146,13.8494,-1114.6756591796875,2632.52,21.602,730000,146
3385.46,147,12.4633,-918.4463500976562,3363.12,20.0449,735000,147
3373.81,148,12.1927,-891.184326171875,3332.07,19.0497,740000,148
3387.56,149,12.8849,-875.8733520507812,3369.24,20.0444,745000,149
3338.18,150,12.4542,-1028.96435546875,3309.79,19.8181,750000,150
3417.61,151,15.3416,-812.2360229492188,3060.46,18.8046,755000,151
3389.77,152,11.8056,-825.7535400390625,3358.36,19.0105,760000,152
3369.21,153,11.8355,-894.7198486328125,3101.43,19.0964,765000,153
3378.47,154,11.9786,-951.4608154296875,3348.06,19.3896,770000,154
3366.38,155,11.5302,-949.559814453125,3330.56,19.9348,775000,155
3355.49,156,11.8463,-992.942626953125,3005.92,19.4362,780000,156
3395.37,157,11.0408,-1212.203125,2798.42,19.779,785000,157
3360.63,158,10.8989,-865.1499633789062,3263.55,18.3592,790000,158
3393.31,159,11.6013,-817.2870483398438,3346.64,18.6803,795000,159
3382.99,160,11.98,-980.2740478515625,3271.93,19.5743,800000,160
3396.81,161,13.0765,-1091.9610595703125,3088.99,19.4629,805000,161
3379.21,162,11.7175,-891.39013671875,3357.17,18.9226,810000,162
3332.77,163,12.1402,-1072.741455078125,3230.27,19.71,815000,163
3407.76,164,13.0979,-1128.3387451171875,2914.64,20.0378,820000,164
3352.86,165,18.94,-1258.3765869140625,3099.85,20.3497,825000,165
3391.67,166,11.1523,-964.3551635742188,3151.52,19.0419,830000,166
3393.55,167,12.0164,-1131.1102294921875,2833.37,20.3887,835000,167
3386.4,168,11.2844,-1209.3570556640625,2519.19,20.0537,840000,168
3362.66,169,12.3842,-976.4908447265625,3358.46,18.8557,845000,169
3391.11,170,11.4475,-992.5379028320312,3293.03,19.0702,850000,170
3383.22,171,11.8976,-969.6000366210938,3330.19,18.5535,855000,171
3387.38,172,11.2909,-981.8299560546875,3357.74,18.6603,860000,172
3383.07,173,10.9009,-1063.9637451171875,2956.28,19.6636,865000,173
3406.04,174,11.2323,-883.3992309570312,3263.48,18.209,870000,174
3371.49,175,12.0496,-1096.5045166015625,3216.17,19.5464,875000,175
3361.55,176,12.0165,-1153.7850341796875,3347.64,19.3176,880000,176
3413.15,177,13.0484,-1218.8431396484375,2819.04,19.2786,885000,177
3383.72,178,11.4044,-1049.0133056640625,3345.63,18.6394,890000,178
3373.56,179,11.2831,-1057.881103515625,3301.91,18.9441,895000,179
3384.59,180,12.5224,-1251.960693359375,3278.17,19.5495,900000,180
3377.83,181,11.5799,-1096.622314453125,3355.32,18.3145,905000,181
3383.01,182,11.7074,-999.5975341796875,3371.4,18.3644,910000,182
3397.72,183,11.1189,-886.0699462890625,3274.25,17.7033,915000,183
3423.09,184,11.3981,-972.6670532226562,3231.0,18.2736,920000,184
3411.47,185,11.2236,-999.1644287109375,3316.3,17.894,925000,185
3409.77,186,11.4942,-963.2786254882812,3400.79,18.1404,930000,186
3402.89,187,11.3648,-1080.0267333984375,3390.98,18.0732,935000,187
3378.77,188,11.7315,-1121.28515625,2946.67,19.0765,940000,188
3383.73,189,17.3348,-1251.2572021484375,2971.42,19.6262,945000,189
3408.72,190,11.386,-1043.9302978515625,3382.32,18.3699,950000,190
3491.6,191,11.7278,-515.4586791992188,3318.05,17.9762,955000,191
3435.85,192,11.7176,-1017.2501220703125,3420.07,17.6464,960000,192
3409.33,193,11.9678,-1057.598876953125,3401.12,18.7962,965000,193
3495.31,194,11.3377,-1422.301025390625,3122.03,19.7445,970000,194
3431.23,195,12.0634,-1184.32421875,3391.41,19.0357,975000,195
3419.56,196,11.8326,-1139.22900390625,3416.63,18.8392,980000,196
3400.1,197,12.3499,-1296.0986328125,3244.94,19.6881,985000,197
3473.63,198,13.7231,-1653.426025390625,2489.24,20.3251,990000,198
3409.44,199,11.7154,-1170.481689453125,3218.8,18.7481,995000,199
