Itration,Real Det Return,Real Sto Return,Running Reverse KL,Running Forward KL
96,144.5,2102.08,25.7999,40.6286
97,4757.52,4582.74,17.4157,38.8252
98,4769.5,3478.33,15.2732,37.8914
99,3744.16,1678.4,29.7911,40.4219
100,4871.3,4089.03,17.2335,38.6851
101,4725.97,4362.4,14.9947,37.6431
102,4746.4,4195.76,15.2394,38.0025
103,4927.96,4513.76,14.9593,37.3518
104,4694.44,4384.02,14.3545,38.4619
105,4650.92,4642.2,16.2375,37.1688
106,4846.38,4640.76,15.3058,37.2402
107,4767.82,4114.7,14.4583,37.6862
108,4925.42,4236.25,13.6088,36.9055
109,4960.74,4723.51,16.2364,36.5858
110,4931.86,4692.61,15.7824,37.4731
111,4850.36,4723.34,13.7394,37.2029
112,4790.15,4187.45,13.5937,37.2277
113,4916.01,4673.71,14.1973,36.7186
114,4884.9,4678.5,14.2415,36.8644
115,4778.48,4200.32,13.9886,37.5659
116,4957.59,4692.08,15.4039,36.308
117,4286.54,4052.39,14.4474,37.6391
118,4669.12,4361.21,13.556,36.8231
119,4769.35,4527.2,13.8821,37.1484
120,4767.8,3760.53,12.7231,37.8652
121,4814.86,4612.18,14.3211,37.0773
122,4565.73,3759.68,13.7427,38.1207
123,4871.92,4655.5,14.2661,36.669
124,5012.57,4655.46,14.5094,36.9848
125,4936.01,4739.52,14.6493,37.0225
126,4853.97,4626.61,14.8218,37.6933
127,4942.89,4537.0,13.8984,37.5634
128,4899.12,4682.85,14.776,37.052
129,4857.5,4086.0,13.7751,36.9134
130,4833.57,4715.06,14.8463,37.0513
131,4974.18,4820.88,15.9567,36.9634
132,4941.64,4688.74,14.8346,36.5939
133,4834.63,4690.89,15.8103,36.8233
134,4842.73,4691.88,14.2387,36.4845
135,4929.83,4754.71,14.4445,36.9146
136,4869.58,4699.6,14.7776,36.9914
137,4965.2,4341.15,14.8308,36.2634
138,4887.73,4518.12,14.6319,37.5808
139,4971.16,4306.98,14.9589,37.1075
140,5005.25,4613.96,14.0452,36.1464
141,4974.12,4522.61,14.1779,36.0785
142,4912.05,4273.08,13.2083,36.6248
143,4841.49,4546.65,12.7967,37.5526
144,4791.69,3934.22,14.0024,37.2617
145,4903.85,4681.66,13.573,36.1742
146,4790.62,4441.12,16.7655,38.4256
147,4927.48,4671.4,13.3548,35.6593
148,4381.69,4796.56,13.8906,36.6885
149,4935.15,4808.56,14.7757,36.2718
150,5007.38,4777.39,14.9095,36.5082
151,4917.27,4755.64,13.9187,36.5852
152,4922.1,4785.7,17.3175,36.7587
153,4807.78,4748.55,14.284,36.399
154,5007.29,4842.73,14.041,35.4051
155,4948.09,4756.29,14.0709,37.0261
156,4899.96,4738.17,13.3026,37.0594
157,5044.13,4672.52,14.1872,36.9271
158,4908.55,4842.51,13.8766,35.2013
159,4887.38,4817.01,14.1569,34.9922
160,4952.25,4791.2,14.1178,35.7137
161,4980.97,4776.85,13.79,36.3197
162,5022.48,4783.83,14.0467,35.8879
163,4806.06,4737.49,13.9368,35.7648
164,4928.73,4730.52,14.5743,36.4585
165,4941.69,4285.82,13.1481,35.718
166,5022.42,4753.14,13.8048,35.7961
167,4876.7,4301.8,15.7248,36.5931
168,4860.56,4692.24,14.1995,36.6602
169,4876.17,3854.29,13.9514,36.0355
170,4779.51,4625.79,14.2369,37.1599
171,4899.85,4795.04,13.0294,36.2042
172,4860.35,4721.5,15.1517,36.6354
173,4900.47,4807.2,14.0413,35.9126
174,4759.5,4704.39,14.1964,35.9977
175,4894.58,4828.0,13.0012,35.5961
176,4836.27,4802.63,13.151,34.969
177,4967.07,4782.75,14.0047,36.7472
178,5059.09,4831.82,14.3446,35.5892
179,4998.99,4153.37,13.1567,36.6724
180,4934.88,4716.57,13.0659,36.7191
181,4760.03,4707.23,14.1379,35.4458
182,4907.43,4790.1,14.0815,36.9515
183,4851.75,4739.77,13.802,35.2762
184,348.4,1040.14,20.6862,40.9293
185,4867.06,4816.35,12.3213,34.6349
186,5090.32,4871.23,12.5662,35.2105
187,5010.08,4868.51,14.6872,35.3465
188,4948.8,4796.38,13.4776,34.6729
189,5082.61,4883.43,15.0089,35.9982
190,4944.64,4741.55,17.1562,36.714
191,4945.17,4780.88,13.7042,35.7711
192,4974.57,4740.58,13.1037,35.7602
193,4832.96,4728.57,14.6564,37.4556
194,4924.68,4775.47,12.7627,35.2742
195,4896.44,4697.89,12.5755,35.1443
196,4958.71,4848.37,12.794,34.0701
197,4844.81,4765.44,15.2181,35.9622
198,4857.15,4774.43,12.922,35.933
199,4975.96,4796.21,12.6477,35.6121
200,4658.15,4191.98,12.5039,36.5376
201,2303.04,2168.93,14.6409,37.3542
202,4910.77,4028.77,12.7059,36.1352
203,4954.56,4355.79,12.4043,34.9893
204,5038.95,4752.86,11.5766,35.8427
205,4982.44,4845.43,12.6501,35.3401
206,4921.2,4810.73,11.9408,35.1896
207,4888.33,4705.98,11.392,35.3643
208,4824.51,4239.61,12.5193,35.3652
209,4756.01,4361.06,11.7449,35.4137
210,4540.3,4114.2,11.2569,35.7538
211,4833.93,4416.57,11.5018,35.9063
212,4847.87,4614.85,10.8774,36.223
213,4291.92,4151.53,12.2243,38.2113
214,3860.83,4121.52,12.6733,37.4614
215,5006.41,4761.01,12.2731,35.4692
216,5047.81,4813.08,12.0628,34.9737
217,4945.79,4790.13,12.7413,34.1427
218,5043.16,4822.51,11.8042,34.522
219,5148.25,4884.38,12.4299,34.3293
220,5007.44,4875.24,12.0549,34.5652
221,4982.04,4795.21,12.13,34.6954
222,4947.07,4817.37,12.0469,34.1617
223,4692.72,4792.72,12.726,33.4163
224,4798.78,4564.95,12.9824,34.1119
225,4957.88,4775.66,12.3287,34.5838
226,4927.44,4870.1,12.3495,35.3995
227,4341.79,4466.49,11.809,36.6455
228,5099.82,4832.43,14.0685,36.2035
229,5019.7,4869.05,14.1359,35.7949
230,4953.4,4733.47,12.6736,35.1281
231,4548.64,4638.92,12.5352,34.8984
232,4759.96,4506.9,11.9769,34.4497
233,4950.17,4603.87,11.2763,34.6276
234,4673.81,4547.13,13.1476,35.0298
235,4756.81,4662.72,12.0431,34.6858
236,3037.65,4552.05,11.8433,35.1817
237,4569.8,3998.45,10.724,34.521
238,1117.37,1666.19,10.8434,37.9421
239,4755.55,4479.65,13.5366,36.3987
240,4222.9,4546.26,14.0975,36.2413
241,4609.89,4590.03,13.7936,36.2822
242,371.99,347.68,22.7366,50.2124
243,438.26,405.49,60.1644,52.4736
244,943.44,719.3,45.6693,51.5727
245,474.49,468.49,22.7365,48.9116
246,893.09,811.38,63.0982,45.9373
247,267.44,387.47,39.7332,48.5032
248,4215.04,3710.17,14.4309,38.8452
249,1188.24,1379.48,37.9477,42.0161
250,3046.51,1946.48,16.198,40.7384
251,4123.59,4000.21,16.7122,39.3758
252,3980.03,3939.0,17.981,38.8249
253,4388.33,4315.4,16.7054,37.8902
254,4664.96,4468.56,16.7004,36.6005
255,4693.69,4597.83,16.2769,35.8384
256,4771.32,4657.63,14.4787,35.7932
257,4761.07,4707.5,14.4624,36.0082
258,4725.63,4607.42,13.5404,35.6585
259,4747.26,4685.48,13.6813,35.6982
260,4290.25,4149.28,19.1314,37.2652
261,4598.85,4345.27,19.091,36.7617
262,4636.95,4369.19,15.4669,36.3624
263,4662.19,4267.92,14.6052,37.1439
264,4688.67,4469.39,15.5136,37.4582
265,4741.51,4524.66,14.2156,36.2089
266,4766.38,4509.16,16.725,36.037
267,4823.61,4636.43,13.0523,35.1186
268,4834.84,4650.08,13.8077,35.4265
269,4855.79,3910.08,14.5153,35.6997
270,4823.46,4555.36,13.5785,35.5476
271,4855.33,4351.2,13.347,35.3331
272,4756.75,4560.54,14.1992,35.9667
273,4776.42,4645.49,13.9726,36.3003
274,4876.49,4724.71,14.1163,35.4761
275,4786.67,4649.14,14.6192,36.1794
276,4741.4,4490.63,14.3355,36.2336
277,4733.45,4565.97,15.6905,37.1867
278,4727.81,4642.05,15.2183,36.3898
279,4767.36,4485.27,16.8387,36.0539
280,4786.54,4780.68,15.1721,35.5264
281,4807.24,4691.51,14.2325,34.7027
282,4770.53,4701.03,14.2106,35.0639
283,4709.0,4552.05,14.4606,35.2447
284,4882.93,4594.89,14.6402,35.4847
285,4837.01,4623.07,13.642,35.5694
286,4919.25,4767.28,14.8256,35.2614
287,4892.79,4777.41,14.4515,34.5518
288,4824.61,4547.2,13.3939,34.6469
289,4756.77,4365.23,12.8143,34.959
290,5016.02,4732.44,12.9239,34.8796
291,4942.66,4520.89,11.8424,33.6752
292,4891.57,4794.26,12.3727,33.4992
293,4792.32,4701.41,12.4418,34.4548
294,4972.75,4741.69,12.589,33.9784
295,4964.91,4789.51,11.5393,33.3451
296,5029.35,4824.1,12.1777,34.1816
297,4986.46,4767.01,12.1494,33.9234
298,4673.99,4590.8,14.0145,33.8622
299,4914.52,4487.56,13.7708,33.8787
300,4923.03,4668.24,13.3242,33.3925
301,5021.63,4697.53,12.7459,33.5625
302,4994.46,4715.94,12.5144,33.0236
303,5020.11,4763.43,13.0272,33.4984
304,4657.73,4744.67,12.3547,33.2333
305,4810.68,4856.38,12.749,32.9631
306,4610.16,4725.78,12.9804,32.9513
307,4853.39,4739.26,13.722,34.5027
308,4949.61,4800.3,12.0057,33.6767
309,5107.22,4888.12,12.9566,33.859
310,4843.33,4848.36,13.0515,34.09
311,4979.3,4795.75,12.3685,33.8951
312,5137.99,4959.47,13.5455,35.4301
313,4702.51,4941.61,12.7117,34.5254
314,4826.5,4919.22,14.0392,32.9887
315,4958.88,4834.74,15.3726,35.2832
316,4939.84,4953.9,13.3831,34.065
317,5076.38,4932.64,13.404,34.729
318,5035.02,4966.47,13.1217,33.7293
319,5069.97,4539.69,12.9408,33.879
320,4983.47,4781.08,12.6726,34.5089
321,5035.26,4759.26,15.1152,34.0753
322,5160.57,4585.05,12.4365,31.4707
323,4785.35,4848.33,12.6038,32.8733
324,5199.43,4665.55,12.2699,33.896
325,4969.24,4944.94,12.7309,33.0487
326,5088.16,4787.9,14.3593,33.4218
327,4867.11,3684.03,13.1447,34.6472
328,4904.72,4328.53,11.9184,34.6246
329,5086.33,4775.73,12.4717,35.3265
330,5157.8,4666.58,13.0513,33.2669
331,5217.28,4677.07,12.7244,34.2668
332,5182.51,4460.15,12.5984,33.7329
333,5157.62,4266.17,15.656,33.824
334,5140.31,4798.22,16.8501,33.8641
335,5133.33,4784.79,11.9242,34.6021
336,5147.09,4859.25,13.1138,34.6341
337,5092.57,4924.71,13.3049,34.1807
338,4972.28,4362.63,12.4,33.7381
339,4604.72,4705.67,13.5672,35.5368
340,4792.44,4871.8,20.0175,34.7932
341,4973.94,4930.35,13.5227,35.1498
342,4990.98,4942.09,14.5401,35.6337
343,4959.74,4843.95,16.9749,35.8044
344,5016.86,4480.47,13.8289,35.3895
345,5033.59,4842.52,14.1244,36.0553
346,5081.56,4903.59,14.7651,35.1673
347,5012.44,4848.75,14.5212,34.9029
348,5015.0,4663.82,15.3469,35.9364
349,5043.08,4670.15,14.733,35.1846
350,5100.95,4727.81,16.0755,36.1481
351,4654.02,4320.91,18.0894,35.9353
352,4887.68,4324.25,17.457,36.1299
353,4913.69,4517.5,14.4651,35.8159
354,4117.57,3911.32,21.6925,37.9749
355,3825.12,3742.43,26.7549,36.8729
356,1036.48,1049.66,52.6704,56.2415
357,4124.87,3920.92,22.5919,35.856
358,4208.44,4102.56,17.7672,35.8699
359,4551.12,4567.18,16.5911,35.829
360,4697.87,4617.99,17.0798,36.2659
361,4190.11,4243.47,18.2147,36.2327
362,2309.24,4138.59,16.405,36.0654
363,4096.89,4177.05,16.4271,36.383
364,4651.44,4541.78,16.7179,35.0881
365,4631.26,4519.02,15.3975,36.0703
366,1033.34,1101.91,36.7947,37.8793
367,2645.04,1657.8,27.1385,37.4361
368,4832.37,4740.23,13.487,34.5843
369,4340.59,4287.78,15.2883,36.7935
370,4912.17,4851.82,14.4908,34.7644
371,5057.21,4888.38,13.2633,34.2264
372,5042.39,4923.62,14.1017,34.8813
373,5087.0,4885.62,13.844,35.0152
374,4936.04,4901.24,13.5382,34.0007
375,4979.2,4567.47,16.2107,34.7675
376,4943.09,4880.13,13.0608,33.8183
377,5102.65,4919.38,14.0266,34.1245
378,5084.37,4892.98,14.4152,34.1955
379,4841.12,4955.27,13.2599,33.8832
380,4905.83,4736.7,13.2503,34.1902
381,4806.15,4554.99,13.3097,34.0572
382,4543.06,4073.75,14.0452,35.6031
383,4814.54,4606.49,14.4763,35.416
384,4869.05,4702.56,14.3789,35.173
385,4837.5,4780.55,14.7181,35.1514
386,4916.27,4774.62,13.8403,34.9913
387,5073.33,4912.81,13.4439,33.6457
388,4837.19,4768.65,13.1219,33.9351
389,4805.18,4740.52,13.6487,34.1514
390,4829.8,4792.09,13.7621,33.734
391,4985.07,4872.05,13.331,33.4763
392,4923.27,4928.0,13.3902,32.8608
