Real Sto Return,Itration,Running Reverse KL,Reward Loss,Running Env Steps,Running Forward KL,Running Update Time,Real Det Return
1008.25,49,38.953,-2323.39404296875,245000,37.8788,49,1006.76
926.84,50,31.0649,-2357.353759765625,250000,36.3029,50,927.99
1023.98,51,40.2285,-2403.146240234375,255000,37.2225,51,1024.23
1012.21,52,27.3338,-2486.34033203125,260000,38.3015,52,1013.11
1014.69,53,33.9881,-2568.18896484375,265000,36.5784,53,1014.18
412.57,54,42.1605,-2481.083984375,270000,33.3457,54,430.22
246.38,55,31.1821,-1981.5357666015625,275000,32.3301,55,252.08
1036.22,56,31.4654,-2664.626220703125,280000,35.2118,56,1036.4
1026.39,57,42.1431,-2741.437255859375,285000,38.214,57,1026.27
1040.82,58,45.5863,-2803.70703125,290000,37.0168,58,1040.98
1015.17,59,31.8086,-2910.04248046875,295000,34.6589,59,1015.65
1045.53,60,41.4086,-2872.967041015625,300000,35.1351,60,1046.01
1050.41,61,39.0514,-2953.63818359375,305000,36.9299,61,1050.49
1053.19,62,33.4073,-2984.51123046875,310000,34.3882,62,1054.46
985.02,63,49.4801,-3094.3984375,315000,38.3973,63,985.34
1039.32,64,38.5554,-3159.93310546875,320000,36.4173,64,1039.48
975.33,65,59.6631,-3197.476318359375,325000,39.4824,65,971.01
970.0,66,64.2438,-3250.962646484375,330000,40.6047,66,969.96
1047.59,67,25.5595,-3263.69775390625,335000,34.697,67,1045.14
76.91,68,38.848,-2973.092529296875,340000,35.6692,68,76.83
1054.96,69,32.4994,-3286.91015625,345000,33.3854,69,1052.02
1028.2,70,43.5534,-3559.164794921875,350000,36.7109,70,1026.25
1019.23,71,41.6245,-3585.193359375,355000,37.6941,71,1019.2
1044.14,72,36.2858,-3628.99267578125,360000,37.9055,72,1044.88
1025.4,73,32.2801,-3668.860107421875,365000,39.2027,73,1027.22
140.04,74,32.9008,-3649.509033203125,370000,38.3621,74,138.5
116.32,75,160.7072,-3368.2685546875,375000,33.8064,75,141.81
987.55,76,42.2424,-3935.2392578125,380000,39.1848,76,987.77
986.29,77,48.3168,-3977.583740234375,385000,38.3939,77,986.12
996.13,78,36.4358,-4041.80419921875,390000,38.5349,78,994.39
1037.32,79,28.1276,-3977.659912109375,395000,37.5185,79,1036.51
1000.15,80,50.3012,-4133.57373046875,400000,40.9763,80,1001.3
131.79,81,36.6249,-4090.784423828125,405000,33.9449,81,132.48
680.78,82,41.2031,-4143.95703125,410000,35.5741,82,1062.13
1058.31,83,38.731,-4305.52001953125,415000,35.1328,83,1057.99
1050.22,84,32.2177,-4368.232421875,420000,34.2003,84,1050.11
1060.45,85,36.9881,-4434.27880859375,425000,36.2332,85,1060.51
1054.21,86,30.4164,-4402.87060546875,430000,34.6321,86,1053.96
993.41,87,28.6515,-4221.31201171875,435000,33.8283,87,1063.48
977.75,88,32.8591,-4587.634765625,440000,38.4356,88,977.85
979.67,89,51.4967,-4751.70166015625,445000,37.5045,89,979.89
973.31,90,53.2898,-4791.79052734375,450000,37.4378,90,974.06
983.82,91,47.9091,-4845.10791015625,455000,38.5474,91,983.72
116.12,92,42.9517,-4261.3134765625,460000,34.1667,92,115.46
200.83,93,79.5569,-4238.9169921875,465000,32.8121,93,213.83
1001.0,94,36.4802,-5074.859375,470000,37.8828,94,1001.6
990.15,95,37.9244,-5117.671875,475000,37.6377,95,989.5
657.52,96,35.0604,-5188.3095703125,480000,37.0866,96,984.39
984.93,97,30.5551,-5184.71337890625,485000,37.4558,97,984.7
542.24,98,36.0705,-5305.18310546875,490000,37.3665,98,970.75
1004.95,99,27.0441,-4930.60986328125,495000,36.6294,99,1003.35
978.35,100,26.3662,-4605.95166015625,500000,35.5753,100,978.5
1028.96,101,32.3755,-5502.46142578125,505000,37.6669,101,1028.47
976.98,102,37.1742,-5514.576171875,510000,38.0219,102,1025.41
949.6,103,38.9935,-5641.4208984375,515000,38.0863,103,901.18
80.98,104,89.3276,-4842.3388671875,520000,34.0847,104,80.61
177.17,105,35.6193,-5634.376953125,525000,35.2209,105,175.29
474.29,106,32.7639,-5700.20361328125,530000,35.0804,106,479.42
490.63,107,22.0746,-5455.3154296875,535000,34.373,107,500.97
468.96,108,86.2933,-5600.9091796875,540000,35.9033,108,473.37
533.49,109,39.8568,-5730.67041015625,545000,36.5591,109,523.08
1055.26,110,33.5026,-6002.82421875,550000,38.0232,110,1054.48
1035.12,111,37.4242,-6164.8115234375,555000,37.86,111,1035.03
1022.63,112,41.499,-6294.02880859375,560000,38.0767,112,1023.33
998.42,113,43.7008,-6283.82861328125,565000,40.5635,113,998.22
448.51,114,34.6895,-6426.3193359375,570000,36.7845,114,902.97
258.27,115,90.2633,-1010.9110107421875,575000,31.8333,115,241.98
309.77,116,105.0581,-5461.9404296875,580000,33.2063,116,303.33
218.87,117,41.6502,-5392.91748046875,585000,33.6096,117,202.44
987.5,118,35.4676,-6575.060546875,590000,36.3484,118,977.25
980.31,119,32.9477,-6499.66162109375,595000,37.4186,119,981.5
1003.96,120,53.5507,-6813.458984375,600000,39.8018,120,1004.44
1027.9,121,40.2545,-6798.0673828125,605000,39.9125,121,1031.08
1000.47,122,35.8394,-6825.9912109375,610000,38.6143,122,1004.45
1028.42,123,43.7962,-6908.5478515625,615000,36.6792,123,1028.1
1027.03,124,33.212,-6882.41259765625,620000,34.4378,124,1028.38
995.99,125,31.6363,-6991.025390625,625000,39.0983,125,994.03
168.74,126,62.7046,-7323.52490234375,630000,39.249,126,172.92
101.1,127,47.1421,-4868.2529296875,635000,31.5086,127,91.75
11.5,128,26.1653,-1231.853271484375,640000,32.7407,128,11.59
202.02,129,31.189,-6678.29345703125,645000,33.7245,129,161.3
401.05,130,29.1182,-7473.330078125,650000,37.2988,130,412.83
614.5,131,25.7881,-7411.35546875,655000,39.4022,131,824.83
981.38,132,51.1384,-7490.21630859375,660000,39.6395,132,981.22
13.13,133,163.5529,-7129.2861328125,665000,34.2031,133,13.37
12.15,134,41.2064,-7280.9326171875,670000,35.3798,134,12.2
23.23,135,78.5749,-7516.40869140625,675000,34.8337,135,23.65
166.38,136,38.2078,-7259.2119140625,680000,32.607,136,139.98
205.7,137,35.9301,-7258.76806640625,685000,32.8455,137,205.53
176.75,138,42.6052,-7450.9580078125,690000,34.4054,138,177.09
280.86,139,39.8987,-8080.82080078125,695000,36.3097,139,241.41
988.18,140,56.2093,-8245.2138671875,700000,38.1738,140,988.01
987.08,141,45.7634,-8325.79296875,705000,38.985,141,986.9
19.55,142,62.8791,-7001.5087890625,710000,33.7809,142,19.1
42.96,143,44.3086,-7380.28076171875,715000,33.9119,143,39.03
683.76,144,39.0848,-8338.509765625,720000,37.3908,144,530.77
40.75,145,52.5471,-8001.30908203125,725000,34.4659,145,40.23
989.11,146,48.3889,-8283.416015625,730000,37.4096,146,990.86
128.64,147,38.7285,-8169.14013671875,735000,34.5836,147,170.98
555.23,148,55.8342,-8720.28515625,740000,36.2736,148,701.3
1035.57,149,39.9144,-8710.92578125,745000,35.3979,149,1035.02
1023.8,150,42.9201,-8869.2265625,750000,36.6945,150,1023.78
1004.93,151,43.9828,-8888.4384765625,755000,38.1933,151,1005.44
1038.32,152,38.646,-8909.44921875,760000,34.9345,152,1038.49
1043.66,153,37.047,-8878.947265625,765000,34.8082,153,1043.73
147.29,154,129.6224,-7863.08935546875,770000,31.3358,154,154.03
1035.36,155,25.5188,-7755.86083984375,775000,34.5203,155,1051.31
1027.36,156,25.2567,-7068.42529296875,780000,34.0258,156,1057.87
1015.62,157,28.9855,-9339.66015625,785000,34.7733,157,1014.23
1010.87,158,21.3264,-8910.9033203125,790000,34.6922,158,1011.49
1052.3,159,23.4224,-8899.861328125,795000,34.4303,159,1050.89
174.31,160,113.1011,-9364.177734375,800000,33.1697,160,197.75
173.37,161,24.4114,-5711.1220703125,805000,32.2458,161,173.52
235.41,162,142.7823,-8839.1689453125,810000,32.8324,162,243.0
310.07,163,63.1464,-8962.0556640625,815000,34.1136,163,310.09
227.45,164,37.0666,-9755.583984375,820000,34.7636,164,229.03
249.98,165,33.898,-9565.048828125,825000,33.2099,165,249.0
250.67,166,29.9486,-9211.478515625,830000,32.3792,166,249.76
193.03,167,103.8829,-8896.13671875,835000,34.0435,167,193.42
969.25,168,36.6775,-10082.84375,840000,34.2769,168,1011.44
996.41,169,26.8965,-10226.8203125,845000,39.2479,169,996.43
15.96,170,123.0123,-10295.94921875,850000,34.5542,170,16.21
95.66,171,57.4686,-10217.537109375,855000,37.6075,171,91.75
200.26,172,39.9128,-9780.2158203125,860000,36.7359,172,206.72
448.56,173,30.2884,-9646.794921875,865000,34.6266,173,450.43
462.49,174,33.6365,-10295.798828125,870000,35.2744,174,475.9
996.63,175,46.0607,-10473.3330078125,875000,38.7561,175,995.28
695.98,176,25.9188,-9973.5126953125,880000,35.4798,176,704.25
1059.27,177,34.3437,-10853.966796875,885000,36.2514,177,1058.89
732.13,178,22.4838,-10252.7626953125,890000,34.8773,178,1036.09
388.43,179,29.4963,-10657.7890625,895000,36.7828,179,338.1
1026.56,180,26.9151,-10877.033203125,900000,37.6108,180,1026.78
1032.47,181,37.5824,-11181.7607421875,905000,37.4972,181,1025.0
1037.03,182,30.6294,-11088.064453125,910000,36.4422,182,1036.68
1039.06,183,31.4597,-11445.13671875,915000,37.9389,183,1038.87
1039.4,184,34.4162,-11477.794921875,920000,36.7558,184,1039.3
984.1,185,32.9164,-11002.4072265625,925000,36.6323,185,988.0
993.08,186,49.1373,-11585.6923828125,930000,40.4564,186,993.91
996.65,187,35.3162,-11412.12109375,935000,37.7713,187,998.46
183.1,188,119.2578,-11756.5390625,940000,35.6335,188,178.52
265.12,189,80.5265,-11289.6591796875,945000,33.4725,189,257.76
993.0,190,46.5352,-12109.474609375,950000,38.8698,190,995.51
987.96,191,47.0562,-12165.63671875,955000,38.4053,191,988.09
984.81,192,59.6115,-12281.5244140625,960000,38.0513,192,985.12
407.59,193,52.2868,-12238.08984375,965000,35.7801,193,406.88
94.66,194,30.9128,-11810.4326171875,970000,33.604,194,95.51
107.39,195,35.9367,-12222.60546875,975000,36.0399,195,106.48
639.34,196,35.1245,-12340.962890625,980000,34.2351,196,332.31
39.7,197,28.5865,-12390.31640625,985000,37.3585,197,40.4
1023.5,198,38.6827,-12334.3115234375,990000,37.3389,198,1023.91
58.92,199,37.7294,-13181.72265625,995000,36.4283,199,59.61
