Real Det Return,Running Reverse KL,Itration,Running Update Time,Running Env Steps,Reward Loss,Real Sto Return,Running Forward KL
1712.48,21.4323,43,43,215000,-633.1857299804688,2243.14,23.5613
3475.1,14.2579,44,44,220000,-178.73170471191406,3346.0,22.78
1394.93,17.4794,45,45,225000,-504.8052062988281,2468.01,23.0532
3412.84,15.9342,46,46,230000,-386.61724853515625,2733.13,22.5555
3433.19,14.3684,47,47,235000,-239.0579071044922,3283.85,21.7123
3432.08,13.4461,48,48,240000,-269.1789245605469,3139.07,22.5648
3109.95,29.6347,49,49,245000,-869.4136352539062,2518.78,22.8689
3468.37,13.6412,50,50,250000,-191.35348510742188,3384.15,22.8284
3453.21,15.4035,51,51,255000,-367.8315124511719,2967.52,22.4451
3453.91,14.0118,52,52,260000,-373.0992736816406,3254.16,22.5372
3491.1,19.9021,53,53,265000,-829.2994384765625,2479.68,22.592
3387.96,13.3593,54,54,270000,-267.9236145019531,3384.1,22.3523
3431.46,13.4782,55,55,275000,-285.3230285644531,3263.12,22.8081
3484.15,13.3036,56,56,280000,-517.0091552734375,2781.23,22.6884
3484.21,12.8863,57,57,285000,-307.5738525390625,3422.04,21.9035
3493.41,14.0552,58,58,290000,-481.61968994140625,2964.57,22.761
3460.69,12.4116,59,59,295000,-299.9482116699219,3390.68,21.5761
3437.54,13.3857,60,60,300000,-289.66949462890625,3401.49,21.7489
3490.66,13.1645,61,61,305000,-374.6969299316406,2983.28,22.0379
1440.05,17.0662,62,62,310000,-884.3090209960938,2090.29,23.3979
3539.89,19.5433,63,63,315000,-995.45751953125,2144.15,22.9546
3467.59,13.4363,64,64,320000,-706.7799072265625,2961.18,22.3418
3325.83,28.4725,65,65,325000,-1381.014892578125,1862.3,23.8655
3487.9,12.7513,66,66,330000,-405.2437438964844,3327.68,21.0294
3561.03,20.2871,67,67,335000,-1172.86376953125,2303.51,23.6049
3435.33,14.5569,68,68,340000,-441.8398132324219,3421.74,21.9458
3490.24,13.5252,69,69,345000,-471.16888427734375,3450.88,22.0034
3481.46,13.039,70,70,350000,-562.8450927734375,3024.64,21.4636
3507.49,18.5455,71,71,355000,-1132.3851318359375,2403.05,23.3456
3462.91,13.2629,72,72,360000,-458.6905212402344,3404.57,21.5074
3462.58,11.7946,73,73,365000,-439.1883850097656,3411.75,20.0556
3480.69,14.5376,74,74,370000,-481.2198181152344,3303.29,21.9924
3452.95,13.2872,75,75,375000,-521.1135864257812,3410.44,22.154
3464.13,13.4348,76,76,380000,-499.3199157714844,3263.13,22.1478
3437.45,12.8115,77,77,385000,-427.15057373046875,3303.34,20.8967
3425.09,15.1279,78,78,390000,-816.1041259765625,3303.28,22.3405
3512.33,13.4991,79,79,395000,-592.2876586914062,3327.19,22.5297
3445.09,12.8179,80,80,400000,-654.7468872070312,3401.33,22.3963
3489.45,13.3953,81,81,405000,-530.149169921875,3458.9,21.724
3480.52,13.8881,82,82,410000,-617.8294677734375,3454.99,22.7532
3468.48,12.4748,83,83,415000,-592.5120239257812,3418.02,20.8408
3433.44,12.7653,84,84,420000,-555.9318237304688,3292.41,21.4665
3468.03,13.5435,85,85,425000,-888.788818359375,2734.5,22.2645
3451.32,12.7072,86,86,430000,-736.5136108398438,3335.32,21.7326
3479.41,12.9457,87,87,435000,-669.1044311523438,3455.59,21.6829
3489.53,13.9135,88,88,440000,-1112.3707275390625,2568.4,23.3191
3477.51,12.5971,89,89,445000,-797.587890625,3083.96,21.5469
3504.55,15.6331,90,90,450000,-1144.876708984375,2946.01,22.5491
3432.28,12.999,91,91,455000,-800.161376953125,3123.48,21.8985
3511.36,26.5667,92,92,460000,-1416.729248046875,2601.45,22.5718
3077.17,17.7959,93,93,465000,-1173.5596923828125,2300.63,21.2934
3419.56,12.9323,94,94,470000,-721.3839111328125,3294.23,21.8567
3528.09,13.9369,95,95,475000,-710.1060180664062,3160.37,22.2606
3374.09,21.5262,96,96,480000,-1545.796875,2602.45,22.9719
3467.02,12.6807,97,97,485000,-928.3320922851562,3258.23,22.2062
3522.2,12.8314,98,98,490000,-886.3009643554688,3392.64,21.5338
3487.94,13.1661,99,99,495000,-836.10595703125,3314.02,22.0808
3537.54,12.2738,100,100,500000,-874.2367553710938,2988.42,21.1177
3483.91,13.6006,101,101,505000,-874.4241333007812,3462.29,22.6294
3503.3,12.9318,102,102,510000,-956.67431640625,3271.54,22.3987
3418.78,12.6816,103,103,515000,-765.0816040039062,3232.49,21.0391
3512.87,24.1451,104,104,520000,-1325.5211181640625,2981.68,22.6676
3514.35,12.9433,105,105,525000,-851.8518676757812,3473.18,21.4961
3478.65,13.076,106,106,530000,-1019.9103393554688,3185.33,22.0732
3539.9,14.9512,107,107,535000,-1747.9376220703125,2282.2,23.6905
3501.85,13.4576,108,108,540000,-1307.0853271484375,3043.19,22.7051
3474.4,12.0798,109,109,545000,-853.3875122070312,3428.53,20.2123
3518.28,13.4155,110,110,550000,-1054.6707763671875,3435.12,22.3701
3525.29,15.0676,111,111,555000,-922.7515258789062,3271.28,20.893
3508.39,12.7941,112,112,560000,-1373.8857421875,3175.29,22.698
3512.71,12.7743,113,113,565000,-1334.2186279296875,2420.19,22.0491
3457.87,12.5204,114,114,570000,-1041.5821533203125,2979.81,20.7979
3473.56,12.3296,115,115,575000,-935.2365112304688,3465.84,20.7771
3468.28,12.1568,116,116,580000,-1035.644775390625,3470.29,21.3578
3485.42,12.8862,117,117,585000,-810.46142578125,3078.74,19.7704
3480.65,11.6315,118,118,590000,-1110.0804443359375,3099.39,19.9088
3531.56,13.6641,119,119,595000,-1401.638427734375,2569.12,22.1694
3450.85,12.4578,120,120,600000,-864.6223754882812,3430.01,19.42
3515.02,12.5552,121,121,605000,-1124.524658203125,3109.41,21.0485
3505.25,12.3262,122,122,610000,-1182.8082275390625,2792.8,21.241
3420.66,14.1565,123,123,615000,-1629.625244140625,2438.87,22.3428
3521.63,12.4472,124,124,620000,-1402.8125,2499.03,21.1373
3416.59,12.0964,125,125,625000,-878.1793823242188,3312.0,19.198
3498.1,12.2416,126,126,630000,-1181.6702880859375,3077.43,20.7215
3552.12,14.0867,127,127,635000,-1961.5211181640625,1744.37,22.2623
3531.92,12.3344,128,128,640000,-1258.3287353515625,3173.5,21.2186
3477.65,12.0657,129,129,645000,-1100.4366455078125,2941.39,20.1301
3487.29,13.7183,130,130,650000,-1460.460693359375,2785.12,21.9861
3547.97,12.8336,131,131,655000,-2025.2154541015625,1940.35,23.2169
3477.83,12.0299,132,132,660000,-1533.133056640625,2921.19,21.3884
3482.24,12.5129,133,133,665000,-1265.6231689453125,2816.06,20.8765
3493.75,11.7442,134,134,670000,-1286.6025390625,3025.78,20.1127
3486.01,12.3629,135,135,675000,-1326.7899169921875,3025.05,21.7834
3487.38,11.5533,136,136,680000,-1253.31103515625,3130.67,21.2573
3538.19,11.5917,137,137,685000,-1348.1024169921875,2633.9,20.9613
3462.89,12.1691,138,138,690000,-1205.297607421875,3348.55,19.1895
3537.7,12.1688,139,139,695000,-1265.7769775390625,3272.34,20.8032
3258.04,11.9438,140,140,700000,-1818.412841796875,2072.53,21.9605
3509.49,11.3527,141,141,705000,-1452.2205810546875,2499.2,20.4306
3468.8,12.5105,142,142,710000,-1474.8206787109375,3100.75,21.0673
2989.42,11.3519,143,143,715000,-1969.75048828125,1917.86,22.637
3506.41,11.4606,144,144,720000,-1844.32568359375,2530.62,22.0827
3529.16,11.454,145,145,725000,-1816.1138916015625,2679.95,21.0703
3517.46,12.1965,146,146,730000,-1524.717529296875,3013.82,21.1644
3462.03,11.6327,147,147,735000,-1367.635498046875,3159.19,20.0087
3501.45,11.3269,148,148,740000,-1500.796142578125,3247.78,20.833
3471.32,13.383,149,149,745000,-1391.5394287109375,3449.65,21.428
3439.83,11.9256,150,150,750000,-1402.018798828125,3421.45,20.0943
3475.37,11.561,151,151,755000,-1503.3275146484375,3161.65,20.4079
3426.26,12.1628,152,152,760000,-1296.8536376953125,3312.19,21.0383
3458.76,11.9029,153,153,765000,-1417.9892578125,3064.96,21.713
3526.04,11.5307,154,154,770000,-1464.481201171875,3055.98,20.0008
3479.64,11.7856,155,155,775000,-1475.2701416015625,3409.54,18.9715
3457.65,13.2518,156,156,780000,-1464.1614990234375,3363.77,20.5008
3485.5,11.4739,157,157,785000,-1826.218994140625,3078.46,20.4231
3516.41,11.6403,158,158,790000,-1608.3233642578125,3309.97,19.881
3486.0,11.8635,159,159,795000,-1592.290283203125,2672.16,19.6221
3488.38,12.8635,160,160,800000,-1369.202880859375,3283.91,21.012
3533.74,12.7866,161,161,805000,-2321.727783203125,2275.0,21.8205
3548.13,12.0277,162,162,810000,-1974.572509765625,2622.13,20.9811
3545.18,12.377,163,163,815000,-1600.5302734375,3501.98,20.4167
3559.08,12.7924,164,164,820000,-1592.298583984375,3159.51,21.1198
3520.39,12.4878,165,165,825000,-1642.4603271484375,3471.29,20.7303
3541.85,11.8059,166,166,830000,-1668.1893310546875,2927.99,19.9842
3542.55,12.0824,167,167,835000,-2034.28955078125,2964.03,21.4032
3552.63,11.1238,168,168,840000,-1939.6492919921875,2856.32,19.48
3561.35,11.8287,169,169,845000,-1975.274169921875,2873.24,21.088
3553.87,11.8387,170,170,850000,-1890.9422607421875,3402.16,20.6752
3534.0,11.6851,171,171,855000,-1931.7501220703125,3184.07,20.7263
3481.54,11.9545,172,172,860000,-1640.671875,3304.18,19.3614
3530.19,12.3277,173,173,865000,-1591.0555419921875,3490.02,19.6233
3494.89,13.0089,174,174,870000,-1727.8804931640625,3357.24,20.3945
3567.71,12.5954,175,175,875000,-1853.8778076171875,3035.12,21.1352
3482.92,11.9994,176,176,880000,-1747.2591552734375,3454.8,19.0975
3573.17,11.7804,177,177,885000,-2214.844482421875,3116.4,20.4221
3542.59,12.5145,178,178,890000,-1890.1302490234375,3381.32,20.9593
3473.43,10.8397,179,179,895000,-1795.059814453125,3036.44,18.8412
3587.23,12.4916,180,180,900000,-1659.94921875,3153.75,19.7385
3538.71,12.33,181,181,905000,-2092.9931640625,3410.12,20.4146
3546.16,13.0464,182,182,910000,-2041.4554443359375,3301.85,20.8357
3553.11,11.7195,183,183,915000,-2301.75830078125,2986.25,21.456
3507.41,11.315,184,184,920000,-2293.412353515625,2596.98,20.2636
3507.38,11.5578,185,185,925000,-1843.73583984375,2998.85,20.0798
3529.76,11.6889,186,186,930000,-2386.508544921875,2777.38,20.3091
3553.73,12.0341,187,187,935000,-2019.7119140625,3136.35,20.0635
3551.01,12.6576,188,188,940000,-2058.3369140625,3235.19,20.7701
3527.48,11.6437,189,189,945000,-2169.96923828125,3470.32,19.1189
3557.23,11.8528,190,190,950000,-2155.775390625,3450.65,19.4933
3544.67,13.9668,191,191,955000,-2669.143798828125,3046.83,21.8267
3559.72,12.0912,192,192,960000,-2440.86767578125,3048.47,20.3773
3475.07,10.8792,193,193,965000,-1873.031494140625,2685.35,18.7078
3498.48,11.1609,194,194,970000,-2017.3487548828125,3499.32,18.9307
3545.91,11.2314,195,195,975000,-2295.412353515625,3032.07,19.8498
2948.19,10.8922,196,196,980000,-3201.10791015625,2317.14,20.8001
3516.06,11.5992,197,197,985000,-2450.64990234375,3158.29,19.8271
3495.38,11.3702,198,198,990000,-2633.85205078125,3111.97,20.3689
3578.06,12.1363,199,199,995000,-2558.548583984375,2881.37,20.5153
