Real Sto Return,Reward Loss,Real Det Return,Running Forward KL,Running Env Steps,Running Update Time,Running Reverse KL,Itration
3266.85,-1056.3863525390625,3512.91,18.0078,765000,153,11.8802,153
3114.83,-1114.377197265625,3495.1,18.6356,770000,154,11.9958,154
3123.24,-1190.8780517578125,3496.17,18.3221,775000,155,11.4592,155
3415.16,-1062.9471435546875,3536.89,17.9294,780000,156,11.3556,156
3389.55,-908.2166137695312,3484.57,17.7793,785000,157,10.7545,157
3027.73,-1177.468994140625,3505.24,18.4171,790000,158,15.6398,158
3297.63,-1135.75,3505.53,18.0443,795000,159,16.2363,159
3488.52,-888.0267333984375,3534.06,17.5325,800000,160,12.1635,160
3171.21,-1321.9664306640625,3485.75,18.735,805000,161,11.6973,161
3323.0,-1112.5706787109375,3501.89,17.3379,810000,162,11.8536,162
2966.15,-1300.577392578125,3480.5,19.0471,815000,163,11.7158,163
3288.28,-1534.737548828125,3500.73,19.0206,820000,164,12.0905,164
2846.93,-1585.0135498046875,3473.59,19.8549,825000,165,14.4248,165
3506.41,-1058.041259765625,3584.12,18.8154,830000,166,12.1869,166
3450.97,-1049.853515625,3503.53,17.4539,835000,167,11.4756,167
3385.68,-1491.4508056640625,3488.28,19.7444,840000,168,13.963,168
3291.56,-1531.7315673828125,3489.31,19.4412,845000,169,12.474,169
3446.0,-1333.676025390625,3522.94,18.9249,850000,170,12.1235,170
3375.78,-1164.20654296875,3506.75,18.3365,855000,171,11.3966,171
3362.88,-1267.9173583984375,3539.46,18.228,860000,172,18.2602,172
3468.02,-1124.3580322265625,3521.51,17.9323,865000,173,11.8531,173
3482.69,-1234.8272705078125,3535.49,18.6326,870000,174,11.7904,174
3458.87,-1327.8184814453125,3525.54,18.2197,875000,175,11.2837,175
3465.71,-1117.980224609375,3539.75,18.3654,880000,176,12.8041,176
3423.39,-1318.280517578125,3476.21,18.052,885000,177,11.6924,177
3475.8,-990.5082397460938,3549.61,17.5557,890000,178,10.9393,178
3411.45,-1192.0736083984375,3519.37,17.7264,895000,179,13.5392,179
3502.52,-1077.0638427734375,3569.06,18.4678,900000,180,11.9734,180
3453.96,-1169.2679443359375,3522.43,18.5138,905000,181,11.7859,181
3430.78,-1351.930419921875,3497.52,17.9725,910000,182,11.3444,182
3469.35,-1124.8946533203125,3545.27,18.5228,915000,183,11.7268,183
3419.0,-1048.656005859375,3539.19,17.8956,920000,184,11.3856,184
3420.38,-1160.9444580078125,3516.3,17.3894,925000,185,10.8422,185
3349.36,-1134.00048828125,3482.32,17.6475,930000,186,12.0697,186
3470.33,-1487.6739501953125,3542.6,18.1473,935000,187,11.8967,187
3288.1,-1335.40185546875,3514.45,18.2394,940000,188,11.5507,188
3485.98,-1254.2176513671875,3544.4,18.4392,945000,189,11.6236,189
3452.41,-1447.8748779296875,3507.89,18.5421,950000,190,12.1679,190
3479.42,-1346.5185546875,3541.86,17.8198,955000,191,11.8471,191
3474.38,-1197.698974609375,3538.31,18.0975,960000,192,11.7269,192
3217.18,-1538.9722900390625,3527.67,18.3377,965000,193,15.7634,193
3428.1,-1290.9571533203125,3527.52,18.3875,970000,194,11.9482,194
3444.75,-1272.1983642578125,3509.44,17.9778,975000,195,11.7287,195
3459.88,-1488.842529296875,3501.51,17.7532,980000,196,11.2549,196
3343.62,-1479.7039794921875,3482.07,17.7543,985000,197,10.8841,197
3475.26,-1529.8797607421875,3515.0,18.7058,990000,198,12.1116,198
3314.06,-1551.0399169921875,3503.81,18.2615,995000,199,12.1511,199
