Real Det Return,Running Forward KL,Itration,Running Reverse KL,Real Sto Return
5143.63,219.2937,156,28.4381,4967.06
5238.02,223.2591,157,29.5378,5222.06
5180.62,219.198,158,23.103,5150.6
5213.79,222.7984,159,26.0572,4925.81
5168.29,226.0256,160,30.0746,5165.91
5197.42,222.2691,161,23.7369,5054.93
4791.89,222.6908,162,32.6336,4766.77
5186.73,226.4045,163,26.8597,5182.39
5228.65,231.74,164,44.3879,5211.64
5212.14,219.0584,165,21.6823,4991.0
5174.57,222.8817,166,29.9981,5167.24
5244.12,221.9193,167,21.8744,5181.98
5092.61,228.5014,168,26.5504,5141.38
5117.35,222.7856,169,25.2747,5101.75
4312.86,219.9363,170,22.5552,4661.57
5252.93,227.4291,171,27.114,5146.34
5024.14,227.0429,172,25.4002,5190.5
4598.52,233.1142,173,32.0101,5174.69
4970.1,220.6594,174,23.3805,4868.47
5279.38,226.7359,175,30.7438,5185.67
4596.7,221.0605,176,23.0778,4600.57
5056.24,223.4133,177,24.6166,5152.37
5157.44,217.5044,178,20.9139,5112.4
5047.85,232.5802,179,41.1016,5204.1
5215.1,224.1856,180,32.3091,5073.6
3174.26,222.4382,181,34.483,3746.59
5202.36,217.9639,182,21.1617,5146.95
5245.53,223.4216,183,30.6708,5208.05
5252.92,228.5141,184,32.0169,5154.33
5197.27,223.9197,185,18.7624,5140.12
5201.43,225.7811,186,24.659,5083.51
5265.67,225.2028,187,24.2367,5168.45
