Itration,Running Forward KL,Real Sto Return,Reward Loss,Running Reverse KL,Running Update Time,Real Det Return,Running Env Steps
122,378.9237,1836.99,-13109.5615234375,220.1771,122,1024.69,610000
123,350.4694,2545.36,-11633.109375,182.948,123,2346.82,615000
124,347.4783,3362.74,-10531.046875,180.5968,124,4043.93,620000
125,370.3016,1994.29,-13187.73046875,215.3078,125,1323.43,625000
126,362.9565,1776.92,-12818.1767578125,228.4686,126,3394.51,630000
127,338.1571,3783.28,-10081.3037109375,163.2895,127,4106.94,635000
128,357.8172,3459.97,-10949.0205078125,200.5754,128,3476.86,640000
129,351.3047,3503.15,-12072.7607421875,195.8375,129,2726.88,645000
130,366.0573,2754.74,-12644.78125,208.5001,130,3859.56,650000
131,334.5525,4031.61,-9476.462890625,150.6459,131,4177.52,655000
132,341.7304,4323.93,-11531.3857421875,178.7316,132,4899.62,660000
133,363.132,2895.54,-12587.4951171875,220.4313,133,4585.89,665000
134,361.5809,3070.97,-12164.5546875,214.052,134,3528.19,670000
135,337.2547,4066.14,-11010.2216796875,168.0543,135,5139.22,675000
136,358.3703,4200.92,-12672.0234375,207.1315,136,4608.89,680000
137,332.9701,3342.4,-10855.9248046875,155.8374,137,4953.28,685000
138,359.8874,2667.18,-12784.60546875,204.3264,138,4046.3,690000
139,365.5431,2747.18,-13260.7666015625,222.6192,139,1406.4,695000
140,373.8336,2990.78,-13750.75,232.1671,140,3595.55,700000
141,358.302,4175.33,-12829.966796875,193.2662,141,4338.98,705000
142,363.6605,4090.26,-13147.9267578125,194.6082,142,2615.33,710000
143,370.2658,2797.8,-13849.029296875,218.5744,143,3165.62,715000
144,346.7938,3947.82,-13156.1220703125,182.9496,144,4009.07,720000
145,356.3968,3888.46,-12881.5400390625,188.4172,145,3623.21,725000
146,372.3799,3770.15,-14561.9462890625,244.7943,146,4369.78,730000
147,355.4674,3478.27,-13401.2529296875,194.6749,147,5013.4,735000
148,350.7703,4521.0,-13140.1298828125,181.4496,148,4895.98,740000
149,352.7342,4584.83,-13564.201171875,191.0934,149,5122.8,745000
150,379.9066,2372.17,-15404.26171875,265.0559,150,2660.76,750000
151,355.8688,3036.0,-14339.2470703125,211.5763,151,5040.25,755000
152,358.3235,3132.93,-14953.7958984375,232.1979,152,3956.05,760000
153,352.102,4254.98,-14338.416015625,188.2379,153,4928.73,765000
154,356.4103,3091.7,-14726.3134765625,196.7765,154,5117.02,770000
155,366.1017,4186.99,-15182.43359375,211.8551,155,4959.01,775000
156,367.9539,3464.78,-15551.259765625,228.9555,156,4890.17,780000
157,362.3216,4799.69,-14847.974609375,202.3526,157,5109.89,785000
158,338.5241,4721.34,-13480.509765625,165.9159,158,5173.57,790000
159,346.3976,4563.7,-14537.912109375,177.1394,159,4730.8,795000
160,332.9895,4168.71,-13272.7568359375,157.0115,160,4496.65,800000
161,348.2251,4687.24,-15098.6220703125,184.5854,161,5113.6,805000
162,348.422,4609.32,-14563.0634765625,171.7404,162,4658.97,810000
163,349.9456,5062.99,-14871.7392578125,181.5207,163,5159.22,815000
164,349.231,4839.47,-14834.9111328125,187.175,164,5099.09,820000
165,336.6826,4825.08,-14211.662109375,149.4364,165,4819.32,825000
166,346.8002,4791.64,-14720.5888671875,166.0658,166,4911.36,830000
167,364.2452,3133.58,-16353.4091796875,206.4085,167,3994.83,835000
168,323.3144,5064.4,-13453.5302734375,148.8209,168,5081.71,840000
169,358.0417,4024.75,-16505.23828125,234.3889,169,4033.84,845000
170,353.3712,4601.89,-15924.5126953125,194.2627,170,5018.1,850000
171,328.675,4619.27,-14631.2939453125,149.3832,171,5206.24,855000
172,340.588,4532.12,-15242.48828125,157.2992,172,5118.88,860000
173,336.8344,4611.69,-15415.759765625,180.4833,173,4299.45,865000
174,338.2169,4771.01,-15550.3046875,172.1761,174,5103.9,870000
175,333.8581,3705.09,-15642.765625,177.6023,175,1967.91,875000
176,349.2063,3161.6,-16138.5,206.1922,176,4363.4,880000
177,342.2486,5151.75,-15625.0029296875,172.9633,177,5223.0,885000
178,341.0995,4299.11,-15825.5556640625,164.1592,178,4934.48,890000
179,332.3902,4069.42,-15376.865234375,170.5701,179,4578.94,895000
180,344.9125,4523.84,-15106.265625,158.0739,180,4887.33,900000
181,330.2204,4870.2,-15391.123046875,145.427,181,5134.66,905000
182,344.534,4185.61,-16352.5546875,177.6029,182,5142.83,910000
183,345.1898,5071.22,-16450.326171875,173.0393,183,4716.48,915000
184,343.5468,4331.79,-16216.1484375,196.4059,184,3752.52,920000
185,329.4345,4894.75,-16144.7255859375,166.4757,185,5232.2,925000
186,341.374,3852.82,-16900.6875,196.598,186,4951.67,930000
187,334.0185,3026.35,-15942.1806640625,189.8596,187,2873.07,935000
188,336.8142,3929.37,-15697.0888671875,146.8543,188,4850.12,940000
189,339.1244,4795.72,-16644.34375,169.4379,189,5152.49,945000
190,340.3772,4191.05,-16656.37890625,178.3722,190,5105.2,950000
191,336.3716,5151.72,-16535.1328125,150.3021,191,5155.83,955000
192,340.9199,3507.74,-16565.5859375,169.886,192,2820.95,960000
193,346.7355,4635.37,-17388.412109375,175.0654,193,5091.02,965000
194,336.8024,5004.13,-16774.62109375,150.4008,194,5128.94,970000
195,350.0347,4494.82,-17133.421875,184.2349,195,5043.49,975000
196,340.4725,4199.06,-17302.48046875,155.5751,196,4899.38,980000
197,337.6235,4815.06,-17270.564453125,159.6676,197,5073.44,985000
198,341.4264,4574.86,-17371.658203125,168.5055,198,4855.09,990000
199,343.5303,4688.27,-16760.55859375,141.9866,199,4675.64,995000
200,337.29,4731.57,-17076.775390625,153.1613,200,5120.61,1000000
201,332.2224,4455.45,-17010.43359375,144.7618,201,3641.03,1005000
202,336.196,4728.46,-16796.859375,146.3723,202,5138.32,1010000
203,338.7866,4065.72,-17076.015625,190.2653,203,5158.63,1015000
204,344.4258,4868.58,-17560.701171875,171.0581,204,5120.36,1020000
205,338.3923,3269.5,-16841.408203125,200.4338,205,4569.36,1025000
206,340.325,4863.02,-17387.64453125,152.7395,206,5083.81,1030000
207,336.5787,3966.71,-17143.005859375,172.826,207,4692.98,1035000
208,333.9616,3711.56,-17017.58203125,147.9076,208,4897.71,1040000
209,340.2746,4836.74,-17492.044921875,154.8379,209,5123.18,1045000
210,351.8844,4331.69,-17413.5703125,206.5169,210,5144.48,1050000
211,372.2724,1400.23,-17456.046875,277.5566,211,2294.3,1055000
212,360.2718,1926.48,-17093.68359375,238.1447,212,1824.82,1060000
213,348.305,4390.55,-17906.46875,169.552,213,5126.19,1065000
214,336.149,4346.18,-17495.705078125,152.897,214,5074.64,1070000
215,340.7495,4894.69,-17779.697265625,178.3603,215,5068.42,1075000
216,340.4321,4610.17,-17729.419921875,160.802,216,5107.77,1080000
217,344.1041,4908.45,-17521.388671875,158.9155,217,5095.86,1085000
218,342.0897,4134.76,-17543.998046875,164.5229,218,4618.11,1090000
219,346.324,3358.12,-17643.23046875,186.8182,219,3646.67,1095000
220,340.4282,4353.29,-18028.302734375,171.1847,220,5009.28,1100000
221,346.1572,4856.08,-18182.396484375,181.5824,221,4920.52,1105000
222,338.5579,4922.37,-17723.681640625,151.0918,222,5093.1,1110000
223,344.3235,4668.97,-17417.724609375,166.0575,223,5013.44,1115000
224,343.6788,3863.77,-17634.177734375,178.8211,224,5095.23,1120000
225,337.4921,4682.6,-17923.25,172.235,225,4951.19,1125000
226,338.688,4253.98,-17971.53125,163.0369,226,4916.34,1130000
227,335.4298,3809.37,-17438.4921875,176.1426,227,4935.17,1135000
228,337.373,4506.99,-17578.3125,184.781,228,3868.33,1140000
229,334.4232,3735.55,-17622.1015625,167.717,229,5140.77,1145000
230,340.3936,2737.51,-17443.46484375,205.1836,230,3875.98,1150000
231,338.2856,3631.59,-17483.779296875,155.6901,231,4415.8,1155000
232,337.4248,4118.85,-18006.046875,149.962,232,4960.34,1160000
233,344.7273,2183.51,-17756.525390625,219.056,233,786.4,1165000
234,338.7737,4661.79,-18069.89453125,161.3242,234,5152.68,1170000
235,339.3057,4964.98,-18164.962890625,162.202,235,4926.65,1175000
236,348.2309,3216.04,-18179.318359375,200.0696,236,4131.15,1180000
237,343.2504,2808.64,-18081.1875,232.5032,237,1788.93,1185000
238,347.2302,3289.93,-18055.837890625,196.0364,238,2088.81,1190000
239,355.3427,3055.47,-18211.26953125,210.655,239,3915.97,1195000
240,342.8861,4603.29,-18194.6015625,179.8094,240,5111.34,1200000
241,353.2641,3602.68,-18306.23046875,209.5298,241,4623.4,1205000
242,352.3579,4743.41,-18489.193359375,201.9853,242,4972.23,1210000
243,349.6147,4664.06,-18609.37890625,206.8467,243,4321.4,1215000
244,362.5018,2886.93,-18384.072265625,248.1704,244,4065.78,1220000
245,345.2872,4732.24,-18677.0625,182.0514,245,4824.07,1225000
246,335.501,4638.65,-18512.16796875,156.7893,246,4885.51,1230000
