Running Update Time,Itration,Running Reverse KL,Running Forward KL,Running Env Steps,Real Sto Return,Real Det Return,Reward Loss
76,76,15.9011,157.1444,380000,1748.93,2087.38,-2643.8486328125
77,77,15.8131,156.7956,385000,1758.64,2294.17,-2683.951416015625
78,78,15.8792,157.1276,390000,1775.79,2140.68,-2722.0400390625
79,79,15.6369,156.9366,395000,1754.45,2089.16,-2781.26513671875
80,80,15.8333,157.1365,400000,1786.47,2175.27,-2851.54736328125
81,81,15.5098,156.9046,405000,1733.42,2078.73,-2868.17041015625
82,82,15.4803,156.7502,410000,1744.12,2071.75,-2913.700439453125
83,83,15.8289,156.9433,415000,1772.51,2066.2,-2960.3125
84,84,15.6892,157.2241,420000,1746.18,2082.71,-3002.698974609375
85,85,15.6987,157.0098,425000,1808.02,2141.7,-3051.084228515625
86,86,15.8216,156.955,430000,1825.23,2175.7,-3098.0166015625
87,87,15.5414,156.935,435000,1778.94,2124.66,-3139.73486328125
88,88,15.5269,157.2492,440000,1727.7,2025.36,-3223.30322265625
89,89,15.4201,156.9037,445000,1787.09,2140.29,-3231.60302734375
90,90,15.2393,156.6651,450000,1764.57,2049.39,-3284.821533203125
91,91,15.3793,156.7678,455000,1804.37,2149.14,-3319.408447265625
92,92,15.1876,156.4327,460000,1868.58,2567.39,-3376.516845703125
93,93,14.9357,156.6593,465000,1919.09,3028.39,-3406.399169921875
94,94,15.7293,156.9179,470000,1852.96,2278.11,-3460.571533203125
95,95,14.2592,156.086,475000,2043.09,3031.25,-3444.667724609375
96,96,14.4699,156.1177,480000,2497.88,3679.43,-3471.273193359375
97,97,15.0574,156.5069,485000,2052.83,3727.64,-3570.54248046875
98,98,15.1277,155.9018,490000,1985.66,3309.54,-3599.2197265625
99,99,14.7269,155.4729,495000,2433.32,3826.32,-3500.26025390625
100,100,15.8875,155.6227,500000,3035.99,3447.42,-3435.67822265625
101,101,14.3167,155.7495,505000,2392.2,2672.18,-3631.92626953125
102,102,16.1681,155.7082,510000,3018.54,3851.64,-3572.496826171875
103,103,16.4188,155.36,515000,3390.27,3767.94,-3553.123779296875
104,104,16.1526,155.3389,520000,3291.87,4010.4,-3629.072509765625
105,105,15.8785,154.8183,525000,3545.17,4387.64,-3655.40966796875
106,106,17.7837,154.6535,530000,4167.39,4212.69,-3545.87060546875
107,107,18.2049,155.1227,535000,3938.6,4344.75,-3676.8603515625
108,108,16.4379,154.9823,540000,3936.05,4585.84,-3752.3955078125
109,109,18.4512,155.176,545000,4182.62,4748.79,-3711.38232421875
110,110,17.1703,154.9315,550000,4134.04,4297.47,-3773.5146484375
111,111,17.6872,154.7739,555000,4195.36,4719.99,-3810.775634765625
112,112,18.9018,155.2008,560000,4393.67,4755.23,-3813.775146484375
113,113,18.749,154.942,565000,4604.72,5150.65,-3833.71337890625
114,114,17.7191,154.4944,570000,4316.68,4488.84,-3954.833251953125
115,115,18.4439,155.2444,575000,4560.36,5054.73,-3932.705078125
116,116,17.965,154.5867,580000,4240.35,4486.35,-4012.14501953125
117,117,17.62,155.043,585000,4570.02,5004.19,-4030.218505859375
118,118,18.4408,154.5992,590000,4807.36,5348.63,-4081.533935546875
119,119,18.1436,154.7548,595000,4772.96,5405.07,-4120.0791015625
120,120,17.7562,154.8469,600000,4713.09,5195.79,-4141.99072265625
121,121,18.0385,154.5748,605000,4763.53,5244.42,-4205.3828125
122,122,18.1453,154.3718,610000,4833.38,5372.59,-4147.51953125
123,123,18.2004,154.4045,615000,4995.21,5462.48,-4219.1767578125
124,124,18.7056,155.138,620000,5025.73,5576.08,-4237.748046875
125,125,18.3574,154.2878,625000,5023.54,5408.46,-4308.181640625
126,126,17.7991,154.1406,630000,5090.98,5622.27,-4315.49853515625
127,127,18.1558,154.1614,635000,5154.64,5623.56,-4361.951171875
128,128,19.6049,154.3094,640000,5119.48,5605.94,-4460.57958984375
129,129,18.4096,154.5291,645000,5114.02,5599.41,-4475.73828125
130,130,18.1564,154.4116,650000,5217.08,5657.89,-4479.9677734375
131,131,18.8483,153.895,655000,5209.64,5667.93,-4546.1748046875
132,132,17.8903,154.4294,660000,5094.84,5770.95,-4577.48681640625
133,133,18.5325,154.0799,665000,5168.57,5695.16,-4621.552734375
134,134,18.3338,154.1598,670000,5220.0,5728.47,-4631.01171875
135,135,18.3666,154.0735,675000,5313.17,5877.95,-4717.17919921875
136,136,18.1976,154.0491,680000,5337.54,5686.62,-4726.17041015625
137,137,18.9233,153.9663,685000,5381.75,5796.92,-4796.44384765625
138,138,18.5377,153.9354,690000,5385.82,5782.12,-4796.95458984375
139,139,18.7479,153.9848,695000,5362.47,5790.66,-4889.11083984375
140,140,19.2281,153.9716,700000,5451.58,5765.33,-4906.57763671875
141,141,18.8377,153.9227,705000,5352.28,5738.62,-4978.73486328125
142,142,18.2435,153.9738,710000,5412.98,5910.74,-5007.28759765625
143,143,19.0565,154.4,715000,5479.32,5987.65,-4998.16748046875
144,144,18.3759,153.9883,720000,5439.83,5987.13,-5089.69091796875
145,145,18.7306,153.9998,725000,5563.23,6045.25,-5067.04052734375
146,146,17.8756,154.434,730000,5458.09,6017.95,-5096.8837890625
147,147,18.8992,154.5428,735000,5596.7,6043.07,-5215.16259765625
148,148,18.7591,154.2013,740000,5646.59,6120.5,-5219.955078125
149,149,18.9694,153.921,745000,5596.34,6169.1,-5286.5654296875
150,150,18.5506,154.1825,750000,5557.35,6125.8,-5345.52685546875
151,151,18.4471,154.4252,755000,5643.02,6125.54,-5277.6416015625
152,152,18.8119,153.8582,760000,5674.27,6060.26,-5318.900390625
153,153,18.9499,153.8313,765000,5756.19,6215.38,-5401.2060546875
154,154,18.262,154.555,770000,5495.91,5912.26,-5410.32177734375
155,155,18.8289,153.8265,775000,5682.42,6143.16,-5459.63037109375
156,156,18.4503,154.0578,780000,5724.63,6181.9,-5482.7666015625
157,157,18.3102,154.18,785000,5622.43,6164.85,-5550.8544921875
158,158,18.7622,153.775,790000,5761.83,6313.63,-5643.271484375
159,159,17.9101,154.02,795000,5627.41,6052.53,-5631.66064453125
160,160,18.8286,153.8633,800000,5721.12,6251.09,-5735.88330078125
161,161,18.9322,153.9941,805000,5806.79,6311.47,-5872.2587890625
162,162,19.3757,153.1432,810000,5801.73,6186.25,-5879.685546875
163,163,19.0073,154.104,815000,5845.02,6309.39,-5863.43408203125
164,164,18.4381,153.4515,820000,5746.06,6345.93,-5829.62353515625
165,165,19.0648,154.1458,825000,5882.55,6373.27,-5877.50927734375
166,166,18.8092,153.9772,830000,5793.52,6185.26,-5967.7060546875
167,167,19.0885,153.7991,835000,5815.21,6204.24,-5989.751953125
168,168,18.5134,153.686,840000,5955.13,6536.84,-6031.4462890625
169,169,19.3738,153.9437,845000,5938.77,6419.21,-6108.91796875
170,170,18.7323,153.6235,850000,5911.82,6307.45,-6128.70361328125
171,171,18.5592,153.5362,855000,5949.41,6380.43,-6133.4091796875
172,172,18.9996,153.4403,860000,5891.51,6400.33,-6330.67919921875
173,173,18.2815,153.8167,865000,5852.47,6401.14,-6216.4697265625
174,174,18.2628,154.1794,870000,5851.96,6249.04,-6294.4765625
175,175,18.8878,153.4319,875000,5888.16,6370.33,-6399.00537109375
176,176,18.8225,153.5194,880000,5980.43,6452.91,-6442.7880859375
177,177,18.7529,153.8073,885000,5964.04,6459.5,-6451.7890625
178,178,18.7415,153.4969,890000,5941.73,6586.81,-6577.486328125
179,179,19.6979,153.6297,895000,5983.52,6474.01,-6523.99462890625
180,180,19.3356,153.4791,900000,6091.6,6563.33,-6586.6005859375
181,181,18.7753,153.7011,905000,6024.8,6411.92,-6704.5263671875
182,182,18.9925,153.6931,910000,6006.83,6479.31,-6709.07763671875
183,183,18.4061,153.8456,915000,5941.28,6423.63,-6667.79150390625
184,184,18.4431,153.7055,920000,6043.33,6517.46,-6697.96728515625
185,185,19.3602,153.684,925000,6069.9,6499.89,-6849.720703125
186,186,18.5405,152.8079,930000,6043.63,6447.41,-6790.31884765625
187,187,18.3492,153.4909,935000,5936.3,6481.81,-6802.91650390625
188,188,18.6022,153.8288,940000,6032.01,6496.72,-6926.7119140625
189,189,19.072,153.5793,945000,5983.35,6507.75,-7141.6767578125
190,190,18.6096,153.4208,950000,6092.22,6596.02,-6950.86181640625
191,191,18.8271,153.3432,955000,6134.18,6699.12,-7010.1533203125
192,192,19.8479,153.3908,960000,6261.4,6729.34,-7259.94921875
193,193,18.8492,153.421,965000,6039.85,6494.55,-7303.0732421875
194,194,17.9603,153.813,970000,5894.78,6496.37,-7038.09814453125
195,195,19.0884,153.6146,975000,6132.61,6492.78,-7372.8330078125
196,196,19.0712,152.9458,980000,6208.38,6725.54,-7244.53173828125
197,197,19.0047,153.0171,985000,6222.75,6829.95,-7330.0595703125
198,198,18.9335,152.847,990000,6171.75,6706.65,-7271.89501953125
199,199,18.9521,152.9446,995000,6181.64,6719.55,-7406.3212890625
200,200,19.2309,153.1453,1000000,6246.63,6751.86,-7461.64599609375
201,201,19.1101,153.0249,1005000,6218.28,6758.75,-7564.7568359375
202,202,19.3577,153.3964,1010000,6271.8,6802.26,-7520.15185546875
203,203,19.4203,153.4902,1015000,6244.13,6728.0,-7710.6982421875
204,204,19.5303,152.8322,1020000,6295.68,6800.13,-7609.333984375
205,205,19.224,152.9608,1025000,6278.33,6831.31,-7696.11962890625
206,206,19.7218,153.3283,1030000,6274.24,6795.83,-7756.6748046875
207,207,19.6318,153.1116,1035000,6277.06,6735.29,-7796.2333984375
208,208,18.5811,153.0433,1040000,6118.09,6661.9,-7861.33056640625
209,209,19.3369,153.0247,1045000,6261.57,6675.57,-7952.2333984375
210,210,17.7799,152.5544,1050000,6015.71,6415.3,-7791.55908203125
211,211,16.6697,154.541,1055000,3508.3,3968.63,-7984.90380859375
212,212,14.9299,153.8031,1060000,4659.68,4882.85,-7582.5244140625
213,213,17.3754,153.167,1065000,5871.09,6418.23,-7669.3515625
214,214,18.3345,153.3349,1070000,6152.75,6597.76,-7794.27880859375
215,215,18.4822,153.1797,1075000,6185.06,6698.42,-7873.01220703125
216,216,18.9866,152.7131,1080000,6263.76,6758.9,-7990.2314453125
217,217,18.7404,153.2097,1085000,6254.35,6782.3,-8116.9931640625
218,218,19.0009,152.788,1090000,6302.53,6768.53,-8142.79736328125
219,219,19.3931,153.0131,1095000,6305.58,6763.37,-8211.078125
220,220,19.1931,153.0602,1100000,6205.22,6701.89,-8182.56591796875
221,221,18.355,153.0779,1105000,6263.0,6742.07,-8065.3984375
222,222,16.2077,152.4789,1110000,5670.12,6194.72,-8096.45947265625
223,223,16.481,153.0365,1115000,5675.67,6303.72,-7983.29150390625
224,224,16.491,152.9267,1120000,5792.93,6264.88,-8174.87060546875
225,225,18.1203,152.9816,1125000,6155.71,6717.38,-8111.59423828125
226,226,16.5365,153.1636,1130000,6168.23,6669.82,-8189.30126953125
227,227,18.0712,152.5477,1135000,5845.89,6542.8,-8297.578125
228,228,17.1219,153.0065,1140000,6023.37,6551.78,-8435.6630859375
229,229,18.5786,153.4776,1145000,6206.8,6630.94,-8393.9794921875
230,230,18.6526,153.0294,1150000,6269.98,6688.23,-8253.673828125
231,231,17.4555,153.7894,1155000,5868.46,6319.22,-8329.6103515625
232,232,14.948,153.8092,1160000,4766.13,5278.43,-8505.462890625
233,233,15.7101,153.6589,1165000,5308.01,6199.91,-8503.78515625
234,234,16.6353,153.4755,1170000,5633.71,6022.34,-8761.4990234375
235,235,16.4269,153.0497,1175000,5348.19,5486.24,-9061.802734375
236,236,18.0506,153.053,1180000,6147.02,6545.84,-8663.7646484375
237,237,18.5482,153.2595,1185000,5917.24,6420.37,-8805.2744140625
238,238,18.4522,153.5756,1190000,6171.9,6521.01,-8687.224609375
239,239,17.369,153.9977,1195000,5934.12,6370.35,-9177.5400390625
240,240,17.471,153.8062,1200000,5381.94,5755.29,-9466.1796875
241,241,18.6981,153.8542,1205000,6222.04,6574.76,-8826.5234375
242,242,18.5822,153.58,1210000,6260.18,6633.96,-8828.5810546875
243,243,19.6264,153.1963,1215000,6332.51,6731.22,-8767.275390625
244,244,16.8729,153.7891,1220000,4591.92,5362.45,-9719.6923828125
245,245,17.134,153.6939,1225000,5007.3,5483.07,-9342.521484375
246,246,15.9229,153.7755,1230000,4120.52,4265.62,-9473.3154296875
247,247,16.49,153.8064,1235000,4739.75,5316.39,-9430.6494140625
248,248,17.8071,153.2601,1240000,6269.95,6656.51,-8992.2939453125
249,249,19.6056,153.4517,1245000,6364.95,6858.95,-9180.41015625
250,250,19.8873,153.3056,1250000,6012.86,6650.98,-9837.0
251,251,18.3068,153.1916,1255000,6025.07,6493.51,-9484.6533203125
252,252,16.2065,154.1971,1260000,5340.39,6079.67,-9459.6259765625
253,253,17.054,153.8589,1265000,4146.87,4441.77,-9486.80859375
254,254,19.2525,153.0533,1270000,6439.5,6878.26,-8973.27734375
255,255,19.7226,153.592,1275000,6335.44,6758.15,-9285.626953125
256,256,19.9946,153.0794,1280000,6436.9,6826.7,-9155.595703125
257,257,20.087,153.2008,1285000,6483.42,6912.92,-9211.3203125
258,258,15.4648,154.3847,1290000,4137.7,4439.99,-9313.9755859375
259,259,16.7367,155.1349,1295000,4473.9,4419.74,-9287.0576171875
260,260,19.2822,153.2092,1300000,6410.76,6849.74,-9158.123046875
261,261,20.0689,153.2673,1305000,6452.33,6814.52,-9415.3125
262,262,19.6479,152.7124,1310000,6439.27,6848.68,-9390.7802734375
263,263,19.7592,152.8034,1315000,6477.81,6918.52,-9380.2275390625
264,264,16.9673,154.2161,1320000,4353.3,4559.26,-9219.556640625
265,265,19.2205,152.793,1325000,6341.25,6860.95,-9231.9794921875
266,266,19.8171,153.0042,1330000,6557.96,6867.24,-9262.439453125
267,267,20.0367,153.4823,1335000,6549.87,6951.07,-9481.6826171875
268,268,20.0521,153.4063,1340000,6588.63,7011.72,-9383.43359375
269,269,20.3533,153.1317,1345000,6639.97,7033.46,-9387.5751953125
270,270,20.3812,153.3262,1350000,6560.29,7008.91,-9639.619140625
271,271,19.8133,152.9542,1355000,6511.15,6986.57,-9683.576171875
272,272,19.6898,153.2198,1360000,6463.91,6768.45,-9615.380859375
273,273,16.4306,154.0628,1365000,4105.34,4363.67,-9979.7626953125
274,274,18.6681,153.1632,1370000,6267.43,6641.92,-9560.6533203125
275,275,19.3833,153.3011,1375000,6479.56,6899.04,-9533.8232421875
276,276,19.8489,153.1659,1380000,6619.61,7048.43,-9617.1005859375
277,277,19.739,152.8663,1385000,6619.92,6935.84,-9489.7021484375
278,278,18.7212,152.9425,1390000,6445.03,6831.16,-9625.0048828125
279,279,16.7318,153.0185,1395000,6172.5,6591.81,-9400.73046875
280,280,15.7429,155.2424,1400000,3463.23,3349.36,-10680.25
281,281,18.798,152.5113,1405000,6561.38,6994.38,-9450.451171875
282,282,19.9556,152.8475,1410000,6622.87,7062.12,-9864.7666015625
283,283,20.7196,153.2201,1415000,6642.58,6967.09,-9892.951171875
284,284,20.508,152.9865,1420000,6650.85,7096.62,-10060.85546875
285,285,19.9966,153.2732,1425000,6617.06,7100.11,-10010.84375
286,286,19.7667,153.17,1430000,6603.65,7076.95,-10038.720703125
287,287,20.4529,153.2697,1435000,6654.27,7023.26,-9890.302734375
288,288,19.5584,153.2099,1440000,6593.59,7028.37,-9941.2880859375
289,289,19.7491,153.0906,1445000,6434.94,6854.41,-10247.015625
290,290,19.3225,153.6767,1450000,6358.53,6773.19,-10187.884765625
291,291,14.9632,153.4769,1455000,4208.56,4243.23,-10346.7470703125
292,292,17.1264,153.3538,1460000,5777.82,6188.0,-10164.01953125
293,293,17.4591,153.7498,1465000,6114.27,6745.58,-9769.9306640625
294,294,19.0706,153.0022,1470000,6513.49,6949.09,-10042.697265625
295,295,19.5312,153.2665,1475000,6654.13,7102.58,-10044.1015625
296,296,19.8748,153.0706,1480000,6759.74,7181.93,-10191.1875
297,297,20.521,152.9415,1485000,6738.95,7106.95,-10112.4248046875
298,298,20.3157,153.2406,1490000,6649.89,7161.57,-10416.0625
299,299,19.8805,153.164,1495000,6631.1,7093.38,-10429.3193359375
300,300,17.0829,152.6397,1500000,5064.96,5558.64,-10547.2529296875
301,301,20.1914,152.6688,1505000,6480.35,6860.14,-10300.6328125
302,302,19.2743,152.568,1510000,6740.14,7257.22,-10157.2119140625
303,303,19.3436,153.0464,1515000,6713.99,7096.22,-9986.1865234375
304,304,18.5014,154.319,1520000,5062.09,5251.82,-11226.216796875
305,305,19.1986,153.1491,1525000,6580.98,6963.61,-9889.375
306,306,19.903,152.5861,1530000,6768.66,7270.69,-10258.7685546875
307,307,19.8685,153.2783,1535000,6789.18,7218.57,-10101.482421875
308,308,20.1145,152.7877,1540000,6837.73,7239.59,-10083.9677734375
309,309,17.1323,154.3002,1545000,4632.45,5064.93,-11327.7626953125
310,310,19.4983,153.4855,1550000,6751.61,7157.49,-9916.1201171875
311,311,19.9165,153.0322,1555000,6785.89,7278.4,-10229.203125
312,312,20.2385,153.2667,1560000,6839.13,7290.06,-10267.7080078125
313,313,19.9657,153.58,1565000,6853.9,7282.56,-10298.41796875
314,314,19.5749,153.4694,1570000,6772.65,7134.54,-10460.984375
315,315,19.3328,153.3322,1575000,6630.93,7057.12,-10572.69140625
316,316,17.2599,153.9434,1580000,5469.61,5787.78,-10378.8427734375
317,317,17.7039,153.3441,1585000,5700.86,6232.42,-10340.734375
318,318,18.6013,153.2189,1590000,6084.63,6388.78,-11137.7939453125
319,319,20.1573,153.1625,1595000,6825.19,7260.85,-10438.07421875
320,320,20.0769,153.0621,1600000,6725.18,7155.83,-10458.2978515625
321,321,19.8527,153.0697,1605000,6452.45,6784.23,-10609.76953125
322,322,19.4812,153.6216,1610000,6388.46,6889.87,-10661.0341796875
323,323,19.7996,152.9724,1615000,6752.14,7096.65,-10723.0458984375
324,324,20.0022,153.0996,1620000,6821.77,7227.54,-10497.6669921875
325,325,20.2311,153.4886,1625000,6891.06,7394.42,-10554.78515625
326,326,19.841,153.3363,1630000,6821.53,7222.74,-10602.96875
327,327,18.6475,153.3615,1635000,6661.54,7112.64,-10249.8681640625
328,328,18.921,153.5461,1640000,6451.42,6901.32,-10537.5107421875
329,329,18.422,153.4892,1645000,6461.51,6790.5,-10365.8076171875
330,330,18.6719,153.4226,1650000,6509.74,7001.78,-10204.5244140625
331,331,18.487,153.1864,1655000,6570.02,7001.18,-10272.7255859375
332,332,18.4357,153.4858,1660000,6471.13,6935.12,-10663.6787109375
333,333,17.6164,153.0816,1665000,6321.58,6885.67,-10560.3369140625
334,334,18.4017,153.099,1670000,6610.42,7084.82,-10504.1474609375
335,335,18.5758,152.9779,1675000,6550.27,6947.5,-10534.546875
336,336,18.6757,152.9486,1680000,6747.8,7240.0,-10490.6923828125
337,337,18.7618,152.6894,1685000,6536.21,6971.37,-10704.0615234375
338,338,18.5745,153.3509,1690000,6676.91,7151.56,-10646.431640625
339,339,17.8137,152.8472,1695000,6340.68,6762.92,-10569.0341796875
340,340,18.0164,153.4195,1700000,6394.86,6903.31,-10681.3388671875
341,341,17.4813,153.158,1705000,6292.86,6754.94,-10720.2197265625
342,342,18.3071,152.3399,1710000,6301.19,6531.48,-10801.271484375
343,343,18.7954,152.7939,1715000,6777.36,7146.17,-10786.283203125
344,344,19.126,153.1024,1720000,6743.91,7199.72,-10779.5146484375
345,345,19.3178,153.4321,1725000,6725.05,7303.05,-10826.5927734375
346,346,19.3993,153.2883,1730000,6851.91,7242.48,-10970.2373046875
347,347,18.7922,153.2758,1735000,6717.03,7166.51,-10850.6962890625
348,348,19.2272,153.3458,1740000,6669.97,7098.45,-11045.796875
349,349,18.5553,153.1981,1745000,6737.23,7254.89,-11042.171875
350,350,18.3385,153.2098,1750000,6706.89,7238.17,-10847.18359375
351,351,17.9408,152.9955,1755000,6327.1,6702.47,-11018.7255859375
352,352,17.4224,152.6248,1760000,6348.09,6576.03,-10671.2646484375
353,353,18.4615,152.7977,1765000,6442.02,6765.89,-10791.892578125
354,354,19.2379,153.411,1770000,6463.07,6934.07,-10981.9365234375
355,355,18.5589,153.5188,1775000,6578.24,6977.3,-10771.3798828125
356,356,18.6998,153.4908,1780000,6467.67,6943.2,-10866.994140625
357,357,18.112,153.5033,1785000,6498.75,6934.65,-11107.728515625
358,358,18.6485,153.607,1790000,6368.89,6702.74,-10869.572265625
359,359,18.5448,153.5152,1795000,6436.56,6857.14,-11035.220703125
360,360,18.6458,153.0559,1800000,6634.46,7088.2,-11363.8857421875
361,361,18.3843,153.3107,1805000,6581.73,6890.76,-11003.458984375
362,362,18.2003,153.1267,1810000,6426.66,6719.04,-11156.8603515625
363,363,17.4794,152.3998,1815000,6661.28,7258.02,-10766.6982421875
364,364,16.3003,153.7491,1820000,4940.57,5146.59,-10933.5283203125
365,365,18.9926,152.7798,1825000,6736.46,7298.43,-10967.8017578125
366,366,19.2952,152.5118,1830000,6939.97,7374.59,-10964.59765625
367,367,18.3257,153.0336,1835000,6655.34,7179.0,-10971.8330078125
368,368,18.7953,153.2719,1840000,6739.36,7290.76,-11260.951171875
369,369,18.8047,153.0673,1845000,6692.82,7280.9,-11336.427734375
370,370,18.1672,153.5412,1850000,6605.27,7107.43,-11390.3662109375
371,371,19.4331,153.32,1855000,6391.05,6734.72,-11732.5771484375
372,372,18.8635,152.936,1860000,6897.21,7356.88,-11472.599609375
373,373,18.9999,152.5803,1865000,7009.12,7466.04,-11289.638671875
374,374,17.5523,152.4198,1870000,6084.82,6331.65,-11058.0
375,375,18.4823,152.9034,1875000,6436.19,6836.06,-11289.6650390625
376,376,16.2027,153.456,1880000,5177.11,5531.85,-11201.46484375
377,377,19.0088,152.9489,1885000,7024.6,7513.01,-11192.4169921875
378,378,19.5148,152.3577,1890000,6990.84,7499.86,-11483.0380859375
379,379,19.4837,152.7398,1895000,7070.89,7451.34,-11400.451171875
380,380,19.6389,152.3868,1900000,7180.46,7567.89,-11575.3134765625
381,381,19.5856,152.6818,1905000,7181.04,7628.07,-11433.640625
382,382,19.7436,152.7797,1910000,7185.04,7647.27,-11542.640625
383,383,19.4346,152.5405,1915000,7144.99,7624.33,-11177.01953125
384,384,19.863,152.9013,1920000,7079.86,7572.82,-11567.56640625
385,385,19.9763,153.7678,1925000,6402.96,6567.19,-11900.1025390625
